,QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
0,1,11:36.0,,L. Scola makes 3-pt jump shot from 23 ft (assist by D. DeRozan),0,3
1,1,11:23.0,Turnover by J. Butler (bad pass),,0,3
2,1,11:05.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by P. Gasol),0,3
3,1,11:04.0,Defensive rebound by P. Gasol,,0,3
4,1,10:52.0,P. Gasol misses 2-pt jump shot from 17 ft,,0,3
5,1,10:52.0,,Defensive rebound by J. Valančiūnas,0,3
6,1,10:37.0,,D. Carroll makes 2-pt layup from 1 ft,0,5
7,1,10:13.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),,2,5
8,1,10:01.0,,K. Lowry misses 2-pt jump shot from 12 ft,2,5
9,1,10:00.0,Defensive rebound by J. Butler,,2,5
10,1,9:57.0,Turnover by J. Butler (lost ball; steal by L. Scola),,2,5
11,1,9:52.0,,L. Scola makes 2-pt jump shot from 6 ft,2,7
12,1,9:32.0,K. Hinrich makes 3-pt jump shot from 23 ft (assist by T. Gibson),,5,7
13,1,9:12.0,,K. Lowry misses 2-pt jump shot from 20 ft,5,7
14,1,9:11.0,Defensive rebound by P. Gasol,,5,7
15,1,8:58.0,N. Mirotić makes 2-pt jump shot from 8 ft (assist by P. Gasol),,7,7
16,1,8:33.0,,D. DeRozan makes 3-pt jump shot from 24 ft (assist by K. Lowry),7,10
17,1,8:12.0,P. Gasol misses 2-pt jump shot from 19 ft,,7,10
18,1,8:12.0,,Defensive rebound by K. Lowry,7,10
19,1,7:59.0,,Turnover by J. Valančiūnas (lost ball; steal by K. Hinrich),7,10
20,1,7:52.0,K. Hinrich makes 3-pt jump shot from 24 ft,,10,10
21,1,7:32.0,,K. Lowry misses 2-pt jump shot from 14 ft,10,10
22,1,7:31.0,Defensive rebound by N. Mirotić,,10,10
23,1,7:16.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by K. Hinrich),,13,10
24,1,6:58.0,,D. DeRozan misses 2-pt jump shot from 16 ft,13,10
25,1,6:57.0,Defensive rebound by P. Gasol,,13,10
26,1,6:42.0,P. Gasol misses 2-pt jump shot from 18 ft,,13,10
27,1,6:41.0,,Defensive rebound by J. Valančiūnas,13,10
28,1,6:23.0,,D. DeRozan misses 2-pt jump shot from 6 ft,13,10
29,1,6:22.0,Defensive rebound by Team,,13,10
30,1,6:22.0,,Loose ball foul by J. Valančiūnas (drawn by P. Gasol),13,10
31,1,6:04.0,P. Gasol makes 2-pt hook shot from 4 ft,,15,10
32,1,5:49.0,,L. Scola misses 2-pt jump shot from 20 ft,15,10
33,1,5:49.0,Defensive rebound by J. Butler,,15,10
34,1,5:39.0,J. Butler misses 2-pt jump shot from 5 ft,,15,10
35,1,5:38.0,Offensive rebound by N. Mirotić,,15,10
36,1,5:34.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Hinrich),,17,10
37,1,5:34.0,,Toronto full timeout,17,10
38,1,5:22.0,,D. DeRozan makes 3-pt jump shot from 22 ft (assist by K. Lowry),17,13
39,1,5:05.0,N. Mirotić misses 2-pt jump shot from 20 ft,,17,13
40,1,5:04.0,,Defensive rebound by K. Lowry,17,13
41,1,4:58.0,,K. Lowry misses 3-pt jump shot from 24 ft,17,13
42,1,4:57.0,,Offensive rebound by J. Valančiūnas,17,13
43,1,4:52.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by J. Valančiūnas),17,16
44,1,4:44.0,Turnover by P. Gasol (bad pass),,17,16
45,1,4:28.0,,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by K. Lowry),17,18
46,1,4:28.0,Chicago full timeout,,17,18
47,1,4:28.0,,P. Patterson enters the game for D. Carroll,17,18
48,1,4:28.0,,T. Ross enters the game for L. Scola,17,18
49,1,4:28.0,T. Snell enters the game for T. Gibson,,17,18
50,1,4:28.0,A. Brooks enters the game for K. Hinrich,,17,18
51,1,4:13.0,Turnover by P. Gasol (bad pass; steal by J. Valančiūnas),,17,18
52,1,3:59.0,,D. DeRozan misses 3-pt jump shot from 23 ft,17,18
53,1,3:59.0,,Offensive rebound by J. Valančiūnas,17,18
54,1,3:47.0,,J. Valančiūnas makes 2-pt layup from 1 ft,17,20
55,1,3:36.0,T. Snell makes 3-pt jump shot from 23 ft (assist by P. Gasol),,20,20
56,1,3:17.0,,Shooting foul by N. Mirotić (drawn by D. DeRozan),20,20
57,1,3:17.0,,D. DeRozan makes free throw 1 of 2,20,21
58,1,3:17.0,,C. Joseph enters the game for K. Lowry,20,21
59,1,3:17.0,,D. DeRozan makes free throw 2 of 2,20,22
60,1,2:58.0,N. Mirotić misses 2-pt jump shot from 13 ft (block by P. Patterson),,20,22
61,1,2:57.0,,Defensive rebound by C. Joseph,20,22
62,1,2:43.0,,D. DeRozan makes 2-pt jump shot from 6 ft,20,24
63,1,2:43.0,,Shooting foul by A. Brooks (drawn by D. DeRozan),20,24
64,1,2:43.0,B. Portis enters the game for N. Mirotić,,20,24
65,1,2:43.0,,B. Biyombo enters the game for J. Valančiūnas,20,24
66,1,2:43.0,,D. DeRozan misses free throw 1 of 1,20,24
67,1,2:43.0,Defensive rebound by B. Portis,,20,24
68,1,2:29.0,Personal foul by B. Biyombo (drawn by P. Gasol),,20,24
69,1,2:23.0,P. Gasol makes 2-pt jump shot from 9 ft,,22,24
70,1,1:55.0,,P. Patterson makes 2-pt jump shot from 15 ft,22,26
71,1,1:41.0,J. Butler misses 2-pt hook shot from 2 ft,,22,26
72,1,1:41.0,Offensive rebound by P. Gasol,,22,26
73,1,1:37.0,P. Gasol makes 2-pt layup from 1 ft,,24,26
74,1,1:21.0,,D. DeRozan misses 2-pt jump shot from 5 ft,24,26
75,1,1:20.0,,Offensive rebound by B. Biyombo,24,26
76,1,1:09.0,,P. Patterson misses 2-pt jump shot from 9 ft,24,26
77,1,1:08.0,Defensive rebound by A. Brooks,,24,26
78,1,1:00.0,B. Portis makes 2-pt layup from 1 ft (assist by A. Brooks),,26,26
79,1,0:40.0,,Turnover by B. Biyombo (dbl dribble),26,26
80,1,0:29.0,P. Gasol misses 2-pt jump shot from 20 ft,,26,26
81,1,0:29.0,,Defensive rebound by P. Patterson,26,26
82,1,0:07.0,,D. DeRozan misses 2-pt jump shot from 19 ft,26,26
83,1,0:06.0,Defensive rebound by P. Gasol,,26,26
84,2,11:47.0,A. Brooks misses 2-pt jump shot from 18 ft,,26,26
85,2,11:47.0,,Defensive rebound by B. Biyombo,26,26
86,2,11:33.0,,T. Ross misses 3-pt jump shot from 22 ft,26,26
87,2,11:32.0,Defensive rebound by B. Portis,,26,26
88,2,11:21.0,T. Gibson makes 2-pt jump shot from 9 ft (assist by A. Brooks),,28,26
89,2,11:10.0,,Personal foul by T. Snell (drawn by K. Lowry),28,26
90,2,10:55.0,,T. Ross misses 2-pt jump shot from 19 ft,28,26
91,2,10:55.0,Defensive rebound by T. Snell,,28,26
92,2,10:46.0,T. Snell misses 2-pt jump shot from 19 ft,,28,26
93,2,10:45.0,Offensive rebound by T. Gibson,,28,26
94,2,10:38.0,D. McDermott misses 3-pt jump shot from 24 ft,,28,26
95,2,10:38.0,,Defensive rebound by P. Patterson,28,26
96,2,10:27.0,,C. Joseph makes 2-pt jump shot from 20 ft,28,28
97,2,10:22.0,Turnover by T. Gibson (bad pass),,28,28
98,2,10:16.0,,K. Lowry misses 3-pt jump shot from 25 ft,28,28
99,2,10:15.0,Defensive rebound by B. Portis,,28,28
100,2,10:01.0,A. Brooks misses 2-pt layup from 1 ft,,28,28
101,2,10:01.0,,Defensive rebound by P. Patterson,28,28
102,2,9:45.0,,B. Biyombo makes 2-pt dunk at rim (assist by C. Joseph),28,30
103,2,9:29.0,A. Brooks makes 3-pt jump shot from 23 ft (assist by T. Gibson),,31,30
104,2,9:13.0,,Shooting foul by A. Brooks (drawn by C. Joseph),31,30
105,2,9:13.0,,C. Joseph makes free throw 1 of 2,31,31
106,2,9:13.0,,C. Joseph makes free throw 2 of 2,31,32
107,2,9:02.0,Personal foul by C. Joseph (drawn by A. Brooks),,31,32
108,2,8:58.0,B. Portis misses 3-pt jump shot from 24 ft,,31,32
109,2,8:57.0,Offensive rebound by T. Gibson,,31,32
110,2,8:40.0,D. McDermott misses 2-pt jump shot from 16 ft,,31,32
111,2,8:39.0,,Defensive rebound by K. Lowry,31,32
112,2,8:28.0,,K. Lowry makes 3-pt jump shot from 22 ft,31,35
113,2,8:12.0,Offensive foul by D. McDermott (drawn by K. Lowry),,31,35
114,2,8:12.0,Turnover by D. McDermott (offensive foul),,31,35
115,2,8:12.0,Official timeout,,31,35
116,2,7:58.0,,Turnover by K. Lowry (step out of bounds),31,35
117,2,7:51.0,A. Brooks makes 2-pt layup from 1 ft,,33,35
118,2,7:35.0,,T. Ross misses 2-pt jump shot from 20 ft,33,35
119,2,7:35.0,,Offensive rebound by C. Joseph,33,35
120,2,7:31.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by C. Joseph),33,38
121,2,7:21.0,Turnover by A. Brooks (lost ball; steal by T. Ross),,33,38
122,2,7:12.0,,P. Patterson makes 2-pt jump shot from 9 ft (assist by K. Lowry),33,40
123,2,7:12.0,Chicago full timeout,,33,40
124,2,7:12.0,E. Moore enters the game for T. Snell,,33,40
125,2,7:12.0,J. Butler enters the game for D. McDermott,,33,40
126,2,6:54.0,B. Portis misses 2-pt hook shot from 6 ft,,33,40
127,2,6:53.0,,Defensive rebound by P. Patterson,33,40
128,2,6:42.0,,P. Patterson misses 3-pt jump shot from 24 ft,33,40
