,QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
0,1,11:42.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),0,2
1,1,11:23.0,Shooting foul by I. Mahinmi (drawn by J. Grant),,0,2
2,1,11:23.0,J. Grant makes free throw 1 of 2,,1,2
3,1,11:23.0,J. Grant makes free throw 2 of 2,,2,2
4,1,11:16.0,,L. Allen misses 2-pt jump shot from 21 ft,2,2
5,1,11:13.0,,Offensive rebound by L. Allen,2,2
6,1,11:11.0,,Shooting foul by C. Early (drawn by P. George),2,2
7,1,11:11.0,,P. George makes free throw 1 of 2,2,3
8,1,11:11.0,,P. George makes free throw 2 of 2,2,4
9,1,10:54.0,D. Williams makes 2-pt jump shot from 17 ft (assist by S. Vujačić),,4,4
10,1,10:41.0,,M. Ellis makes 3-pt jump shot from 26 ft (assist by P. George),4,7
11,1,10:14.0,J. Grant makes 2-pt jump shot from 15 ft,,6,7
12,1,9:54.0,,P. George misses 3-pt jump shot from 26 ft,6,7
13,1,9:52.0,,Offensive rebound by L. Allen,6,7
14,1,9:48.0,,P. George makes 2-pt dunk at rim (assist by G. Hill),6,9
15,1,9:29.0,D. Williams makes 3-pt jump shot from 26 ft (assist by J. Grant),,9,9
16,1,9:12.0,,I. Mahinmi misses 2-pt layup at rim (block by R. Lopez),9,9
17,1,9:10.0,Defensive rebound by J. Grant,,9,9
18,1,9:00.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by J. Grant),,11,9
19,1,8:49.0,,M. Ellis misses 2-pt jump shot from 17 ft,11,9
20,1,8:48.0,Defensive rebound by S. Vujačić,,11,9
21,1,8:39.0,D. Williams makes 3-pt jump shot from 26 ft (assist by S. Vujačić),,14,9
22,1,8:38.0,,Indiana full timeout,14,9
23,1,8:17.0,,G. Hill misses 2-pt jump shot from 15 ft,14,9
24,1,8:16.0,,Offensive rebound by L. Allen,14,9
25,1,8:01.0,,I. Mahinmi misses 2-pt layup from 1 ft,14,9
26,1,8:00.0,Defensive rebound by S. Vujačić,,14,9
27,1,7:52.0,D. Williams makes 2-pt jump shot from 19 ft,,16,9
28,1,7:29.0,,I. Mahinmi makes 2-pt hook shot from 7 ft,16,11
29,1,7:03.0,C. Early makes 2-pt jump shot from 19 ft (assist by S. Vujačić),,18,11
30,1,6:51.0,,I. Mahinmi makes 2-pt layup at rim (assist by P. George),18,13
31,1,6:51.0,,Shooting foul by S. Vujačić (drawn by I. Mahinmi),18,13
32,1,6:51.0,L. Galloway enters the game for J. Grant,,18,13
33,1,6:51.0,,I. Mahinmi makes free throw 1 of 1,18,14
34,1,6:35.0,S. Vujačić misses 2-pt jump shot from 18 ft,,18,14
35,1,6:33.0,Offensive rebound by C. Early,,18,14
36,1,6:33.0,C. Early makes 2-pt layup at rim,,20,14
37,1,6:15.0,,L. Allen misses 2-pt jump shot from 18 ft,20,14
38,1,6:15.0,Defensive rebound by S. Vujačić,,20,14
39,1,6:01.0,R. Lopez makes 2-pt hook shot from 11 ft,,22,14
40,1,5:55.0,,Indiana full timeout,22,14
41,1,5:55.0,,S. Hill enters the game for L. Allen,22,14
42,1,5:44.0,,G. Hill misses 2-pt jump shot from 20 ft,22,14
43,1,5:44.0,,Offensive rebound by I. Mahinmi,22,14
44,1,5:44.0,,I. Mahinmi makes 2-pt layup at rim,22,16
45,1,5:44.0,,Shooting foul by C. Early (drawn by I. Mahinmi),22,16
46,1,5:44.0,,I. Mahinmi makes free throw 1 of 1,22,17
47,1,5:29.0,C. Early misses 2-pt jump shot from 8 ft,,22,17
48,1,5:28.0,Offensive rebound by R. Lopez,,22,17
49,1,5:25.0,Turnover by R. Lopez (bad pass; steal by M. Ellis),,22,17
50,1,5:03.0,,P. George makes 3-pt jump shot from 24 ft,22,20
51,1,4:48.0,R. Lopez makes 2-pt jump shot from 17 ft (assist by L. Galloway),,24,20
52,1,4:36.0,,Turnover by M. Ellis (back court),24,20
53,1,4:36.0,A. Afflalo enters the game for C. Early,,24,20
54,1,4:22.0,A. Afflalo makes 3-pt jump shot from 22 ft (assist by L. Galloway),,27,20
55,1,4:12.0,,P. George misses 2-pt jump shot from 16 ft,27,20
56,1,4:10.0,Defensive rebound by D. Williams,,27,20
57,1,3:58.0,J. Grant enters the game for S. Vujačić,,27,20
58,1,3:58.0,,R. Stuckey enters the game for G. Hill,27,20
