,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,,C. Zeller misses 2-pt jump shot from 16 ft (block by H. Whiteside),0,0
1,1,11:37.0,,Offensive rebound by Team,0,0
2,1,11:30.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),0,3
3,1,11:16.0,G. Green makes 2-pt layup from 1 ft (assist by H. Whiteside),,2,3
4,1,11:04.0,,M. Williams misses 3-pt jump shot from 25 ft,2,3
5,1,11:03.0,Defensive rebound by D. Wade,,2,3
6,1,10:53.0,G. Dragić makes 2-pt jump shot from 7 ft,,4,3
7,1,10:40.0,,Shooting foul by G. Green (drawn by N. Batum),4,3
8,1,10:40.0,,N. Batum misses free throw 1 of 2,4,3
9,1,10:40.0,,Offensive rebound by Team,4,3
10,1,10:40.0,,N. Batum makes free throw 2 of 2,4,4
11,1,10:29.0,G. Green misses 2-pt jump shot from 19 ft,,4,4
12,1,10:28.0,Offensive rebound by H. Whiteside,,4,4
13,1,10:24.0,H. Whiteside makes 2-pt dunk at rim,,6,4
14,1,10:10.0,,C. Zeller misses 2-pt hook shot from 6 ft,6,4
15,1,10:09.0,Defensive rebound by H. Whiteside,,6,4
16,1,9:54.0,D. Wade misses 2-pt layup from 2 ft (block by M. Williams),,6,4
17,1,9:54.0,,Defensive rebound by Team,6,4
18,1,9:32.0,,M. Williams misses 2-pt jump shot from 16 ft,6,4
19,1,9:31.0,Defensive rebound by H. Whiteside,,6,4
20,1,9:26.0,Personal foul by P. Hairston (drawn by D. Wade),,6,4
21,1,9:20.0,G. Dragić misses 2-pt jump shot from 15 ft,,6,4
22,1,9:19.0,,Defensive rebound by P. Hairston,6,4
23,1,9:11.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),6,7
24,1,8:49.0,Turnover by G. Dragić (bad pass; steal by K. Walker),,6,7
25,1,8:41.0,,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),6,9
26,1,8:21.0,Turnover by D. Wade (bad pass),,6,9
27,1,8:08.0,,M. Williams makes 2-pt layup at rim (assist by K. Walker),6,11
28,1,7:54.0,G. Dragić misses 3-pt jump shot from 25 ft,,6,11
29,1,7:53.0,,Defensive rebound by P. Hairston,6,11
30,1,7:47.0,,N. Batum misses 3-pt jump shot from 25 ft,6,11
31,1,7:45.0,Defensive rebound by H. Whiteside,,6,11
32,1,7:37.0,Personal foul by C. Zeller (drawn by H. Whiteside),,6,11
33,1,7:24.0,H. Whiteside misses 2-pt hook shot from 6 ft,,6,11
34,1,7:23.0,,Defensive rebound by N. Batum,6,11
35,1,7:18.0,,K. Walker misses 3-pt jump shot from 25 ft,6,11
36,1,7:16.0,,Offensive rebound by C. Zeller,6,11
37,1,7:13.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by C. Zeller),6,14
38,1,7:13.0,Miami full timeout,,6,14
39,1,7:13.0,T. Johnson enters the game for C. Bosh,,6,14
40,1,7:13.0,L. Deng enters the game for G. Dragić,,6,14
41,1,6:58.0,G. Green makes 2-pt dunk at rim,,8,14
42,1,6:33.0,,N. Batum misses 2-pt jump shot from 16 ft,8,14
43,1,6:31.0,Defensive rebound by T. Johnson,,8,14
44,1,6:13.0,H. Whiteside misses 2-pt hook shot from 12 ft,,8,14
45,1,6:12.0,,Defensive rebound by M. Williams,8,14
46,1,6:00.0,,C. Zeller misses 2-pt layup from 1 ft (block by H. Whiteside),8,14
47,1,5:58.0,Defensive rebound by L. Deng,,8,14
