,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHOENIX_ACTION,BROOKLYN_SCORE,PHOENIX_SCORE
0,1,11:39.0,B. Lopez makes 2-pt jump shot from 12 ft,,2,0
1,1,11:18.0,,T. Chandler misses 2-pt hook shot from 5 ft,2,0
2,1,11:17.0,,Offensive rebound by K. Humphries,2,0
3,1,11:17.0,,K. Humphries misses 2-pt layup from 1 ft,2,0
4,1,11:16.0,,Offensive rebound by K. Humphries,2,0
5,1,11:16.0,,K. Humphries misses 2-pt layup from 1 ft,2,0
6,1,11:15.0,Defensive rebound by D. Sloan,,2,0
7,1,11:03.0,B. Lopez misses 2-pt jump shot from 20 ft,,2,0
8,1,11:03.0,,Defensive rebound by D. Booker,2,0
9,1,10:57.0,,D. Booker misses 2-pt layup from 2 ft (block by B. Lopez),2,0
10,1,10:56.0,Defensive rebound by B. Lopez,,2,0
11,1,10:51.0,W. Ellington misses 3-pt jump shot from 24 ft,,2,0
12,1,10:48.0,,Defensive rebound by T. Chandler,2,0
13,1,10:34.0,,P. Tucker misses 3-pt jump shot from 23 ft,2,0
14,1,10:31.0,Defensive rebound by B. Lopez,,2,0
15,1,10:16.0,T. Young makes 2-pt layup at rim (assist by D. Sloan),,4,0
16,1,10:03.0,,Turnover by K. Humphries (lost ball; steal by T. Young),4,0
17,1,9:54.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,4,0
18,1,9:53.0,,Defensive rebound by K. Humphries,4,0
19,1,9:38.0,,T. Chandler makes 2-pt hook shot from 3 ft,4,2
20,1,9:25.0,Turnover by B. Bogdanović (lost ball; steal by R. Price),,4,2
21,1,9:20.0,,R. Price makes 2-pt layup at rim,4,4
22,1,8:59.0,W. Ellington makes 2-pt jump shot from 9 ft (assist by D. Sloan),,6,4
23,1,8:44.0,,R. Price makes 3-pt jump shot from 27 ft,6,7
24,1,8:27.0,Turnover by D. Sloan (bad pass; steal by T. Chandler),,6,7
25,1,8:22.0,,D. Booker makes 2-pt layup at rim (assist by K. Humphries),6,9
26,1,8:02.0,T. Young misses 2-pt jump shot from 3 ft,,6,9
27,1,8:01.0,,Defensive rebound by T. Chandler,6,9
28,1,7:44.0,,K. Humphries misses 3-pt jump shot from 26 ft,6,9
29,1,7:44.0,Defensive rebound by W. Ellington,,6,9
30,1,7:32.0,D. Sloan misses 2-pt jump shot from 19 ft,,6,9
31,1,7:30.0,,Defensive rebound by K. Humphries,6,9
32,1,7:23.0,,R. Price makes 2-pt jump shot from 20 ft,6,11
33,1,7:07.0,W. Ellington misses 3-pt jump shot from 26 ft,,6,11
34,1,7:05.0,,Defensive rebound by T. Chandler,6,11
35,1,6:58.0,,R. Price makes 2-pt jump shot from 21 ft,6,13
36,1,6:58.0,Brooklyn full timeout,,6,13
37,1,6:58.0,S. Larkin enters the game for D. Sloan,,6,13
38,1,6:47.0,B. Bogdanović misses 3-pt jump shot from 23 ft (block by T. Chandler),,6,13
39,1,6:47.0,Offensive rebound by Team,,6,13
40,1,6:47.0,,A. Len enters the game for K. Humphries,6,13
41,1,6:36.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by S. Larkin),,9,13
42,1,6:13.0,,Turnover by A. Len (traveling),9,13
43,1,5:59.0,B. Lopez misses 2-pt jump shot from 9 ft,,9,13
44,1,5:58.0,,Defensive rebound by T. Chandler,9,13
45,1,5:52.0,,D. Booker makes 3-pt jump shot from 24 ft (assist by P. Tucker),9,16
46,1,5:34.0,M. Brown enters the game for W. Ellington,,9,16
47,1,5:34.0,,M. Teletović enters the game for T. Chandler,9,16
48,1,5:30.0,Shooting foul by P. Tucker (drawn by B. Bogdanović),,9,16
49,1,5:30.0,B. Bogdanović makes free throw 1 of 2,,10,16
50,1,5:30.0,B. Bogdanović makes free throw 2 of 2,,11,16
51,1,5:17.0,,M. Teletović makes 3-pt jump shot from 26 ft (assist by D. Booker),11,19
52,1,5:02.0,T. Young makes 2-pt jump shot from 5 ft,,13,19
53,1,4:48.0,,M. Teletović misses 3-pt jump shot from 26 ft,13,19
54,1,4:47.0,Defensive rebound by B. Bogdanović,,13,19
55,1,4:39.0,S. Larkin misses 2-pt jump shot from 7 ft,,13,19
56,1,4:36.0,Offensive rebound by T. Young,,13,19
57,1,4:32.0,B. Lopez misses 2-pt jump shot from 9 ft,,13,19
58,1,4:30.0,Offensive rebound by T. Young,,13,19
59,1,4:30.0,T. Young makes 2-pt layup from 2 ft,,15,19
60,1,4:15.0,,Shooting foul by B. Lopez (drawn by A. Len),15,19
61,1,4:15.0,,A. Len misses free throw 1 of 2,15,19
62,1,4:15.0,,Offensive rebound by Team,15,19
63,1,4:15.0,,A. Goodwin enters the game for P. Tucker,15,19
64,1,4:15.0,,P. Pressey enters the game for R. Price,15,19
65,1,4:15.0,,A. Len misses free throw 2 of 2,15,19
66,1,4:15.0,Defensive rebound by B. Lopez,,15,19
67,1,4:04.0,Personal foul by A. Len (drawn by B. Lopez),,15,19
68,1,4:00.0,S. Larkin misses 2-pt layup from 2 ft,,15,19
69,1,4:00.0,,Defensive rebound by M. Teletović,15,19
70,1,3:51.0,,M. Teletović makes 2-pt layup from 1 ft (assist by P. Pressey),15,21
71,1,3:34.0,Def 3 sec tech foul by A. Len,,15,21
72,1,3:34.0,B. Bogdanović makes technical free throw,,16,21
73,1,3:20.0,M. Brown makes 3-pt jump shot from 24 ft (assist by T. Young),,19,21
74,1,3:18.0,,Turnover by M. Teletović (inbound),19,21
75,1,3:12.0,B. Lopez makes 2-pt layup at rim (assist by S. Larkin),,21,21
76,1,2:48.0,,A. Len makes 2-pt layup from 1 ft (assist by A. Goodwin),21,23
77,1,2:32.0,B. Bogdanović makes 2-pt layup at rim (assist by B. Lopez),,23,23
78,1,2:21.0,,Personal foul by B. Lopez (drawn by A. Len),23,23
79,1,2:21.0,,Phoenix full timeout,23,23
80,1,2:21.0,T. Robinson enters the game for B. Lopez,,23,23
81,1,2:16.0,,D. Booker misses 2-pt jump shot from 17 ft,23,23
82,1,2:14.0,Defensive rebound by T. Robinson,,23,23
83,1,1:52.0,B. Bogdanović makes 2-pt jump shot from 17 ft,,25,23
84,1,1:36.0,,A. Len misses 2-pt layup from 2 ft (block by T. Robinson),25,23
85,1,1:35.0,,Offensive rebound by A. Len,25,23
86,1,1:34.0,,A. Len misses 2-pt layup from 1 ft,25,23
87,1,1:32.0,Defensive rebound by T. Robinson,,25,23
88,1,1:26.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by S. Larkin),,28,23
89,1,1:10.0,,P. Pressey misses 2-pt layup from 2 ft,28,23
90,1,1:07.0,,Offensive rebound by M. Teletović,28,23
91,1,1:07.0,,M. Teletović makes 2-pt layup from 1 ft,28,25
92,1,1:00.0,S. Larkin makes 2-pt layup at rim,,30,25
93,1,0:47.0,,Turnover by P. Pressey (bad pass; steal by T. Young),30,25
94,1,0:42.0,M. Brown makes 2-pt dunk from 1 ft (assist by T. Young),,32,25
95,1,0:21.0,,A. Len misses 2-pt layup from 2 ft (block by T. Robinson),32,25
96,1,0:20.0,,Offensive rebound by Team,32,25
97,1,0:19.0,,Shooting foul by M. Brown (drawn by D. Booker),32,25
98,1,0:19.0,,D. Booker makes free throw 1 of 3,32,26
99,1,0:19.0,,D. Booker misses free throw 2 of 3,32,26
100,1,0:19.0,,Offensive rebound by Team,32,26
101,1,0:19.0,,D. Booker makes free throw 3 of 3,32,27
102,1,0:04.0,T. Young makes 2-pt layup from 2 ft (assist by S. Larkin),,34,27
103,1,0:01.0,,Personal take foul by S. Larkin (drawn by P. Pressey),34,27
104,1,0:01.0,,P. Pressey makes free throw 1 of 2,34,28
