,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
0,1,11:40.0,Z. Randolph makes 2-pt jump shot from 16 ft,,2,0
1,1,11:21.0,,L. Scola misses 3-pt jump shot from 24 ft,2,0
2,1,11:21.0,Defensive rebound by M. Barnes,,2,0
3,1,11:14.0,Turnover by M. Conley (bad pass; steal by L. Scola),,2,0
4,1,11:01.0,,L. Scola misses 2-pt jump shot from 2 ft,2,0
5,1,11:00.0,Defensive rebound by Z. Randolph,,2,0
6,1,10:46.0,M. Barnes misses 3-pt jump shot from 26 ft,,2,0
7,1,10:46.0,,Defensive rebound by J. Johnson,2,0
8,1,10:26.0,,Shooting foul by Z. Randolph (drawn by J. Johnson),2,0
9,1,10:26.0,,J. Johnson misses free throw 1 of 2,2,0
10,1,10:26.0,,Offensive rebound by Team,2,0
11,1,10:26.0,,J. Johnson makes free throw 2 of 2,2,1
12,1,10:11.0,Z. Randolph makes 2-pt jump shot from 18 ft,,4,1
13,1,9:53.0,,L. Scola makes 2-pt layup from 1 ft (assist by K. Lowry),4,3
14,1,9:37.0,Z. Randolph makes 2-pt jump shot from 17 ft (assist by M. Barnes),,6,3
15,1,9:21.0,,J. Johnson misses 3-pt jump shot from 23 ft,6,3
16,1,9:21.0,,Offensive rebound by J. Valančiūnas,6,3
17,1,9:16.0,,K. Lowry misses 3-pt jump shot from 24 ft,6,3
18,1,9:16.0,Defensive rebound by M. Barnes,,6,3
19,1,9:09.0,M. Conley misses 3-pt jump shot from 25 ft,,6,3
20,1,9:09.0,,Defensive rebound by J. Valančiūnas,6,3
21,1,8:54.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft,6,3
22,1,8:54.0,Defensive rebound by M. Barnes,,6,3
23,1,8:38.0,P. Hairston misses 3-pt jump shot from 24 ft,,6,3
24,1,8:38.0,,Defensive rebound by J. Valančiūnas,6,3
25,1,8:23.0,,L. Scola misses 2-pt layup from 2 ft,6,3
26,1,8:23.0,,Offensive rebound by Team,6,3
27,1,8:23.0,Loose ball foul by J. Green (drawn by J. Valančiūnas),,6,3
28,1,8:21.0,,Personal foul by P. Hairston (drawn by D. DeRozan),6,3
29,1,8:13.0,,D. DeRozan makes 2-pt dunk at rim (assist by K. Lowry),6,5
30,1,7:49.0,M. Conley makes 2-pt jump shot from 17 ft,,8,5
31,1,7:36.0,,J. Johnson misses 3-pt jump shot from 23 ft,8,5
32,1,7:35.0,,Offensive rebound by J. Valančiūnas,8,5
33,1,7:31.0,,L. Scola misses 3-pt jump shot from 23 ft,8,5
34,1,7:30.0,Defensive rebound by Z. Randolph,,8,5
35,1,7:24.0,,Offensive charge foul by M. Barnes (drawn by L. Scola),8,5
36,1,7:24.0,Turnover by M. Barnes (offensive foul),,8,5
37,1,7:11.0,,Offensive foul by L. Scola (drawn by J. Green),8,5
38,1,7:11.0,,Turnover by L. Scola (offensive foul),8,5
39,1,6:54.0,P. Hairston makes 2-pt jump shot from 4 ft,,10,5
