,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,K. Thompson misses 2-pt jump shot from 22 ft,0,0
1,1,11:46.0,Defensive rebound by M. Carter-Williams,,0,0
2,1,11:33.0,K. Middleton misses 3-pt jump shot from 24 ft,,0,0
3,1,11:32.0,,Defensive rebound by A. Bogut,0,0
4,1,11:20.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),0,3
5,1,10:58.0,J. Parker makes 2-pt jump shot from 10 ft (assist by G. Monroe),,2,3
6,1,10:51.0,,K. Thompson makes 2-pt dunk at rim (assist by S. Curry),2,5
7,1,10:35.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,4,5
8,1,10:20.0,,Turnover by A. Bogut (bad pass; steal by G. Monroe),4,5
9,1,10:16.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),,6,5
10,1,10:00.0,,Shooting foul by J. Parker (drawn by K. Thompson),6,5
11,1,10:00.0,,K. Thompson misses free throw 1 of 2,6,5
12,1,10:00.0,,Offensive rebound by Team,6,5
13,1,10:00.0,,K. Thompson makes free throw 2 of 2,6,6
14,1,9:51.0,J. Parker misses 2-pt jump shot from 15 ft,,6,6
15,1,9:49.0,,Defensive rebound by D. Green,6,6
16,1,9:42.0,,D. Green misses 3-pt jump shot from 25 ft,6,6
17,1,9:41.0,Defensive rebound by G. Monroe,,6,6
18,1,9:32.0,M. Carter-Williams misses 2-pt jump shot from 4 ft,,6,6
19,1,9:31.0,,Defensive rebound by B. Rush,6,6
20,1,9:23.0,,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),6,8
21,1,9:03.0,Def 3 sec tech foul by B. Rush,,6,8
22,1,9:03.0,K. Middleton makes technical free throw,,7,8
23,1,9:00.0,Offensive foul by M. Carter-Williams (drawn by S. Curry),,7,8
24,1,9:00.0,Turnover by M. Carter-Williams (offensive foul),,7,8
25,1,8:52.0,,S. Curry makes 2-pt layup from 2 ft,7,10
26,1,8:40.0,Flagrant foul type 1 by A. Bogut (drawn by M. Carter-Williams),,7,10
27,1,8:40.0,M. Carter-Williams makes flagrant free throw 1 of 2,,8,10
28,1,8:40.0,M. Carter-Williams makes flagrant free throw 2 of 2,,9,10
29,1,8:33.0,Offensive foul by G. Monroe (drawn by D. Green),,9,10
30,1,8:33.0,Turnover by G. Monroe (offensive foul),,9,10
31,1,8:23.0,,S. Curry misses 2-pt jump shot from 8 ft (block by M. Carter-Williams),9,10
32,1,8:22.0,Defensive rebound by G. Antetokounmpo,,9,10
33,1,8:14.0,M. Carter-Williams makes 2-pt layup from 2 ft (assist by G. Monroe),,11,10
34,1,8:11.0,,Turnover by S. Curry (bad pass; steal by K. Middleton),11,10
35,1,8:06.0,K. Middleton makes 2-pt jump shot from 11 ft,,13,10
36,1,7:45.0,,B. Rush makes 2-pt layup from 2 ft,13,12
37,1,7:30.0,Turnover by K. Middleton (traveling),,13,12
38,1,7:21.0,,D. Green makes 2-pt layup at rim (assist by K. Thompson),13,14
39,1,7:05.0,M. Carter-Williams makes 2-pt jump shot from 21 ft (assist by J. Parker),,15,14
40,1,6:55.0,,K. Thompson misses 3-pt jump shot from 27 ft,15,14
41,1,6:54.0,,Offensive rebound by B. Rush,15,14
42,1,6:48.0,,S. Curry makes 2-pt jump shot from 10 ft (assist by B. Rush),15,16
43,1,6:40.0,J. Parker misses 2-pt jump shot from 3 ft (block by K. Thompson),,15,16
44,1,6:40.0,Offensive rebound by G. Antetokounmpo,,15,16
45,1,6:40.0,Shooting foul by A. Bogut (drawn by G. Antetokounmpo),,15,16
46,1,6:40.0,G. Antetokounmpo makes free throw 1 of 2,,16,16
47,1,6:40.0,,F. Ezeli enters the game for A. Bogut,16,16
48,1,6:40.0,G. Antetokounmpo misses free throw 2 of 2,,16,16
49,1,6:39.0,,Defensive rebound by B. Rush,16,16
50,1,6:28.0,,B. Rush makes 3-pt jump shot from 23 ft (assist by D. Green),16,19
51,1,6:13.0,M. Carter-Williams makes 2-pt jump shot from 6 ft,,18,19
52,1,6:06.0,,F. Ezeli misses 2-pt layup from 1 ft,18,19
53,1,6:06.0,Defensive rebound by G. Monroe,,18,19
54,1,5:55.0,K. Middleton makes 2-pt layup from 1 ft (assist by G. Monroe),,20,19
55,1,5:39.0,,B. Rush misses 3-pt jump shot from 22 ft,20,19
56,1,5:39.0,,Offensive rebound by S. Curry,20,19
57,1,5:28.0,,K. Thompson makes 2-pt layup from 1 ft,20,21
58,1,5:07.0,G. Monroe misses 2-pt jump shot from 9 ft,,20,21
59,1,5:06.0,Offensive rebound by M. Carter-Williams,,20,21
60,1,5:06.0,M. Carter-Williams makes 2-pt layup from 1 ft,,22,21
61,1,5:00.0,,Golden State full timeout,22,21
62,1,5:00.0,,A. Iguodala enters the game for B. Rush,22,21
63,1,5:00.0,J. O'Bryant enters the game for J. Parker,,22,21
64,1,5:00.0,J. Henson enters the game for G. Monroe,,22,21
65,1,4:52.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),22,24
66,1,4:39.0,Shooting foul by D. Green (drawn by M. Carter-Williams),,22,24
67,1,4:39.0,M. Carter-Williams makes free throw 1 of 2,,23,24
68,1,4:39.0,M. Carter-Williams makes free throw 2 of 2,,24,24
69,1,4:31.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),24,26
70,1,4:31.0,,Shooting foul by J. Henson (drawn by D. Green),24,26
71,1,4:31.0,,D. Green makes free throw 1 of 1,24,27
72,1,4:18.0,Personal foul by K. Thompson (drawn by G. Antetokounmpo),,24,27
73,1,4:13.0,Turnover by M. Carter-Williams (back court),,24,27
74,1,4:02.0,,F. Ezeli misses 2-pt layup from 2 ft,24,27
75,1,4:01.0,Defensive rebound by K. Middleton,,24,27
76,1,3:56.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,24,27
77,1,3:56.0,,Defensive rebound by Team,24,27
78,1,3:56.0,Loose ball foul by J. Henson (drawn by F. Ezeli),,24,27
79,1,3:46.0,,Turnover by K. Thompson (bad pass),24,27
80,1,3:33.0,M. Carter-Williams misses 2-pt jump shot from 8 ft,,24,27
81,1,3:33.0,,Defensive rebound by F. Ezeli,24,27
82,1,3:22.0,,D. Green misses 2-pt jump shot from 10 ft,24,27
83,1,3:21.0,,Offensive rebound by F. Ezeli,24,27
84,1,3:21.0,,F. Ezeli makes 2-pt layup at rim,24,29
85,1,3:02.0,K. Middleton makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),,26,29
86,1,2:54.0,,Personal foul by J. Henson (drawn by S. Curry),26,29
87,1,2:54.0,Milwaukee full timeout,,26,29
88,1,2:54.0,M. Plumlee enters the game for G. Antetokounmpo,,26,29
89,1,2:54.0,O. Mayo enters the game for J. Henson,,26,29
90,1,2:51.0,,Turnover by S. Curry (traveling),26,29
91,1,2:36.0,O. Mayo misses 3-pt jump shot from 24 ft,,26,29
92,1,2:35.0,,Defensive rebound by S. Curry,26,29
93,1,2:15.0,,A. Iguodala misses 3-pt jump shot from 23 ft,26,29
94,1,2:14.0,Defensive rebound by M. Carter-Williams,,26,29
95,1,2:06.0,Shooting foul by F. Ezeli (drawn by M. Plumlee),,26,29
96,1,2:06.0,M. Plumlee makes free throw 1 of 2,,27,29
97,1,2:06.0,,S. Livingston enters the game for K. Thompson,27,29
98,1,2:06.0,M. Plumlee makes free throw 2 of 2,,28,29
99,1,1:55.0,,Personal foul by O. Mayo (drawn by S. Curry),28,29
