,QUARTER,TIME_REMAINING,DETROIT_ACTION,DALLAS_ACTION,DETROIT_SCORE,DALLAS_SCORE
0,1,11:43.0,A. Drummond misses 2-pt hook shot from 11 ft,,0,0
1,1,11:42.0,,Defensive rebound by C. Parsons,0,0
2,1,11:25.0,,Z. Pachulia misses 2-pt jump shot from 12 ft,0,0
3,1,11:24.0,Defensive rebound by T. Harris,,0,0
4,1,11:18.0,Personal foul by D. Williams,,0,0
5,1,11:05.0,A. Drummond makes 2-pt hook shot from 6 ft (assist by T. Harris),,2,0
6,1,10:59.0,,Personal foul by R. Jackson,2,0
7,1,10:43.0,,C. Parsons misses 3-pt jump shot from 24 ft,2,0
8,1,10:42.0,,Offensive rebound by Z. Pachulia,2,0
9,1,10:38.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Williams),2,3
10,1,10:27.0,M. Morris misses 3-pt jump shot from 24 ft,,2,3
11,1,10:26.0,,Defensive rebound by D. Nowitzki,2,3
12,1,10:14.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by C. Parsons),2,6
13,1,9:52.0,T. Harris makes 2-pt jump shot from 15 ft (assist by R. Jackson),,4,6
14,1,9:19.0,,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by D. Williams),4,8
15,1,9:00.0,K. Caldwell-Pope misses 2-pt jump shot from 10 ft,,4,8
16,1,8:59.0,Offensive rebound by K. Caldwell-Pope,,4,8
17,1,8:55.0,K. Caldwell-Pope makes 2-pt jump shot from 9 ft,,6,8
18,1,8:48.0,,Turnover by D. Williams (lost ball; steal by A. Drummond),6,8
19,1,8:45.0,Turnover by A. Drummond (bad pass; steal by D. Nowitzki),,6,8
20,1,8:38.0,,D. Williams misses 3-pt jump shot from 22 ft,6,8
21,1,8:37.0,Defensive rebound by Team,,6,8
22,1,8:25.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by T. Harris),,9,8
23,1,8:09.0,,C. Parsons makes 2-pt layup from 1 ft (assist by D. Nowitzki),9,10
24,1,7:43.0,Personal foul by Z. Pachulia,,9,10
25,1,7:34.0,R. Jackson makes 2-pt jump shot from 5 ft,,11,10
26,1,7:15.0,,Z. Pachulia makes 2-pt jump shot from 17 ft (assist by C. Parsons),11,12
27,1,7:00.0,R. Jackson misses 3-pt jump shot from 26 ft,,11,12
28,1,6:59.0,,Defensive rebound by Z. Pachulia,11,12
29,1,6:51.0,,C. Parsons makes 2-pt jump shot from 4 ft,11,14
30,1,6:44.0,Detroit full timeout,,11,14
31,1,6:44.0,,D. Harris enters the game for D. Nowitzki,11,14
32,1,6:28.0,Turnover by A. Drummond (lost ball; steal by W. Matthews),,11,14
33,1,6:13.0,,C. Parsons makes 2-pt jump shot from 9 ft (assist by D. Harris),11,16
34,1,5:51.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,11,16
35,1,5:50.0,,Defensive rebound by D. Harris,11,16
36,1,5:37.0,,C. Parsons misses 2-pt jump shot from 14 ft,11,16
37,1,5:36.0,Defensive rebound by M. Morris,,11,16
38,1,5:21.0,A. Drummond makes 2-pt hook shot from 8 ft,,13,16
39,1,5:07.0,,D. Williams makes 2-pt jump shot from 5 ft,13,18
40,1,4:51.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,13,18
41,1,4:50.0,Offensive rebound by A. Drummond,,13,18
42,1,4:41.0,M. Morris makes 2-pt jump shot from 16 ft,,15,18
43,1,4:30.0,,Shooting foul by M. Morris (drawn by Z. Pachulia),15,18
44,1,4:30.0,,Z. Pachulia makes free throw 1 of 2,15,19
45,1,4:30.0,R. Bullock enters the game for T. Harris,,15,19
46,1,4:30.0,,Z. Pachulia makes free throw 2 of 2,15,20
47,1,4:15.0,M. Morris misses 2-pt jump shot from 5 ft,,15,20
48,1,4:14.0,Offensive rebound by A. Drummond,,15,20
49,1,4:12.0,A. Drummond makes 2-pt layup from 2 ft,,17,20
50,1,3:54.0,,C. Parsons misses 3-pt jump shot from 24 ft,17,20
51,1,3:53.0,Defensive rebound by R. Bullock,,17,20
52,1,3:45.0,R. Jackson misses 2-pt layup at rim,,17,20
53,1,3:43.0,,Defensive rebound by Z. Pachulia,17,20
54,1,3:39.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Harris),17,23
55,1,3:21.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,17,23
56,1,3:20.0,,Defensive rebound by Z. Pachulia,17,23
57,1,3:10.0,,D. Harris misses 3-pt jump shot from 23 ft,17,23
58,1,3:09.0,Defensive rebound by K. Caldwell-Pope,,17,23
59,1,2:50.0,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,17,23
60,1,2:49.0,,Defensive rebound by D. Williams,17,23
61,1,2:40.0,,D. Williams misses 3-pt jump shot from 24 ft,17,23
62,1,2:39.0,Defensive rebound by R. Bullock,,17,23
63,1,2:31.0,R. Jackson misses 2-pt jump shot from 14 ft,,17,23
64,1,2:30.0,,Defensive rebound by Team,17,23
65,1,2:30.0,,Dallas full timeout,17,23
66,1,2:30.0,,R. Felton enters the game for C. Parsons,17,23
67,1,2:30.0,,D. Nowitzki enters the game for W. Matthews,17,23
68,1,2:30.0,S. Blake enters the game for R. Jackson,,17,23
69,1,2:12.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,17,23
70,1,2:11.0,Defensive rebound by A. Drummond,,17,23
71,1,2:00.0,M. Morris makes 2-pt jump shot from 7 ft,,19,23
72,1,1:41.0,,D. Nowitzki makes 2-pt jump shot from 4 ft,19,25
73,1,1:30.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,19,25
74,1,1:28.0,Offensive rebound by R. Bullock,,19,25
75,1,1:18.0,M. Morris misses 3-pt jump shot from 24 ft,,19,25
76,1,1:17.0,Offensive rebound by A. Drummond,,19,25
77,1,1:12.0,A. Drummond misses 2-pt hook shot from 9 ft,,19,25
78,1,1:11.0,,Defensive rebound by Z. Pachulia,19,25
79,1,1:04.0,,Turnover by R. Felton (bad pass; steal by K. Caldwell-Pope),19,25
80,1,0:56.0,A. Drummond makes 2-pt jump shot from 12 ft (assist by S. Blake),,21,25
81,1,0:38.0,,R. Felton makes 2-pt layup from 1 ft,21,27
82,1,0:38.0,,Shooting foul by S. Blake (drawn by R. Felton),21,27
83,1,0:38.0,,D. Lee enters the game for Z. Pachulia,21,27
84,1,0:38.0,,J. Barea enters the game for D. Williams,21,27
85,1,0:38.0,,R. Felton makes free throw 1 of 1,21,28
86,1,0:25.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,23,28
87,1,0:03.0,,Turnover by R. Felton (lost ball; steal by S. Blake),23,28
88,1,0:00.0,K. Caldwell-Pope makes 2-pt layup at rim (assist by M. Morris),,25,28
89,1,0:00.0,Shooting foul by D. Harris (drawn by K. Caldwell-Pope),,25,28
90,1,0:00.0,K. Caldwell-Pope makes free throw 1 of 1,,26,28
91,2,11:37.0,,D. Harris misses 2-pt jump shot from 20 ft,26,28
92,2,11:36.0,Defensive rebound by R. Bullock,,26,28
93,2,11:24.0,Turnover by S. Blake (bad pass; steal by R. Felton),,26,28
94,2,11:20.0,,D. Harris makes 2-pt layup from 1 ft,26,30
95,2,11:00.0,R. Bullock makes 2-pt jump shot from 16 ft,,28,30
96,2,10:38.0,,R. Felton misses 2-pt jump shot from 3 ft (block by A. Baynes),28,30
97,2,10:37.0,,Offensive rebound by R. Felton,28,30
98,2,10:35.0,,D. Nowitzki misses 2-pt jump shot from 9 ft,28,30
99,2,10:34.0,Defensive rebound by T. Harris,,28,30
100,2,10:19.0,R. Bullock misses 2-pt jump shot from 5 ft (block by D. Lee),,28,30
101,2,10:19.0,Offensive rebound by Team,,28,30
102,2,10:11.0,Turnover by Team (shot clock),,28,30
103,2,9:58.0,,Turnover by D. Harris (bad pass; steal by T. Harris),28,30
104,2,9:50.0,Shooting block foul by D. Lee (drawn by T. Harris),,28,30
105,2,9:50.0,T. Harris makes free throw 1 of 2,,29,30
106,2,9:50.0,,W. Matthews enters the game for D. Harris,29,30
107,2,9:50.0,T. Harris makes free throw 2 of 2,,30,30
108,2,9:34.0,,D. Lee misses 2-pt jump shot from 5 ft,30,30
109,2,9:33.0,Defensive rebound by R. Bullock,,30,30
110,2,9:23.0,S. Blake misses 2-pt jump shot from 20 ft,,30,30
111,2,9:22.0,Offensive rebound by R. Bullock,,30,30
112,2,9:20.0,Turnover by R. Bullock (bad pass; steal by R. Felton),,30,30
113,2,9:13.0,,J. Barea makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),30,33
114,2,8:49.0,T. Harris misses 2-pt jump shot from 7 ft,,30,33
115,2,8:48.0,,Defensive rebound by D. Nowitzki,30,33
116,2,8:39.0,,J. Barea makes 2-pt jump shot from 3 ft,30,35
117,2,8:15.0,K. Caldwell-Pope makes 2-pt jump shot from 2 ft,,32,35
118,2,8:01.0,,D. Lee makes 2-pt dunk at rim (assist by J. Barea),32,37
119,2,7:51.0,Detroit full timeout,,32,37
120,2,7:51.0,,C. Parsons enters the game for D. Nowitzki,32,37
121,2,7:51.0,M. Morris enters the game for K. Caldwell-Pope,,32,37
122,2,7:40.0,Turnover by T. Harris (bad pass; steal by D. Lee),,32,37
123,2,7:22.0,,C. Parsons makes 3-pt jump shot from 22 ft (assist by D. Lee),32,40
124,2,7:02.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by S. Blake),,35,40
125,2,6:46.0,,W. Matthews misses 3-pt jump shot from 24 ft,35,40
126,2,6:45.0,Defensive rebound by T. Harris,,35,40
127,2,6:36.0,R. Bullock misses 2-pt layup from 2 ft,,35,40
128,2,6:35.0,,Defensive rebound by D. Lee,35,40
129,2,6:24.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by J. Barea),35,43
130,2,6:03.0,T. Harris makes 3-pt jump shot from 24 ft (assist by M. Morris),,38,43
131,2,5:43.0,,J. Barea misses 2-pt jump shot from 7 ft,38,43
132,2,5:42.0,Defensive rebound by M. Morris,,38,43
133,2,5:39.0,M. Morris makes 2-pt jump shot from 7 ft,,40,43
134,2,5:39.0,Shooting foul by C. Parsons (drawn by M. Morris),,40,43
135,2,5:39.0,Official timeout,,40,43
136,2,5:39.0,A. Drummond enters the game for S. Blake,,40,43
137,2,5:39.0,R. Jackson enters the game for A. Baynes,,40,43
138,2,5:39.0,M. Morris makes free throw 1 of 1,,41,43
139,2,5:18.0,,R. Felton misses 2-pt jump shot from 21 ft,41,43
140,2,5:17.0,,Offensive rebound by D. Lee,41,43
141,2,5:15.0,,D. Lee misses 2-pt jump shot from 3 ft (block by A. Drummond),41,43
142,2,5:13.0,Defensive rebound by A. Drummond,,41,43
143,2,5:03.0,T. Harris makes 2-pt layup from 2 ft (assist by A. Drummond),,43,43
144,2,5:03.0,Shooting foul by D. Lee (drawn by T. Harris),,43,43
145,2,5:03.0,,Z. Pachulia enters the game for D. Lee,43,43
146,2,5:03.0,,D. Williams enters the game for J. Barea,43,43
147,2,5:03.0,T. Harris makes free throw 1 of 1,,44,43
148,2,4:46.0,,R. Felton misses 2-pt jump shot from 21 ft,44,43
149,2,4:45.0,,Offensive rebound by Z. Pachulia,44,43
150,2,4:25.0,,C. Parsons misses 3-pt jump shot from 26 ft,44,43
151,2,4:24.0,Defensive rebound by R. Bullock,,44,43
152,2,4:16.0,M. Morris misses 3-pt jump shot from 22 ft,,44,43
153,2,4:15.0,Offensive rebound by A. Drummond,,44,43
154,2,4:12.0,A. Drummond misses 2-pt layup at rim,,44,43
155,2,4:11.0,Offensive rebound by T. Harris,,44,43
156,2,4:09.0,A. Drummond makes 2-pt layup at rim (assist by T. Harris),,46,43
157,2,4:09.0,,Dallas full timeout,46,43
158,2,4:09.0,,D. Nowitzki enters the game for R. Felton,46,43
159,2,3:44.0,,W. Matthews misses 3-pt jump shot from 25 ft,46,43
160,2,3:43.0,Defensive rebound by R. Jackson,,46,43
161,2,3:31.0,Shooting block foul by Z. Pachulia (drawn by A. Drummond),,46,43
162,2,3:31.0,A. Drummond misses free throw 1 of 2,,46,43
163,2,3:31.0,Offensive rebound by Team,,46,43
164,2,3:31.0,A. Drummond misses free throw 2 of 2,,46,43
165,2,3:30.0,,Defensive rebound by D. Nowitzki,46,43
166,2,3:22.0,,Personal foul by R. Bullock,46,43
167,2,3:15.0,,D. Williams misses 2-pt jump shot from 10 ft,46,43
168,2,3:14.0,Defensive rebound by A. Drummond,,46,43
169,2,3:06.0,A. Drummond makes 2-pt hook shot from 6 ft (assist by R. Jackson),,48,43
170,2,2:58.0,,Personal foul by R. Jackson,48,43
171,2,2:47.0,,C. Parsons makes 2-pt jump shot from 6 ft,48,45
172,2,2:43.0,Personal take foul by W. Matthews,,48,45
173,2,2:43.0,A. Drummond makes free throw 1 of 2,,49,45
174,2,2:43.0,K. Caldwell-Pope enters the game for R. Jackson,,49,45
175,2,2:43.0,S. Blake enters the game for R. Bullock,,49,45
176,2,2:43.0,A. Drummond misses free throw 2 of 2,,49,45
177,2,2:43.0,,Defensive rebound by D. Nowitzki,49,45
178,2,2:27.0,,Turnover by D. Nowitzki (bad pass),49,45
179,2,2:26.0,Personal take foul by D. Nowitzki,,49,45
180,2,2:26.0,A. Drummond misses free throw 1 of 2,,49,45
181,2,2:26.0,Offensive rebound by Team,,49,45
182,2,2:26.0,A. Drummond makes free throw 2 of 2,,50,45
183,2,2:16.0,,D. Williams misses 2-pt jump shot from 6 ft,50,45
184,2,2:15.0,Defensive rebound by A. Drummond,,50,45
185,2,2:06.0,A. Drummond makes 2-pt jump shot from 3 ft (assist by T. Harris),,52,45
186,2,2:06.0,Shooting foul by D. Nowitzki (drawn by A. Drummond),,52,45
187,2,2:06.0,A. Drummond misses free throw 1 of 1,,52,45
188,2,2:06.0,,Defensive rebound by Team,52,45
189,2,1:58.0,,C. Parsons misses 2-pt jump shot from 6 ft,52,45
190,2,1:57.0,Defensive rebound by M. Morris,,52,45
191,2,1:46.0,T. Harris misses 3-pt jump shot from 22 ft,,52,45
192,2,1:45.0,,Defensive rebound by W. Matthews,52,45
193,2,1:32.0,,W. Matthews makes 2-pt jump shot from 15 ft,52,47
194,2,1:25.0,Personal take foul by D. Williams,,52,47
195,2,1:25.0,A. Drummond makes free throw 1 of 2,,53,47
196,2,1:25.0,A. Drummond misses free throw 2 of 2,,53,47
