,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,,I. Canaan misses 3-pt jump shot from 24 ft,0,0
1,1,11:46.0,Defensive rebound by C. Zeller,,0,0
2,1,11:32.0,C. Zeller makes 2-pt jump shot from 3 ft (assist by N. Batum),,2,0
3,1,11:22.0,,H. Thompson misses 3-pt jump shot from 27 ft,2,0
4,1,11:21.0,Defensive rebound by C. Zeller,,2,0
5,1,11:10.0,N. Batum misses 2-pt jump shot from 9 ft,,2,0
6,1,11:09.0,,Defensive rebound by R. Covington,2,0
7,1,10:57.0,,Def 3 sec tech foul by N. Batum,2,0
8,1,10:57.0,,I. Canaan makes technical free throw,2,1
9,1,10:52.0,,R. Covington misses 3-pt jump shot from 24 ft,2,1
10,1,10:51.0,Defensive rebound by C. Zeller,,2,1
11,1,10:43.0,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),,4,1
12,1,10:23.0,,I. Smith misses 3-pt jump shot from 25 ft,4,1
13,1,10:22.0,,Offensive rebound by H. Thompson,4,1
14,1,10:20.0,,H. Thompson makes 3-pt jump shot from 22 ft,4,4
15,1,10:03.0,C. Lee makes 3-pt jump shot from 25 ft (assist by N. Batum),,7,4
16,1,9:40.0,,I. Canaan misses 3-pt jump shot from 26 ft,7,4
17,1,9:39.0,Defensive rebound by M. Williams,,7,4
18,1,9:23.0,K. Walker misses 3-pt jump shot from 25 ft,,7,4
19,1,9:22.0,,Defensive rebound by I. Smith,7,4
20,1,9:08.0,,Shooting foul by C. Zeller (drawn by C. Landry),7,4
21,1,9:08.0,,C. Landry makes free throw 1 of 2,7,5
22,1,9:08.0,,C. Landry makes free throw 2 of 2,7,6
23,1,8:53.0,N. Batum misses 2-pt jump shot from 17 ft,,7,6
24,1,8:52.0,,Defensive rebound by H. Thompson,7,6
25,1,8:37.0,,I. Smith misses 2-pt jump shot from 19 ft,7,6
26,1,8:36.0,Defensive rebound by C. Zeller,,7,6
27,1,8:26.0,M. Williams misses 3-pt jump shot from 25 ft,,7,6
28,1,8:25.0,,Defensive rebound by I. Smith,7,6
29,1,8:18.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by I. Smith),7,9
30,1,8:01.0,N. Batum misses 3-pt jump shot from 26 ft,,7,9
31,1,8:00.0,,Defensive rebound by C. Landry,7,9
32,1,7:41.0,,I. Canaan misses 2-pt layup from 2 ft,7,9
33,1,7:40.0,Defensive rebound by C. Zeller,,7,9
34,1,7:33.0,Shooting foul by H. Thompson (drawn by K. Walker),,7,9
35,1,7:33.0,K. Walker makes free throw 1 of 2,,8,9
36,1,7:33.0,,N. Stauskas enters the game for H. Thompson,8,9
37,1,7:33.0,K. Walker makes free throw 2 of 2,,9,9
38,1,7:24.0,,C. Landry misses 2-pt jump shot from 19 ft,9,9
39,1,7:22.0,Defensive rebound by C. Lee,,9,9
40,1,7:16.0,Personal foul by R. Covington,,9,9
41,1,7:11.0,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Williams),,12,9
42,1,6:44.0,,I. Canaan misses 2-pt jump shot from 6 ft,12,9
43,1,6:42.0,Defensive rebound by K. Walker,,12,9
44,1,6:36.0,K. Walker misses 2-pt jump shot from 4 ft (block by I. Smith),,12,9
45,1,6:35.0,Offensive rebound by M. Williams,,12,9
46,1,6:35.0,M. Williams makes 2-pt layup at rim,,14,9
47,1,6:35.0,,Philadelphia full timeout,14,9
48,1,6:23.0,,R. Covington misses 3-pt jump shot from 26 ft,14,9
49,1,6:22.0,Defensive rebound by N. Batum,,14,9
50,1,6:09.0,C. Lee misses 2-pt jump shot from 14 ft,,14,9
51,1,6:08.0,,Defensive rebound by R. Covington,14,9
52,1,5:57.0,,N. Stauskas makes 3-pt jump shot from 23 ft (assist by I. Smith),14,12
53,1,5:42.0,K. Walker misses 2-pt jump shot from 19 ft,,14,12
54,1,5:41.0,,Defensive rebound by R. Covington,14,12
55,1,5:28.0,,R. Covington misses 2-pt jump shot from 14 ft,14,12
56,1,5:26.0,Defensive rebound by N. Batum,,14,12
57,1,5:15.0,M. Williams misses 3-pt jump shot from 24 ft,,14,12
58,1,5:14.0,,Defensive rebound by C. Landry,14,12
59,1,4:54.0,,N. Stauskas misses 3-pt jump shot from 25 ft,14,12
60,1,4:53.0,Defensive rebound by N. Batum,,14,12
61,1,4:53.0,A. Jefferson enters the game for C. Zeller,,14,12
62,1,4:53.0,,Loose ball foul by R. Covington,14,12
63,1,4:53.0,J. Lamb enters the game for N. Batum,,14,12
64,1,4:53.0,,T. McConnell enters the game for R. Covington,14,12
65,1,4:53.0,,E. Brand enters the game for C. Landry,14,12
66,1,4:53.0,,H. Thompson enters the game for I. Canaan,14,12
67,1,4:43.0,A. Jefferson misses 2-pt jump shot from 8 ft,,14,12
68,1,4:42.0,,Defensive rebound by E. Brand,14,12
69,1,4:29.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by I. Smith),14,15
70,1,4:20.0,Charlotte full timeout,,14,15
71,1,4:13.0,J. Lamb misses 2-pt layup from 2 ft,,14,15
72,1,4:11.0,,Defensive rebound by T. McConnell,14,15
73,1,4:04.0,,N. Stauskas makes 2-pt jump shot from 4 ft (assist by T. McConnell),14,17
74,1,3:49.0,J. Lamb makes 2-pt jump shot from 7 ft (assist by C. Lee),,16,17
75,1,3:34.0,,E. Brand misses 2-pt jump shot from 15 ft,16,17
76,1,3:33.0,Defensive rebound by A. Jefferson,,16,17
77,1,3:19.0,K. Walker misses 3-pt jump shot from 25 ft,,16,17
78,1,3:18.0,,Defensive rebound by H. Thompson,16,17
79,1,3:09.0,,Turnover by H. Thompson (lost ball; steal by K. Walker),16,17
80,1,3:04.0,C. Lee makes 2-pt layup at rim (assist by J. Lamb),,18,17
81,1,3:04.0,Shooting foul by E. Brand (drawn by C. Lee),,18,17
82,1,3:04.0,C. Lee makes free throw 1 of 1,,19,17
83,1,2:55.0,,Turnover by N. Stauskas (lost ball; steal by C. Lee),19,17
84,1,2:50.0,J. Lamb makes 2-pt dunk at rim (assist by C. Lee),,21,17
85,1,2:33.0,,H. Thompson misses 2-pt jump shot from 12 ft,21,17
86,1,2:31.0,Defensive rebound by J. Lamb,,21,17
87,1,2:26.0,K. Walker misses 2-pt layup from 1 ft,,21,17
88,1,2:23.0,Offensive rebound by M. Williams,,21,17
89,1,2:23.0,M. Williams misses 2-pt layup from 1 ft,,21,17
90,1,2:21.0,,Defensive rebound by H. Thompson,21,17
91,1,2:16.0,,I. Smith misses 3-pt jump shot from 25 ft,21,17
92,1,2:13.0,Defensive rebound by A. Jefferson,,21,17
93,1,2:04.0,J. Lamb misses 2-pt jump shot from 19 ft,,21,17
94,1,2:02.0,,Defensive rebound by T. McConnell,21,17
95,1,1:56.0,,T. McConnell misses 2-pt jump shot from 13 ft,21,17
96,1,1:53.0,Defensive rebound by J. Lamb,,21,17
97,1,1:43.0,Turnover by K. Walker (lost ball),,21,17
98,1,1:43.0,F. Kaminsky enters the game for M. Williams,,21,17
99,1,1:43.0,,K. Marshall enters the game for I. Smith,21,17
100,1,1:27.0,,E. Brand misses 2-pt jump shot from 3 ft (block by A. Jefferson),21,17
101,1,1:25.0,,Offensive rebound by E. Brand,21,17
102,1,1:23.0,,E. Brand makes 2-pt layup from 1 ft,21,19
103,1,1:06.0,Shooting foul by T. McConnell (drawn by F. Kaminsky),,21,19
104,1,1:06.0,F. Kaminsky makes free throw 1 of 2,,22,19
105,1,1:06.0,F. Kaminsky makes free throw 2 of 2,,23,19
106,1,0:51.0,,H. Thompson misses 3-pt jump shot from 26 ft,23,19
107,1,0:50.0,Defensive rebound by J. Lamb,,23,19
108,1,0:32.0,K. Walker misses 3-pt jump shot from 25 ft,,23,19
109,1,0:31.0,,Defensive rebound by E. Brand,23,19
110,1,0:07.0,,H. Thompson misses 2-pt jump shot from 15 ft,23,19
111,1,0:06.0,Defensive rebound by K. Walker,,23,19
112,2,11:45.0,J. Lamb misses 2-pt jump shot from 6 ft,,23,19
113,2,11:44.0,,Defensive rebound by E. Brand,23,19
114,2,11:32.0,,E. Brand misses 2-pt jump shot from 7 ft (block by A. Jefferson),23,19
115,2,11:30.0,Defensive rebound by J. Gutiérrez,,23,19
116,2,11:09.0,Turnover by J. Lamb (bad pass; steal by K. Marshall),,23,19
117,2,11:04.0,,Shooting foul by J. Lamb (drawn by N. Stauskas),23,19
118,2,11:04.0,,N. Stauskas makes free throw 1 of 2,23,20
119,2,11:04.0,,C. Landry enters the game for E. Brand,23,20
120,2,11:04.0,,N. Stauskas misses free throw 2 of 2,23,20
121,2,11:03.0,Defensive rebound by A. Jefferson,,23,20
122,2,10:50.0,F. Kaminsky misses 2-pt jump shot from 4 ft (block by K. Marshall),,23,20
123,2,10:48.0,Offensive rebound by F. Kaminsky,,23,20
124,2,10:47.0,F. Kaminsky makes 2-pt layup at rim,,25,20
125,2,10:30.0,,K. Marshall makes 2-pt jump shot from 20 ft (assist by C. Landry),25,22
126,2,10:16.0,Turnover by J. Gutiérrez (bad pass; steal by T. McConnell),,25,22
127,2,9:58.0,,K. Marshall misses 3-pt jump shot from 26 ft,25,22
128,2,9:57.0,Defensive rebound by A. Jefferson,,25,22
129,2,9:47.0,Personal foul by K. Marshall,,25,22
130,2,9:47.0,,R. Covington enters the game for N. Stauskas,25,22
131,2,9:38.0,A. Jefferson misses 2-pt hook shot from 2 ft,,25,22
132,2,9:36.0,Offensive rebound by N. Batum,,25,22
133,2,9:36.0,N. Batum makes 2-pt layup from 1 ft,,27,22
134,2,9:15.0,,C. Landry misses 2-pt jump shot from 16 ft,27,22
135,2,9:13.0,Defensive rebound by N. Batum,,27,22
136,2,9:06.0,N. Batum misses 3-pt jump shot from 27 ft,,27,22
137,2,9:04.0,,Defensive rebound by K. Marshall,27,22
138,2,8:55.0,,R. Covington misses 3-pt jump shot from 26 ft,27,22
139,2,8:53.0,,Offensive rebound by Team,27,22
140,2,8:53.0,Official timeout,,27,22
141,2,8:53.0,,I. Smith enters the game for T. McConnell,27,22
142,2,8:44.0,,R. Covington misses 3-pt jump shot from 23 ft,27,22
143,2,8:42.0,Defensive rebound by F. Kaminsky,,27,22
144,2,8:23.0,J. Gutiérrez makes 2-pt layup from 2 ft (assist by N. Batum),,29,22
145,2,8:03.0,,Turnover by I. Canaan (traveling),29,22
146,2,7:50.0,A. Jefferson makes 2-pt jump shot from 10 ft (assist by N. Batum),,31,22
147,2,7:31.0,,Turnover by I. Smith (lost ball; steal by A. Jefferson),31,22
148,2,7:25.0,Turnover by J. Gutiérrez (lost ball; steal by R. Covington),,31,22
149,2,7:13.0,,I. Canaan misses 3-pt jump shot from 27 ft,31,22
150,2,7:12.0,Defensive rebound by N. Batum,,31,22
151,2,7:00.0,F. Kaminsky makes 2-pt jump shot from 4 ft (assist by J. Lamb),,33,22
152,2,6:59.0,,Philadelphia full timeout,33,22
