,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,Personal foul by H. Barnes,0,0
1,1,11:33.0,,R. Rubio makes 2-pt jump shot from 21 ft,0,2
2,1,11:13.0,K. Thompson misses 2-pt jump shot from 3 ft,,0,2
3,1,11:12.0,,Defensive rebound by K. Towns,0,2
4,1,11:06.0,,Turnover by R. Rubio (lost ball; steal by D. Green),0,2
5,1,11:00.0,J. McAdoo makes 2-pt layup from 1 ft (assist by D. Green),,2,2
6,1,10:38.0,,K. Towns misses 2-pt jump shot from 15 ft,2,2
7,1,10:37.0,Defensive rebound by H. Barnes,,2,2
8,1,10:21.0,H. Barnes makes 2-pt dunk at rim (assist by D. Green),,4,2
9,1,10:02.0,,Turnover by R. Rubio (bad pass; steal by S. Curry),4,2
10,1,9:56.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,7,2
11,1,9:34.0,,A. Wiggins misses 2-pt jump shot from 19 ft,7,2
12,1,9:32.0,Defensive rebound by S. Curry,,7,2
13,1,9:21.0,Turnover by K. Thompson (bad pass; steal by R. Rubio),,7,2
14,1,9:17.0,,Z. LaVine makes 2-pt dunk at rim (assist by K. Towns),7,4
15,1,9:07.0,K. Thompson misses 2-pt jump shot from 5 ft,,7,4
16,1,9:06.0,,Defensive rebound by Z. LaVine,7,4
17,1,9:04.0,,Offensive foul by G. Dieng (drawn by D. Green),7,4
18,1,9:04.0,,Turnover by G. Dieng (offensive foul),7,4
19,1,8:45.0,J. McAdoo makes 2-pt dunk from 1 ft (assist by D. Green),,9,4
20,1,8:17.0,,Turnover by Team (shot clock),9,4
21,1,8:08.0,K. Thompson misses 2-pt layup from 1 ft (block by G. Dieng),,9,4
22,1,8:07.0,,Defensive rebound by Team,9,4
23,1,7:53.0,,Turnover by R. Rubio (bad pass; steal by D. Green),9,4
24,1,7:47.0,Shooting foul by K. Towns (drawn by J. McAdoo),,9,4
25,1,7:47.0,J. McAdoo misses free throw 1 of 2,,9,4
26,1,7:47.0,Offensive rebound by Team,,9,4
27,1,7:47.0,J. McAdoo makes free throw 2 of 2,,10,4
28,1,7:31.0,,K. Towns makes 2-pt layup from 2 ft (assist by Z. LaVine),10,6
29,1,7:08.0,K. Thompson misses 2-pt layup from 1 ft,,10,6
30,1,7:07.0,,Defensive rebound by G. Dieng,10,6
31,1,6:58.0,,R. Rubio makes 3-pt jump shot from 25 ft,10,9
32,1,6:41.0,S. Curry makes 2-pt jump shot from 22 ft (assist by D. Green),,12,9
33,1,6:31.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by R. Rubio),12,12
34,1,6:21.0,Personal foul by R. Rubio,,12,12
35,1,6:18.0,S. Curry misses 3-pt jump shot from 24 ft,,12,12
36,1,6:17.0,,Defensive rebound by K. Towns,12,12
37,1,6:08.0,,Turnover by R. Rubio (lost ball; steal by J. McAdoo),12,12
38,1,6:00.0,S. Curry misses 3-pt jump shot from 25 ft,,12,12
39,1,5:59.0,,Defensive rebound by Z. LaVine,12,12
40,1,5:55.0,,Minnesota full timeout,12,12
41,1,5:50.0,,A. Wiggins misses 2-pt hook shot from 6 ft,12,12
42,1,5:48.0,Defensive rebound by D. Green,,12,12
43,1,5:42.0,S. Curry misses 2-pt layup from 2 ft,,12,12
44,1,5:41.0,,Defensive rebound by A. Wiggins,12,12
