,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
0,1,11:47.0,J. Redick makes 2-pt jump shot from 22 ft (assist by C. Paul),,2,0
1,1,11:34.0,,Turnover by L. Scola (offensive foul),2,0
2,1,11:34.0,,Offensive foul by L. Scola (drawn by P. Pierce),2,0
3,1,11:20.0,Shooting foul by J. Valančiūnas (drawn by L. Mbah a Moute),,2,0
4,1,11:20.0,L. Mbah a Moute misses free throw 1 of 2,,2,0
5,1,11:20.0,Offensive rebound by Team,,2,0
6,1,11:20.0,L. Mbah a Moute makes free throw 2 of 2,,3,0
7,1,10:58.0,,D. DeRozan makes 3-pt jump shot from 24 ft (assist by K. Lowry),3,3
8,1,10:48.0,Turnover by C. Paul (bad pass),,3,3
9,1,10:32.0,,D. DeRozan makes 2-pt jump shot from 16 ft,3,5
10,1,10:32.0,,Shooting foul by P. Pierce (drawn by D. DeRozan),3,5
11,1,10:32.0,,D. DeRozan makes free throw 1 of 1,3,6
12,1,10:22.0,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),,5,6
13,1,9:58.0,,J. Johnson misses 2-pt jump shot from 19 ft,5,6
14,1,9:55.0,,Offensive rebound by Team,5,6
15,1,9:55.0,Loose ball foul by L. Mbah a Moute (drawn by J. Valančiūnas),,5,6
16,1,9:49.0,,J. Johnson makes 2-pt layup from 2 ft (assist by K. Lowry),5,8
17,1,9:42.0,Shooting foul by K. Lowry (drawn by J. Redick),,5,8
18,1,9:42.0,J. Redick misses free throw 1 of 2,,5,8
19,1,9:42.0,Offensive rebound by Team,,5,8
20,1,9:42.0,J. Redick makes free throw 2 of 2,,6,8
21,1,9:34.0,,Turnover by K. Lowry (bad pass),6,8
22,1,9:28.0,C. Paul makes 3-pt jump shot from 24 ft,,9,8
23,1,9:07.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft,9,10
24,1,8:52.0,D. Jordan makes 2-pt layup from 1 ft (assist by P. Pierce),,11,10
25,1,8:36.0,,J. Johnson misses 2-pt jump shot from 9 ft,11,10
26,1,8:35.0,Defensive rebound by D. Jordan,,11,10
27,1,8:17.0,D. Jordan makes 2-pt dunk at rim (assist by P. Pierce),,13,10
28,1,7:59.0,,L. Scola misses 3-pt jump shot from 25 ft,13,10
29,1,7:58.0,Defensive rebound by D. Jordan,,13,10
30,1,7:49.0,D. Jordan misses 2-pt dunk at rim,,13,10
31,1,7:48.0,,Defensive rebound by Team,13,10
32,1,7:30.0,,K. Lowry misses 2-pt layup from 3 ft,13,10
33,1,7:29.0,Defensive rebound by C. Paul,,13,10
34,1,7:20.0,Personal foul by J. Johnson (drawn by C. Paul),,13,10
35,1,7:11.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,13,10
36,1,7:10.0,,Defensive rebound by J. Valančiūnas,13,10
37,1,6:59.0,,D. DeRozan makes 2-pt jump shot from 12 ft,13,12
38,1,6:59.0,,Shooting foul by P. Pierce (drawn by D. DeRozan),13,12
39,1,6:59.0,W. Johnson enters the game for P. Pierce,,13,12
40,1,6:59.0,,D. DeRozan makes free throw 1 of 1,13,13
41,1,6:52.0,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),,16,13
42,1,6:52.0,Shooting foul by J. Johnson (drawn by J. Redick),,16,13
43,1,6:52.0,J. Redick makes free throw 1 of 1,,17,13
44,1,6:41.0,,D. DeRozan misses 2-pt layup from 2 ft,17,13
45,1,6:38.0,Defensive rebound by Team,,17,13
46,1,6:38.0,,T. Ross enters the game for J. Johnson,17,13
47,1,6:36.0,C. Paul misses 2-pt jump shot from 15 ft,,17,13
48,1,6:36.0,,Defensive rebound by L. Scola,17,13
49,1,6:11.0,,J. Valančiūnas misses 2-pt layup from 2 ft,17,13
50,1,6:11.0,Defensive rebound by D. Jordan,,17,13
51,1,6:01.0,L. Mbah a Moute makes 2-pt dunk at rim (assist by C. Paul),,19,13
52,1,5:53.0,,Toronto full timeout,19,13
53,1,5:53.0,,P. Patterson enters the game for L. Scola,19,13
54,1,5:44.0,,D. DeRozan misses 2-pt jump shot from 13 ft,19,13
55,1,5:44.0,Defensive rebound by D. Jordan,,19,13
56,1,5:34.0,C. Paul makes 2-pt jump shot from 18 ft,,21,13
