,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:34.0,M. Conley makes 2-pt jump shot from 14 ft,,2,0
1,1,11:13.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,2,0
2,1,11:13.0,Defensive rebound by M. Gasol,,2,0
3,1,11:02.0,J. Green misses 2-pt jump shot from 18 ft,,2,0
4,1,11:01.0,,Defensive rebound by D. Williams,2,0
5,1,10:49.0,,D. Nowitzki misses 2-pt jump shot from 9 ft,2,0
6,1,10:48.0,Defensive rebound by M. Conley,,2,0
7,1,10:27.0,M. Conley misses 2-pt jump shot from 14 ft,,2,0
8,1,10:26.0,,Defensive rebound by Z. Pachulia,2,0
9,1,10:08.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,2,0
10,1,10:07.0,Defensive rebound by M. Conley,,2,0
11,1,9:51.0,M. Gasol misses 2-pt jump shot from 1 ft,,2,0
12,1,9:50.0,Offensive rebound by M. Gasol,,2,0
13,1,9:50.0,M. Gasol misses 2-pt layup from 1 ft,,2,0
14,1,9:49.0,,Defensive rebound by D. Williams,2,0
15,1,9:45.0,,R. Felton misses 2-pt layup from 2 ft,2,0
16,1,9:43.0,Defensive rebound by M. Barnes,,2,0
17,1,9:28.0,M. Gasol makes 2-pt jump shot from 21 ft (assist by J. Green),,4,0
18,1,9:12.0,,Z. Pachulia misses 2-pt jump shot from 19 ft,4,0
19,1,9:11.0,Defensive rebound by M. Barnes,,4,0
20,1,9:00.0,C. Lee misses 3-pt jump shot from 22 ft,,4,0
21,1,8:59.0,,Defensive rebound by Z. Pachulia,4,0
22,1,8:44.0,,Turnover by W. Matthews (lost ball; steal by M. Barnes),4,0
23,1,8:43.0,Personal take foul by D. Nowitzki (drawn by M. Barnes),,4,0
24,1,8:31.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),,6,0
25,1,8:08.0,,W. Matthews misses 3-pt jump shot from 23 ft,6,0
26,1,8:07.0,,Offensive rebound by Z. Pachulia,6,0
27,1,8:06.0,,Z. Pachulia misses 2-pt layup from 1 ft,6,0
28,1,8:05.0,,Offensive rebound by Z. Pachulia,6,0
29,1,8:05.0,,Z. Pachulia makes 2-pt layup from 1 ft,6,2
30,1,8:04.0,,Technical foul by Z. Pachulia,6,2
31,1,8:04.0,C. Lee makes technical free throw,,7,2
32,1,7:41.0,C. Lee makes 2-pt jump shot from 20 ft,,9,2
33,1,7:22.0,,D. Williams misses 3-pt jump shot from 24 ft,9,2
34,1,7:21.0,,Offensive rebound by Z. Pachulia,9,2
35,1,7:18.0,,Z. Pachulia misses 2-pt layup from 2 ft,9,2
36,1,7:17.0,Defensive rebound by J. Green,,9,2
37,1,7:12.0,C. Lee makes 3-pt jump shot from 23 ft (assist by J. Green),,12,2
38,1,7:11.0,,Dallas full timeout,12,2
39,1,6:47.0,,Z. Pachulia misses 2-pt layup from 1 ft,12,2
40,1,6:46.0,,Offensive rebound by Z. Pachulia,12,2
41,1,6:45.0,,Z. Pachulia makes 2-pt layup from 1 ft,12,4
42,1,6:25.0,M. Gasol misses 2-pt hook shot from 5 ft,,12,4
43,1,6:24.0,,Defensive rebound by Z. Pachulia,12,4
44,1,6:14.0,,Shooting foul by M. Conley (drawn by D. Nowitzki),12,4
45,1,6:14.0,,D. Nowitzki makes free throw 1 of 2,12,5
46,1,6:14.0,,C. Parsons enters the game for R. Felton,12,5
47,1,6:14.0,,D. Nowitzki makes free throw 2 of 2,12,6
48,1,6:02.0,,D. Powell enters the game for D. Nowitzki,12,6
49,1,5:50.0,C. Lee misses 2-pt jump shot from 19 ft,,12,6
50,1,5:49.0,,Defensive rebound by Z. Pachulia,12,6
51,1,5:39.0,,Turnover by D. Williams (bad pass; steal by M. Gasol),12,6
52,1,5:36.0,Shooting foul by D. Williams (drawn by M. Barnes),,12,6
53,1,5:36.0,M. Barnes makes free throw 1 of 2,,13,6
54,1,5:36.0,M. Barnes makes free throw 2 of 2,,14,6
55,1,5:23.0,,Def 3 sec tech foul by M. Gasol,14,6
56,1,5:23.0,,D. Williams makes technical free throw,14,7
57,1,5:23.0,Z. Randolph enters the game for M. Barnes,,14,7
58,1,5:15.0,,D. Powell misses 2-pt jump shot from 18 ft,14,7
59,1,5:14.0,Defensive rebound by M. Gasol,,14,7
60,1,4:51.0,M. Conley makes 2-pt jump shot from 9 ft,,16,7
61,1,4:36.0,,C. Parsons makes 2-pt jump shot from 20 ft (assist by Z. Pachulia),16,9
62,1,4:23.0,Shooting foul by D. Williams (drawn by M. Conley),,16,9
63,1,4:23.0,M. Conley makes free throw 1 of 2,,17,9
64,1,4:23.0,,R. Felton enters the game for D. Williams,17,9
65,1,4:23.0,J. Green enters the game for M. Gasol,,17,9
66,1,4:23.0,M. Conley makes free throw 2 of 2,,18,9
67,1,4:05.0,,Z. Pachulia makes 2-pt jump shot from 11 ft (assist by C. Parsons),18,11
68,1,3:53.0,Turnover by J. Green (lost ball; steal by D. Powell),,18,11
69,1,3:47.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by W. Matthews),18,14
70,1,3:38.0,Memphis full timeout,,18,14
71,1,3:38.0,M. Chalmers enters the game for M. Conley,,18,14
72,1,3:38.0,Violation by Team (delay of game),,18,14
73,1,3:26.0,Def 3 sec tech foul by D. Powell,,18,14
74,1,3:26.0,C. Lee makes technical free throw,,19,14
75,1,3:16.0,Z. Randolph makes 2-pt hook shot from 7 ft,,21,14
76,1,2:59.0,,W. Matthews misses 3-pt jump shot from 23 ft,21,14
77,1,2:58.0,Defensive rebound by Z. Randolph,,21,14
78,1,2:40.0,Z. Randolph misses 2-pt hook shot from 10 ft,,21,14
79,1,2:40.0,,Defensive rebound by Z. Pachulia,21,14
80,1,2:40.0,Loose ball foul by J. Green (drawn by Z. Pachulia),,21,14
81,1,2:32.0,,C. Parsons makes 2-pt layup at rim (assist by R. Felton),21,16
82,1,2:32.0,,Shooting block foul by J. Green (drawn by C. Parsons),21,16
83,1,2:32.0,,C. Parsons makes free throw 1 of 1,21,17
84,1,2:09.0,J. Green misses 2-pt jump shot from 6 ft,,21,17
85,1,2:08.0,Offensive rebound by Z. Randolph,,21,17
86,1,2:08.0,Shooting foul by Z. Pachulia (drawn by Z. Randolph),,21,17
87,1,2:08.0,Z. Randolph makes free throw 1 of 2,,22,17
88,1,2:08.0,,D. Nowitzki enters the game for Z. Pachulia,22,17
89,1,2:08.0,,J. Barea enters the game for W. Matthews,22,17
90,1,2:08.0,J. Ennis enters the game for C. Lee,,22,17
91,1,2:08.0,Z. Randolph misses free throw 2 of 2,,22,17
92,1,2:07.0,,Defensive rebound by D. Nowitzki,22,17
93,1,1:57.0,,R. Felton makes 2-pt layup at rim,22,19
94,1,1:33.0,Shooting foul by R. Felton (drawn by J. Green),,22,19
95,1,1:33.0,J. Green makes free throw 1 of 2,,23,19
96,1,1:33.0,M. Barnes enters the game for J. Green,,23,19
97,1,1:33.0,M. Conley enters the game for J. Ennis,,23,19
98,1,1:33.0,,J. McGee enters the game for D. Powell,23,19
99,1,1:33.0,J. Green makes free throw 2 of 2,,24,19
100,1,1:18.0,,Shooting foul by J. Green (drawn by C. Parsons),24,19
101,1,1:18.0,,C. Parsons makes free throw 1 of 2,24,20
102,1,1:18.0,,C. Parsons makes free throw 2 of 2,24,21
103,1,1:06.0,Z. Randolph misses 2-pt layup from 2 ft (block by J. McGee),,24,21
104,1,1:04.0,Offensive rebound by Z. Randolph,,24,21
105,1,1:04.0,,Violation by J. McGee (def goaltending),24,21
106,1,1:04.0,Z. Randolph makes 2-pt hook shot from 3 ft,,26,21
107,1,0:53.0,,J. McGee makes 2-pt dunk at rim (assist by R. Felton),26,23
108,1,0:39.0,M. Barnes misses 3-pt jump shot from 24 ft,,26,23
109,1,0:38.0,,Defensive rebound by J. McGee,26,23
110,1,0:25.0,,J. Barea makes 2-pt jump shot from 7 ft (assist by R. Felton),26,25
111,1,0:02.0,M. Chalmers misses 2-pt jump shot from 10 ft,,26,25
112,1,0:01.0,Offensive rebound by M. Conley,,26,25
113,1,0:00.0,M. Conley misses 2-pt jump shot from 16 ft,,26,25
114,1,0:00.0,Offensive rebound by Team,,26,25
115,2,11:41.0,,Turnover by D. Nowitzki (bad pass; steal by M. Barnes),26,25
116,2,11:39.0,Shooting foul by J. Barea (drawn by J. Ennis),,26,25
117,2,11:39.0,J. Ennis misses free throw 1 of 2,,26,25
118,2,11:39.0,Offensive rebound by Team,,26,25
119,2,11:39.0,J. Ennis makes free throw 2 of 2,,27,25
120,2,11:25.0,,C. Parsons misses 3-pt jump shot from 23 ft,27,25
121,2,11:24.0,Defensive rebound by M. Barnes,,27,25
122,2,11:05.0,M. Conley misses 2-pt jump shot from 18 ft,,27,25
123,2,11:03.0,,Defensive rebound by R. Felton,27,25
124,2,10:50.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by R. Felton),27,27
125,2,10:26.0,Z. Randolph misses 2-pt jump shot from 5 ft (block by J. McGee),,27,27
126,2,10:25.0,,Defensive rebound by C. Parsons,27,27
127,2,10:17.0,,J. Barea misses 3-pt jump shot from 22 ft,27,27
128,2,10:16.0,Defensive rebound by Z. Randolph,,27,27
129,2,10:06.0,M. Barnes misses 3-pt jump shot from 22 ft,,27,27
130,2,10:05.0,Offensive rebound by Z. Randolph,,27,27
131,2,10:00.0,Turnover by J. Ennis (lost ball; steal by C. Parsons),,27,27
132,2,9:59.0,,Personal foul by Z. Randolph (drawn by R. Felton),27,27
133,2,9:49.0,,Turnover by C. Parsons (lost ball; steal by M. Conley),27,27
134,2,9:46.0,Shooting foul by J. Barea (drawn by M. Conley),,27,27
135,2,9:46.0,,Technical foul by C. Parsons,27,27
136,2,9:46.0,M. Conley makes technical free throw,,28,27
137,2,9:46.0,M. Conley makes free throw 1 of 2,,29,27
138,2,9:46.0,M. Gasol enters the game for M. Barnes,,29,27
139,2,9:46.0,M. Conley makes free throw 2 of 2,,30,27
140,2,9:27.0,,R. Felton misses 3-pt jump shot from 24 ft,30,27
141,2,9:26.0,Defensive rebound by Z. Randolph,,30,27
142,2,9:13.0,J. Ennis makes 3-pt jump shot from 22 ft (assist by M. Chalmers),,33,27
143,2,9:12.0,,Dallas full timeout,33,27
144,2,8:55.0,,Personal foul by J. Ennis (drawn by J. McGee),33,27
145,2,8:49.0,,J. McGee makes 2-pt dunk at rim (assist by C. Parsons),33,29
146,2,8:30.0,M. Gasol makes 2-pt layup at rim,,35,29
