,QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
0,1,11:41.0,A. Stoudemire misses 2-pt jump shot from 9 ft,,0,0
1,1,11:40.0,,Defensive rebound by C. Brewer,0,0
2,1,11:22.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),0,3
3,1,10:58.0,Turnover by D. Wade (bad pass),,0,3
4,1,10:44.0,,J. Smith makes 2-pt layup from 1 ft (assist by J. Harden),0,5
5,1,10:32.0,A. Stoudemire misses 2-pt layup from 2 ft (block by C. Brewer),,0,5
6,1,10:30.0,Offensive rebound by A. Stoudemire,,0,5
7,1,10:29.0,A. Stoudemire misses 2-pt layup from 2 ft (block by T. Ariza),,0,5
8,1,10:28.0,,Defensive rebound by P. Beverley,0,5
9,1,10:23.0,,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),0,7
10,1,10:02.0,Turnover by L. Deng (lost ball),,0,7
11,1,9:50.0,,Turnover by J. Harden (lost ball),0,7
12,1,9:38.0,G. Dragić makes 2-pt jump shot from 16 ft,,2,7
13,1,9:31.0,,T. Ariza misses 2-pt layup from 1 ft,2,7
14,1,9:30.0,Defensive rebound by C. Bosh,,2,7
15,1,9:24.0,D. Wade misses 2-pt layup from 1 ft,,2,7
16,1,9:24.0,,Defensive rebound by Team,2,7
17,1,9:24.0,Loose ball foul by A. Stoudemire (drawn by J. Harden),,2,7
18,1,9:17.0,,J. Harden misses 2-pt layup from 1 ft,2,7
19,1,9:16.0,Defensive rebound by L. Deng,,2,7
20,1,9:07.0,G. Dragić makes 2-pt layup at rim,,4,7
21,1,8:53.0,,C. Brewer misses 2-pt jump shot from 18 ft,4,7
22,1,8:52.0,Defensive rebound by C. Bosh,,4,7
23,1,8:41.0,L. Deng makes 2-pt layup from 2 ft (assist by D. Wade),,6,7
24,1,8:28.0,,J. Smith misses 3-pt jump shot from 24 ft,6,7
25,1,8:27.0,Defensive rebound by C. Bosh,,6,7
26,1,8:21.0,G. Dragić misses 2-pt layup from 2 ft (block by P. Beverley),,6,7
27,1,8:21.0,Offensive rebound by Team,,6,7
28,1,8:15.0,L. Deng makes 2-pt layup from 1 ft (assist by A. Stoudemire),,8,7
29,1,7:59.0,,C. Brewer misses 3-pt jump shot from 23 ft,8,7
30,1,7:58.0,Defensive rebound by L. Deng,,8,7
31,1,7:40.0,D. Wade makes 2-pt jump shot from 20 ft (assist by G. Dragić),,10,7
32,1,7:23.0,,J. Harden misses 3-pt jump shot from 25 ft,10,7
33,1,7:22.0,Defensive rebound by G. Dragić,,10,7
34,1,7:18.0,Shooting foul by P. Beverley (drawn by G. Dragić),,10,7
35,1,7:18.0,G. Dragić makes 2-pt layup from 2 ft,,12,7
36,1,7:18.0,,T. Jones enters the game for C. Brewer,12,7
37,1,7:18.0,G. Dragić makes free throw 1 of 1,,13,7
38,1,6:56.0,,P. Beverley misses 2-pt jump shot from 6 ft,13,7
39,1,6:55.0,Defensive rebound by A. Stoudemire,,13,7
40,1,6:46.0,A. Stoudemire makes 2-pt layup at rim (assist by G. Dragić),,15,7
41,1,6:46.0,,Houston full timeout,15,7
42,1,6:46.0,J. Winslow enters the game for C. Bosh,,15,7
43,1,6:24.0,,J. Smith makes 2-pt hook shot from 7 ft,15,9
44,1,6:08.0,Turnover by D. Wade (bad pass; steal by J. Smith),,15,9
45,1,6:02.0,,J. Harden makes 2-pt layup at rim,15,11
46,1,5:42.0,D. Wade misses 2-pt jump shot from 6 ft,,15,11
47,1,5:41.0,Offensive rebound by Team,,15,11
48,1,5:24.0,A. Stoudemire makes 2-pt layup from 1 ft,,17,11
49,1,5:07.0,,T. Jones misses 2-pt hook shot at rim,17,11
50,1,5:06.0,Defensive rebound by A. Stoudemire,,17,11
51,1,4:58.0,L. Deng makes 2-pt dunk at rim (assist by G. Dragić),,19,11
52,1,4:42.0,,J. Harden makes 2-pt jump shot from 17 ft,19,13
53,1,4:26.0,B. Udrih enters the game for G. Dragić,,19,13
54,1,4:26.0,,J. Terry enters the game for P. Beverley,19,13
55,1,4:26.0,,M. Thornton enters the game for J. Smith,19,13
56,1,4:15.0,D. Wade makes 2-pt layup from 1 ft,,21,13
57,1,4:09.0,,M. Thornton makes 3-pt jump shot from 25 ft (assist by J. Harden),21,16
58,1,3:59.0,Miami full timeout,,21,16
59,1,3:59.0,G. Green enters the game for D. Wade,,21,16
60,1,3:49.0,Shooting foul by J. Harden (drawn by A. Stoudemire),,21,16
61,1,3:49.0,A. Stoudemire makes free throw 1 of 2,,22,16
62,1,3:49.0,A. Stoudemire makes free throw 2 of 2,,23,16
63,1,3:36.0,,J. Harden makes 2-pt layup from 1 ft,23,18
64,1,3:15.0,Turnover by A. Stoudemire (bad pass),,23,18
65,1,3:15.0,C. Bosh enters the game for A. Stoudemire,,23,18
66,1,3:15.0,J. McRoberts enters the game for L. Deng,,23,18
67,1,3:15.0,,C. Brewer enters the game for T. Ariza,23,18
68,1,3:00.0,,T. Jones makes 2-pt jump shot from 6 ft (assist by C. Brewer),23,20
69,1,2:52.0,G. Green makes 2-pt jump shot from 13 ft (assist by B. Udrih),,25,20
70,1,2:49.0,,Shooting foul by J. McRoberts (drawn by J. Harden),25,20
71,1,2:49.0,,J. Harden makes free throw 1 of 2,25,21
72,1,2:49.0,,J. Harden makes free throw 2 of 2,25,22
73,1,2:36.0,J. McRoberts misses 2-pt jump shot from 15 ft,,25,22
74,1,2:36.0,Offensive rebound by Team,,25,22
75,1,2:36.0,,Loose ball foul by J. Harden (drawn by C. Bosh),25,22
76,1,2:36.0,,T. Lawson enters the game for J. Harden,25,22
77,1,2:24.0,J. Winslow makes 2-pt layup from 2 ft (assist by G. Green),,27,22
78,1,2:07.0,,C. Brewer makes 2-pt layup from 1 ft (assist by J. Terry),27,24
79,1,1:55.0,Turnover by J. Winslow (3 sec),,27,24
80,1,1:42.0,,C. Brewer makes 2-pt layup from 2 ft (assist by M. Thornton),27,26
81,1,1:21.0,J. Winslow makes 2-pt layup from 3 ft (assist by G. Green),,29,26
82,1,1:07.0,,T. Lawson makes 2-pt layup from 4 ft,29,28
83,1,0:54.0,J. Winslow makes 2-pt layup from 2 ft (assist by B. Udrih),,31,28
84,1,0:48.0,,Turnover by T. Lawson (lost ball),31,28
85,1,0:37.0,Turnover by J. Winslow (bad pass; steal by C. Brewer),,31,28
86,1,0:32.0,,C. Brewer misses 2-pt layup from 2 ft,31,28
87,1,0:31.0,,Offensive rebound by J. Terry,31,28
88,1,0:12.0,,M. Thornton makes 3-pt jump shot from 24 ft,31,31
89,2,11:48.0,,M. Thornton misses 3-pt jump shot from 25 ft,31,31
90,2,11:47.0,Defensive rebound by G. Dragić,,31,31
91,2,11:36.0,Shooting foul by C. Brewer (drawn by G. Green),,31,31
92,2,11:36.0,G. Green makes free throw 1 of 2,,32,31
93,2,11:36.0,G. Green makes free throw 2 of 2,,33,31
94,2,11:16.0,,T. Jones misses 2-pt jump shot from 2 ft (block by C. Bosh),33,31
95,2,11:15.0,Defensive rebound by G. Green,,33,31
96,2,11:05.0,C. Bosh misses 2-pt layup from 1 ft,,33,31
97,2,11:04.0,Offensive rebound by J. Winslow,,33,31
98,2,10:59.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by J. Winslow),,35,31
99,2,10:45.0,,J. Terry misses 3-pt jump shot from 26 ft,35,31
100,2,10:44.0,Defensive rebound by J. Winslow,,35,31
101,2,10:36.0,Shooting block foul by T. Jones (drawn by G. Dragić),,35,31
102,2,10:36.0,G. Dragić misses free throw 1 of 2,,35,31
103,2,10:36.0,Offensive rebound by Team,,35,31
104,2,10:36.0,,T. Ariza enters the game for M. Thornton,35,31
105,2,10:36.0,,J. Smith enters the game for T. Jones,35,31
106,2,10:36.0,G. Dragić misses free throw 2 of 2,,35,31
107,2,10:36.0,,Defensive rebound by J. Smith,35,31
108,2,10:24.0,,C. Brewer makes 3-pt jump shot from 25 ft (assist by T. Lawson),35,34
109,2,10:10.0,Shooting foul by J. Smith (drawn by C. Bosh),,35,34
110,2,10:10.0,C. Bosh makes free throw 1 of 2,,36,34
111,2,10:10.0,C. Bosh makes free throw 2 of 2,,37,34
112,2,9:47.0,,J. Smith misses 3-pt jump shot from 24 ft,37,34
113,2,9:46.0,Defensive rebound by B. Udrih,,37,34
