,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,A. Morrow makes 2-pt jump shot from 8 ft,0,2
1,1,11:26.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Rondo),,3,2
2,1,11:01.0,,R. Westbrook misses 3-pt jump shot from 23 ft,3,2
3,1,11:00.0,Defensive rebound by D. Cousins,,3,2
4,1,10:45.0,R. Rondo makes 2-pt jump shot from 3 ft,,5,2
5,1,10:21.0,,S. Ibaka misses 2-pt jump shot from 6 ft (block by R. Rondo),5,2
6,1,10:20.0,Defensive rebound by R. Rondo,,5,2
7,1,10:12.0,R. Rondo misses 2-pt layup from 2 ft,,5,2
8,1,10:11.0,Offensive rebound by D. Cousins,,5,2
9,1,10:01.0,R. Rondo misses 3-pt jump shot from 23 ft,,5,2
10,1,10:00.0,,Defensive rebound by A. Roberson,5,2
11,1,9:53.0,,Shooting foul by Q. Acy (drawn by S. Adams),5,2
12,1,9:53.0,,S. Adams makes free throw 1 of 2,5,3
13,1,9:53.0,,S. Adams makes free throw 2 of 2,5,4
14,1,9:45.0,Turnover by B. McLemore (bad pass; steal by A. Morrow),,5,4
15,1,9:33.0,,A. Morrow makes 2-pt layup from 1 ft,5,6
16,1,9:23.0,D. Cousins misses 2-pt jump shot from 17 ft,,5,6
17,1,9:22.0,,Defensive rebound by R. Westbrook,5,6
18,1,9:08.0,,S. Ibaka misses 2-pt jump shot from 12 ft,5,6
19,1,9:08.0,Defensive rebound by R. Rondo,,5,6
20,1,9:04.0,B. McLemore misses 2-pt jump shot from 4 ft,,5,6
21,1,9:02.0,Offensive rebound by R. Gay,,5,6
22,1,9:02.0,R. Gay misses 2-pt dunk at rim,,5,6
23,1,9:01.0,,Defensive rebound by S. Adams,5,6
24,1,8:55.0,,A. Roberson misses 2-pt layup at rim (block by D. Cousins),5,6
25,1,8:54.0,Defensive rebound by D. Cousins,,5,6
26,1,8:48.0,Shooting foul by A. Morrow (drawn by R. Gay),,5,6
27,1,8:48.0,R. Gay misses free throw 1 of 2,,5,6
28,1,8:48.0,Offensive rebound by Team,,5,6
29,1,8:48.0,R. Gay makes free throw 2 of 2,,6,6
30,1,8:31.0,,A. Morrow makes 3-pt jump shot from 23 ft (assist by S. Ibaka),6,9
31,1,8:25.0,Turnover by R. Rondo (bad pass),,6,9
32,1,8:13.0,,S. Ibaka misses 2-pt layup from 1 ft,6,9
33,1,8:12.0,Defensive rebound by D. Cousins,,6,9
34,1,8:07.0,R. Gay makes 2-pt layup from 1 ft (assist by R. Rondo),,8,9
35,1,7:46.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),8,11
36,1,7:36.0,R. Rondo makes 2-pt layup at rim,,10,11
37,1,7:23.0,,S. Ibaka makes 2-pt jump shot from 16 ft (assist by R. Westbrook),10,13
38,1,7:13.0,D. Cousins misses 2-pt layup from 1 ft,,10,13
39,1,7:12.0,Offensive rebound by Q. Acy,,10,13
40,1,7:09.0,R. Gay misses 3-pt jump shot from 24 ft,,10,13
41,1,7:08.0,,Defensive rebound by S. Ibaka,10,13
42,1,6:59.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by R. Westbrook),10,16
43,1,6:53.0,Sacramento full timeout,,10,16
44,1,6:53.0,M. Belinelli enters the game for Q. Acy,,10,16
45,1,6:43.0,Shooting foul by S. Adams (drawn by D. Cousins),,10,16
46,1,6:43.0,D. Cousins makes free throw 1 of 2,,11,16
47,1,6:43.0,D. Cousins makes free throw 2 of 2,,12,16
48,1,6:28.0,,R. Westbrook makes 3-pt jump shot from 24 ft,12,19
49,1,6:16.0,R. Rondo makes 2-pt layup at rim,,14,19
50,1,6:04.0,,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),14,21
51,1,5:49.0,Turnover by R. Rondo (bad pass; steal by R. Westbrook),,14,21
52,1,5:44.0,,R. Westbrook misses 2-pt jump shot from 16 ft,14,21
53,1,5:43.0,,Offensive rebound by S. Ibaka,14,21
54,1,5:37.0,,Shooting foul by R. Gay (drawn by R. Westbrook),14,21
55,1,5:37.0,,R. Westbrook makes free throw 1 of 2,14,22
