,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
0,1,11:38.0,,T. Harris misses 3-pt jump shot from 24 ft,0,0
1,1,11:38.0,Defensive rebound by M. Williams,,0,0
2,1,11:26.0,P. Hairston misses 2-pt jump shot from 18 ft,,0,0
3,1,11:25.0,,Defensive rebound by E. Payton,0,0
4,1,11:14.0,,V. Oladipo makes 2-pt jump shot from 7 ft (assist by E. Payton),0,2
5,1,10:56.0,M. Williams makes 2-pt layup from 1 ft (assist by S. Hawes),,2,2
6,1,10:46.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by E. Payton),2,4
7,1,10:24.0,Shooting foul by A. Gordon (drawn by M. Williams),,2,4
8,1,10:24.0,M. Williams makes free throw 1 of 2,,3,4
9,1,10:24.0,M. Williams makes free throw 2 of 2,,4,4
10,1,10:08.0,,E. Payton misses 2-pt jump shot from 3 ft (block by M. Williams),4,4
11,1,10:08.0,,Offensive rebound by Team,4,4
12,1,10:04.0,,N. Vučević misses 2-pt jump shot from 9 ft,4,4
13,1,10:04.0,Defensive rebound by M. Williams,,4,4
14,1,9:49.0,K. Walker makes 2-pt layup from 2 ft,,6,4
15,1,9:34.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Payton),6,6
16,1,9:18.0,Personal foul by V. Oladipo (drawn by J. Lin),,6,6
17,1,9:10.0,S. Hawes misses 2-pt jump shot from 19 ft (block by N. Vučević),,6,6
18,1,9:10.0,Offensive rebound by Team,,6,6
19,1,9:09.0,Shooting foul by A. Gordon (drawn by M. Williams),,6,6
20,1,9:09.0,M. Williams makes free throw 1 of 3,,7,6
21,1,9:09.0,M. Williams makes free throw 2 of 3,,8,6
22,1,9:09.0,M. Williams makes free throw 3 of 3,,9,6
23,1,9:01.0,,Turnover by V. Oladipo (lost ball; steal by P. Hairston),9,6
24,1,8:53.0,P. Hairston makes 2-pt layup from 2 ft,,11,6
25,1,8:49.0,,T. Harris makes 2-pt layup at rim (assist by N. Vučević),11,8
26,1,8:49.0,,Shooting foul by P. Hairston (drawn by T. Harris),11,8
27,1,8:49.0,,T. Harris misses free throw 1 of 1,11,8
28,1,8:48.0,Defensive rebound by S. Hawes,,11,8
29,1,8:27.0,S. Hawes misses 2-pt layup from 2 ft,,11,8
30,1,8:26.0,,Defensive rebound by N. Vučević,11,8
31,1,8:18.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),11,10
32,1,8:00.0,Personal foul by A. Gordon (drawn by M. Williams),,11,10
33,1,8:00.0,,C. Frye enters the game for A. Gordon,11,10
34,1,7:51.0,M. Williams misses 3-pt jump shot from 25 ft,,11,10
35,1,7:51.0,,Defensive rebound by N. Vučević,11,10
36,1,7:44.0,,V. Oladipo makes 2-pt jump shot from 20 ft,11,12
37,1,7:30.0,K. Walker makes 2-pt jump shot from 18 ft,,13,12
38,1,7:10.0,,T. Harris misses 3-pt jump shot from 24 ft,13,12
39,1,7:10.0,,Offensive rebound by Team,13,12
40,1,7:10.0,Loose ball foul by J. Lin (drawn by E. Payton),,13,12
41,1,7:02.0,,N. Vučević misses 2-pt jump shot from 10 ft (block by S. Hawes),13,12
42,1,7:00.0,,Offensive rebound by N. Vučević,13,12
43,1,6:58.0,,N. Vučević misses 2-pt hook shot from 4 ft,13,12
44,1,6:57.0,Defensive rebound by P. Hairston,,13,12
45,1,6:48.0,S. Hawes misses 3-pt jump shot from 22 ft,,13,12
46,1,6:47.0,,Defensive rebound by C. Frye,13,12
