,QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
0,1,12:00.0,Loose ball foul by J. Valančiūnas (drawn by R. Gobert),,0,0
1,1,11:43.0,,R. Neto makes 2-pt layup from 2 ft,0,2
2,1,11:29.0,L. Scola misses 2-pt jump shot from 15 ft,,0,2
3,1,11:28.0,,Defensive rebound by D. Favors,0,2
4,1,11:11.0,,D. Favors makes 2-pt jump shot from 13 ft (assist by R. Neto),0,4
5,1,10:45.0,L. Scola makes 2-pt jump shot from 18 ft (assist by K. Lowry),,2,4
6,1,10:26.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Neto),2,6
7,1,10:03.0,J. Valančiūnas makes 2-pt hook shot from 1 ft,,4,6
8,1,9:40.0,,G. Hayward misses 2-pt jump shot from 18 ft,4,6
9,1,9:39.0,Defensive rebound by K. Lowry,,4,6
10,1,9:25.0,D. DeRozan makes 2-pt jump shot from 10 ft,,6,6
11,1,9:13.0,,R. Gobert misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),6,6
12,1,9:11.0,Defensive rebound by D. Carroll,,6,6
13,1,9:03.0,L. Scola makes 2-pt jump shot from 15 ft,,8,6
14,1,8:42.0,,Turnover by R. Gobert (lost ball; steal by D. Carroll),8,6
15,1,8:27.0,L. Scola makes 2-pt jump shot from 19 ft (assist by K. Lowry),,10,6
16,1,8:09.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),10,8
17,1,7:43.0,D. DeRozan misses 2-pt jump shot from 15 ft,,10,8
18,1,7:42.0,,Defensive rebound by R. Gobert,10,8
19,1,7:29.0,,R. Neto misses 3-pt jump shot from 23 ft,10,8
20,1,7:28.0,Defensive rebound by L. Scola,,10,8
21,1,7:18.0,J. Valančiūnas misses 2-pt jump shot from 6 ft,,10,8
22,1,7:18.0,Offensive rebound by J. Valančiūnas,,10,8
23,1,7:05.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by L. Scola),,13,8
24,1,6:42.0,,D. Favors makes 2-pt dunk at rim,13,10
25,1,6:37.0,Turnover by K. Lowry (bad pass; steal by D. Favors),,13,10
26,1,6:29.0,,R. Hood makes 2-pt jump shot from 19 ft,13,12
27,1,6:07.0,L. Scola misses 2-pt jump shot from 18 ft,,13,12
28,1,6:07.0,,Defensive rebound by R. Hood,13,12
29,1,5:52.0,,G. Hayward makes 2-pt layup from 2 ft (assist by R. Hood),13,14
30,1,5:46.0,Toronto full timeout,,13,14
31,1,5:36.0,D. DeRozan misses 2-pt jump shot from 9 ft,,13,14
32,1,5:35.0,,Defensive rebound by R. Hood,13,14
33,1,5:24.0,,G. Hayward makes 2-pt jump shot from 14 ft,13,16
34,1,5:15.0,Personal foul by G. Hayward (drawn by D. DeRozan),,13,16
35,1,5:08.0,D. Carroll misses 3-pt jump shot from 24 ft,,13,16
36,1,5:07.0,,Defensive rebound by D. Favors,13,16
37,1,4:50.0,,R. Hood misses 2-pt jump shot from 11 ft,13,16
38,1,4:50.0,Defensive rebound by D. Carroll,,13,16
39,1,4:43.0,Turnover by D. Carroll (bad pass; steal by R. Neto),,13,16
40,1,4:37.0,,R. Neto makes 2-pt layup from 1 ft,13,18
41,1,4:18.0,K. Lowry misses 3-pt jump shot from 24 ft,,13,18
42,1,4:17.0,Offensive rebound by L. Scola,,13,18
43,1,4:13.0,L. Scola misses 2-pt hook shot from 5 ft,,13,18
44,1,4:12.0,,Defensive rebound by R. Gobert,13,18
45,1,3:54.0,,R. Hood misses 3-pt jump shot from 24 ft,13,18
46,1,3:53.0,,Offensive rebound by R. Gobert,13,18
47,1,3:52.0,,Personal foul by D. DeRozan (drawn by R. Gobert),13,18
48,1,3:52.0,,T. Burke enters the game for R. Neto,13,18
49,1,3:52.0,,A. Burks enters the game for R. Hood,13,18
50,1,3:52.0,C. Joseph enters the game for D. Carroll,,13,18
51,1,3:52.0,P. Patterson enters the game for L. Scola,,13,18
52,1,3:47.0,,Shooting foul by D. DeRozan (drawn by G. Hayward),13,18
53,1,3:47.0,,G. Hayward makes free throw 1 of 2,13,19
54,1,3:47.0,,T. Booker enters the game for D. Favors,13,19
55,1,3:47.0,J. Johnson enters the game for D. DeRozan,,13,19
56,1,3:47.0,,G. Hayward makes free throw 2 of 2,13,20
57,1,3:34.0,J. Valančiūnas misses 2-pt jump shot from 7 ft (block by R. Gobert),,13,20
58,1,3:33.0,,Defensive rebound by G. Hayward,13,20
59,1,3:20.0,,T. Burke misses 3-pt jump shot from 25 ft,13,20
60,1,3:19.0,,Offensive rebound by T. Booker,13,20
61,1,3:13.0,,T. Booker makes 2-pt layup from 1 ft,13,22
62,1,3:03.0,Turnover by J. Johnson (bad pass; steal by T. Booker),,13,22
63,1,2:44.0,,T. Booker misses 3-pt jump shot from 22 ft,13,22
64,1,2:43.0,Defensive rebound by J. Valančiūnas,,13,22
65,1,2:35.0,K. Lowry makes 2-pt jump shot from 11 ft,,15,22
66,1,2:35.0,,Utah full timeout,15,22
67,1,2:35.0,B. Biyombo enters the game for J. Valančiūnas,,15,22
68,1,2:19.0,,G. Hayward misses 3-pt jump shot from 24 ft,15,22
69,1,2:19.0,Defensive rebound by C. Joseph,,15,22
70,1,2:05.0,Turnover by K. Lowry (lost ball; steal by T. Burke),,15,22
71,1,2:01.0,,Turnover by T. Burke (bad pass; steal by C. Joseph),15,22
72,1,1:52.0,P. Patterson misses 3-pt jump shot from 24 ft,,15,22
73,1,1:52.0,Offensive rebound by Team,,15,22
74,1,1:52.0,,Loose ball foul by A. Burks (drawn by B. Biyombo),15,22
75,1,1:52.0,,J. Ingles enters the game for G. Hayward,15,22
76,1,1:46.0,K. Lowry misses 3-pt jump shot from 24 ft,,15,22
77,1,1:44.0,Offensive rebound by P. Patterson,,15,22
78,1,1:34.0,Personal foul by T. Burke (drawn by C. Joseph),,15,22
79,1,1:34.0,C. Joseph makes free throw 1 of 2,,16,22
80,1,1:34.0,C. Joseph makes free throw 2 of 2,,17,22
81,1,1:13.0,,T. Booker makes 2-pt hook shot from 4 ft,17,24
82,1,0:54.0,C. Joseph makes 2-pt layup from 2 ft,,19,24
83,1,0:40.0,,Turnover by R. Gobert (offensive goaltending),19,24
84,1,0:40.0,,J. Withey enters the game for R. Gobert,19,24
85,1,0:29.0,K. Lowry misses 3-pt jump shot from 23 ft,,19,24
86,1,0:26.0,,Defensive rebound by T. Booker,19,24
87,1,0:06.0,,A. Burks misses 2-pt jump shot from 16 ft,19,24
88,1,0:05.0,,Offensive rebound by A. Burks,19,24
89,1,0:03.0,,A. Burks misses 2-pt jump shot from 12 ft,19,24
90,1,0:00.0,Defensive rebound by K. Lowry,,19,24
91,2,11:40.0,J. Johnson makes 2-pt layup at rim,,21,24
92,2,11:22.0,,T. Burke makes 3-pt jump shot from 22 ft (assist by J. Ingles),21,27
93,2,10:54.0,C. Joseph makes 2-pt jump shot from 20 ft,,23,27
94,2,10:41.0,,Turnover by J. Withey (bad pass; steal by P. Patterson),23,27
95,2,10:34.0,N. Powell misses 2-pt layup from 1 ft (block by J. Withey),,23,27
96,2,10:32.0,,Defensive rebound by T. Burke,23,27
97,2,10:25.0,,J. Withey makes 2-pt layup from 2 ft (assist by T. Burke),23,29
98,2,10:06.0,C. Joseph misses 3-pt jump shot from 24 ft,,23,29
99,2,10:05.0,,Defensive rebound by T. Booker,23,29
100,2,9:52.0,,T. Booker misses 2-pt layup from 2 ft,23,29
101,2,9:51.0,Defensive rebound by B. Biyombo,,23,29
102,2,9:43.0,J. Johnson makes 2-pt layup from 2 ft,,25,29
103,2,9:30.0,,Turnover by J. Ingles (bad pass; steal by N. Powell),25,29
104,2,9:27.0,N. Powell misses 2-pt layup from 2 ft (block by A. Burks),,25,29
105,2,9:27.0,Offensive rebound by Team,,25,29
106,2,9:27.0,,D. Favors enters the game for T. Booker,25,29
107,2,9:27.0,,R. Hood enters the game for J. Ingles,25,29
108,2,9:22.0,N. Powell misses 2-pt jump shot from 4 ft,,25,29
109,2,9:22.0,,Defensive rebound by J. Withey,25,29
110,2,8:59.0,,T. Burke makes 2-pt jump shot from 18 ft,25,31
111,2,8:38.0,Turnover by J. Johnson (traveling),,25,31
112,2,8:38.0,Official timeout,,25,31
113,2,8:38.0,D. Carroll enters the game for J. Johnson,,25,31
114,2,8:38.0,D. DeRozan enters the game for N. Powell,,25,31
115,2,8:21.0,,T. Burke misses 3-pt jump shot from 23 ft,25,31
116,2,8:21.0,Defensive rebound by Team,,25,31
117,2,8:19.0,,J. Ingles enters the game for A. Burks,25,31
118,2,8:01.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,28,31
119,2,7:49.0,,Offensive foul by J. Ingles (drawn by D. Carroll),28,31
120,2,7:49.0,,Turnover by J. Ingles (offensive foul),28,31
121,2,7:49.0,,R. Gobert enters the game for J. Withey,28,31
122,2,7:49.0,,R. Neto enters the game for T. Burke,28,31
123,2,7:29.0,B. Biyombo misses 2-pt jump shot from 10 ft,,28,31
124,2,7:28.0,,Defensive rebound by R. Gobert,28,31
125,2,7:11.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),28,33
126,2,6:50.0,P. Patterson misses 3-pt jump shot from 23 ft,,28,33
127,2,6:49.0,,Defensive rebound by R. Hood,28,33
128,2,6:36.0,Violation by P. Patterson (kicked ball),,28,33
129,2,6:36.0,J. Valančiūnas enters the game for B. Biyombo,,28,33
130,2,6:36.0,,Utah full timeout,28,33
131,2,6:36.0,L. Scola enters the game for P. Patterson,,28,33
132,2,6:36.0,,G. Hayward enters the game for J. Ingles,28,33
133,2,6:30.0,,Personal foul by L. Scola (drawn by D. Favors),28,33
134,2,6:22.0,,R. Hood makes 3-pt jump shot from 23 ft,28,36
135,2,6:04.0,Turnover by D. DeRozan (bad pass; steal by R. Neto),,28,36
136,2,5:58.0,,R. Neto makes 2-pt layup from 2 ft,28,38
137,2,5:38.0,Shooting foul by R. Neto (drawn by D. Carroll),,28,38
138,2,5:38.0,D. Carroll makes free throw 1 of 2,,29,38
139,2,5:38.0,K. Lowry enters the game for C. Joseph,,29,38
140,2,5:38.0,D. Carroll misses free throw 2 of 2,,29,38
141,2,5:37.0,,Defensive rebound by D. Favors,29,38
142,2,5:19.0,,Turnover by R. Hood (bad pass; steal by J. Valančiūnas),29,38
143,2,5:13.0,L. Scola makes 2-pt layup from 2 ft (assist by K. Lowry),,31,38
144,2,4:49.0,,R. Hood misses 2-pt jump shot from 5 ft (block by J. Valančiūnas),31,38
145,2,4:47.0,Defensive rebound by D. DeRozan,,31,38
146,2,4:39.0,L. Scola makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,33,38
147,2,4:26.0,,Turnover by R. Neto (bad pass; steal by K. Lowry),33,38
148,2,4:26.0,Personal foul by R. Gobert (drawn by K. Lowry),,33,38
149,2,4:26.0,,A. Burks enters the game for R. Neto,33,38
150,2,4:12.0,K. Lowry misses 2-pt jump shot from 4 ft,,33,38
151,2,4:11.0,,Defensive rebound by D. Favors,33,38
152,2,4:07.0,,G. Hayward makes 2-pt dunk at rim (assist by R. Hood),33,40
153,2,3:46.0,L. Scola makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,36,40
154,2,3:22.0,,R. Hood makes 2-pt jump shot from 6 ft,36,42
155,2,3:12.0,J. Valančiūnas misses 2-pt jump shot from 4 ft (block by R. Gobert),,36,42
156,2,3:12.0,Offensive rebound by Team,,36,42
157,2,3:12.0,Toronto full timeout,,36,42
158,2,3:12.0,,T. Booker enters the game for D. Favors,36,42
