,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHARLOTTE_ACTION,NEW YORK_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,,A. Jefferson misses 2-pt hook shot from 5 ft,0,0
1,1,11:39.0,Defensive rebound by J. Calderón,,0,0
2,1,11:26.0,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by C. Anthony),,2,0
3,1,11:03.0,,A. Jefferson misses 2-pt jump shot from 15 ft,2,0
4,1,11:01.0,Defensive rebound by K. Porziņģis,,2,0
5,1,10:42.0,A. Afflalo makes 2-pt jump shot from 21 ft (assist by C. Anthony),,4,0
6,1,10:31.0,,M. Williams makes 2-pt layup from 1 ft (assist by K. Walker),4,2
7,1,10:25.0,Offensive foul by K. Porziņģis (drawn by K. Walker),,4,2
8,1,10:25.0,Turnover by K. Porziņģis (offensive foul),,4,2
9,1,10:10.0,,P. Hairston misses 3-pt jump shot from 25 ft,4,2
10,1,10:07.0,Defensive rebound by K. Porziņģis,,4,2
11,1,9:58.0,K. Porziņģis makes 2-pt dunk at rim (assist by R. Lopez),,6,2
12,1,9:32.0,,K. Walker misses 2-pt jump shot from 20 ft,6,2
13,1,9:31.0,Defensive rebound by A. Afflalo,,6,2
14,1,9:13.0,J. Calderón makes 2-pt jump shot from 19 ft,,8,2
15,1,8:53.0,,M. Williams misses 3-pt jump shot from 24 ft,8,2
16,1,8:52.0,Defensive rebound by C. Anthony,,8,2
17,1,8:41.0,C. Anthony misses 3-pt jump shot from 24 ft,,8,2
18,1,8:40.0,,Defensive rebound by A. Jefferson,8,2
19,1,8:27.0,,Turnover by N. Batum (lost ball; steal by J. Calderón),8,2
20,1,8:20.0,J. Calderón misses 3-pt jump shot from 25 ft,,8,2
21,1,8:19.0,Offensive rebound by K. Porziņģis,,8,2
22,1,8:14.0,A. Afflalo misses 3-pt jump shot from 25 ft,,8,2
23,1,8:13.0,,Defensive rebound by N. Batum,8,2
24,1,8:03.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),8,5
25,1,7:40.0,Turnover by C. Anthony (traveling),,8,5
26,1,7:29.0,,A. Jefferson misses 2-pt layup from 2 ft,8,5
27,1,7:27.0,,Offensive rebound by A. Jefferson,8,5
28,1,7:27.0,,A. Jefferson makes 2-pt layup from 1 ft,8,7
29,1,7:09.0,A. Afflalo makes 2-pt jump shot from 16 ft,,10,7
30,1,6:53.0,,K. Walker misses 2-pt jump shot from 18 ft,10,7
31,1,6:52.0,Defensive rebound by K. Porziņģis,,10,7
32,1,6:31.0,A. Afflalo makes 2-pt jump shot from 17 ft (assist by J. Calderón),,12,7
33,1,6:15.0,,N. Batum makes 2-pt jump shot from 17 ft (assist by A. Jefferson),12,9
34,1,5:55.0,C. Anthony misses 2-pt jump shot from 15 ft,,12,9
35,1,5:53.0,Offensive rebound by R. Lopez,,12,9
36,1,5:42.0,K. Porziņģis makes 2-pt jump shot from 7 ft,,14,9
37,1,5:30.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by P. Hairston),14,12
38,1,5:24.0,New York full timeout,,14,12
39,1,5:24.0,,C. Zeller enters the game for M. Williams,14,12
40,1,5:24.0,J. Grant enters the game for A. Afflalo,,14,12
41,1,5:24.0,L. Galloway enters the game for J. Calderón,,14,12
42,1,5:12.0,Shooting foul by P. Hairston (drawn by C. Anthony),,14,12
43,1,5:12.0,C. Anthony makes free throw 1 of 2,,15,12
44,1,5:12.0,C. Anthony misses free throw 2 of 2,,15,12
45,1,5:11.0,,Defensive rebound by A. Jefferson,15,12
46,1,4:56.0,,A. Jefferson misses 2-pt hook shot from 12 ft,15,12
47,1,4:55.0,Defensive rebound by K. Porziņģis,,15,12
48,1,4:42.0,K. Porziņģis makes 2-pt jump shot from 12 ft (assist by J. Grant),,17,12
49,1,4:23.0,,N. Batum misses 2-pt jump shot from 10 ft,17,12
50,1,4:22.0,Defensive rebound by R. Lopez,,17,12
51,1,4:08.0,R. Lopez misses 2-pt layup from 1 ft,,17,12
52,1,4:08.0,,Defensive rebound by P. Hairston,17,12
53,1,4:08.0,,Personal foul by K. Porziņģis (drawn by P. Hairston),17,12
54,1,4:08.0,K. O'Quinn enters the game for K. Porziņģis,,17,12
55,1,3:54.0,,P. Hairston makes 2-pt jump shot from 19 ft (assist by C. Zeller),17,14
56,1,3:39.0,C. Anthony misses 2-pt jump shot from 17 ft,,17,14
57,1,3:38.0,,Defensive rebound by N. Batum,17,14
58,1,3:34.0,,Personal foul by L. Galloway (drawn by N. Batum),17,14
59,1,3:34.0,,S. Hawes enters the game for A. Jefferson,17,14
60,1,3:34.0,L. Amundson enters the game for R. Lopez,,17,14
61,1,3:27.0,,Shooting foul by K. O'Quinn (drawn by C. Zeller),17,14
62,1,3:27.0,,C. Zeller makes free throw 1 of 2,17,15
63,1,3:27.0,,C. Zeller misses free throw 2 of 2,17,15
64,1,3:25.0,Defensive rebound by K. O'Quinn,,17,15
65,1,3:07.0,C. Anthony misses 3-pt jump shot from 25 ft,,17,15
66,1,3:05.0,,Defensive rebound by Team,17,15
67,1,2:52.0,,K. Walker misses 2-pt jump shot from 17 ft,17,15
68,1,2:49.0,Defensive rebound by K. O'Quinn,,17,15
69,1,2:39.0,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by J. Grant),,19,15
70,1,2:29.0,,P. Hairston misses 3-pt jump shot from 25 ft,19,15
71,1,2:27.0,,Offensive rebound by S. Hawes,19,15
72,1,2:22.0,,P. Hairston misses 3-pt jump shot from 25 ft,19,15
73,1,2:21.0,Defensive rebound by C. Anthony,,19,15
74,1,2:11.0,C. Anthony makes 2-pt layup from 2 ft,,21,15
75,1,2:07.0,,Charlotte full timeout,21,15
76,1,2:07.0,L. Thomas enters the game for C. Anthony,,21,15
77,1,2:07.0,,J. Lamb enters the game for P. Hairston,21,15
78,1,2:07.0,,J. Lin enters the game for K. Walker,21,15
79,1,1:55.0,,J. Lin misses 2-pt jump shot from 16 ft,21,15
80,1,1:54.0,Defensive rebound by J. Grant,,21,15
81,1,1:44.0,L. Galloway misses 3-pt jump shot from 23 ft,,21,15
82,1,1:43.0,,Defensive rebound by C. Zeller,21,15
83,1,1:35.0,,Shooting foul by L. Amundson (drawn by C. Zeller),21,15
84,1,1:35.0,,C. Zeller makes free throw 1 of 2,21,16
85,1,1:35.0,,M. Williams enters the game for N. Batum,21,16
86,1,1:35.0,,C. Zeller makes free throw 2 of 2,21,17
87,1,1:20.0,L. Amundson makes 2-pt jump shot from 16 ft (assist by J. Grant),,23,17
88,1,1:07.0,,C. Zeller misses 2-pt jump shot from 3 ft (block by L. Amundson),23,17
89,1,1:07.0,,Offensive rebound by Team,23,17
90,1,1:07.0,,Personal foul by K. O'Quinn (drawn by C. Zeller),23,17
91,1,1:07.0,,C. Zeller makes free throw 1 of 2,23,18
92,1,1:07.0,,C. Zeller misses free throw 2 of 2,23,18
93,1,1:06.0,Defensive rebound by K. O'Quinn,,23,18
94,1,0:54.0,L. Galloway makes 2-pt jump shot from 15 ft (assist by L. Amundson),,25,18
95,1,0:43.0,,C. Zeller misses 2-pt jump shot from 18 ft,25,18
96,1,0:41.0,Defensive rebound by K. O'Quinn,,25,18
97,1,0:25.0,L. Thomas misses 3-pt jump shot from 23 ft,,25,18
98,1,0:23.0,,Defensive rebound by C. Zeller,25,18
99,1,0:08.0,,J. Lin misses 2-pt layup from 1 ft (block by K. O'Quinn),25,18
100,1,0:06.0,Defensive rebound by J. Grant,,25,18
101,1,0:02.0,J. Grant misses 2-pt layup at rim (block by M. Williams),,25,18
102,1,0:01.0,Offensive rebound by L. Amundson,,25,18
103,1,0:00.0,L. Amundson makes 2-pt layup from 1 ft,,27,18
104,2,11:40.0,J. Grant misses 3-pt jump shot from 25 ft,,27,18
105,2,11:38.0,Offensive rebound by L. Thomas,,27,18
106,2,11:32.0,L. Galloway makes 2-pt jump shot from 14 ft (assist by L. Thomas),,29,18
107,2,11:11.0,,J. Lamb misses 2-pt jump shot from 12 ft,29,18
108,2,11:10.0,Defensive rebound by L. Amundson,,29,18
109,2,10:57.0,L. Galloway misses 2-pt layup from 2 ft (block by C. Zeller),,29,18
110,2,10:55.0,Offensive rebound by K. O'Quinn,,29,18
111,2,10:47.0,K. O'Quinn misses 2-pt jump shot from 16 ft,,29,18
112,2,10:44.0,,Defensive rebound by S. Hawes,29,18
113,2,10:44.0,,Shooting foul by K. O'Quinn (drawn by C. Zeller),29,18
114,2,10:44.0,,C. Zeller misses free throw 1 of 2,29,18
115,2,10:44.0,,Offensive rebound by Team,29,18
116,2,10:44.0,,C. Zeller makes free throw 2 of 2,29,19
117,2,10:28.0,J. Grant makes 2-pt jump shot from 17 ft,,31,19
118,2,10:12.0,,J. Lin makes 2-pt layup from 2 ft (assist by C. Zeller),31,21
119,2,9:58.0,J. Grant makes 2-pt jump shot from 15 ft,,33,21
120,2,9:54.0,,Charlotte full timeout,33,21
121,2,9:54.0,,F. Kaminsky enters the game for C. Zeller,33,21
122,2,9:54.0,D. Williams enters the game for K. O'Quinn,,33,21
123,2,9:54.0,K. Séraphin enters the game for L. Amundson,,33,21
124,2,9:45.0,,J. Lin makes 2-pt layup from 2 ft,33,23
125,2,9:29.0,J. Grant misses 3-pt jump shot from 25 ft,,33,23
126,2,9:28.0,,Defensive rebound by S. Hawes,33,23
127,2,9:12.0,,Turnover by J. Lin (lost ball; steal by D. Williams),33,23
128,2,9:08.0,Turnover by D. Williams (lost ball; steal by J. Lin),,33,23
129,2,9:03.0,,Personal foul by L. Thomas (drawn by J. Lamb),33,23
130,2,8:56.0,,J. Lamb makes 3-pt jump shot from 25 ft (assist by J. Lin),33,26
131,2,8:30.0,K. Séraphin makes 2-pt hook shot from 6 ft (assist by J. Grant),,35,26
132,2,8:17.0,,J. Lin makes 2-pt layup from 1 ft,35,28
133,2,8:10.0,Personal foul by J. Lin (drawn by J. Grant),,35,28
134,2,8:02.0,D. Williams misses 2-pt jump shot from 10 ft,,35,28
135,2,8:01.0,Offensive rebound by K. Séraphin,,35,28
136,2,7:56.0,Turnover by K. Séraphin (lost ball; steal by J. Lamb),,35,28
137,2,7:49.0,,Turnover by J. Lamb (bad pass; steal by D. Williams),35,28
138,2,7:45.0,,Offensive charge foul by D. Williams (drawn by F. Kaminsky),35,28
139,2,7:45.0,Turnover by D. Williams (offensive foul),,35,28
140,2,7:24.0,,J. Lamb makes 2-pt layup from 1 ft,35,30
141,2,7:20.0,New York full timeout,,35,30
142,2,7:20.0,,K. Walker enters the game for M. Williams,35,30
143,2,7:20.0,,P. Hairston enters the game for J. Lin,35,30
144,2,7:20.0,C. Anthony enters the game for L. Galloway,,35,30
145,2,7:20.0,R. Lopez enters the game for J. Grant,,35,30
146,2,7:20.0,J. Calderón enters the game for L. Thomas,,35,30
147,2,7:20.0,A. Afflalo enters the game for K. Séraphin,,35,30
148,2,7:01.0,R. Lopez misses 2-pt hook shot from 5 ft,,35,30
149,2,7:01.0,,Defensive rebound by Team,35,30
150,2,6:47.0,,J. Lamb makes 2-pt layup at rim (assist by F. Kaminsky),35,32
151,2,6:28.0,C. Anthony misses 2-pt jump shot from 6 ft (block by P. Hairston),,35,32
152,2,6:26.0,,Defensive rebound by K. Walker,35,32
153,2,6:15.0,,P. Hairston makes 3-pt jump shot from 24 ft (assist by S. Hawes),35,35
154,2,5:54.0,C. Anthony misses 2-pt jump shot from 21 ft,,35,35
155,2,5:52.0,Offensive rebound by Team,,35,35
156,2,5:52.0,K. Porziņģis enters the game for D. Williams,,35,35
157,2,5:52.0,,A. Jefferson enters the game for S. Hawes,35,35
158,2,5:47.0,K. Porziņģis makes 2-pt jump shot from 12 ft (assist by J. Calderón),,37,35
159,2,5:30.0,,P. Hairston misses 2-pt jump shot from 16 ft,37,35
160,2,5:29.0,Defensive rebound by A. Afflalo,,37,35
161,2,5:22.0,Turnover by C. Anthony (bad pass; steal by F. Kaminsky),,37,35
162,2,5:18.0,,Shooting foul by R. Lopez (drawn by K. Walker),37,35
163,2,5:18.0,,K. Walker makes free throw 1 of 2,37,36
164,2,5:18.0,,N. Batum enters the game for J. Lamb,37,36
165,2,5:18.0,,K. Walker makes free throw 2 of 2,37,37
166,2,5:00.0,A. Afflalo misses 3-pt jump shot from 24 ft,,37,37
167,2,4:59.0,,Defensive rebound by F. Kaminsky,37,37
168,2,4:48.0,,K. Walker misses 2-pt layup from 1 ft (block by R. Lopez),37,37
169,2,4:48.0,Defensive rebound by Team,,37,37
170,2,4:32.0,C. Anthony makes 2-pt layup from 1 ft,,39,37
171,2,4:20.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,39,37
172,2,4:19.0,Defensive rebound by R. Lopez,,39,37
173,2,4:08.0,J. Calderón makes 2-pt jump shot from 17 ft,,41,37
174,2,3:52.0,,N. Batum makes 2-pt jump shot from 17 ft (assist by P. Hairston),41,39
175,2,3:35.0,C. Anthony makes 2-pt jump shot from 11 ft (assist by J. Calderón),,43,39
176,2,3:23.0,,Shooting foul by A. Afflalo (drawn by N. Batum),43,39
177,2,3:23.0,,N. Batum misses free throw 1 of 2,43,39
178,2,3:23.0,,Offensive rebound by Team,43,39
179,2,3:23.0,,N. Batum makes free throw 2 of 2,43,40
180,2,3:11.0,J. Calderón makes 2-pt jump shot from 17 ft (assist by R. Lopez),,45,40
181,2,3:01.0,,Shooting foul by A. Afflalo (drawn by N. Batum),45,40
182,2,3:01.0,,N. Batum misses free throw 1 of 3,45,40
183,2,3:01.0,,Offensive rebound by Team,45,40
184,2,3:01.0,,N. Batum makes free throw 2 of 3,45,41
185,2,3:01.0,,N. Batum misses free throw 3 of 3,45,41
186,2,3:00.0,Defensive rebound by K. Porziņģis,,45,41
187,2,2:41.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,45,41
188,2,2:40.0,,Defensive rebound by K. Walker,45,41
189,2,2:33.0,,K. Walker misses 2-pt jump shot from 14 ft,45,41
190,2,2:32.0,Defensive rebound by K. Porziņģis,,45,41
191,2,2:23.0,C. Anthony misses 2-pt jump shot from 15 ft,,45,41
192,2,2:21.0,,Defensive rebound by F. Kaminsky,45,41
193,2,2:11.0,,Shooting foul by J. Calderón (drawn by K. Walker),45,41
194,2,2:11.0,Official timeout,,45,41
195,2,2:11.0,,K. Walker makes free throw 1 of 2,45,42
196,2,2:11.0,,K. Walker makes free throw 2 of 2,45,43
197,2,1:56.0,J. Calderón misses 3-pt jump shot from 23 ft,,45,43
198,2,1:53.0,,Defensive rebound by P. Hairston,45,43
199,2,1:50.0,,P. Hairston misses 2-pt layup from 2 ft,45,43
200,2,1:48.0,Defensive rebound by K. Porziņģis,,45,43
201,2,1:46.0,Turnover by K. Porziņģis (bad pass; steal by F. Kaminsky),,45,43
202,2,1:41.0,,F. Kaminsky makes 2-pt layup from 1 ft,45,45
203,2,1:32.0,Turnover by R. Lopez (bad pass; steal by F. Kaminsky),,45,45
204,2,1:27.0,,N. Batum makes 2-pt layup from 2 ft (assist by K. Walker),45,47
205,2,1:13.0,C. Anthony makes 2-pt jump shot from 13 ft,,47,47
206,2,0:54.0,,A. Jefferson makes 2-pt jump shot from 15 ft,47,49
207,2,0:44.0,Turnover by J. Calderón (bad pass),,47,49
208,2,0:29.0,,A. Jefferson misses 2-pt jump shot from 8 ft,47,49
209,2,0:28.0,Defensive rebound by K. Porziņģis,,47,49
210,2,0:23.0,New York full timeout,,47,49
211,2,0:23.0,,M. Williams enters the game for A. Jefferson,47,49
212,2,0:23.0,,C. Zeller enters the game for F. Kaminsky,47,49
213,2,0:10.0,C. Anthony misses 2-pt layup from 1 ft,,47,49
214,2,0:09.0,Offensive rebound by C. Anthony,,47,49
215,2,0:09.0,C. Anthony misses 2-pt layup from 1 ft,,47,49
216,2,0:09.0,,Defensive rebound by Team,47,49
