,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
0,1,11:43.0,,E. Bledsoe makes 2-pt jump shot from 11 ft (assist by J. Leuer),0,2
1,1,11:23.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,2,2
2,1,11:05.0,,A. Len misses 2-pt jump shot from 15 ft,2,2
3,1,11:03.0,Defensive rebound by N. Noel,,2,2
4,1,10:42.0,I. Smith misses 2-pt jump shot from 8 ft,,2,2
5,1,10:38.0,,Defensive rebound by B. Knight,2,2
6,1,10:24.0,,Turnover by J. Leuer (traveling),2,2
7,1,10:12.0,I. Canaan makes 3-pt jump shot from 23 ft,,5,2
8,1,9:59.0,,B. Knight makes 2-pt layup at rim (assist by J. Leuer),5,4
9,1,9:41.0,N. Noel makes 2-pt layup at rim (assist by I. Canaan),,7,4
10,1,9:33.0,Violation by N. Noel (kicked ball),,7,4
11,1,9:31.0,,Personal block foul by J. Grant (drawn by P. Tucker),7,4
12,1,9:24.0,,A. Len misses 2-pt dunk at rim,7,4
13,1,9:21.0,Defensive rebound by N. Noel,,7,4
14,1,9:18.0,Turnover by R. Covington (traveling),,7,4
15,1,9:07.0,,A. Len misses 2-pt jump shot from 4 ft,7,4
16,1,9:05.0,Defensive rebound by R. Covington,,7,4
17,1,8:52.0,Personal foul by J. Leuer (drawn by J. Grant),,7,4
18,1,8:45.0,Turnover by J. Grant (traveling),,7,4
19,1,8:33.0,,B. Knight misses 3-pt jump shot from 25 ft,7,4
20,1,8:29.0,Defensive rebound by R. Covington,,7,4
21,1,8:25.0,R. Covington misses 2-pt jump shot from 4 ft,,7,4
22,1,8:22.0,,Defensive rebound by J. Leuer,7,4
23,1,8:14.0,,B. Knight misses 3-pt jump shot from 25 ft,7,4
24,1,8:10.0,Defensive rebound by R. Covington,,7,4
25,1,8:02.0,R. Covington misses 3-pt jump shot from 25 ft,,7,4
26,1,8:00.0,,Defensive rebound by J. Leuer,7,4
