,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,T. Parker makes 2-pt jump shot from 18 ft,,2,0
1,1,11:29.0,,Q. Acy makes 2-pt dunk at rim (assist by R. Rondo),2,2
2,1,11:08.0,K. Leonard misses 2-pt jump shot from 18 ft,,2,2
3,1,11:08.0,,Defensive rebound by Q. Acy,2,2
4,1,10:58.0,,R. Gay makes 2-pt dunk at rim (assist by R. Rondo),2,4
5,1,10:58.0,,Shooting foul by D. Green (drawn by R. Gay),2,4
6,1,10:58.0,,R. Gay misses free throw 1 of 1,2,4
7,1,10:57.0,Defensive rebound by K. Leonard,,2,4
8,1,10:40.0,Turnover by T. Parker (lost ball; steal by R. Rondo),,2,4
9,1,10:34.0,,B. McLemore misses 2-pt layup from 3 ft,2,4
10,1,10:33.0,,Offensive rebound by B. McLemore,2,4
11,1,10:29.0,,R. Rondo misses 2-pt jump shot from 4 ft,2,4
12,1,10:28.0,Defensive rebound by L. Aldridge,,2,4
13,1,10:15.0,T. Duncan misses 2-pt jump shot from 19 ft,,2,4
14,1,10:14.0,,Defensive rebound by R. Rondo,2,4
15,1,10:01.0,,D. Cousins misses 2-pt jump shot from 17 ft,2,4
16,1,10:00.0,Defensive rebound by T. Duncan,,2,4
17,1,9:47.0,L. Aldridge misses 2-pt jump shot from 15 ft,,2,4
18,1,9:47.0,,Defensive rebound by D. Cousins,2,4
19,1,9:36.0,,Q. Acy misses 2-pt jump shot from 18 ft,2,4
20,1,9:36.0,Defensive rebound by L. Aldridge,,2,4
21,1,9:25.0,D. Green misses 3-pt jump shot from 24 ft,,2,4
22,1,9:24.0,,Defensive rebound by Team,2,4
23,1,9:04.0,,Turnover by R. Rondo (lost ball; steal by D. Green),2,4
24,1,8:58.0,K. Leonard misses 2-pt layup from 1 ft,,2,4
25,1,8:58.0,Offensive rebound by L. Aldridge,,2,4
26,1,8:58.0,Shooting foul by Q. Acy (drawn by L. Aldridge),,2,4
27,1,8:58.0,L. Aldridge misses free throw 1 of 2,,2,4
28,1,8:58.0,Offensive rebound by Team,,2,4
29,1,8:58.0,L. Aldridge misses free throw 2 of 2,,2,4
30,1,8:57.0,,Defensive rebound by D. Cousins,2,4
31,1,8:40.0,,B. McLemore misses 3-pt jump shot from 24 ft,2,4
32,1,8:39.0,,Offensive rebound by B. McLemore,2,4
33,1,8:32.0,,B. McLemore makes 3-pt jump shot from 22 ft,2,7
34,1,8:22.0,T. Parker makes 2-pt jump shot from 11 ft,,4,7
35,1,8:16.0,,Q. Acy makes 2-pt dunk at rim (assist by R. Rondo),4,9
36,1,8:00.0,K. Leonard misses 3-pt jump shot from 24 ft,,4,9
37,1,8:00.0,,Defensive rebound by D. Cousins,4,9
38,1,7:56.0,,B. McLemore misses 2-pt layup from 2 ft (block by D. Green),4,9
39,1,7:55.0,Defensive rebound by T. Parker,,4,9
40,1,7:47.0,L. Aldridge misses 2-pt jump shot from 12 ft,,4,9
41,1,7:47.0,,Defensive rebound by R. Gay,4,9
42,1,7:40.0,,D. Cousins misses 2-pt jump shot from 4 ft (block by L. Aldridge),4,9
43,1,7:38.0,Defensive rebound by K. Leonard,,4,9
44,1,7:29.0,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),,7,9
45,1,7:13.0,,Turnover by B. McLemore (bad pass; steal by D. Green),7,9
46,1,7:07.0,Turnover by L. Aldridge (bad pass; steal by Q. Acy),,7,9
47,1,7:02.0,,R. Rondo misses 2-pt layup from 3 ft,7,9
48,1,7:01.0,,Offensive rebound by D. Cousins,7,9
49,1,7:01.0,,D. Cousins misses 2-pt layup at rim,7,9
50,1,7:00.0,Defensive rebound by D. Green,,7,9
51,1,6:40.0,L. Aldridge misses 2-pt jump shot from 19 ft,,7,9
52,1,6:39.0,,Defensive rebound by R. Gay,7,9
53,1,6:28.0,,R. Gay makes 2-pt dunk at rim (assist by R. Rondo),7,11
54,1,6:28.0,San Antonio full timeout,,7,11
55,1,6:07.0,K. Leonard misses 2-pt jump shot from 19 ft,,7,11
56,1,6:07.0,Offensive rebound by Team,,7,11
57,1,6:07.0,,Loose ball foul by R. Rondo,7,11
58,1,6:00.0,Turnover by T. Parker (lost ball; steal by R. Rondo),,7,11
59,1,5:52.0,,B. McLemore misses 3-pt jump shot from 22 ft,7,11
60,1,5:51.0,Defensive rebound by T. Duncan,,7,11
61,1,5:38.0,K. Leonard misses 2-pt jump shot from 17 ft,,7,11
62,1,5:37.0,Offensive rebound by L. Aldridge,,7,11
63,1,5:37.0,L. Aldridge makes 2-pt layup at rim,,9,11
64,1,5:19.0,,B. McLemore misses 2-pt jump shot from 5 ft (block by L. Aldridge),9,11
65,1,5:19.0,,Offensive rebound by Team,9,11
66,1,5:19.0,K. Anderson enters the game for K. Leonard,,9,11
67,1,5:19.0,,D. Collison enters the game for B. McLemore,9,11
68,1,5:13.0,,D. Cousins misses 2-pt jump shot from 20 ft,9,11
69,1,5:12.0,Defensive rebound by K. Anderson,,9,11
70,1,5:04.0,Shooting foul by Q. Acy (drawn by L. Aldridge),,9,11
71,1,5:04.0,L. Aldridge makes free throw 1 of 2,,10,11
72,1,5:04.0,B. Diaw enters the game for T. Duncan,,10,11
73,1,5:04.0,,W. Cauley-Stein enters the game for Q. Acy,10,11
74,1,5:04.0,L. Aldridge misses free throw 2 of 2,,10,11
75,1,5:04.0,,Defensive rebound by W. Cauley-Stein,10,11
76,1,4:42.0,,D. Collison makes 2-pt jump shot from 20 ft,10,13
77,1,4:30.0,T. Parker makes 2-pt jump shot from 19 ft,,12,13
78,1,4:12.0,,R. Rondo misses 3-pt jump shot from 22 ft,12,13
79,1,4:11.0,Defensive rebound by D. Green,,12,13
80,1,3:59.0,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),,15,13
81,1,3:47.0,,D. Collison makes 2-pt jump shot from 16 ft,15,15
82,1,3:24.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by B. Diaw),,17,15
83,1,3:16.0,,Personal foul by K. Anderson,17,15
84,1,3:16.0,,M. Belinelli enters the game for R. Gay,17,15
85,1,3:16.0,P. Mills enters the game for D. Green,,17,15
86,1,3:16.0,J. Simmons enters the game for T. Parker,,17,15
87,1,3:00.0,,W. Cauley-Stein makes 2-pt jump shot from 16 ft (assist by R. Rondo),17,17
88,1,2:42.0,L. Aldridge misses 2-pt jump shot from 19 ft,,17,17
89,1,2:41.0,,Defensive rebound by W. Cauley-Stein,17,17
90,1,2:36.0,,Personal foul by L. Aldridge,17,17
91,1,2:36.0,,Sacramento full timeout,17,17
92,1,2:36.0,D. West enters the game for L. Aldridge,,17,17
93,1,2:31.0,,D. Cousins misses 2-pt layup from 4 ft,17,17
94,1,2:30.0,Defensive rebound by K. Anderson,,17,17
95,1,2:13.0,K. Anderson makes 2-pt jump shot from 18 ft,,19,17
96,1,1:58.0,,R. Rondo misses 2-pt jump shot from 8 ft,19,17
97,1,1:57.0,Defensive rebound by D. West,,19,17
98,1,1:49.0,Turnover by D. West (bad pass; steal by D. Cousins),,19,17
99,1,1:36.0,,D. Collison makes 2-pt layup from 2 ft,19,19
