,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PORTLAND_ACTION,CHARLOTTE_SCORE,PORTLAND_SCORE
0,1,11:42.0,,D. Lillard makes 2-pt jump shot from 11 ft,0,2
1,1,11:24.0,S. Hawes makes 3-pt jump shot from 24 ft (assist by N. Batum),,3,2
2,1,11:05.0,,C. McCollum misses 3-pt jump shot from 24 ft,3,2
3,1,11:05.0,Defensive rebound by Team,,3,2
4,1,10:49.0,M. Williams makes 2-pt jump shot from 8 ft (assist by N. Batum),,5,2
5,1,10:34.0,,A. Aminu makes 2-pt jump shot from 22 ft (assist by M. Plumlee),5,4
6,1,10:20.0,K. Walker makes 3-pt jump shot from 23 ft (assist by S. Hawes),,8,4
7,1,10:00.0,,M. Plumlee misses 2-pt hook shot from 5 ft,8,4
8,1,9:58.0,Defensive rebound by M. Kidd-Gilchrist,,8,4
9,1,9:44.0,M. Williams misses 2-pt jump shot from 22 ft,,8,4
10,1,9:43.0,,Defensive rebound by N. Vonleh,8,4
11,1,9:36.0,,N. Vonleh makes 2-pt dunk at rim (assist by D. Lillard),8,6
12,1,9:20.0,Turnover by K. Walker (bad pass),,8,6
13,1,9:06.0,,C. McCollum misses 2-pt jump shot from 8 ft,8,6
14,1,9:04.0,,Offensive rebound by M. Plumlee,8,6
15,1,9:01.0,,M. Plumlee makes 2-pt hook shot from 5 ft,8,8
16,1,8:35.0,,Violation by M. Plumlee (def goaltending),8,8
17,1,8:35.0,S. Hawes makes 2-pt layup from 2 ft,,10,8
18,1,8:15.0,,Turnover by C. McCollum (bad pass; steal by S. Hawes),10,8
19,1,8:02.0,K. Walker misses 2-pt layup from 2 ft (block by N. Vonleh),,10,8
20,1,8:01.0,Offensive rebound by K. Walker,,10,8
21,1,7:54.0,S. Hawes misses 3-pt jump shot from 25 ft,,10,8
22,1,7:53.0,,Defensive rebound by A. Aminu,10,8
23,1,7:45.0,,D. Lillard misses 3-pt jump shot from 23 ft,10,8
24,1,7:44.0,,Offensive rebound by C. McCollum,10,8
25,1,7:41.0,,C. McCollum misses 2-pt layup from 1 ft (block by M. Williams),10,8
26,1,7:41.0,,Offensive rebound by Team,10,8
27,1,7:31.0,,C. McCollum misses 2-pt layup from 3 ft,10,8
28,1,7:31.0,Defensive rebound by M. Kidd-Gilchrist,,10,8
29,1,7:15.0,N. Batum misses 2-pt jump shot from 20 ft,,10,8
30,1,7:14.0,,Defensive rebound by N. Vonleh,10,8
31,1,7:05.0,,Turnover by D. Lillard (bad pass; steal by N. Batum),10,8
32,1,7:01.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,12,8
33,1,7:01.0,,Portland full timeout,12,8
34,1,6:40.0,,D. Lillard misses 2-pt jump shot from 16 ft,12,8
35,1,6:39.0,Defensive rebound by M. Williams,,12,8
36,1,6:21.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,12,8
37,1,6:20.0,,Defensive rebound by C. McCollum,12,8
38,1,6:07.0,,C. McCollum misses 2-pt layup from 1 ft,12,8
39,1,6:06.0,,Offensive rebound by N. Vonleh,12,8
40,1,5:47.0,,N. Vonleh misses 2-pt jump shot from 21 ft,12,8
41,1,5:46.0,Defensive rebound by S. Hawes,,12,8
42,1,5:27.0,S. Hawes misses 2-pt hook shot from 3 ft,,12,8
43,1,5:26.0,,Defensive rebound by N. Vonleh,12,8
44,1,5:16.0,,C. McCollum misses 3-pt jump shot from 24 ft,12,8
45,1,5:14.0,Defensive rebound by S. Hawes,,12,8
46,1,5:03.0,K. Walker misses 3-pt jump shot from 24 ft,,12,8
47,1,5:02.0,,Defensive rebound by M. Plumlee,12,8
48,1,4:57.0,,D. Lillard makes 2-pt jump shot from 22 ft,12,10
49,1,4:57.0,,Shooting foul by N. Batum (drawn by D. Lillard),12,10
50,1,4:57.0,,A. Crabbe enters the game for C. McCollum,12,10
51,1,4:57.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,12,10
52,1,4:57.0,P. Hairston enters the game for M. Williams,,12,10
53,1,4:57.0,,D. Lillard makes free throw 1 of 1,12,11
54,1,4:43.0,Turnover by N. Batum (lost ball; steal by A. Aminu),,12,11
55,1,4:37.0,,A. Aminu makes 2-pt dunk at rim,12,13
56,1,4:28.0,P. Hairston misses 2-pt jump shot from 21 ft,,12,13
57,1,4:28.0,,Defensive rebound by D. Lillard,12,13
58,1,4:22.0,,D. Lillard misses 2-pt layup from 1 ft,12,13
59,1,4:20.0,,Offensive rebound by M. Plumlee,12,13
