,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ATLANTA_ACTION,MINNESOTA_SCORE,ATLANTA_SCORE
0,1,11:43.0,,Turnover by K. Bazemore (bad pass; steal by R. Rubio),0,0
1,1,11:36.0,T. Prince misses 2-pt jump shot from 4 ft,,0,0
2,1,11:34.0,,Defensive rebound by A. Horford,0,0
3,1,11:22.0,,K. Bazemore misses 2-pt layup from 1 ft (block by A. Wiggins),0,0
4,1,11:20.0,Defensive rebound by K. Towns,,0,0
5,1,11:16.0,R. Rubio makes 2-pt jump shot from 19 ft,,2,0
6,1,10:56.0,,J. Teague makes 2-pt layup at rim (assist by P. Millsap),2,2
7,1,10:43.0,Turnover by A. Wiggins (lost ball; steal by K. Bazemore),,2,2
8,1,10:37.0,,K. Bazemore misses 3-pt jump shot from 25 ft,2,2
9,1,10:34.0,Defensive rebound by Team,,2,2
10,1,10:14.0,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),,4,2
11,1,10:04.0,,Turnover by P. Millsap (traveling),4,2
12,1,9:50.0,R. Rubio makes 2-pt jump shot from 17 ft,,6,2
13,1,9:28.0,,K. Bazemore misses 2-pt layup from 1 ft,6,2
14,1,9:27.0,Defensive rebound by A. Wiggins,,6,2
15,1,9:27.0,Personal foul by K. Bazemore (drawn by A. Wiggins),,6,2
16,1,9:03.0,K. Garnett misses 2-pt jump shot from 17 ft,,6,2
17,1,9:00.0,,Defensive rebound by K. Bazemore,6,2
18,1,8:47.0,,J. Teague misses 3-pt jump shot from 24 ft,6,2
19,1,8:45.0,Defensive rebound by K. Towns,,6,2
20,1,8:36.0,R. Rubio misses 2-pt jump shot from 19 ft,,6,2
21,1,8:34.0,,Defensive rebound by P. Millsap,6,2
22,1,8:19.0,,A. Horford misses 3-pt jump shot from 23 ft,6,2
23,1,8:18.0,Defensive rebound by Team,,6,2
24,1,8:09.0,A. Wiggins misses 2-pt jump shot from 18 ft,,6,2
25,1,8:06.0,,Defensive rebound by K. Bazemore,6,2
26,1,7:56.0,,K. Korver misses 2-pt jump shot from 18 ft,6,2
27,1,7:52.0,Defensive rebound by K. Garnett,,6,2
28,1,7:50.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),,8,2
29,1,7:50.0,,Atlanta full timeout,8,2
30,1,7:35.0,,A. Horford misses 2-pt jump shot from 16 ft,8,2
31,1,7:33.0,Defensive rebound by K. Garnett,,8,2
32,1,7:22.0,Turnover by A. Wiggins (lost ball; steal by K. Bazemore),,8,2
33,1,7:06.0,,A. Horford misses 2-pt jump shot from 17 ft,8,2
34,1,7:05.0,Defensive rebound by K. Garnett,,8,2
35,1,6:44.0,A. Wiggins misses 3-pt jump shot from 25 ft,,8,2
36,1,6:43.0,,Defensive rebound by P. Millsap,8,2
37,1,6:24.0,,Turnover by J. Teague (bad pass; steal by A. Wiggins),8,2
38,1,6:17.0,R. Rubio makes 2-pt jump shot from 17 ft (assist by A. Wiggins),,10,2
39,1,5:57.0,,Personal foul by K. Garnett (drawn by K. Bazemore),10,2
40,1,5:57.0,,T. Splitter enters the game for A. Horford,10,2
41,1,5:57.0,N. Bjelica enters the game for K. Garnett,,10,2
42,1,5:45.0,,Turnover by P. Millsap (lost ball; steal by R. Rubio),10,2
43,1,5:37.0,R. Rubio misses 2-pt layup from 2 ft,,10,2
44,1,5:35.0,,Defensive rebound by K. Korver,10,2
45,1,5:23.0,,T. Splitter makes 2-pt hook shot from 6 ft,10,4
46,1,5:10.0,Personal foul by K. Bazemore (drawn by A. Wiggins),,10,4
47,1,5:10.0,K. Martin enters the game for T. Prince,,10,4
48,1,5:10.0,,T. Sefolosha enters the game for K. Bazemore,10,4
49,1,5:10.0,,D. Schröder enters the game for J. Teague,10,4
50,1,5:00.0,R. Rubio makes 2-pt layup from 2 ft,,12,4
51,1,4:49.0,,T. Sefolosha makes 2-pt layup at rim (assist by P. Millsap),12,6
52,1,4:25.0,K. Martin misses 2-pt jump shot from 13 ft,,12,6
53,1,4:23.0,Offensive rebound by A. Wiggins,,12,6
54,1,4:23.0,A. Wiggins makes 2-pt dunk at rim,,14,6
55,1,4:08.0,,D. Schröder makes 2-pt layup from 2 ft,14,8
56,1,4:01.0,Minnesota full timeout,,14,8
57,1,4:01.0,,J. Holiday enters the game for K. Korver,14,8
58,1,4:01.0,Z. LaVine enters the game for R. Rubio,,14,8
59,1,3:50.0,N. Bjelica makes 3-pt jump shot from 24 ft (assist by A. Wiggins),,17,8
60,1,3:41.0,,P. Millsap misses 2-pt layup from 1 ft,17,8
61,1,3:38.0,Defensive rebound by A. Wiggins,,17,8
62,1,3:32.0,A. Wiggins makes 2-pt layup at rim,,19,8
63,1,3:18.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by D. Schröder),19,11
64,1,3:06.0,Z. LaVine misses 2-pt layup from 2 ft (block by P. Millsap),,19,11
65,1,3:06.0,,Defensive rebound by T. Splitter,19,11
66,1,3:06.0,,Personal foul by Z. LaVine (drawn by T. Splitter),19,11
67,1,3:06.0,G. Dieng enters the game for K. Towns,,19,11
68,1,3:06.0,,M. Scott enters the game for P. Millsap,19,11
69,1,2:52.0,,D. Schröder misses 3-pt jump shot from 24 ft,19,11
70,1,2:50.0,Defensive rebound by G. Dieng,,19,11
71,1,2:33.0,Turnover by N. Bjelica (bad pass; steal by J. Holiday),,19,11
72,1,2:33.0,,Personal foul by N. Bjelica (drawn by M. Scott),19,11
73,1,2:33.0,S. Muhammad enters the game for A. Wiggins,,19,11
74,1,2:15.0,,T. Sefolosha makes 3-pt jump shot from 22 ft (assist by T. Splitter),19,14
75,1,2:11.0,Inbound foul by D. Schröder,,19,14
76,1,2:11.0,Z. LaVine makes free throw 1 of 2,,20,14
77,1,2:11.0,Z. LaVine makes free throw 2 of 2,,21,14
78,1,1:56.0,,Personal foul by G. Dieng (drawn by T. Splitter),21,14
79,1,1:50.0,,Turnover by J. Holiday (lost ball; steal by Z. LaVine),21,14
80,1,1:44.0,Z. LaVine makes 2-pt layup from 1 ft,,23,14
81,1,1:36.0,,D. Schröder makes 2-pt layup at rim (assist by T. Splitter),23,16
82,1,1:20.0,G. Dieng misses 2-pt hook shot from 6 ft,,23,16
83,1,1:17.0,Offensive rebound by G. Dieng,,23,16
84,1,1:17.0,G. Dieng makes 2-pt layup at rim,,25,16
85,1,0:57.0,,Turnover by T. Splitter (bad pass),25,16
86,1,0:45.0,K. Martin makes 3-pt jump shot from 23 ft (assist by Z. LaVine),,28,16
87,1,0:30.0,,D. Schröder makes 3-pt jump shot from 24 ft,28,19
88,1,0:11.0,Personal foul by J. Holiday (drawn by K. Martin),,28,19
89,1,0:01.0,K. Martin makes 2-pt jump shot from 12 ft,,30,19
90,1,0:00.0,,T. Splitter misses 3-pt jump shot from 81 ft,30,19
91,1,0:00.0,,Offensive rebound by Team,30,19
92,2,11:42.0,S. Muhammad makes 2-pt layup from 1 ft (assist by N. Bjelica),,32,19
93,2,11:20.0,,M. Scott makes 2-pt jump shot from 12 ft (assist by J. Holiday),32,21
94,2,10:53.0,Z. LaVine makes 2-pt layup at rim,,34,21
95,2,10:39.0,,J. Holiday misses 3-pt jump shot from 24 ft,34,21
96,2,10:36.0,Defensive rebound by S. Muhammad,,34,21
97,2,10:33.0,Shooting foul by J. Holiday (drawn by N. Bjelica),,34,21
98,2,10:33.0,N. Bjelica makes free throw 1 of 2,,35,21
99,2,10:33.0,,J. Teague enters the game for D. Schröder,35,21
100,2,10:33.0,,K. Korver enters the game for J. Holiday,35,21
101,2,10:33.0,N. Bjelica makes free throw 2 of 2,,36,21
102,2,10:22.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),36,24
103,2,9:56.0,K. Martin misses 3-pt jump shot from 24 ft,,36,24
104,2,9:55.0,,Defensive rebound by M. Scott,36,24
105,2,9:47.0,,Turnover by J. Teague (bad pass),36,24
106,2,9:28.0,G. Dieng misses 2-pt layup at rim,,36,24
107,2,9:26.0,,Defensive rebound by T. Sefolosha,36,24
108,2,9:20.0,,M. Scott misses 2-pt jump shot from 18 ft,36,24
109,2,9:19.0,Defensive rebound by N. Bjelica,,36,24
110,2,9:11.0,G. Dieng makes 2-pt layup from 1 ft (assist by Z. LaVine),,38,24
111,2,8:58.0,,A. Horford makes 2-pt jump shot from 13 ft,38,26
112,2,8:44.0,Z. LaVine makes 2-pt layup from 1 ft,,40,26
113,2,8:33.0,,A. Horford misses 2-pt jump shot from 19 ft,40,26
114,2,8:32.0,Defensive rebound by Z. LaVine,,40,26
115,2,8:24.0,S. Muhammad makes 2-pt hook shot from 11 ft (assist by N. Bjelica),,42,26
116,2,8:24.0,,Atlanta full timeout,42,26
117,2,8:11.0,,J. Teague makes 2-pt jump shot from 12 ft,42,28
118,2,7:57.0,K. Martin makes 2-pt layup at rim (assist by Z. LaVine),,44,28
119,2,7:56.0,,Atlanta full timeout,44,28
120,2,7:56.0,A. Wiggins enters the game for S. Muhammad,,44,28
121,2,7:42.0,,K. Korver misses 2-pt jump shot from 19 ft,44,28
122,2,7:41.0,Defensive rebound by Z. LaVine,,44,28
123,2,7:28.0,Turnover by A. Wiggins (lost ball; steal by T. Sefolosha),,44,28
124,2,7:23.0,,M. Scott makes 2-pt dunk at rim (assist by J. Teague),44,30
125,2,7:15.0,G. Dieng makes 2-pt layup from 1 ft (assist by Z. LaVine),,46,30
126,2,7:05.0,,Turnover by J. Teague (bad pass; steal by G. Dieng),46,30
127,2,7:00.0,K. Martin makes 3-pt jump shot from 23 ft (assist by Z. LaVine),,49,30
128,2,7:00.0,Shooting foul by J. Teague (drawn by K. Martin),,49,30
129,2,7:00.0,,K. Bazemore enters the game for T. Sefolosha,49,30
130,2,7:00.0,,P. Millsap enters the game for M. Scott,49,30
131,2,7:00.0,K. Towns enters the game for G. Dieng,,49,30
132,2,7:00.0,R. Rubio enters the game for Z. LaVine,,49,30
133,2,7:00.0,K. Martin makes free throw 1 of 1,,50,30
134,2,6:52.0,,Personal foul by K. Martin (drawn by K. Korver),50,30
135,2,6:47.0,,J. Teague misses 3-pt jump shot from 24 ft,50,30
136,2,6:45.0,Defensive rebound by K. Towns,,50,30
137,2,6:28.0,A. Wiggins makes 2-pt layup from 1 ft (assist by N. Bjelica),,52,30
138,2,6:15.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Korver),52,32
139,2,6:00.0,K. Martin misses 3-pt jump shot from 25 ft,,52,32
140,2,5:59.0,,Defensive rebound by J. Teague,52,32
141,2,5:52.0,,Personal foul by R. Rubio (drawn by J. Teague),52,32
142,2,5:52.0,T. Prince enters the game for K. Martin,,52,32
143,2,5:52.0,K. Garnett enters the game for N. Bjelica,,52,32
144,2,5:42.0,,K. Bazemore misses 3-pt jump shot from 23 ft,52,32
145,2,5:41.0,Defensive rebound by K. Garnett,,52,32
