,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:37.0,A. Drummond makes 2-pt hook shot from 11 ft,,2,0
1,1,11:27.0,,Personal foul by A. Drummond,2,0
2,1,11:17.0,,L. James misses 2-pt jump shot from 13 ft,2,0
3,1,11:16.0,Defensive rebound by K. Caldwell-Pope,,2,0
4,1,11:12.0,Personal foul by T. Thompson,,2,0
5,1,11:02.0,T. Harris misses 3-pt jump shot from 24 ft,,2,0
6,1,11:02.0,,Defensive rebound by Team,2,0
7,1,10:43.0,,K. Love misses 2-pt jump shot from 14 ft,2,0
8,1,10:40.0,Defensive rebound by K. Caldwell-Pope,,2,0
9,1,10:34.0,R. Jackson misses 2-pt jump shot from 6 ft,,2,0
10,1,10:33.0,Offensive rebound by Team,,2,0
11,1,10:25.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by R. Jackson),,4,0
12,1,10:01.0,,K. Irving makes 2-pt jump shot from 11 ft (assist by T. Thompson),4,2
13,1,9:49.0,M. Morris misses 3-pt jump shot from 25 ft,,4,2
14,1,9:48.0,,Defensive rebound by K. Love,4,2
15,1,9:34.0,,K. Love misses 3-pt jump shot from 25 ft,4,2
16,1,9:34.0,Defensive rebound by M. Morris,,4,2
17,1,9:25.0,Shooting foul by T. Thompson (drawn by A. Drummond),,4,2
18,1,9:25.0,A. Drummond misses free throw 1 of 2,,4,2
19,1,9:25.0,Offensive rebound by Team,,4,2
20,1,9:25.0,,T. Mozgov enters the game for T. Thompson,4,2
21,1,9:25.0,A. Drummond makes free throw 2 of 2,,5,2
22,1,9:07.0,,T. Mozgov misses 2-pt layup at rim,5,2
23,1,9:06.0,,Offensive rebound by Team,5,2
24,1,8:55.0,,K. Irving misses 2-pt jump shot from 14 ft,5,2
25,1,8:55.0,Defensive rebound by Team,,5,2
26,1,8:37.0,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Harris),,8,2
