,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHOENIX_ACTION,BOSTON_SCORE,PHOENIX_SCORE
0,1,11:40.0,,A. Len misses 2-pt layup from 1 ft,0,0
1,1,11:38.0,Defensive rebound by I. Thomas,,0,0
2,1,11:22.0,A. Bradley makes 2-pt jump shot from 7 ft,,2,0
3,1,10:59.0,,J. Jenkins makes 3-pt jump shot from 23 ft (assist by P. Tucker),2,3
4,1,10:28.0,J. Sullinger misses 2-pt jump shot from 15 ft,,2,3
5,1,10:24.0,,Defensive rebound by J. Jenkins,2,3
6,1,10:15.0,,D. Booker misses 2-pt jump shot from 8 ft,2,3
7,1,10:11.0,Defensive rebound by A. Johnson,,2,3
8,1,10:05.0,E. Turner misses 2-pt jump shot from 15 ft,,2,3
9,1,10:02.0,Offensive rebound by A. Johnson,,2,3
10,1,9:58.0,I. Thomas misses 2-pt jump shot from 7 ft,,2,3
11,1,9:56.0,Offensive rebound by A. Johnson,,2,3
12,1,9:54.0,I. Thomas misses 3-pt jump shot from 23 ft,,2,3
13,1,9:52.0,,Defensive rebound by A. Len,2,3
14,1,9:46.0,,D. Booker misses 3-pt jump shot from 25 ft,2,3
15,1,9:43.0,Defensive rebound by E. Turner,,2,3
16,1,9:38.0,A. Bradley misses 3-pt jump shot from 23 ft,,2,3
17,1,9:36.0,,Defensive rebound by J. Jenkins,2,3
18,1,9:21.0,,Turnover by A. Len (bad pass; steal by A. Johnson),2,3
19,1,9:15.0,I. Thomas misses 2-pt layup at rim,,2,3
20,1,9:11.0,,Defensive rebound by J. Jenkins,2,3
21,1,9:09.0,,D. Booker misses 2-pt layup from 2 ft,2,3
22,1,9:08.0,,Offensive rebound by A. Len,2,3
23,1,9:08.0,,Shooting foul by A. Johnson (drawn by A. Len),2,3
24,1,9:08.0,,A. Len makes 2-pt layup at rim,2,5
25,1,9:08.0,Technical foul by I. Thomas,,2,5
26,1,9:08.0,,B. Knight makes technical free throw,2,6
27,1,9:08.0,,A. Len misses free throw 1 of 1,2,6
28,1,9:08.0,Defensive rebound by E. Turner,,2,6
29,1,8:52.0,E. Turner misses 2-pt jump shot from 5 ft,,2,6
30,1,8:51.0,Offensive rebound by E. Turner,,2,6
31,1,8:51.0,Shooting foul by J. Jenkins (drawn by E. Turner),,2,6
32,1,8:51.0,E. Turner makes free throw 1 of 2,,3,6
33,1,8:51.0,E. Turner makes free throw 2 of 2,,4,6
34,1,8:39.0,,J. Jenkins makes 3-pt jump shot from 24 ft,4,9
35,1,8:29.0,I. Thomas makes 2-pt layup from 1 ft,,6,9
36,1,8:29.0,Shooting block foul by A. Len (drawn by I. Thomas),,6,9
37,1,8:29.0,I. Thomas makes free throw 1 of 1,,7,9
38,1,8:07.0,,P. Tucker misses 2-pt jump shot from 6 ft,7,9
39,1,8:05.0,Defensive rebound by A. Bradley,,7,9
40,1,7:59.0,Shooting foul by D. Booker (drawn by A. Bradley),,7,9
41,1,7:59.0,A. Bradley makes free throw 1 of 2,,8,9
42,1,7:59.0,A. Bradley makes free throw 2 of 2,,9,9
43,1,7:47.0,,A. Len misses 2-pt jump shot from 17 ft,9,9
44,1,7:46.0,,Offensive rebound by A. Len,9,9
45,1,7:45.0,Loose ball foul by E. Turner,,9,9
46,1,7:41.0,Violation by I. Thomas (kicked ball),,9,9
47,1,7:35.0,,B. Knight misses 3-pt jump shot from 25 ft,9,9
48,1,7:34.0,,Offensive rebound by Team,9,9
49,1,7:31.0,,Turnover by A. Len (offensive foul),9,9
50,1,7:31.0,,Offensive foul by A. Len (drawn by I. Thomas),9,9
51,1,7:31.0,,M. Teletović enters the game for A. Len,9,9
52,1,7:21.0,Personal foul by M. Teletović,,9,9
53,1,7:15.0,Shooting foul by D. Booker (drawn by A. Bradley),,9,9
54,1,7:15.0,A. Bradley makes free throw 1 of 2,,10,9
55,1,7:15.0,,A. Goodwin enters the game for D. Booker,10,9
56,1,7:15.0,A. Bradley makes free throw 2 of 2,,11,9
57,1,6:59.0,,M. Teletović misses 3-pt jump shot from 25 ft,11,9
58,1,6:57.0,Defensive rebound by E. Turner,,11,9
59,1,6:45.0,J. Sullinger misses 2-pt jump shot from 3 ft (block by J. Jenkins),,11,9
60,1,6:42.0,,Defensive rebound by M. Teletović,11,9
61,1,6:38.0,,Turnover by J. Jenkins (bad pass; steal by J. Sullinger),11,9
62,1,6:31.0,E. Turner makes 2-pt layup from 2 ft (assist by A. Johnson),,13,9
63,1,6:31.0,,Phoenix full timeout,13,9
64,1,6:21.0,,Personal foul by A. Bradley,13,9
65,1,6:15.0,,B. Knight makes 3-pt jump shot from 24 ft,13,12
66,1,5:57.0,I. Thomas makes 2-pt layup from 1 ft,,15,12
67,1,5:42.0,,Turnover by J. Jenkins (bad pass; steal by J. Sullinger),15,12
68,1,5:37.0,A. Bradley makes 2-pt layup from 1 ft,,17,12
69,1,5:23.0,,M. Teletović makes 3-pt jump shot from 25 ft (assist by J. Jenkins),17,15
70,1,5:09.0,J. Sullinger misses 2-pt jump shot from 20 ft,,17,15
71,1,5:07.0,Offensive rebound by I. Thomas,,17,15
72,1,4:50.0,A. Bradley misses 3-pt jump shot from 24 ft,,17,15
73,1,4:48.0,Offensive rebound by I. Thomas,,17,15
74,1,4:45.0,I. Thomas misses 3-pt jump shot from 25 ft,,17,15
75,1,4:41.0,Offensive rebound by J. Sullinger,,17,15
76,1,4:41.0,J. Sullinger makes 2-pt layup from 1 ft,,19,15
77,1,4:31.0,,B. Knight misses 3-pt jump shot from 25 ft,19,15
78,1,4:29.0,Defensive rebound by A. Johnson,,19,15
79,1,4:23.0,E. Turner makes 2-pt jump shot from 4 ft,,21,15
80,1,4:13.0,,Turnover by P. Tucker (bad pass),21,15
81,1,4:13.0,M. Smart enters the game for E. Turner,,21,15
82,1,4:13.0,K. Olynyk enters the game for J. Sullinger,,21,15
83,1,4:13.0,,R. Price enters the game for J. Jenkins,21,15
84,1,4:01.0,I. Thomas misses 2-pt layup from 2 ft,,21,15
85,1,3:58.0,,Defensive rebound by M. Teletović,21,15
86,1,3:53.0,,P. Tucker misses 2-pt layup from 2 ft,21,15
87,1,3:51.0,,Offensive rebound by P. Tucker,21,15
88,1,3:51.0,,P. Tucker misses 2-pt layup from 1 ft,21,15
89,1,3:49.0,,Offensive rebound by P. Tucker,21,15
90,1,3:44.0,,M. Teletović misses 3-pt jump shot from 24 ft,21,15
91,1,3:42.0,Defensive rebound by A. Bradley,,21,15
92,1,3:32.0,A. Bradley misses 2-pt jump shot from 21 ft,,21,15
93,1,3:29.0,,Defensive rebound by A. Goodwin,21,15
94,1,3:22.0,,B. Knight misses 3-pt jump shot from 24 ft,21,15
95,1,3:19.0,Defensive rebound by M. Smart,,21,15
96,1,3:11.0,Shooting foul by A. Goodwin (drawn by I. Thomas),,21,15
97,1,3:11.0,I. Thomas makes free throw 1 of 2,,22,15
98,1,3:11.0,,C. Budinger enters the game for P. Tucker,22,15
99,1,3:11.0,J. Jerebko enters the game for A. Johnson,,22,15
100,1,3:11.0,I. Thomas makes free throw 2 of 2,,23,15
101,1,2:56.0,,Def 3 sec tech foul by M. Smart,23,15
102,1,2:56.0,Boston full timeout,,23,15
103,1,2:56.0,,B. Knight makes technical free throw,23,16
104,1,2:47.0,,Turnover by C. Budinger (bad pass),23,16
105,1,2:29.0,M. Smart misses 3-pt jump shot from 25 ft,,23,16
106,1,2:27.0,Offensive rebound by J. Jerebko,,23,16
107,1,2:21.0,Turnover by M. Smart (lost ball; steal by B. Knight),,23,16
108,1,2:18.0,,Shooting foul by J. Jerebko (drawn by A. Goodwin),23,16
109,1,2:18.0,,A. Goodwin makes free throw 1 of 2,23,17
110,1,2:18.0,T. Rozier enters the game for A. Bradley,,23,17
111,1,2:18.0,,A. Goodwin makes free throw 2 of 2,23,18
112,1,2:05.0,K. Olynyk makes 2-pt layup from 2 ft,,25,18
113,1,1:54.0,,B. Knight misses 3-pt jump shot from 24 ft,25,18
114,1,1:52.0,Defensive rebound by K. Olynyk,,25,18
115,1,1:38.0,Offensive foul by K. Olynyk (drawn by A. Goodwin),,25,18
116,1,1:38.0,Turnover by K. Olynyk (offensive foul),,25,18
