,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
0,1,11:38.0,,P. Gasol makes 2-pt jump shot from 6 ft,0,2
1,1,11:17.0,A. Davis misses 2-pt jump shot from 17 ft,,0,2
2,1,11:16.0,,Defensive rebound by P. Gasol,0,2
3,1,11:02.0,,D. Rose makes 2-pt layup at rim,0,4
4,1,10:39.0,E. Gordon misses 3-pt jump shot from 23 ft,,0,4
5,1,10:38.0,,Defensive rebound by P. Gasol,0,4
6,1,10:24.0,,T. Snell misses 3-pt jump shot from 24 ft,0,4
7,1,10:23.0,Defensive rebound by A. Davis,,0,4
8,1,10:12.0,T. Evans makes 3-pt jump shot from 24 ft (assist by A. Davis),,3,4
9,1,9:48.0,,T. Gibson misses 2-pt jump shot from 14 ft (block by A. Davis),3,4
10,1,9:44.0,Defensive rebound by A. Ajinça,,3,4
11,1,9:40.0,T. Evans makes 2-pt layup from 2 ft,,5,4
12,1,9:29.0,,Turnover by D. Rose (bad pass; steal by A. Gee),5,4
13,1,9:23.0,A. Gee misses 2-pt jump shot from 17 ft,,5,4
14,1,9:22.0,,Defensive rebound by T. Gibson,5,4
15,1,9:08.0,,P. Gasol misses 2-pt hook shot from 6 ft,5,4
16,1,9:06.0,Defensive rebound by A. Davis,,5,4
17,1,9:02.0,Turnover by E. Gordon (bad pass; steal by T. Snell),,5,4
18,1,8:55.0,,J. Butler misses 3-pt jump shot from 25 ft,5,4
19,1,8:53.0,Defensive rebound by A. Davis,,5,4
20,1,8:35.0,A. Davis misses 2-pt jump shot from 5 ft,,5,4
21,1,8:34.0,,Defensive rebound by J. Butler,5,4
22,1,8:21.0,,P. Gasol makes 2-pt dunk at rim,5,6
23,1,7:55.0,T. Evans misses 3-pt jump shot from 23 ft,,5,6
24,1,7:54.0,,Defensive rebound by T. Gibson,5,6
25,1,7:40.0,,Turnover by T. Snell (bad pass),5,6
26,1,7:22.0,T. Evans makes 2-pt layup from 1 ft,,7,6
27,1,7:08.0,,Turnover by P. Gasol (bad pass; steal by A. Gee),7,6
28,1,7:05.0,A. Gee makes 2-pt dunk at rim,,9,6
29,1,6:49.0,,D. Rose misses 2-pt layup from 1 ft,9,6
30,1,6:48.0,Defensive rebound by A. Davis,,9,6
31,1,6:48.0,Personal foul by P. Gasol (drawn by A. Davis),,9,6
32,1,6:34.0,E. Gordon misses 2-pt layup from 2 ft,,9,6
33,1,6:33.0,,Defensive rebound by P. Gasol,9,6
34,1,6:21.0,,P. Gasol misses 2-pt layup from 1 ft,9,6
35,1,6:20.0,Defensive rebound by A. Ajinça,,9,6
36,1,6:07.0,A. Ajinça misses 2-pt jump shot from 22 ft,,9,6
37,1,6:06.0,,Defensive rebound by T. Gibson,9,6
38,1,5:53.0,,Turnover by T. Gibson (lost ball),9,6
39,1,5:53.0,,Chicago full timeout,9,6
40,1,5:53.0,,J. Noah enters the game for T. Gibson,9,6
41,1,5:53.0,,D. McDermott enters the game for T. Snell,9,6
42,1,5:53.0,,K. Hinrich enters the game for D. Rose,9,6
43,1,5:53.0,Ö. Aşık enters the game for A. Ajinça,,9,6
44,1,5:53.0,Violation by Team (delay of game),,9,6
45,1,5:40.0,A. Davis misses 2-pt jump shot from 16 ft,,9,6
46,1,5:39.0,,Defensive rebound by J. Noah,9,6
47,1,5:29.0,,J. Butler makes 2-pt dunk at rim (assist by P. Gasol),9,8
48,1,5:13.0,E. Gordon makes 2-pt jump shot from 14 ft (assist by T. Evans),,11,8
49,1,5:00.0,,D. McDermott makes 2-pt layup from 3 ft,11,10
50,1,4:49.0,A. Davis makes 2-pt jump shot from 14 ft (assist by T. Evans),,13,10
51,1,4:29.0,,Shooting foul by E. Gordon (drawn by J. Butler),13,10
52,1,4:29.0,,J. Butler makes free throw 1 of 2,13,11
53,1,4:29.0,N. Cole enters the game for T. Evans,,13,11
54,1,4:29.0,,J. Butler misses free throw 2 of 2,13,11
55,1,4:26.0,,Offensive rebound by J. Noah,13,11
56,1,4:26.0,,J. Noah misses 2-pt layup from 1 ft,13,11
57,1,4:24.0,,Offensive rebound by P. Gasol,13,11
58,1,4:24.0,,P. Gasol misses 2-pt layup from 1 ft,13,11
59,1,4:22.0,Defensive rebound by A. Gee,,13,11
60,1,4:15.0,E. Gordon misses 2-pt jump shot from 9 ft,,13,11
61,1,4:11.0,Offensive rebound by Ö. Aşık,,13,11
62,1,4:11.0,Ö. Aşık makes 2-pt layup at rim,,15,11
63,1,3:51.0,,Turnover by P. Gasol (lost ball; steal by A. Gee),15,11
64,1,3:37.0,E. Gordon misses 2-pt jump shot from 18 ft,,15,11
65,1,3:36.0,,Defensive rebound by J. Butler,15,11
66,1,3:23.0,,D. McDermott makes 2-pt jump shot from 5 ft,15,13
67,1,3:14.0,Shooting foul by J. Noah (drawn by E. Gordon),,15,13
68,1,3:14.0,E. Gordon makes free throw 1 of 2,,16,13
69,1,3:14.0,,N. Mirotić enters the game for P. Gasol,16,13
70,1,3:14.0,E. Gordon makes free throw 2 of 2,,17,13
71,1,3:03.0,,Turnover by K. Hinrich (bad pass; steal by A. Gee),17,13
72,1,2:59.0,N. Cole makes 2-pt layup from 1 ft (assist by A. Gee),,19,13
73,1,2:35.0,,Turnover by D. McDermott (bad pass; steal by A. Davis),19,13
74,1,2:31.0,,Offensive charge foul by A. Gee (drawn by J. Butler),19,13
75,1,2:31.0,Turnover by A. Gee (offensive foul),,19,13
76,1,2:31.0,New Orleans full timeout,,19,13
77,1,2:13.0,,J. Butler misses 2-pt jump shot from 13 ft,19,13
78,1,2:12.0,Defensive rebound by N. Cole,,19,13
79,1,2:02.0,Ö. Aşık makes 2-pt dunk at rim (assist by N. Cole),,21,13
80,1,1:45.0,,J. Butler misses 2-pt layup from 2 ft,21,13
81,1,1:43.0,Defensive rebound by Ö. Aşık,,21,13
82,1,1:31.0,N. Cole misses 2-pt jump shot from 17 ft,,21,13
83,1,1:30.0,,Defensive rebound by J. Noah,21,13
84,1,1:22.0,,Shooting foul by Ö. Aşık (drawn by J. Noah),21,13
85,1,1:22.0,,J. Noah makes free throw 1 of 2,21,14
86,1,1:22.0,,A. Brooks enters the game for K. Hinrich,21,14
87,1,1:22.0,,J. Noah makes free throw 2 of 2,21,15
88,1,1:03.0,A. Gee makes 3-pt jump shot from 22 ft (assist by N. Cole),,24,15
