,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,K. Durant misses 2-pt jump shot from 14 ft,0,0
1,1,11:44.0,Defensive rebound by J. Clarkson,,0,0
2,1,11:38.0,J. Clarkson makes 2-pt jump shot from 3 ft,,2,0
3,1,11:23.0,,Shooting foul by A. Brown (drawn by K. Durant),2,0
4,1,11:23.0,,K. Durant makes free throw 1 of 2,2,1
5,1,11:23.0,,K. Durant misses free throw 2 of 2,2,1
6,1,11:22.0,Defensive rebound by R. Hibbert,,2,1
7,1,10:57.0,J. Clarkson makes 2-pt jump shot from 15 ft (assist by L. Nance),,4,1
8,1,10:44.0,,S. Ibaka makes 2-pt jump shot from 16 ft (assist by R. Westbrook),4,3
9,1,10:32.0,Turnover by J. Clarkson (bad pass; steal by R. Westbrook),,4,3
10,1,10:27.0,,R. Westbrook makes 2-pt layup from 1 ft,4,5
11,1,10:03.0,Turnover by L. Nance (bad pass),,4,5
12,1,9:47.0,,S. Ibaka misses 2-pt dunk at rim (block by R. Hibbert),4,5
13,1,9:46.0,,Offensive rebound by S. Ibaka,4,5
14,1,9:44.0,,Turnover by S. Ibaka (bad pass; steal by L. Williams),4,5
15,1,9:33.0,J. Clarkson misses 2-pt layup at rim,,4,5
16,1,9:32.0,,Defensive rebound by S. Ibaka,4,5
17,1,9:22.0,,Shooting foul by R. Hibbert (drawn by R. Westbrook),4,5
18,1,9:22.0,,R. Westbrook misses free throw 1 of 2,4,5
19,1,9:22.0,,Offensive rebound by Team,4,5
20,1,9:22.0,,R. Westbrook makes free throw 2 of 2,4,6
21,1,9:05.0,L. Williams misses 2-pt jump shot from 17 ft,,4,6
22,1,9:05.0,,Defensive rebound by Team,4,6
23,1,8:51.0,,K. Durant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),4,9
24,1,8:34.0,L. Nance makes 2-pt jump shot from 14 ft (assist by R. Hibbert),,6,9
25,1,8:21.0,,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),6,11
26,1,8:06.0,Personal block foul by R. Westbrook,,6,11
27,1,8:01.0,L. Williams makes 3-pt jump shot from 22 ft,,9,11
28,1,7:48.0,,R. Westbrook misses 2-pt jump shot from 10 ft,9,11
29,1,7:48.0,Defensive rebound by L. Nance,,9,11
30,1,7:42.0,J. Clarkson misses 2-pt jump shot from 18 ft,,9,11
31,1,7:41.0,,Defensive rebound by S. Ibaka,9,11
32,1,7:33.0,,R. Westbrook makes 2-pt jump shot from 17 ft,9,13
33,1,7:13.0,A. Brown misses 3-pt jump shot from 24 ft (block by A. Roberson),,9,13
34,1,7:13.0,Offensive rebound by Team,,9,13
35,1,7:05.0,J. Clarkson misses 2-pt layup from 1 ft,,9,13
36,1,7:04.0,,Defensive rebound by S. Adams,9,13
37,1,6:56.0,,S. Ibaka misses 2-pt jump shot from 16 ft,9,13
