,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,J. Crawford misses 2-pt jump shot from 15 ft,0,0
1,1,11:42.0,Defensive rebound by A. Drummond,,0,0
2,1,11:30.0,M. Morris misses 3-pt jump shot from 25 ft,,0,0
3,1,11:30.0,Offensive rebound by A. Drummond,,0,0
4,1,11:26.0,E. İlyasova makes 2-pt layup from 1 ft (assist by A. Drummond),,2,0
5,1,11:08.0,,A. Rivers makes 3-pt jump shot from 23 ft (assist by J. Crawford),2,3
6,1,10:55.0,Shooting foul by D. Jordan (drawn by A. Drummond),,2,3
7,1,10:55.0,A. Drummond misses free throw 1 of 2,,2,3
8,1,10:55.0,Offensive rebound by Team,,2,3
9,1,10:55.0,A. Drummond misses free throw 2 of 2,,2,3
10,1,10:54.0,,Defensive rebound by D. Jordan,2,3
11,1,10:43.0,,B. Griffin misses 2-pt jump shot from 16 ft,2,3
12,1,10:42.0,Defensive rebound by A. Drummond,,2,3
13,1,10:33.0,R. Jackson makes 2-pt jump shot from 6 ft,,4,3
14,1,10:17.0,,B. Griffin misses 2-pt hook shot from 7 ft,4,3
15,1,10:15.0,Defensive rebound by A. Drummond,,4,3
16,1,10:09.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by R. Jackson),,7,3
17,1,9:43.0,,P. Pierce misses 2-pt jump shot from 17 ft,7,3
18,1,9:40.0,,Offensive rebound by D. Jordan,7,3
19,1,9:37.0,,D. Jordan makes 2-pt layup at rim,7,5
20,1,9:23.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,10,5
21,1,8:49.0,,Turnover by Team (shot clock),10,5
22,1,8:38.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by R. Jackson),,13,5
23,1,8:17.0,,Personal foul by E. İlyasova (drawn by B. Griffin),13,5
24,1,8:17.0,,B. Griffin misses free throw 1 of 2,13,5
25,1,8:17.0,,Offensive rebound by Team,13,5
26,1,8:17.0,,B. Griffin makes free throw 2 of 2,13,6
27,1,7:59.0,M. Morris misses 2-pt jump shot from 18 ft,,13,6
28,1,7:58.0,,Defensive rebound by D. Jordan,13,6
29,1,7:48.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),13,8
30,1,7:30.0,R. Jackson makes 3-pt jump shot from 24 ft,,16,8
31,1,7:09.0,,D. Jordan makes 2-pt layup from 1 ft (assist by B. Griffin),16,10
32,1,6:49.0,A. Drummond makes 2-pt hook shot from 6 ft,,18,10
33,1,6:24.0,,J. Crawford makes 2-pt jump shot from 18 ft (assist by B. Griffin),18,12
34,1,6:11.0,R. Jackson makes 2-pt jump shot from 14 ft,,20,12
35,1,6:01.0,,B. Griffin misses 2-pt layup from 2 ft,20,12
36,1,6:00.0,,Offensive rebound by B. Griffin,20,12
37,1,5:56.0,,B. Griffin makes 2-pt layup at rim,20,14
38,1,5:33.0,K. Caldwell-Pope makes 2-pt layup at rim (assist by R. Jackson),,22,14
39,1,5:22.0,,J. Crawford misses 3-pt jump shot from 24 ft,22,14
40,1,5:21.0,Defensive rebound by R. Jackson,,22,14
41,1,5:15.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by R. Jackson),,25,14
42,1,5:10.0,,LA Clippers full timeout,25,14
43,1,5:10.0,S. Johnson enters the game for M. Morris,,25,14
44,1,4:55.0,,P. Pierce misses 2-pt layup from 2 ft,25,14
45,1,4:55.0,,Offensive rebound by P. Pierce,25,14
46,1,4:52.0,,Turnover by P. Pierce (bad pass; steal by K. Caldwell-Pope),25,14
47,1,4:49.0,Turnover by R. Jackson (traveling),,25,14
48,1,4:33.0,,B. Griffin misses 2-pt layup from 2 ft,25,14
49,1,4:32.0,Defensive rebound by R. Jackson,,25,14
50,1,4:17.0,Offensive foul by A. Drummond (drawn by J. Crawford),,25,14
51,1,4:17.0,Turnover by A. Drummond (offensive foul),,25,14
52,1,4:17.0,,W. Johnson enters the game for P. Pierce,25,14
53,1,4:03.0,,Shooting foul by E. İlyasova (drawn by A. Rivers),25,14
54,1,4:03.0,,A. Rivers makes free throw 1 of 2,25,15
55,1,4:03.0,,Technical foul by Team,25,15
56,1,4:03.0,A. Tolliver enters the game for E. İlyasova,,25,15
57,1,4:03.0,K. Caldwell-Pope makes technical free throw,,26,15
58,1,4:03.0,,A. Rivers misses free throw 2 of 2,26,15
59,1,4:02.0,Defensive rebound by A. Drummond,,26,15
60,1,3:47.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,26,15
