,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:52.0,E. Turner misses 2-pt jump shot from 11 ft,,0,0
1,1,11:49.0,,Defensive rebound by J. Grant,0,0
2,1,11:45.0,,H. Thompson makes 3-pt jump shot from 25 ft (assist by I. Smith),0,3
3,1,11:33.0,I. Thomas misses 3-pt jump shot from 26 ft,,0,3
4,1,11:32.0,,Defensive rebound by I. Canaan,0,3
5,1,11:13.0,,N. Noel misses 2-pt jump shot from 18 ft,0,3
6,1,11:11.0,Defensive rebound by I. Thomas,,0,3
7,1,11:04.0,A. Bradley misses 2-pt jump shot from 21 ft,,0,3
8,1,11:02.0,,Defensive rebound by N. Noel,0,3
9,1,10:52.0,,Turnover by H. Thompson (bad pass; steal by I. Thomas),0,3
10,1,10:42.0,Shooting foul by I. Smith (drawn by I. Thomas),,0,3
11,1,10:42.0,I. Thomas makes free throw 1 of 2,,1,3
12,1,10:42.0,I. Thomas makes free throw 2 of 2,,2,3
13,1,10:32.0,,Personal foul by A. Johnson,2,3
14,1,10:18.0,,J. Grant misses 2-pt layup at rim,2,3
15,1,10:17.0,Defensive rebound by A. Johnson,,2,3
16,1,10:06.0,A. Bradley misses 3-pt jump shot from 28 ft,,2,3
17,1,10:04.0,,Defensive rebound by I. Canaan,2,3
18,1,9:58.0,,H. Thompson makes 3-pt jump shot from 25 ft (assist by J. Grant),2,6
19,1,9:49.0,I. Thomas makes 2-pt layup from 2 ft,,4,6
20,1,9:34.0,,I. Canaan misses 2-pt jump shot from 12 ft,4,6
21,1,9:30.0,Defensive rebound by J. Sullinger,,4,6
22,1,9:28.0,I. Thomas misses 3-pt jump shot from 24 ft,,4,6
23,1,9:26.0,,Defensive rebound by I. Smith,4,6
24,1,9:18.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by H. Thompson),4,9
25,1,9:04.0,Turnover by J. Sullinger (bad pass),,4,9
26,1,8:46.0,,N. Noel misses 2-pt layup from 1 ft,4,9
27,1,8:44.0,Defensive rebound by I. Thomas,,4,9
28,1,8:40.0,A. Bradley makes 2-pt layup from 1 ft (assist by E. Turner),,6,9
29,1,8:20.0,,I. Smith misses 3-pt jump shot from 25 ft,6,9
30,1,8:19.0,Defensive rebound by A. Johnson,,6,9
31,1,8:13.0,J. Sullinger misses 2-pt layup from 1 ft (block by N. Noel),,6,9
32,1,8:10.0,Offensive rebound by J. Sullinger,,6,9
33,1,8:03.0,A. Johnson makes 2-pt layup from 3 ft,,8,9
34,1,7:42.0,,H. Thompson misses 2-pt jump shot from 6 ft,8,9
35,1,7:41.0,Defensive rebound by E. Turner,,8,9
36,1,7:38.0,Personal foul by H. Thompson,,8,9
37,1,7:29.0,J. Sullinger misses 2-pt hook shot from 7 ft,,8,9
38,1,7:27.0,,Defensive rebound by J. Grant,8,9
39,1,7:09.0,,I. Canaan misses 3-pt jump shot from 25 ft,8,9
40,1,7:06.0,Defensive rebound by I. Thomas,,8,9
41,1,7:03.0,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),,10,9
42,1,7:01.0,,Philadelphia full timeout,10,9
43,1,6:47.0,,I. Canaan misses 3-pt jump shot from 25 ft,10,9
44,1,6:45.0,Defensive rebound by A. Johnson,,10,9
45,1,6:32.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),,12,9
46,1,6:11.0,,I. Smith misses 2-pt jump shot from 19 ft,12,9
47,1,6:10.0,Defensive rebound by E. Turner,,12,9
48,1,6:03.0,A. Johnson makes 2-pt hook shot from 5 ft (assist by E. Turner),,14,9
49,1,5:47.0,,H. Thompson misses 3-pt jump shot from 26 ft,14,9
50,1,5:45.0,Defensive rebound by J. Sullinger,,14,9
51,1,5:39.0,I. Thomas misses 2-pt jump shot from 8 ft (block by H. Thompson),,14,9
52,1,5:37.0,,Defensive rebound by N. Noel,14,9
53,1,5:33.0,,Shooting foul by I. Thomas (drawn by I. Smith),14,9
54,1,5:33.0,,I. Smith makes free throw 1 of 2,14,10
55,1,5:33.0,,K. Marshall enters the game for I. Canaan,14,10
56,1,5:33.0,,N. Stauskas enters the game for H. Thompson,14,10
57,1,5:33.0,K. Olynyk enters the game for J. Sullinger,,14,10
58,1,5:33.0,,I. Smith makes free throw 2 of 2,14,11
59,1,5:23.0,Shooting foul by N. Stauskas (drawn by A. Bradley),,14,11
60,1,5:23.0,A. Bradley makes free throw 1 of 2,,15,11
61,1,5:23.0,A. Bradley makes free throw 2 of 2,,16,11
62,1,5:15.0,,J. Grant misses 2-pt layup from 2 ft,16,11
63,1,5:13.0,Defensive rebound by I. Thomas,,16,11
64,1,5:06.0,A. Johnson makes 2-pt layup from 1 ft (assist by I. Thomas),,18,11
65,1,4:46.0,,N. Stauskas misses 2-pt jump shot from 16 ft,18,11
66,1,4:45.0,,Offensive rebound by N. Noel,18,11
67,1,4:43.0,,N. Noel misses 2-pt layup from 1 ft (block by A. Johnson),18,11
68,1,4:41.0,Defensive rebound by A. Johnson,,18,11
69,1,4:31.0,Personal foul by N. Noel,,18,11
70,1,4:31.0,M. Smart enters the game for A. Bradley,,18,11
71,1,4:23.0,I. Thomas misses 2-pt jump shot from 19 ft,,18,11
72,1,4:21.0,Offensive rebound by A. Johnson,,18,11
73,1,4:17.0,I. Thomas makes 2-pt jump shot from 5 ft (assist by E. Turner),,20,11
74,1,3:59.0,Offensive charge foul by J. Grant (drawn by K. Olynyk),,20,11
75,1,3:59.0,,Turnover by J. Grant (offensive foul),20,11
76,1,3:59.0,,E. Brand enters the game for N. Noel,20,11
77,1,3:51.0,E. Turner makes 2-pt layup at rim (assist by M. Smart),,22,11
78,1,3:50.0,,Philadelphia full timeout,22,11
79,1,3:50.0,T. Zeller enters the game for A. Johnson,,22,11
80,1,3:37.0,,N. Stauskas misses 3-pt jump shot from 26 ft,22,11
81,1,3:35.0,,Offensive rebound by J. Grant,22,11
82,1,3:32.0,,K. Marshall misses 3-pt jump shot from 24 ft,22,11
83,1,3:30.0,Defensive rebound by E. Turner,,22,11
84,1,3:20.0,Offensive foul by T. Zeller (drawn by E. Brand),,22,11
85,1,3:20.0,Turnover by T. Zeller (offensive foul),,22,11
86,1,3:20.0,,T. McConnell enters the game for I. Smith,22,11
87,1,3:08.0,,T. McConnell misses 2-pt jump shot from 10 ft,22,11
88,1,3:07.0,,Offensive rebound by Team,22,11
89,1,2:54.0,,J. Grant misses 2-pt jump shot from 7 ft,22,11
90,1,2:53.0,Defensive rebound by M. Smart,,22,11
91,1,2:36.0,E. Turner misses 2-pt jump shot from 12 ft,,22,11
92,1,2:34.0,,Defensive rebound by E. Brand,22,11
93,1,2:12.0,,J. Grant misses 3-pt jump shot from 25 ft,22,11
94,1,2:11.0,,Offensive rebound by J. Grant,22,11
95,1,2:11.0,,Personal foul by E. Turner,22,11
96,1,2:11.0,Boston full timeout,,22,11
97,1,2:11.0,T. Rozier enters the game for I. Thomas,,22,11
98,1,2:11.0,,C. Landry enters the game for J. Grant,22,11
99,1,2:02.0,,E. Brand misses 2-pt jump shot from 12 ft,22,11
100,1,2:00.0,Defensive rebound by T. Rozier,,22,11
101,1,1:45.0,M. Smart makes 2-pt hook shot from 5 ft,,24,11
102,1,1:28.0,,K. Marshall misses 2-pt jump shot from 6 ft,24,11
103,1,1:26.0,,Offensive rebound by E. Brand,24,11
104,1,1:26.0,,E. Brand makes 2-pt layup at rim,24,13
105,1,1:26.0,,Shooting foul by T. Zeller (drawn by E. Brand),24,13
106,1,1:26.0,,E. Brand makes free throw 1 of 1,24,14
107,1,1:12.0,E. Turner makes 2-pt jump shot from 4 ft (assist by M. Smart),,26,14
108,1,0:59.0,,Personal foul by T. Rozier,26,14
109,1,0:59.0,,N. Stauskas misses free throw 1 of 2,26,14
110,1,0:59.0,,Offensive rebound by Team,26,14
111,1,0:59.0,,N. Stauskas misses free throw 2 of 2,26,14
112,1,0:57.0,Defensive rebound by T. Zeller,,26,14
113,1,0:47.0,Shooting foul by C. Landry (drawn by T. Zeller),,26,14
114,1,0:47.0,T. Zeller makes free throw 1 of 2,,27,14
115,1,0:47.0,T. Zeller makes free throw 2 of 2,,28,14
