,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:38.0,,P. Tucker misses 2-pt hook shot from 7 ft,0,0
1,1,11:34.0,Defensive rebound by A. Davis,,0,0
2,1,11:20.0,J. Holiday misses 2-pt jump shot from 5 ft (block by A. Len),,0,0
3,1,11:17.0,Offensive rebound by Ö. Aşık,,0,0
4,1,11:16.0,Ö. Aşık misses 2-pt dunk at rim,,0,0
5,1,11:13.0,,Defensive rebound by M. Morris,0,0
6,1,11:13.0,,Personal foul by A. Gee (drawn by B. Knight),0,0
7,1,10:58.0,,P. Tucker makes 2-pt layup from 1 ft,0,2
8,1,10:31.0,J. Holiday misses 3-pt jump shot from 24 ft,,0,2
9,1,10:27.0,,Defensive rebound by P. Tucker,0,2
10,1,10:23.0,,Turnover by A. Len (lost ball; steal by A. Davis),0,2
11,1,10:16.0,Turnover by J. Holiday (lost ball; steal by B. Knight),,0,2
12,1,10:11.0,,B. Knight makes 2-pt layup at rim,0,4
13,1,9:45.0,,Offensive charge foul by A. Gee (drawn by P. Tucker),0,4
14,1,9:45.0,Turnover by A. Gee (offensive foul),,0,4
15,1,9:37.0,,B. Knight misses 2-pt jump shot from 15 ft,0,4
16,1,9:35.0,,Offensive rebound by M. Morris,0,4
17,1,9:32.0,,B. Knight makes 3-pt jump shot from 24 ft (assist by M. Morris),0,7
18,1,9:25.0,New Orleans full timeout,,0,7
19,1,9:25.0,I. Smith enters the game for A. Gee,,0,7
20,1,9:12.0,I. Smith misses 2-pt jump shot from 17 ft,,0,7
21,1,9:10.0,,Defensive rebound by A. Len,0,7
22,1,9:04.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),0,9
23,1,8:48.0,A. Davis makes 2-pt jump shot from 11 ft (assist by J. Holiday),,2,9
24,1,8:32.0,,B. Knight makes 2-pt layup from 2 ft (assist by M. Morris),2,11
25,1,8:21.0,J. Holiday makes 2-pt jump shot from 7 ft,,4,11
26,1,8:04.0,,E. Bledsoe misses 2-pt jump shot from 4 ft (block by Ö. Aşık),4,11
27,1,8:00.0,Defensive rebound by J. Holiday,,4,11
28,1,8:00.0,Turnover by A. Davis (lost ball; steal by B. Knight),,4,11
29,1,7:57.0,,Personal foul by E. Gordon (drawn by B. Knight),4,11
30,1,7:57.0,,T. Warren enters the game for P. Tucker,4,11
31,1,7:57.0,,E. Bledsoe misses 2-pt jump shot from 8 ft,4,11
32,1,7:56.0,,Offensive rebound by E. Bledsoe,4,11
33,1,7:53.0,,E. Bledsoe makes 2-pt jump shot from 18 ft,4,13
34,1,7:46.0,New Orleans full timeout,,4,13
