,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,J. Calderón makes 2-pt jump shot from 19 ft (assist by C. Anthony),,2,0
1,1,11:26.0,,Offensive foul by A. Bogut (drawn by S. Vujačić),2,0
2,1,11:26.0,,Turnover by A. Bogut (offensive foul),2,0
3,1,11:11.0,C. Anthony misses 2-pt jump shot from 14 ft,,2,0
4,1,11:10.0,,Defensive rebound by S. Curry,2,0
5,1,10:59.0,,S. Curry misses 3-pt jump shot from 25 ft,2,0
6,1,10:58.0,Defensive rebound by C. Anthony,,2,0
7,1,10:42.0,K. Porziņģis misses 2-pt jump shot from 20 ft (block by D. Green),,2,0
8,1,10:41.0,,Defensive rebound by A. Bogut,2,0
9,1,10:33.0,,K. Thompson misses 2-pt jump shot from 3 ft,2,0
10,1,10:31.0,,Offensive rebound by K. Thompson,2,0
11,1,10:31.0,,K. Thompson misses 2-pt layup from 1 ft,2,0
12,1,10:28.0,Defensive rebound by C. Anthony,,2,0
13,1,10:23.0,C. Anthony misses 3-pt jump shot from 26 ft,,2,0
14,1,10:21.0,Offensive rebound by C. Anthony,,2,0
15,1,10:14.0,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by C. Anthony),,4,0
16,1,10:06.0,,H. Barnes misses 2-pt jump shot from 18 ft,4,0
17,1,10:05.0,Defensive rebound by S. Vujačić,,4,0
18,1,9:49.0,R. Lopez misses 2-pt jump shot from 15 ft,,4,0
19,1,9:48.0,,Defensive rebound by H. Barnes,4,0
20,1,9:32.0,,Turnover by A. Bogut (bad pass; steal by R. Lopez),4,0
21,1,9:16.0,Turnover by K. Porziņģis (bad pass; steal by A. Bogut),,4,0
22,1,9:09.0,,K. Thompson misses 3-pt jump shot from 24 ft,4,0
23,1,9:08.0,Defensive rebound by C. Anthony,,4,0
24,1,8:50.0,S. Vujačić misses 2-pt jump shot from 18 ft,,4,0
25,1,8:50.0,,Defensive rebound by K. Thompson,4,0
26,1,8:35.0,,K. Thompson misses 3-pt jump shot from 25 ft,4,0
27,1,8:34.0,Defensive rebound by J. Calderón,,4,0
28,1,8:22.0,Turnover by R. Lopez (lost ball),,4,0
29,1,8:12.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),4,2
30,1,7:53.0,S. Vujačić misses 2-pt jump shot from 16 ft,,4,2
