,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
0,1,11:36.0,,Shooting foul by K. Love (drawn by D. Wade),0,0
1,1,11:36.0,,D. Wade makes free throw 1 of 2,0,1
2,1,11:36.0,,D. Wade makes free throw 2 of 2,0,2
3,1,11:24.0,K. Love misses 3-pt jump shot from 22 ft,,0,2
4,1,11:23.0,,Defensive rebound by D. Wade,0,2
5,1,11:09.0,,J. Johnson misses 2-pt jump shot from 3 ft,0,2
6,1,11:08.0,,Offensive rebound by J. Johnson,0,2
7,1,11:07.0,,J. Johnson makes 2-pt layup from 2 ft,0,4
8,1,10:56.0,Personal block foul by A. Stoudemire,,0,4
9,1,10:48.0,L. James makes 2-pt layup from 1 ft (assist by K. Irving),,2,4
10,1,10:32.0,,Turnover by A. Stoudemire (3 sec),2,4
11,1,10:15.0,K. Irving makes 2-pt jump shot from 19 ft,,4,4
12,1,10:00.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by G. Dragić),4,7
13,1,9:48.0,K. Irving makes 3-pt jump shot from 24 ft,,7,7
14,1,9:27.0,,A. Stoudemire misses 2-pt jump shot from 8 ft,7,7
15,1,9:26.0,,Offensive rebound by D. Wade,7,7
16,1,9:25.0,,D. Wade makes 2-pt layup at rim,7,9
17,1,9:11.0,L. James makes 2-pt layup from 2 ft (assist by K. Irving),,9,9
18,1,8:53.0,,G. Dragić makes 2-pt jump shot from 9 ft (assist by A. Stoudemire),9,11
19,1,8:40.0,,Offensive charge foul by K. Love (drawn by G. Dragić),9,11
20,1,8:40.0,Turnover by K. Love (offensive foul),,9,11
21,1,8:40.0,T. Thompson enters the game for K. Love,,9,11
22,1,8:30.0,,A. Stoudemire makes 2-pt layup from 2 ft (assist by J. Johnson),9,13
23,1,8:07.0,L. James misses 2-pt jump shot from 13 ft,,9,13
24,1,8:06.0,,Defensive rebound by A. Stoudemire,9,13
25,1,7:55.0,,D. Wade misses 2-pt jump shot from 16 ft,9,13
26,1,7:54.0,Defensive rebound by L. James,,9,13
27,1,7:48.0,L. James makes 2-pt layup from 1 ft,,11,13
28,1,7:28.0,,A. Stoudemire makes 2-pt jump shot from 17 ft (assist by G. Dragić),11,15
29,1,7:09.0,I. Shumpert misses 3-pt jump shot from 23 ft,,11,15
30,1,7:08.0,,Defensive rebound by L. Deng,11,15
31,1,7:01.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Wade),11,18
32,1,6:36.0,Shooting foul by A. Stoudemire (drawn by I. Shumpert),,11,18
33,1,6:36.0,I. Shumpert makes free throw 1 of 2,,12,18
34,1,6:36.0,,H. Whiteside enters the game for A. Stoudemire,12,18
35,1,6:36.0,I. Shumpert makes free throw 2 of 2,,13,18
36,1,6:17.0,,Turnover by L. Deng (traveling),13,18
37,1,6:04.0,L. James misses 3-pt jump shot from 25 ft,,13,18
38,1,6:03.0,Offensive rebound by I. Shumpert,,13,18
39,1,5:55.0,T. Thompson makes 2-pt layup from 1 ft (assist by K. Irving),,15,18
40,1,5:44.0,Offensive charge foul by D. Wade (drawn by L. James),,15,18
41,1,5:44.0,,Turnover by D. Wade (offensive foul),15,18
42,1,5:44.0,,Miami full timeout,15,18
43,1,5:44.0,,J. Winslow enters the game for L. Deng,15,18
44,1,5:44.0,,J. Richardson enters the game for G. Dragić,15,18
45,1,5:31.0,J. Smith misses 3-pt jump shot from 23 ft,,15,18
46,1,5:30.0,,Defensive rebound by H. Whiteside,15,18
47,1,5:22.0,,Personal foul by L. James,15,18
48,1,5:22.0,M. Dellavedova enters the game for K. Irving,,15,18
49,1,5:15.0,,Personal foul by J. Smith,15,18
50,1,5:05.0,,D. Wade makes 2-pt jump shot from 11 ft,15,20
51,1,4:56.0,M. Dellavedova misses 2-pt layup from 1 ft (block by J. Richardson),,15,20
52,1,4:55.0,,Defensive rebound by J. Winslow,15,20
53,1,4:50.0,,D. Wade misses 2-pt layup at rim,15,20
54,1,4:49.0,Defensive rebound by L. James,,15,20
55,1,4:30.0,Turnover by L. James (bad pass; steal by D. Wade),,15,20
56,1,4:28.0,,Turnover by D. Wade (bad pass; steal by L. James),15,20
57,1,4:25.0,L. James makes 2-pt layup from 1 ft,,17,20
58,1,3:56.0,,J. Johnson makes 2-pt jump shot from 1 ft (assist by H. Whiteside),17,22
59,1,3:32.0,T. Thompson misses 2-pt layup from 1 ft (block by H. Whiteside),,17,22
60,1,3:31.0,,Defensive rebound by H. Whiteside,17,22
61,1,3:24.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Winslow),17,25
62,1,3:23.0,Cleveland full timeout,,17,25
63,1,3:23.0,K. Irving enters the game for L. James,,17,25
64,1,3:23.0,C. Frye enters the game for I. Shumpert,,17,25
65,1,3:23.0,,G. Dragić enters the game for D. Wade,17,25
66,1,3:00.0,K. Irving makes 2-pt layup at rim,,19,25
67,1,2:37.0,,J. Winslow misses 2-pt jump shot from 21 ft,19,25
68,1,2:34.0,,Offensive rebound by G. Dragić,19,25
69,1,2:33.0,,Turnover by Team (shot clock),19,25
70,1,2:25.0,Offensive foul by C. Frye (drawn by J. Richardson),,19,25
71,1,2:25.0,Turnover by C. Frye (offensive foul),,19,25
72,1,2:25.0,R. Jefferson enters the game for J. Smith,,19,25
73,1,2:07.0,,Turnover by H. Whiteside (lost ball; steal by K. Irving),19,25
74,1,1:59.0,Turnover by K. Irving (lost ball),,19,25
75,1,1:48.0,,G. Dragić makes 2-pt layup from 1 ft,19,27
76,1,1:32.0,Personal foul by J. Winslow,,19,27
77,1,1:32.0,,L. Deng enters the game for J. Johnson,19,27
78,1,1:21.0,K. Irving misses 2-pt jump shot from 18 ft,,19,27
79,1,1:20.0,,Defensive rebound by H. Whiteside,19,27
80,1,1:13.0,,J. Winslow makes 2-pt jump shot from 5 ft (assist by G. Dragić),19,29
81,1,0:55.0,R. Jefferson misses 2-pt dunk at rim,,19,29
82,1,0:54.0,,Defensive rebound by J. Richardson,19,29
83,1,0:41.0,,G. Dragić misses 2-pt jump shot from 10 ft,19,29
84,1,0:40.0,,Offensive rebound by H. Whiteside,19,29
85,1,0:39.0,,H. Whiteside makes 2-pt jump shot from 5 ft,19,31
86,1,0:39.0,,Shooting foul by T. Thompson (drawn by H. Whiteside),19,31
87,1,0:39.0,,H. Whiteside misses free throw 1 of 1,19,31
88,1,0:38.0,Defensive rebound by C. Frye,,19,31
89,1,0:29.0,M. Dellavedova misses 2-pt jump shot from 11 ft,,19,31
90,1,0:28.0,,Defensive rebound by H. Whiteside,19,31
91,1,0:07.0,,J. Richardson misses 3-pt jump shot from 23 ft,19,31
92,1,0:05.0,Defensive rebound by C. Frye,,19,31
93,1,0:01.0,Turnover by K. Irving (step out of bounds),,19,31
94,1,0:01.0,,L. Deng misses 3-pt jump shot from 43 ft,19,31
95,1,0:00.0,,Offensive rebound by Team,19,31
96,2,11:38.0,C. Frye misses 3-pt jump shot from 24 ft,,19,31
97,2,11:37.0,Offensive rebound by T. Thompson,,19,31
98,2,11:30.0,K. Irving misses 2-pt layup from 1 ft (block by L. Deng),,19,31
99,2,11:29.0,,Defensive rebound by L. Deng,19,31
100,2,11:15.0,,G. Dragić makes 2-pt jump shot from 2 ft,19,33
101,2,10:52.0,R. Jefferson makes 2-pt jump shot from 9 ft (assist by M. Dellavedova),,21,33
102,2,10:43.0,,G. Dragić misses 2-pt jump shot from 15 ft,21,33
103,2,10:42.0,,Offensive rebound by H. Whiteside,21,33
104,2,10:41.0,,H. Whiteside makes 2-pt layup at rim,21,35
105,2,10:27.0,K. Irving makes 2-pt layup from 2 ft,,23,35
