,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:43.0,,C. Parsons misses 2-pt layup from 1 ft,0,0
1,1,11:41.0,Defensive rebound by N. Jokić,,0,0
2,1,11:31.0,D. Arthur makes 2-pt hook shot from 5 ft,,2,0
3,1,11:06.0,,C. Parsons misses 2-pt jump shot from 6 ft,2,0
4,1,11:05.0,Defensive rebound by D. Arthur,,2,0
5,1,10:57.0,R. Foye makes 3-pt jump shot from 24 ft (assist by D. Arthur),,5,0
6,1,10:43.0,,W. Matthews misses 3-pt jump shot from 22 ft,5,0
7,1,10:41.0,Defensive rebound by D. Gallinari,,5,0
8,1,10:30.0,D. Arthur makes 2-pt jump shot from 16 ft (assist by R. Foye),,7,0
9,1,10:07.0,,Z. Pachulia makes 2-pt hook shot from 6 ft,7,2
10,1,9:48.0,D. Arthur misses 2-pt jump shot from 17 ft,,7,2
11,1,9:47.0,,Defensive rebound by D. Nowitzki,7,2
12,1,9:41.0,,W. Matthews misses 3-pt jump shot from 23 ft,7,2
13,1,9:40.0,Defensive rebound by D. Gallinari,,7,2
14,1,9:27.0,E. Mudiay misses 3-pt jump shot from 24 ft,,7,2
15,1,9:26.0,,Defensive rebound by D. Nowitzki,7,2
16,1,9:04.0,,Z. Pachulia misses 2-pt jump shot from 5 ft (block by D. Gallinari),7,2
17,1,9:02.0,Defensive rebound by N. Jokić,,7,2
18,1,8:42.0,D. Gallinari makes 2-pt dunk at rim,,9,2
19,1,8:27.0,,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by D. Williams),9,4
20,1,8:11.0,Turnover by D. Gallinari (bad pass; steal by D. Nowitzki),,9,4
21,1,8:06.0,,C. Parsons misses 2-pt layup from 1 ft (block by D. Arthur),9,4
22,1,8:06.0,,Offensive rebound by Team,9,4
23,1,7:58.0,,W. Matthews misses 3-pt jump shot from 24 ft,9,4
24,1,7:57.0,Defensive rebound by E. Mudiay,,9,4
25,1,7:50.0,E. Mudiay makes 2-pt jump shot from 16 ft,,11,4
26,1,7:39.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Williams),11,6
27,1,7:39.0,,Shooting block foul by D. Arthur (drawn by Z. Pachulia),11,6
28,1,7:39.0,,Z. Pachulia makes free throw 1 of 1,11,7
29,1,7:22.0,D. Arthur misses 2-pt jump shot from 18 ft,,11,7
30,1,7:21.0,,Defensive rebound by D. Nowitzki,11,7
31,1,7:08.0,,C. Parsons misses 3-pt jump shot from 24 ft,11,7
32,1,7:07.0,Defensive rebound by D. Gallinari,,11,7
33,1,6:47.0,Turnover by D. Gallinari (bad pass; steal by Z. Pachulia),,11,7
34,1,6:31.0,,Turnover by Z. Pachulia (lost ball; steal by N. Jokić),11,7
35,1,6:24.0,Turnover by N. Jokić (bad pass; steal by D. Nowitzki),,11,7
36,1,6:13.0,,Z. Pachulia misses 2-pt jump shot from 14 ft,11,7
37,1,6:12.0,Defensive rebound by D. Gallinari,,11,7
38,1,5:54.0,D. Arthur makes 2-pt jump shot from 20 ft (assist by R. Foye),,13,7
39,1,5:54.0,,Dallas full timeout,13,7
40,1,5:54.0,,D. Powell enters the game for D. Nowitzki,13,7
41,1,5:54.0,,R. Felton enters the game for W. Matthews,13,7
42,1,5:45.0,,Turnover by R. Felton (bad pass; steal by D. Arthur),13,7
43,1,5:23.0,N. Jokić misses 2-pt layup at rim,,13,7
44,1,5:21.0,Offensive rebound by N. Jokić,,13,7
45,1,5:21.0,N. Jokić makes 2-pt layup at rim,,15,7
46,1,5:09.0,,D. Powell misses 3-pt jump shot from 24 ft,15,7
47,1,5:08.0,Defensive rebound by D. Gallinari,,15,7
48,1,4:59.0,Turnover by R. Foye (bad pass; steal by D. Powell),,15,7
49,1,4:51.0,,D. Powell makes 2-pt dunk at rim (assist by C. Parsons),15,9
50,1,4:35.0,Turnover by D. Arthur (bad pass; steal by Z. Pachulia),,15,9
51,1,4:14.0,,R. Felton makes 2-pt jump shot from 9 ft,15,11
52,1,4:13.0,Denver full timeout,,15,11
53,1,4:13.0,W. Barton enters the game for D. Arthur,,15,11
54,1,4:13.0,J. Lauvergne enters the game for N. Jokić,,15,11
55,1,4:00.0,D. Gallinari misses 2-pt jump shot from 15 ft,,15,11
56,1,3:59.0,,Defensive rebound by Z. Pachulia,15,11
57,1,3:59.0,Loose ball foul by J. Lauvergne (drawn by Z. Pachulia),,15,11
