,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
0,1,11:38.0,C. McCollum misses 2-pt jump shot from 14 ft,,0,0
1,1,11:35.0,,Defensive rebound by D. Jordan,0,0
2,1,11:16.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by A. Rivers),0,3
3,1,11:02.0,Turnover by A. Aminu (bad pass; steal by J. Crawford),,0,3
4,1,10:52.0,,J. Crawford misses 2-pt jump shot from 7 ft,0,3
5,1,10:50.0,Defensive rebound by M. Harkless,,0,3
6,1,10:34.0,A. Aminu misses 3-pt jump shot from 26 ft,,0,3
7,1,10:32.0,,Defensive rebound by J. Redick,0,3
8,1,10:26.0,,J. Redick misses 3-pt jump shot from 27 ft,0,3
9,1,10:24.0,Defensive rebound by M. Plumlee,,0,3
10,1,10:17.0,D. Lillard misses 3-pt jump shot from 27 ft,,0,3
11,1,10:16.0,,Defensive rebound by D. Jordan,0,3
12,1,10:02.0,,P. Pierce misses 2-pt jump shot from 12 ft,0,3
13,1,10:00.0,Defensive rebound by M. Plumlee,,0,3
14,1,9:56.0,M. Harkless makes 2-pt layup from 1 ft (assist by M. Plumlee),,2,3
15,1,9:40.0,,J. Redick misses 2-pt jump shot from 17 ft (block by C. McCollum),2,3
16,1,9:38.0,Defensive rebound by M. Harkless,,2,3
17,1,9:33.0,M. Harkless makes 2-pt jump shot from 9 ft,,4,3
18,1,9:14.0,,Turnover by A. Rivers (step out of bounds),4,3
19,1,9:06.0,Shooting foul by J. Crawford (drawn by M. Harkless),,4,3
20,1,9:06.0,M. Harkless misses free throw 1 of 2,,4,3
21,1,9:06.0,Offensive rebound by Team,,4,3
22,1,9:06.0,M. Harkless misses free throw 2 of 2,,4,3
23,1,9:05.0,,Defensive rebound by D. Jordan,4,3
24,1,8:52.0,,J. Redick misses 2-pt jump shot from 16 ft,4,3
25,1,8:49.0,Defensive rebound by M. Harkless,,4,3
26,1,8:41.0,M. Plumlee misses 2-pt dunk at rim,,4,3
27,1,8:40.0,,Defensive rebound by P. Pierce,4,3
28,1,8:24.0,,J. Redick misses 2-pt jump shot from 18 ft,4,3
29,1,8:23.0,Defensive rebound by D. Lillard,,4,3
30,1,8:15.0,D. Lillard misses 2-pt jump shot from 15 ft,,4,3
31,1,8:12.0,,Defensive rebound by J. Crawford,4,3
32,1,8:11.0,,Turnover by J. Crawford (lost ball; steal by D. Lillard),4,3
33,1,8:02.0,Shooting foul by D. Jordan (drawn by M. Harkless),,4,3
34,1,8:02.0,M. Harkless makes free throw 1 of 2,,5,3
35,1,8:02.0,M. Harkless misses free throw 2 of 2,,5,3
36,1,8:00.0,,Defensive rebound by P. Pierce,5,3
37,1,7:47.0,,J. Crawford misses 2-pt jump shot from 15 ft,5,3
38,1,7:46.0,Defensive rebound by M. Plumlee,,5,3
39,1,7:36.0,A. Aminu makes 2-pt layup from 3 ft (assist by D. Lillard),,7,3
40,1,7:36.0,,LA Clippers full timeout,7,3
41,1,7:15.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Crawford),7,5
42,1,6:57.0,A. Aminu misses 3-pt jump shot from 26 ft,,7,5
43,1,6:56.0,,Defensive rebound by J. Crawford,7,5
44,1,6:48.0,,Turnover by P. Pierce (bad pass; steal by M. Plumlee),7,5
45,1,6:42.0,Turnover by D. Lillard (bad pass; steal by P. Pierce),,7,5
46,1,6:21.0,,P. Pierce misses 3-pt jump shot from 24 ft,7,5
47,1,6:20.0,Defensive rebound by C. McCollum,,7,5
48,1,6:13.0,A. Aminu misses 3-pt jump shot from 27 ft,,7,5
49,1,6:12.0,Offensive rebound by M. Plumlee,,7,5
50,1,6:07.0,Shooting foul by D. Jordan (drawn by C. McCollum),,7,5
51,1,6:07.0,C. McCollum makes free throw 1 of 2,,8,5
52,1,6:07.0,,C. Aldrich enters the game for D. Jordan,8,5
53,1,6:07.0,,J. Green enters the game for P. Pierce,8,5
54,1,6:07.0,C. McCollum makes free throw 2 of 2,,9,5
55,1,5:44.0,,J. Green misses 2-pt jump shot from 17 ft,9,5
56,1,5:43.0,Defensive rebound by M. Harkless,,9,5
57,1,5:32.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by D. Lillard),,12,5
58,1,5:17.0,,J. Crawford makes 2-pt jump shot from 11 ft,12,7
59,1,5:11.0,C. McCollum makes 2-pt jump shot from 8 ft,,14,7
60,1,4:53.0,,J. Crawford misses 2-pt jump shot from 12 ft,14,7
61,1,4:51.0,Defensive rebound by M. Plumlee,,14,7
62,1,4:47.0,C. McCollum misses 3-pt jump shot from 27 ft,,14,7
63,1,4:46.0,,Defensive rebound by Team,14,7
64,1,4:46.0,Loose ball foul by A. Aminu,,14,7
65,1,4:46.0,A. Crabbe enters the game for C. McCollum,,14,7
66,1,4:46.0,G. Henderson enters the game for A. Aminu,,14,7
67,1,4:40.0,,Personal foul by M. Harkless,14,7
68,1,4:33.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by J. Green),14,10
69,1,4:16.0,M. Harkless misses 3-pt jump shot from 24 ft,,14,10
70,1,4:15.0,,Defensive rebound by Team,14,10
71,1,4:15.0,,W. Johnson enters the game for J. Redick,14,10
72,1,4:04.0,,J. Crawford makes 2-pt jump shot from 17 ft,14,12
73,1,3:49.0,Shooting foul by W. Johnson (drawn by A. Crabbe),,14,12
74,1,3:49.0,E. Davis enters the game for M. Plumlee,,14,12
75,1,3:49.0,A. Crabbe misses free throw 1 of 2,,14,12
76,1,3:49.0,Offensive rebound by Team,,14,12
77,1,3:49.0,A. Crabbe makes free throw 2 of 2,,15,12
78,1,3:33.0,,J. Crawford misses 3-pt jump shot from 26 ft,15,12
