,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,,N. Noel misses 2-pt jump shot from 3 ft (block by A. Bogut),0,0
1,1,11:39.0,Defensive rebound by S. Curry,,0,0
2,1,11:35.0,S. Curry misses 2-pt jump shot from 10 ft (block by R. Covington),,0,0
3,1,11:32.0,Offensive rebound by H. Barnes,,0,0
4,1,11:30.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by H. Barnes),,3,0
5,1,11:15.0,,J. Grant makes 2-pt jump shot from 18 ft (assist by R. Covington),3,2
6,1,11:04.0,Turnover by S. Curry (bad pass; steal by J. Grant),,3,2
7,1,11:03.0,,Personal foul by S. Curry (drawn by J. Grant),3,2
8,1,10:53.0,,J. Grant misses 2-pt jump shot from 3 ft (block by D. Green),3,2
9,1,10:51.0,Defensive rebound by A. Bogut,,3,2
10,1,10:39.0,K. Thompson misses 2-pt jump shot from 10 ft,,3,2
11,1,10:38.0,,Defensive rebound by I. Smith,3,2
12,1,10:33.0,,Shooting foul by K. Thompson (drawn by I. Smith),3,2
13,1,10:33.0,,I. Smith makes free throw 1 of 2,3,3
14,1,10:33.0,,I. Smith misses free throw 2 of 2,3,3
15,1,10:32.0,Defensive rebound by D. Green,,3,3
16,1,10:15.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by K. Thompson),,6,3
17,1,9:55.0,,N. Noel misses 2-pt hook shot from 7 ft,6,3
18,1,9:54.0,Defensive rebound by D. Green,,6,3
19,1,9:40.0,K. Thompson misses 3-pt jump shot from 24 ft,,6,3
20,1,9:39.0,,Defensive rebound by R. Covington,6,3
21,1,9:33.0,,J. Grant makes 2-pt layup from 1 ft (assist by I. Smith),6,5
22,1,9:18.0,S. Curry misses 3-pt jump shot from 24 ft,,6,5
23,1,9:17.0,,Defensive rebound by I. Smith,6,5
24,1,9:06.0,,I. Smith misses 2-pt jump shot from 14 ft,6,5
25,1,9:04.0,Defensive rebound by A. Bogut,,6,5
26,1,8:56.0,H. Barnes misses 2-pt layup from 1 ft (block by N. Noel),,6,5
27,1,8:54.0,,Defensive rebound by R. Covington,6,5
28,1,8:45.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by I. Smith),6,8
29,1,8:31.0,S. Curry misses 3-pt jump shot from 23 ft,,6,8
30,1,8:29.0,,Defensive rebound by N. Noel,6,8
31,1,8:20.0,Violation by A. Bogut (kicked ball),,6,8
32,1,8:12.0,,N. Stauskas makes 2-pt jump shot from 7 ft (assist by J. Grant),6,10
33,1,7:58.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),,8,10
34,1,7:50.0,,I. Smith makes 2-pt layup at rim,8,12
35,1,7:45.0,Golden State full timeout,,8,12
36,1,7:39.0,Turnover by S. Curry (traveling),,8,12
37,1,7:23.0,,I. Smith misses 2-pt jump shot from 20 ft,8,12
38,1,7:21.0,Defensive rebound by D. Green,,8,12
39,1,7:12.0,Turnover by K. Thompson (bad pass),,8,12
40,1,6:58.0,,N. Stauskas makes 2-pt jump shot from 20 ft (assist by J. Grant),8,14
41,1,6:52.0,H. Barnes makes 2-pt jump shot from 20 ft (assist by S. Curry),,10,14
42,1,6:35.0,,N. Stauskas makes 3-pt jump shot from 25 ft,10,17
43,1,6:13.0,K. Thompson misses 2-pt jump shot from 3 ft,,10,17
44,1,6:11.0,Offensive rebound by A. Bogut,,10,17
45,1,6:08.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,13,17
46,1,5:57.0,,N. Stauskas misses 3-pt jump shot from 25 ft,13,17
47,1,5:55.0,Defensive rebound by D. Green,,13,17
48,1,5:51.0,A. Bogut makes 2-pt dunk at rim (assist by D. Green),,15,17
49,1,5:44.0,,Philadelphia full timeout,15,17
50,1,5:44.0,,H. Thompson enters the game for R. Covington,15,17
51,1,5:26.0,,N. Noel misses 2-pt jump shot from 15 ft,15,17
52,1,5:25.0,Defensive rebound by D. Green,,15,17
53,1,5:06.0,D. Green misses 2-pt layup from 2 ft,,15,17
54,1,5:02.0,Offensive rebound by A. Bogut,,15,17
55,1,5:02.0,A. Bogut makes 2-pt layup from 1 ft,,17,17
56,1,4:58.0,,Turnover by I. Smith (bad pass; steal by S. Curry),17,17
57,1,4:51.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),,20,17
58,1,4:40.0,,Turnover by J. Grant (lost ball; steal by D. Green),20,17
59,1,4:36.0,Turnover by D. Green (lost ball; steal by N. Noel),,20,17
60,1,4:34.0,,J. Grant misses 2-pt jump shot from 3 ft (block by A. Bogut),20,17
61,1,4:31.0,Defensive rebound by H. Barnes,,20,17
62,1,4:24.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,23,17
63,1,4:05.0,,H. Thompson misses 2-pt jump shot from 6 ft,23,17
64,1,4:02.0,Defensive rebound by D. Green,,23,17
65,1,3:58.0,K. Thompson misses 3-pt jump shot from 25 ft,,23,17
66,1,3:55.0,,Defensive rebound by I. Smith,23,17
67,1,3:45.0,,N. Stauskas misses 3-pt jump shot from 25 ft,23,17
68,1,3:44.0,,Offensive rebound by N. Noel,23,17
69,1,3:41.0,,Turnover by N. Noel (lost ball; steal by H. Barnes),23,17
70,1,3:36.0,K. Thompson makes 2-pt dunk at rim (assist by D. Green),,25,17
71,1,3:28.0,,Philadelphia full timeout,25,17
72,1,3:28.0,B. Rush enters the game for K. Thompson,,25,17
