,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,S. Larkin makes 2-pt jump shot from 11 ft (assist by B. Bogdanović),0,2
1,1,11:26.0,J. Thompson misses 3-pt jump shot from 24 ft,,0,2
2,1,11:25.0,Offensive rebound by D. Wright,,0,2
3,1,11:15.0,B. Caboclo misses 3-pt jump shot from 25 ft,,0,2
4,1,11:14.0,,Defensive rebound by C. McCullough,0,2
5,1,10:56.0,,Shooting foul by D. Wright (drawn by W. Ellington),0,2
6,1,10:56.0,,W. Ellington makes free throw 1 of 3,0,3
7,1,10:56.0,,W. Ellington makes free throw 2 of 3,0,4
8,1,10:56.0,,W. Ellington makes free throw 3 of 3,0,5
9,1,10:37.0,J. Thompson misses 2-pt layup from 2 ft (block by H. Sims),,0,5
10,1,10:36.0,,Defensive rebound by H. Sims,0,5
11,1,10:23.0,,B. Bogdanović misses 2-pt jump shot from 3 ft,0,5
12,1,10:22.0,Defensive rebound by L. Nogueira,,0,5
13,1,10:10.0,B. Caboclo misses 3-pt jump shot from 23 ft,,0,5
14,1,10:09.0,Offensive rebound by L. Nogueira,,0,5
15,1,10:08.0,L. Nogueira misses 2-pt layup from 2 ft,,0,5
16,1,10:07.0,,Defensive rebound by Team,0,5
17,1,9:55.0,,Turnover by S. Larkin (lost ball; steal by B. Caboclo),0,5
18,1,9:39.0,Turnover by L. Nogueira (lost ball; steal by C. McCullough),,0,5
19,1,9:30.0,,C. McCullough misses 3-pt jump shot from 27 ft,0,5
20,1,9:29.0,,Offensive rebound by H. Sims,0,5
21,1,9:28.0,,H. Sims makes 2-pt layup from 2 ft,0,7
22,1,9:07.0,L. Nogueira misses 2-pt layup from 2 ft,,0,7
23,1,9:06.0,,Defensive rebound by H. Sims,0,7
24,1,8:55.0,,Def 3 sec tech foul by B. Caboclo,0,7
25,1,8:55.0,,B. Bogdanović makes technical free throw,0,8
