,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
0,1,11:44.0,I. Thomas misses 2-pt layup from 2 ft,,0,0
1,1,11:42.0,Offensive rebound by A. Johnson,,0,0
2,1,11:42.0,A. Johnson makes 2-pt layup from 1 ft,,2,0
3,1,11:26.0,,J. Clarkson misses 2-pt jump shot from 17 ft,2,0
4,1,11:23.0,Defensive rebound by A. Johnson,,2,0
5,1,11:16.0,J. Sullinger misses 2-pt jump shot from 18 ft,,2,0
6,1,11:15.0,,Defensive rebound by D. Russell,2,0
7,1,10:56.0,,K. Bryant makes 2-pt jump shot from 19 ft,2,2
8,1,10:37.0,J. Crowder misses 2-pt jump shot from 19 ft,,2,2
9,1,10:35.0,,Defensive rebound by D. Russell,2,2
10,1,10:23.0,,R. Hibbert misses 2-pt hook shot from 4 ft,2,2
11,1,10:20.0,Defensive rebound by J. Crowder,,2,2
12,1,10:17.0,Shooting foul by J. Randle (drawn by I. Thomas),,2,2
13,1,10:17.0,I. Thomas misses free throw 1 of 2,,2,2
14,1,10:17.0,Offensive rebound by Team,,2,2
15,1,10:17.0,I. Thomas makes free throw 2 of 2,,3,2
16,1,10:04.0,,Turnover by D. Russell (lost ball),3,2
17,1,9:44.0,J. Sullinger makes 2-pt jump shot from 20 ft (assist by I. Thomas),,5,2
18,1,9:26.0,,J. Randle makes 2-pt jump shot from 16 ft (assist by D. Russell),5,4
19,1,9:17.0,I. Thomas makes 2-pt jump shot from 1 ft,,7,4
20,1,8:54.0,,D. Russell makes 2-pt layup from 2 ft (assist by J. Clarkson),7,6
21,1,8:39.0,J. Crowder makes 2-pt jump shot from 17 ft (assist by I. Thomas),,9,6
22,1,8:25.0,,K. Bryant makes 3-pt jump shot from 24 ft (assist by J. Randle),9,9
23,1,8:11.0,I. Thomas makes 2-pt layup at rim (assist by A. Johnson),,11,9
24,1,8:00.0,,D. Russell misses 3-pt jump shot from 25 ft,11,9
25,1,7:59.0,Defensive rebound by J. Sullinger,,11,9
26,1,7:54.0,Shooting foul by R. Hibbert (drawn by A. Johnson),,11,9
27,1,7:54.0,A. Johnson makes free throw 1 of 2,,12,9
28,1,7:54.0,A. Johnson makes free throw 2 of 2,,13,9
29,1,7:39.0,,K. Bryant misses 3-pt jump shot from 25 ft,13,9
30,1,7:37.0,Defensive rebound by A. Johnson,,13,9
31,1,7:31.0,J. Sullinger makes 2-pt jump shot from 20 ft (assist by I. Thomas),,15,9
32,1,7:20.0,,D. Russell makes 2-pt layup from 2 ft,15,11
33,1,7:06.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Johnson),,18,11
34,1,6:53.0,,Shooting foul by A. Johnson (drawn by J. Randle),18,11
35,1,6:53.0,,J. Randle misses free throw 1 of 2,18,11
36,1,6:53.0,,Offensive rebound by Team,18,11
37,1,6:53.0,,J. Randle makes free throw 2 of 2,18,12
38,1,6:39.0,J. Crowder misses 3-pt jump shot from 25 ft,,18,12
