,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SACRAMENTO_ACTION,HOUSTON_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,,Personal foul by C. Capela (drawn by M. Belinelli),0,0
1,1,11:39.0,,K. Koufos misses 2-pt jump shot from 3 ft,0,0
2,1,11:38.0,Defensive rebound by C. Capela,,0,0
3,1,11:28.0,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),,2,0
4,1,11:28.0,Shooting foul by R. Rondo (drawn by C. Capela),,2,0
5,1,11:28.0,C. Capela misses free throw 1 of 1,,2,0
6,1,11:26.0,,Defensive rebound by M. Belinelli,2,0
7,1,11:17.0,Violation by C. Capela (kicked ball),,2,0
8,1,11:12.0,,M. Belinelli makes 2-pt jump shot from 19 ft (assist by R. Rondo),2,2
9,1,10:56.0,T. Ariza misses 2-pt jump shot from 5 ft,,2,2
10,1,10:55.0,,Defensive rebound by J. Anderson,2,2
11,1,10:41.0,,M. Belinelli misses 3-pt jump shot from 23 ft,2,2
12,1,10:40.0,Defensive rebound by C. Capela,,2,2
13,1,10:32.0,T. Ariza misses 3-pt jump shot from 24 ft,,2,2
14,1,10:31.0,,Defensive rebound by R. Gay,2,2
15,1,10:07.0,,R. Rondo misses 3-pt jump shot from 23 ft,2,2
16,1,10:07.0,Defensive rebound by T. Ariza,,2,2
17,1,9:59.0,M. Thornton makes 3-pt jump shot from 24 ft (assist by J. Harden),,5,2
18,1,9:46.0,,J. Anderson misses 3-pt jump shot from 24 ft,5,2
19,1,9:45.0,Defensive rebound by T. Ariza,,5,2
20,1,9:22.0,C. Capela makes 2-pt dunk at rim (assist by M. Thornton),,7,2
21,1,9:11.0,,Personal foul by T. Ariza (drawn by M. Belinelli),7,2
22,1,9:02.0,,M. Belinelli misses 2-pt jump shot from 14 ft,7,2
23,1,9:02.0,Defensive rebound by C. Capela,,7,2
24,1,8:50.0,M. Thornton makes 3-pt jump shot from 24 ft (assist by J. Harden),,10,2
25,1,8:36.0,,Turnover by K. Koufos (lost ball),10,2
26,1,8:28.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,12,2
27,1,8:25.0,,Sacramento full timeout,12,2
28,1,8:03.0,,R. Gay makes 2-pt jump shot from 10 ft,12,4
29,1,7:50.0,T. Ariza misses 3-pt jump shot from 23 ft,,12,4
30,1,7:50.0,,Defensive rebound by R. Rondo,12,4
31,1,7:40.0,,Turnover by R. Rondo (bad pass; steal by J. Harden),12,4
32,1,7:37.0,Shooting foul by R. Gay (drawn by J. Harden),,12,4
33,1,7:37.0,J. Harden makes free throw 1 of 2,,13,4
34,1,7:37.0,J. Harden makes free throw 2 of 2,,14,4
35,1,7:20.0,,R. Gay misses 2-pt jump shot from 10 ft,14,4
36,1,7:19.0,Defensive rebound by C. Capela,,14,4
37,1,7:11.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,16,4
38,1,6:55.0,,M. Belinelli misses 3-pt jump shot from 23 ft,16,4
39,1,6:54.0,Defensive rebound by T. Lawson,,16,4
40,1,6:44.0,Shooting foul by K. Koufos (drawn by T. Ariza),,16,4
41,1,6:44.0,T. Ariza makes free throw 1 of 2,,17,4
42,1,6:44.0,T. Ariza makes free throw 2 of 2,,18,4
43,1,6:21.0,,R. Rondo misses 2-pt jump shot from 10 ft,18,4
44,1,6:21.0,,Offensive rebound by K. Koufos,18,4
45,1,6:20.0,,K. Koufos misses 2-pt layup from 2 ft,18,4
46,1,6:19.0,Defensive rebound by T. Ariza,,18,4
47,1,6:15.0,Turnover by M. Thornton (step out of bounds),,18,4
48,1,6:09.0,,Turnover by R. Rondo (lost ball),18,4
49,1,6:00.0,Shooting foul by R. Gay (drawn by J. Harden),,18,4
50,1,6:00.0,J. Harden makes free throw 1 of 2,,19,4
51,1,6:00.0,,O. Casspi enters the game for R. Gay,19,4
52,1,6:00.0,J. Terry enters the game for C. Capela,,19,4
53,1,6:00.0,C. Hayes enters the game for T. Lawson,,19,4
54,1,6:00.0,J. Harden misses free throw 2 of 2,,19,4
55,1,5:59.0,,Defensive rebound by K. Koufos,19,4
56,1,5:48.0,,K. Koufos misses 2-pt layup from 2 ft,19,4
57,1,5:46.0,,Offensive rebound by K. Koufos,19,4
58,1,5:46.0,,K. Koufos misses 2-pt layup from 1 ft,19,4
59,1,5:44.0,,Offensive rebound by R. Rondo,19,4
60,1,5:44.0,,R. Rondo makes 2-pt layup from 1 ft,19,6
