,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
0,1,11:37.0,T. Allen makes 3-pt jump shot from 23 ft (assist by C. Lee),,3,0
1,1,11:23.0,,A. Afflalo misses 3-pt jump shot from 24 ft,3,0
2,1,11:22.0,Defensive rebound by M. Gasol,,3,0
3,1,11:09.0,T. Allen makes 2-pt layup at rim,,5,0
4,1,10:49.0,,R. Lopez misses 2-pt jump shot from 5 ft (block by T. Allen),5,0
5,1,10:48.0,Defensive rebound by M. Gasol,,5,0
6,1,10:38.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by C. Lee),,7,0
7,1,10:21.0,,L. Galloway misses 2-pt jump shot from 20 ft,7,0
8,1,10:20.0,Defensive rebound by Z. Randolph,,7,0
9,1,10:09.0,Shooting foul by R. Lopez (drawn by T. Allen),,7,0
10,1,10:09.0,T. Allen makes free throw 1 of 2,,8,0
11,1,10:09.0,T. Allen misses free throw 2 of 2,,8,0
12,1,10:07.0,,Defensive rebound by Team,8,0
13,1,9:59.0,,Personal foul by Z. Randolph (drawn by K. Porziņģis),8,0
14,1,9:46.0,,Offensive foul by R. Lopez (drawn by M. Gasol),8,0
15,1,9:46.0,,Turnover by R. Lopez (offensive foul),8,0
16,1,9:46.0,,K. O'Quinn enters the game for R. Lopez,8,0
17,1,9:26.0,Z. Randolph makes 2-pt jump shot from 12 ft,,10,0
18,1,9:14.0,,J. Calderón misses 3-pt jump shot from 23 ft,10,0
19,1,9:13.0,,Offensive rebound by Team,10,0
20,1,9:10.0,,J. Calderón makes 2-pt jump shot from 15 ft (assist by L. Galloway),10,2
21,1,8:43.0,T. Allen misses 2-pt jump shot from 20 ft,,10,2
22,1,8:42.0,,Defensive rebound by K. O'Quinn,10,2
23,1,8:35.0,,J. Calderón makes 2-pt jump shot from 19 ft (assist by A. Afflalo),10,4
24,1,8:17.0,Shooting foul by K. O'Quinn (drawn by T. Allen),,10,4
25,1,8:17.0,T. Allen misses free throw 1 of 2,,10,4
26,1,8:17.0,Offensive rebound by Team,,10,4
27,1,8:17.0,T. Allen makes free throw 2 of 2,,11,4
28,1,8:03.0,,New York full timeout,11,4
29,1,7:59.0,,Turnover by J. Calderón (traveling),11,4
30,1,7:51.0,M. Conley misses 3-pt jump shot from 24 ft,,11,4
31,1,7:50.0,Offensive rebound by Z. Randolph,,11,4
32,1,7:44.0,C. Lee misses 3-pt jump shot from 24 ft,,11,4
33,1,7:44.0,,Defensive rebound by J. Calderón,11,4
34,1,7:19.0,,K. O'Quinn misses 3-pt jump shot from 26 ft,11,4
35,1,7:18.0,Defensive rebound by T. Allen,,11,4
36,1,6:57.0,Z. Randolph misses 2-pt jump shot from 3 ft,,11,4
37,1,6:56.0,,Defensive rebound by K. Porziņģis,11,4
38,1,6:49.0,,Turnover by J. Calderón (bad pass; steal by M. Conley),11,4
39,1,6:42.0,T. Allen misses 2-pt layup from 1 ft,,11,4
40,1,6:42.0,,Defensive rebound by J. Calderón,11,4
41,1,6:35.0,,J. Calderón makes 3-pt jump shot from 24 ft (assist by L. Galloway),11,7
42,1,6:19.0,C. Lee makes 3-pt jump shot from 23 ft (assist by M. Conley),,14,7
43,1,6:03.0,,L. Galloway misses 2-pt jump shot from 18 ft,14,7
44,1,6:02.0,,Offensive rebound by K. Porziņģis,14,7
45,1,5:57.0,,K. Porziņģis makes 3-pt jump shot from 23 ft,14,10
46,1,5:54.0,Memphis full timeout,,14,10
47,1,5:54.0,M. Chalmers enters the game for M. Conley,,14,10
48,1,5:31.0,M. Gasol misses 2-pt jump shot from 15 ft,,14,10
49,1,5:30.0,,Defensive rebound by K. O'Quinn,14,10
50,1,5:09.0,,K. O'Quinn misses 2-pt layup from 1 ft,14,10
51,1,5:08.0,Defensive rebound by Z. Randolph,,14,10
52,1,4:56.0,M. Chalmers makes 2-pt layup at rim (assist by M. Gasol),,16,10
53,1,4:39.0,,A. Afflalo misses 2-pt jump shot from 17 ft,16,10
54,1,4:38.0,Defensive rebound by M. Gasol,,16,10
55,1,4:21.0,Z. Randolph makes 2-pt layup at rim,,18,10
56,1,4:01.0,,K. O'Quinn misses 2-pt layup from 1 ft (block by M. Chalmers),18,10
57,1,4:00.0,,Offensive rebound by K. O'Quinn,18,10
58,1,3:59.0,,K. O'Quinn makes 2-pt dunk at rim,18,12
59,1,3:45.0,Personal foul by K. Porziņģis (drawn by M. Gasol),,18,12
60,1,3:45.0,J. Green enters the game for Z. Randolph,,18,12
61,1,3:45.0,M. Barnes enters the game for T. Allen,,18,12
62,1,3:45.0,,D. Williams enters the game for L. Galloway,18,12
63,1,3:30.0,M. Chalmers misses 3-pt jump shot from 26 ft,,18,12
64,1,3:29.0,,Defensive rebound by K. Porziņģis,18,12
65,1,3:19.0,,J. Calderón makes 3-pt jump shot from 24 ft,18,15
66,1,3:06.0,Turnover by M. Gasol (traveling),,18,15
67,1,3:06.0,,J. Grant enters the game for A. Afflalo,18,15
68,1,2:44.0,,K. O'Quinn misses 2-pt jump shot from 3 ft,18,15
69,1,2:44.0,Defensive rebound by M. Chalmers,,18,15
70,1,2:40.0,R. Hollins enters the game for M. Gasol,,18,15
71,1,2:40.0,,K. Séraphin enters the game for K. O'Quinn,18,15
72,1,2:40.0,,S. Vujačić enters the game for K. Porziņģis,18,15
73,1,2:34.0,Shooting foul by J. Calderón (drawn by M. Chalmers),,18,15
74,1,2:34.0,M. Chalmers makes free throw 1 of 2,,19,15
75,1,2:34.0,,L. Galloway enters the game for J. Calderón,19,15
76,1,2:34.0,M. Chalmers makes free throw 2 of 2,,20,15
77,1,2:28.0,,Personal foul by M. Barnes (drawn by S. Vujačić),20,15
78,1,2:17.0,,D. Williams misses 2-pt jump shot from 18 ft,20,15
79,1,2:16.0,,Offensive rebound by S. Vujačić,20,15
80,1,1:57.0,,K. Séraphin makes 2-pt jump shot from 10 ft,20,17
81,1,1:35.0,C. Lee misses 2-pt layup from 2 ft,,20,17
82,1,1:34.0,Offensive rebound by R. Hollins,,20,17
83,1,1:34.0,Personal foul by J. Grant (drawn by R. Hollins),,20,17
84,1,1:34.0,R. Hollins makes free throw 1 of 2,,21,17
85,1,1:34.0,V. Carter enters the game for C. Lee,,21,17
86,1,1:34.0,R. Hollins makes free throw 2 of 2,,22,17
87,1,1:29.0,,Offensive foul by K. Séraphin (drawn by R. Hollins),22,17
88,1,1:29.0,,Turnover by K. Séraphin (offensive foul),22,17
89,1,1:24.0,Offensive foul by M. Barnes (drawn by S. Vujačić),,22,17
90,1,1:24.0,Turnover by M. Barnes (offensive foul),,22,17
91,1,1:05.0,,K. Séraphin misses 2-pt jump shot from 11 ft,22,17
92,1,1:04.0,Defensive rebound by M. Barnes,,22,17
93,1,0:57.0,M. Barnes misses 2-pt jump shot from 9 ft,,22,17
94,1,0:57.0,,Defensive rebound by L. Galloway,22,17
95,1,0:49.0,,K. Séraphin misses 2-pt layup from 1 ft,22,17
96,1,0:49.0,,Offensive rebound by K. Séraphin,22,17
97,1,0:47.0,,L. Galloway misses 2-pt jump shot from 6 ft,22,17
98,1,0:45.0,Defensive rebound by M. Barnes,,22,17
99,1,0:40.0,Personal foul by S. Vujačić (drawn by J. Green),,22,17
100,1,0:40.0,J. Green makes free throw 1 of 2,,23,17
101,1,0:40.0,J. Green makes free throw 2 of 2,,24,17
102,1,0:34.0,,Shooting foul by J. Green (drawn by J. Grant),24,17
103,1,0:34.0,,J. Grant misses free throw 1 of 2,24,17
104,1,0:34.0,,Offensive rebound by Team,24,17
105,1,0:34.0,,J. Grant makes free throw 2 of 2,24,18
106,1,0:29.0,Offensive foul by R. Hollins (drawn by J. Grant),,24,18
107,1,0:29.0,Turnover by R. Hollins (offensive foul),,24,18
108,1,0:05.0,,J. Grant misses 3-pt jump shot from 25 ft,24,18
109,1,0:04.0,Defensive rebound by M. Barnes,,24,18
110,1,0:01.0,Turnover by M. Barnes (bad pass),,24,18
111,2,11:47.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by J. Grant),24,21
112,2,11:23.0,J. Green misses 2-pt jump shot from 9 ft,,24,21
113,2,11:21.0,,Defensive rebound by K. Porziņģis,24,21
114,2,11:02.0,,D. Williams makes 2-pt jump shot from 6 ft,24,23
115,2,10:47.0,M. Barnes makes 2-pt jump shot from 9 ft,,26,23
116,2,10:29.0,,Personal foul by V. Carter (drawn by S. Vujačić),26,23
117,2,10:29.0,M. Conley enters the game for M. Chalmers,,26,23
118,2,10:23.0,,S. Vujačić makes 3-pt jump shot from 26 ft (assist by J. Grant),26,26
119,2,9:57.0,J. Green makes 2-pt jump shot from 17 ft,,28,26
120,2,9:32.0,,A. Afflalo misses 2-pt jump shot from 12 ft,28,26
121,2,9:32.0,Defensive rebound by M. Barnes,,28,26
122,2,9:16.0,J. Green misses 2-pt jump shot from 10 ft,,28,26
123,2,9:15.0,,Defensive rebound by K. Porziņģis,28,26
124,2,9:03.0,,S. Vujačić makes 3-pt jump shot from 26 ft (assist by J. Grant),28,29
125,2,8:45.0,M. Barnes misses 3-pt jump shot from 25 ft,,28,29
