,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,Personal foul by M. Gasol (drawn by J. Redick),0,0
1,1,11:37.0,,B. Griffin misses 2-pt jump shot from 5 ft,0,0
2,1,11:35.0,Defensive rebound by C. Lee,,0,0
3,1,11:27.0,Turnover by M. Gasol (bad pass),,0,0
4,1,11:19.0,,C. Paul misses 2-pt jump shot from 16 ft,0,0
5,1,11:18.0,Defensive rebound by Z. Randolph,,0,0
6,1,10:57.0,M. Conley misses 3-pt jump shot from 25 ft,,0,0
7,1,10:54.0,,Defensive rebound by C. Paul,0,0
8,1,10:50.0,,Turnover by L. Stephenson (bad pass; steal by C. Lee),0,0
9,1,10:45.0,T. Allen misses 2-pt layup at rim (block by D. Jordan),,0,0
10,1,10:45.0,Offensive rebound by Team,,0,0
11,1,10:32.0,Z. Randolph misses 2-pt jump shot from 16 ft,,0,0
12,1,10:32.0,,Defensive rebound by B. Griffin,0,0
13,1,10:20.0,,B. Griffin makes 2-pt jump shot from 19 ft,0,2
14,1,10:00.0,Z. Randolph misses 2-pt jump shot from 18 ft,,0,2
15,1,10:00.0,Offensive rebound by Team,,0,2
16,1,9:57.0,Z. Randolph makes 2-pt layup at rim (assist by M. Conley),,2,2
17,1,9:40.0,,D. Jordan makes 2-pt layup from 1 ft (assist by J. Redick),2,4
18,1,9:27.0,M. Conley misses 2-pt jump shot from 12 ft,,2,4
19,1,9:26.0,Offensive rebound by M. Conley,,2,4
20,1,9:23.0,M. Conley makes 2-pt jump shot from 6 ft,,4,4
21,1,9:13.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),4,6
22,1,8:57.0,Turnover by T. Allen (bad pass; steal by C. Paul),,4,6
23,1,8:49.0,,Turnover by B. Griffin (lost ball; steal by C. Lee),4,6
24,1,8:41.0,T. Allen misses 2-pt jump shot from 19 ft,,4,6
25,1,8:40.0,,Defensive rebound by Team,4,6
26,1,8:33.0,,C. Paul misses 2-pt jump shot from 6 ft,4,6
27,1,8:32.0,,Offensive rebound by D. Jordan,4,6
28,1,8:29.0,,D. Jordan makes 2-pt layup from 2 ft,4,8
29,1,8:12.0,M. Conley makes 3-pt jump shot from 23 ft (assist by C. Lee),,7,8
30,1,8:00.0,,L. Stephenson makes 3-pt jump shot from 24 ft,7,11
31,1,7:49.0,T. Allen makes 2-pt layup from 1 ft,,9,11
32,1,7:49.0,Violation by Team (delay of game),,9,11
33,1,7:37.0,,Turnover by L. Stephenson (bad pass; steal by Z. Randolph),9,11
34,1,7:32.0,C. Lee misses 3-pt jump shot from 24 ft,,9,11
35,1,7:32.0,Offensive rebound by Team,,9,11
36,1,7:32.0,,Loose ball foul by C. Paul (drawn by Z. Randolph),9,11
37,1,7:20.0,Z. Randolph makes 2-pt jump shot from 14 ft,,11,11
38,1,6:57.0,,L. Stephenson misses 3-pt jump shot from 23 ft,11,11
39,1,6:56.0,Defensive rebound by M. Conley,,11,11
40,1,6:50.0,M. Conley makes 2-pt jump shot from 17 ft,,13,11
41,1,6:50.0,,LA Clippers full timeout,13,11
42,1,6:50.0,J. Green enters the game for M. Gasol,,13,11
43,1,6:26.0,,J. Redick makes 2-pt jump shot from 14 ft (assist by L. Stephenson),13,13
44,1,6:12.0,J. Green misses 2-pt jump shot from 19 ft,,13,13
45,1,6:11.0,,Defensive rebound by D. Jordan,13,13
46,1,6:09.0,,Personal foul by J. Green (drawn by B. Griffin),13,13
47,1,6:00.0,,Turnover by J. Redick (bad pass; steal by C. Lee),13,13
48,1,5:53.0,C. Lee makes 2-pt dunk at rim,,15,13
49,1,5:38.0,,L. Stephenson misses 2-pt layup at rim,15,13
50,1,5:35.0,Defensive rebound by Z. Randolph,,15,13
51,1,5:26.0,Z. Randolph makes 2-pt jump shot from 18 ft (assist by M. Conley),,17,13
52,1,5:09.0,,Shooting foul by T. Allen (drawn by J. Redick),17,13
53,1,5:09.0,Technical foul by T. Allen,,17,13
54,1,5:09.0,,J. Redick makes technical free throw,17,14
55,1,5:09.0,,J. Redick makes free throw 1 of 2,17,15
56,1,5:09.0,,A. Rivers enters the game for C. Paul,17,15
57,1,5:09.0,,P. Pierce enters the game for L. Stephenson,17,15
58,1,5:09.0,,J. Redick makes free throw 2 of 2,17,16
59,1,4:51.0,J. Green makes 2-pt layup from 2 ft (assist by T. Allen),,19,16
60,1,4:38.0,,B. Griffin misses 2-pt jump shot from 20 ft,19,16
61,1,4:37.0,Defensive rebound by Team,,19,16
