,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
0,1,11:40.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by J. Calderón),,3,0
1,1,11:19.0,,C. Bosh misses 2-pt jump shot from 16 ft,3,0
2,1,11:18.0,Defensive rebound by J. Calderón,,3,0
3,1,11:12.0,Personal foul by L. Deng (drawn by R. Lopez),,3,0
4,1,11:04.0,A. Afflalo misses 2-pt jump shot from 12 ft,,3,0
5,1,11:03.0,,Defensive rebound by H. Whiteside,3,0
6,1,10:57.0,,G. Dragić misses 2-pt jump shot from 12 ft,3,0
7,1,10:56.0,,Offensive rebound by G. Dragić,3,0
8,1,10:55.0,,G. Dragić makes 2-pt layup at rim,3,2
9,1,10:41.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,3,2
10,1,10:40.0,,Defensive rebound by H. Whiteside,3,2
11,1,10:34.0,,G. Dragić misses 2-pt layup from 1 ft,3,2
12,1,10:33.0,Defensive rebound by J. Calderón,,3,2
13,1,10:19.0,R. Lopez misses 2-pt layup from 1 ft (block by H. Whiteside),,3,2
14,1,10:18.0,Offensive rebound by Team,,3,2
15,1,10:15.0,J. Calderón makes 2-pt jump shot from 18 ft (assist by C. Anthony),,5,2
16,1,9:58.0,,C. Bosh misses 2-pt jump shot from 18 ft,5,2
17,1,9:57.0,Defensive rebound by C. Anthony,,5,2
18,1,9:51.0,C. Anthony makes 2-pt jump shot from 12 ft,,7,2
19,1,9:29.0,,D. Wade makes 2-pt jump shot from 8 ft,7,4
20,1,9:19.0,Personal foul by D. Wade (drawn by K. Porziņģis),,7,4
21,1,9:11.0,C. Anthony misses 2-pt jump shot from 15 ft,,7,4
22,1,9:10.0,Offensive rebound by R. Lopez,,7,4
23,1,9:09.0,R. Lopez misses 2-pt layup from 1 ft,,7,4
24,1,9:08.0,,Defensive rebound by G. Dragić,7,4
25,1,9:02.0,,Turnover by G. Dragić (bad pass; steal by J. Calderón),7,4
26,1,8:55.0,J. Calderón makes 2-pt jump shot from 16 ft (assist by A. Afflalo),,9,4
