,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:56.0,Personal foul by T. Thompson,,0,0
1,1,11:56.0,,T. Mozgov enters the game for T. Thompson,0,0
2,1,11:46.0,Shooting foul by R. Jefferson (drawn by A. Baynes),,0,0
3,1,11:46.0,A. Baynes makes free throw 1 of 2,,1,0
4,1,11:46.0,A. Baynes makes free throw 2 of 2,,2,0
5,1,11:31.0,,M. Dellavedova makes 2-pt jump shot from 5 ft (assist by T. Mozgov),2,2
6,1,11:17.0,D. Hilliard misses 2-pt jump shot from 7 ft,,2,2
7,1,11:15.0,,Defensive rebound by J. McRae,2,2
8,1,11:06.0,,R. Jefferson misses 2-pt jump shot from 12 ft,2,2
9,1,11:06.0,Defensive rebound by A. Baynes,,2,2
10,1,10:57.0,A. Tolliver misses 3-pt jump shot from 25 ft,,2,2
11,1,10:56.0,,Defensive rebound by M. Dellavedova,2,2
12,1,10:46.0,,C. Frye makes 2-pt jump shot from 14 ft (assist by M. Dellavedova),2,4
13,1,10:29.0,D. Hilliard makes 2-pt jump shot from 17 ft (assist by A. Baynes),,4,4
14,1,10:15.0,,Turnover by T. Mozgov (bad pass; steal by S. Johnson),4,4
15,1,10:01.0,Turnover by A. Baynes (3 sec),,4,4
16,1,9:45.0,,T. Mozgov misses 2-pt jump shot from 13 ft,4,4
17,1,9:43.0,Defensive rebound by S. Johnson,,4,4
18,1,9:29.0,S. Blake misses 2-pt layup at rim,,4,4
19,1,9:27.0,,Defensive rebound by M. Dellavedova,4,4
20,1,9:21.0,,J. McRae makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),4,7
21,1,9:00.0,S. Blake misses 3-pt jump shot from 22 ft,,4,7
22,1,8:59.0,,Defensive rebound by T. Mozgov,4,7
23,1,8:51.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,4,7
24,1,8:50.0,Defensive rebound by S. Johnson,,4,7
25,1,8:42.0,S. Johnson misses 2-pt layup at rim,,4,7
26,1,8:40.0,Offensive rebound by S. Johnson,,4,7
27,1,8:34.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by S. Johnson),,7,7
28,1,8:22.0,,J. McRae misses 2-pt jump shot from 4 ft (block by D. Hilliard),7,7
29,1,8:20.0,,Offensive rebound by J. McRae,7,7
30,1,8:18.0,,J. McRae makes 2-pt jump shot from 11 ft,7,9
31,1,8:02.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by D. Hilliard),,10,9
32,1,7:39.0,,J. McRae misses 2-pt layup from 2 ft (block by S. Blake),10,9
33,1,7:39.0,,Offensive rebound by Team,10,9
34,1,7:33.0,,M. Dellavedova makes 2-pt jump shot from 21 ft,10,11
35,1,7:16.0,S. Johnson misses 2-pt jump shot from 14 ft,,10,11
36,1,7:15.0,,Defensive rebound by M. Dellavedova,10,11
37,1,7:09.0,,M. Dellavedova makes 2-pt layup from 3 ft,10,13
38,1,6:52.0,D. Hilliard misses 2-pt jump shot from 6 ft,,10,13
39,1,6:51.0,,Defensive rebound by C. Frye,10,13
40,1,6:45.0,,J. McRae makes 2-pt layup at rim,10,15
41,1,6:39.0,Detroit full timeout,,10,15
42,1,6:29.0,A. Baynes misses 2-pt hook shot from 9 ft,,10,15
43,1,6:27.0,,Defensive rebound by R. Jefferson,10,15
44,1,6:15.0,,J. McRae misses 2-pt jump shot from 16 ft,10,15
45,1,6:14.0,Defensive rebound by S. Johnson,,10,15
46,1,6:06.0,S. Johnson makes 3-pt jump shot from 23 ft,,13,15
47,1,5:52.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,13,15
48,1,5:51.0,,Offensive rebound by M. Dellavedova,13,15
49,1,5:51.0,,Shooting foul by S. Johnson (drawn by R. Jefferson),13,15
50,1,5:51.0,,R. Jefferson makes free throw 1 of 2,13,16
51,1,5:51.0,,D. Jones enters the game for M. Dellavedova,13,16
52,1,5:51.0,R. Bullock enters the game for S. Johnson,,13,16
53,1,5:51.0,,R. Jefferson misses free throw 2 of 2,13,16
54,1,5:48.0,Defensive rebound by R. Bullock,,13,16
55,1,5:25.0,S. Blake makes 3-pt jump shot from 25 ft,,16,16
56,1,5:09.0,,J. McRae misses 2-pt jump shot from 15 ft,16,16
57,1,5:09.0,Defensive rebound by A. Tolliver,,16,16
58,1,4:59.0,A. Baynes makes 2-pt dunk at rim (assist by S. Blake),,18,16
59,1,4:30.0,,T. Mozgov makes 2-pt layup from 1 ft,18,18
60,1,4:15.0,R. Bullock misses 3-pt jump shot from 24 ft,,18,18
61,1,4:14.0,,Defensive rebound by D. Jones,18,18
62,1,4:05.0,,C. Frye makes 2-pt jump shot from 6 ft (assist by J. McRae),18,20
63,1,3:45.0,S. Blake makes 2-pt jump shot from 17 ft,,20,20
64,1,3:41.0,,Cleveland full timeout,20,20
65,1,3:41.0,,J. Jones enters the game for C. Frye,20,20
66,1,3:41.0,,S. Kaun enters the game for T. Mozgov,20,20
67,1,3:23.0,,J. McRae makes 2-pt layup at rim,20,22
68,1,2:59.0,S. Blake makes 2-pt layup at rim,,22,22
69,1,2:29.0,,R. Jefferson misses 2-pt jump shot from 14 ft,22,22
70,1,2:29.0,Defensive rebound by A. Tolliver,,22,22
71,1,2:26.0,Turnover by D. Hilliard (lost ball),,22,22
72,1,2:26.0,S. Johnson enters the game for A. Tolliver,,22,22
73,1,2:07.0,,J. Jones makes 2-pt jump shot from 8 ft,22,24
74,1,1:53.0,S. Blake makes 3-pt jump shot from 24 ft,,25,24
75,1,1:39.0,,J. Jones misses 3-pt jump shot from 25 ft,25,24
76,1,1:38.0,Defensive rebound by S. Johnson,,25,24
77,1,1:23.0,A. Baynes makes 2-pt hook shot from 8 ft (assist by S. Blake),,27,24
78,1,1:13.0,,Turnover by J. McRae (bad pass; steal by S. Johnson),27,24
79,1,1:10.0,S. Johnson makes 2-pt layup from 1 ft,,29,24
80,1,0:46.0,,D. Jones misses 2-pt jump shot from 4 ft,29,24
81,1,0:46.0,Defensive rebound by S. Blake,,29,24
82,1,0:33.0,D. Hilliard misses 2-pt layup from 2 ft (block by D. Jones),,29,24
83,1,0:33.0,Offensive rebound by Team,,29,24
84,1,0:33.0,,C. Frye enters the game for R. Jefferson,29,24
85,1,0:33.0,J. Anthony enters the game for A. Baynes,,29,24
86,1,0:31.0,Personal foul by D. Jones,,29,24
87,1,0:23.0,Turnover by S. Blake (bad pass; steal by D. Jones),,29,24
88,1,0:01.0,,S. Kaun misses 2-pt jump shot from 4 ft (block by J. Anthony),29,24
89,1,0:00.0,Defensive rebound by R. Bullock,,29,24
90,2,11:36.0,,J. McRae misses 2-pt jump shot from 7 ft,29,24
91,2,11:34.0,Defensive rebound by D. Hilliard,,29,24
92,2,11:29.0,Turnover by S. Johnson (lost ball; steal by C. Frye),,29,24
93,2,11:22.0,,D. Jones misses 2-pt layup from 2 ft (block by J. Anthony),29,24
94,2,11:22.0,,Offensive rebound by C. Frye,29,24
95,2,11:22.0,J. Meeks enters the game for D. Hilliard,,29,24
96,2,11:15.0,,J. Jones misses 3-pt jump shot from 27 ft,29,24
97,2,11:14.0,Defensive rebound by S. Johnson,,29,24
98,2,11:02.0,Shooting foul by J. Jones (drawn by J. Anthony),,29,24
99,2,11:02.0,J. Anthony misses free throw 1 of 2,,29,24
100,2,11:02.0,Offensive rebound by Team,,29,24
101,2,11:02.0,J. Anthony makes free throw 2 of 2,,30,24
102,2,10:39.0,,J. Jones misses 2-pt jump shot from 17 ft,30,24
103,2,10:37.0,Defensive rebound by S. Johnson,,30,24
104,2,10:25.0,S. Dinwiddie misses 2-pt jump shot from 11 ft,,30,24
105,2,10:23.0,,Defensive rebound by C. Frye,30,24
106,2,10:16.0,,J. McRae makes 2-pt layup at rim,30,26
107,2,10:16.0,,Shooting foul by J. Anthony (drawn by J. McRae),30,26
108,2,10:16.0,,J. McRae makes free throw 1 of 1,30,27
109,2,10:04.0,S. Johnson makes 2-pt jump shot from 17 ft,,32,27
110,2,9:48.0,,C. Frye misses 2-pt jump shot from 11 ft,32,27
111,2,9:46.0,,Offensive rebound by J. Jones,32,27
112,2,9:42.0,,J. Jones misses 3-pt jump shot from 25 ft,32,27
113,2,9:41.0,Defensive rebound by J. Meeks,,32,27
114,2,9:34.0,S. Johnson makes 2-pt jump shot from 18 ft (assist by S. Dinwiddie),,34,27
115,2,9:23.0,,J. McRae misses 2-pt jump shot from 14 ft,34,27
116,2,9:22.0,Defensive rebound by R. Bullock,,34,27
117,2,9:21.0,Turnover by R. Bullock (lost ball; steal by S. Kaun),,34,27
118,2,9:11.0,,Personal foul by S. Johnson,34,27
119,2,9:08.0,,C. Frye makes 2-pt jump shot from 11 ft,34,29
120,2,9:08.0,,Shooting foul by S. Johnson (drawn by C. Frye),34,29
121,2,9:08.0,A. Tolliver enters the game for S. Johnson,,34,29
122,2,9:08.0,,C. Frye makes free throw 1 of 1,34,30
123,2,8:46.0,J. Meeks misses 3-pt jump shot from 26 ft,,34,30
124,2,8:46.0,Offensive rebound by S. Dinwiddie,,34,30
125,2,8:42.0,S. Dinwiddie misses 2-pt layup from 1 ft (block by J. Jones),,34,30
126,2,8:42.0,Offensive rebound by Team,,34,30
127,2,8:42.0,Official timeout,,34,30
128,2,8:42.0,,R. Jefferson enters the game for J. McRae,34,30
129,2,8:27.0,J. Meeks makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,37,30
130,2,8:02.0,,D. Jones makes 2-pt jump shot from 15 ft (assist by C. Frye),37,32
131,2,7:45.0,R. Bullock makes 2-pt jump shot from 13 ft (assist by S. Dinwiddie),,39,32
132,2,7:21.0,,S. Kaun misses 2-pt jump shot from 6 ft (block by J. Anthony),39,32
133,2,7:19.0,Defensive rebound by R. Bullock,,39,32
134,2,7:05.0,J. Meeks misses 3-pt jump shot from 26 ft,,39,32
135,2,7:05.0,,Defensive rebound by Team,39,32
136,2,7:03.0,,T. Mozgov enters the game for S. Kaun,39,32
137,2,6:45.0,,R. Jefferson makes 2-pt jump shot from 8 ft (assist by C. Frye),39,34
138,2,6:32.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,42,34
139,2,6:13.0,,R. Jefferson misses 2-pt jump shot from 15 ft,42,34
140,2,6:12.0,Defensive rebound by S. Dinwiddie,,42,34
141,2,6:03.0,J. Anthony makes 2-pt dunk at rim (assist by A. Tolliver),,44,34
142,2,6:03.0,,Cleveland full timeout,44,34
143,2,5:50.0,,R. Jefferson makes 2-pt jump shot from 16 ft (assist by T. Mozgov),44,36
144,2,5:27.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by R. Bullock),,47,36
145,2,5:09.0,,R. Jefferson misses 2-pt jump shot from 17 ft,47,36
146,2,5:09.0,Defensive rebound by R. Bullock,,47,36
147,2,5:08.0,Personal foul by R. Jefferson,,47,36
148,2,5:08.0,,J. McRae enters the game for D. Jones,47,36
149,2,4:53.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by J. Meeks),,50,36
150,2,4:28.0,,J. McRae misses 3-pt jump shot from 25 ft,50,36
151,2,4:28.0,Defensive rebound by A. Tolliver,,50,36
152,2,4:20.0,Shooting foul by J. Jones (drawn by J. Meeks),,50,36
153,2,4:20.0,J. Meeks makes free throw 1 of 2,,51,36
154,2,4:20.0,A. Baynes enters the game for J. Anthony,,51,36
155,2,4:20.0,D. Hilliard enters the game for R. Bullock,,51,36
156,2,4:20.0,J. Meeks makes free throw 2 of 2,,52,36
157,2,4:02.0,,J. McRae makes 2-pt layup from 1 ft,52,38
158,2,3:51.0,Offensive foul by A. Tolliver (drawn by J. Jones),,52,38
