,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
0,1,11:40.0,Turnover by J. Smith (bad pass; steal by G. Hill),,0,0
1,1,11:23.0,,P. George misses 2-pt layup from 3 ft,0,0
2,1,11:22.0,Defensive rebound by L. James,,0,0
3,1,11:11.0,K. Love makes 2-pt jump shot from 19 ft (assist by K. Irving),,2,0
4,1,10:55.0,,M. Turner misses 2-pt hook shot from 10 ft,2,0
5,1,10:55.0,Defensive rebound by K. Love,,2,0
6,1,10:43.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,5,0
7,1,10:29.0,,G. Hill misses 3-pt jump shot from 24 ft,5,0
8,1,10:27.0,,Offensive rebound by G. Hill,5,0
9,1,10:22.0,,M. Turner makes 2-pt layup from 1 ft (assist by M. Ellis),5,2
10,1,10:03.0,K. Love misses 3-pt jump shot from 26 ft,,5,2
11,1,10:01.0,,Defensive rebound by G. Hill,5,2
12,1,9:50.0,,P. George misses 2-pt jump shot from 14 ft,5,2
13,1,9:49.0,Defensive rebound by K. Love,,5,2
14,1,9:28.0,,Offensive charge foul by T. Thompson (drawn by M. Turner),5,2
15,1,9:28.0,Turnover by T. Thompson (offensive foul),,5,2
16,1,9:19.0,,M. Ellis misses 3-pt jump shot from 25 ft,5,2
17,1,9:18.0,,Offensive rebound by J. Hill,5,2
18,1,9:15.0,,J. Hill makes 2-pt jump shot from 10 ft,5,4
19,1,8:58.0,L. James makes 2-pt layup from 3 ft,,7,4
20,1,8:49.0,,M. Turner makes 2-pt dunk from 3 ft (assist by P. George),7,6
21,1,8:37.0,K. Irving makes 2-pt jump shot from 10 ft,,9,6
22,1,8:19.0,,J. Hill makes 2-pt dunk from 4 ft (assist by G. Hill),9,8
23,1,8:06.0,K. Irving makes 2-pt layup from 4 ft,,11,8
24,1,7:43.0,,P. George makes 2-pt jump shot from 21 ft,11,10
25,1,7:30.0,Turnover by K. Irving (lost ball; steal by P. George),,11,10
26,1,7:24.0,,G. Hill makes 2-pt layup from 1 ft (assist by P. George),11,12
27,1,7:00.0,K. Love misses 2-pt jump shot from 21 ft,,11,12
28,1,7:00.0,Offensive rebound by Team,,11,12
29,1,6:56.0,K. Love makes 2-pt jump shot from 19 ft (assist by L. James),,13,12
30,1,6:33.0,,Indiana full timeout,13,12
31,1,6:30.0,,P. George misses 3-pt jump shot from 24 ft,13,12
32,1,6:30.0,Defensive rebound by K. Irving,,13,12
33,1,6:22.0,Shooting foul by M. Ellis (drawn by K. Love),,13,12
34,1,6:22.0,K. Love misses free throw 1 of 2,,13,12
