,QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,S. Hill makes 3-pt jump shot from 23 ft (assist by T. Lawson),,3,0
1,1,11:28.0,,G. Monroe makes 2-pt layup at rim,3,2
2,1,11:28.0,,Shooting foul by S. Hill (drawn by G. Monroe),3,2
3,1,11:28.0,,G. Monroe makes free throw 1 of 1,3,3
4,1,11:12.0,S. Hill makes 3-pt jump shot from 24 ft (assist by R. Stuckey),,6,3
5,1,10:53.0,,G. Antetokounmpo misses 2-pt hook shot from 4 ft,6,3
6,1,10:52.0,,Offensive rebound by G. Antetokounmpo,6,3
7,1,10:48.0,,G. Antetokounmpo misses 3-pt jump shot from 23 ft,6,3
8,1,10:47.0,Defensive rebound by S. Hill,,6,3
9,1,10:38.0,M. Turner misses 2-pt jump shot from 12 ft,,6,3
10,1,10:36.0,,Defensive rebound by G. Monroe,6,3
11,1,10:17.0,,G. Antetokounmpo misses 2-pt layup at rim,6,3
12,1,10:15.0,Defensive rebound by S. Hill,,6,3
13,1,10:09.0,R. Stuckey makes 2-pt layup from 1 ft,,8,3
14,1,9:56.0,,J. Parker misses 2-pt jump shot from 17 ft,8,3
15,1,9:55.0,Defensive rebound by M. Turner,,8,3
16,1,9:48.0,T. Lawson misses 2-pt jump shot from 7 ft,,8,3
17,1,9:47.0,,Defensive rebound by J. Parker,8,3
18,1,9:43.0,,Shooting foul by L. Allen (drawn by J. Parker),8,3
19,1,9:43.0,,J. Parker makes free throw 1 of 2,8,4
20,1,9:43.0,,J. Parker makes free throw 2 of 2,8,5
21,1,9:36.0,Personal foul by K. Middleton,,8,5
22,1,9:21.0,R. Stuckey misses 2-pt layup at rim,,8,5
23,1,9:20.0,Offensive rebound by L. Allen,,8,5
24,1,9:20.0,L. Allen misses 2-pt layup from 1 ft,,8,5
25,1,9:19.0,Offensive rebound by L. Allen,,8,5
26,1,9:18.0,L. Allen makes 2-pt hook shot from 7 ft,,10,5
27,1,9:04.0,,J. Parker makes 2-pt jump shot from 17 ft,10,7
28,1,8:54.0,S. Hill makes 3-pt jump shot from 26 ft (assist by T. Lawson),,13,7
29,1,8:30.0,,Turnover by R. Vaughn (lost ball; steal by M. Turner),13,7
30,1,8:26.0,R. Stuckey makes 2-pt layup at rim,,15,7
31,1,8:26.0,,Milwaukee full timeout,15,7
32,1,8:26.0,,T. Ennis enters the game for R. Vaughn,15,7
33,1,8:07.0,,G. Monroe misses 2-pt hook shot at rim,15,7
34,1,8:06.0,Defensive rebound by L. Allen,,15,7
35,1,7:48.0,S. Hill makes 3-pt jump shot from 27 ft (assist by R. Stuckey),,18,7
36,1,7:35.0,,K. Middleton misses 2-pt jump shot from 13 ft,18,7
37,1,7:34.0,Defensive rebound by R. Stuckey,,18,7
38,1,7:30.0,Shooting foul by T. Ennis (drawn by R. Stuckey),,18,7
39,1,7:30.0,R. Stuckey makes free throw 1 of 2,,19,7
40,1,7:30.0,R. Stuckey makes free throw 2 of 2,,20,7
41,1,7:17.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),20,9
42,1,7:10.0,L. Allen makes 2-pt layup from 1 ft (assist by T. Lawson),,22,9
43,1,6:54.0,,K. Middleton misses 3-pt jump shot from 25 ft,22,9
44,1,6:54.0,,Offensive rebound by Team,22,9
45,1,6:54.0,Loose ball foul by M. Turner,,22,9
46,1,6:54.0,,J. O'Bryant enters the game for J. Parker,22,9
47,1,6:46.0,,J. O'Bryant misses 2-pt jump shot from 15 ft,22,9
48,1,6:45.0,Defensive rebound by Team,,22,9
49,1,6:32.0,R. Stuckey misses 3-pt jump shot from 24 ft,,22,9
50,1,6:31.0,,Defensive rebound by G. Antetokounmpo,22,9
51,1,6:14.0,,Turnover by G. Antetokounmpo (traveling),22,9
52,1,6:01.0,L. Allen makes 2-pt dunk at rim (assist by R. Stuckey),,24,9
53,1,5:47.0,,K. Middleton misses 2-pt jump shot from 14 ft,24,9
54,1,5:46.0,Defensive rebound by M. Turner,,24,9
55,1,5:40.0,Turnover by T. Lawson (bad pass; steal by G. Monroe),,24,9
56,1,5:34.0,,J. O'Bryant makes 2-pt layup at rim (assist by G. Antetokounmpo),24,11
57,1,5:22.0,L. Allen misses 2-pt jump shot from 13 ft,,24,11
58,1,5:21.0,,Defensive rebound by J. O'Bryant,24,11
59,1,5:17.0,,Personal foul by L. Allen,24,11
60,1,5:17.0,,M. Plumlee enters the game for G. Monroe,24,11
61,1,5:17.0,S. Whittington enters the game for L. Allen,,24,11
62,1,5:11.0,,M. Plumlee misses 2-pt dunk at rim,24,11
63,1,5:09.0,Defensive rebound by M. Turner,,24,11
64,1,4:59.0,Personal foul by T. Ennis,,24,11
65,1,4:53.0,S. Hill misses 2-pt jump shot from 18 ft,,24,11
66,1,4:52.0,Offensive rebound by M. Turner,,24,11
67,1,4:50.0,M. Turner makes 2-pt layup from 1 ft,,26,11
68,1,4:36.0,,T. Ennis makes 3-pt jump shot from 23 ft (assist by K. Middleton),26,14
69,1,4:28.0,M. Turner misses 2-pt hook shot at rim,,26,14
70,1,4:27.0,,Defensive rebound by T. Ennis,26,14
71,1,4:23.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by T. Ennis),26,16
72,1,4:15.0,Indiana full timeout,,26,16
73,1,4:15.0,,G. Vásquez enters the game for K. Middleton,26,16
74,1,4:01.0,M. Turner misses 2-pt layup from 1 ft,,26,16
75,1,3:59.0,Offensive rebound by S. Whittington,,26,16
76,1,3:59.0,S. Whittington makes 2-pt layup at rim,,28,16
77,1,3:46.0,,Shooting foul by S. Whittington (drawn by G. Antetokounmpo),28,16
78,1,3:46.0,,G. Antetokounmpo makes free throw 1 of 2,28,17
79,1,3:46.0,G. Robinson enters the game for R. Stuckey,,28,17
80,1,3:46.0,,G. Antetokounmpo makes free throw 2 of 2,28,18
81,1,3:31.0,,Violation by M. Plumlee (kicked ball),28,18
82,1,3:24.0,S. Whittington makes 2-pt layup at rim (assist by G. Robinson),,30,18
83,1,3:09.0,,Turnover by G. Antetokounmpo (traveling),30,18
84,1,3:09.0,J. Hill enters the game for M. Turner,,30,18
85,1,2:50.0,G. Robinson misses 3-pt jump shot from 24 ft,,30,18
86,1,2:48.0,Offensive rebound by J. Hill,,30,18
87,1,2:38.0,S. Hill misses 3-pt jump shot from 28 ft,,30,18
88,1,2:36.0,Offensive rebound by S. Whittington,,30,18
89,1,2:35.0,,J. Parker enters the game for G. Antetokounmpo,30,18
90,1,2:24.0,S. Hill misses 2-pt jump shot from 3 ft,,30,18
91,1,2:22.0,Offensive rebound by J. Hill,,30,18
92,1,2:22.0,J. Hill misses 2-pt layup at rim,,30,18
93,1,2:21.0,Offensive rebound by S. Whittington,,30,18
94,1,2:19.0,S. Whittington misses 2-pt layup from 1 ft,,30,18
95,1,2:18.0,Offensive rebound by J. Hill,,30,18
96,1,2:18.0,Turnover by J. Hill (step out of bounds),,30,18
97,1,2:03.0,,J. O'Bryant misses 2-pt jump shot from 19 ft,30,18
98,1,2:02.0,,Offensive rebound by J. Parker,30,18
99,1,1:52.0,,J. Parker misses 2-pt jump shot from 3 ft,30,18
100,1,1:50.0,Defensive rebound by S. Whittington,,30,18
101,1,1:47.0,T. Lawson makes 2-pt layup at rim (assist by S. Hill),,32,18
102,1,1:31.0,,J. Parker misses 2-pt jump shot from 19 ft,32,18
103,1,1:29.0,Defensive rebound by T. Lawson,,32,18
104,1,1:23.0,Turnover by S. Whittington (lost ball; steal by G. Vásquez),,32,18
105,1,1:18.0,,M. Plumlee misses 2-pt dunk at rim,32,18
106,1,1:16.0,Defensive rebound by J. Hill,,32,18
107,1,1:10.0,T. Lawson makes 2-pt layup from 1 ft,,34,18
108,1,1:01.0,J. Young enters the game for S. Hill,,34,18
109,1,0:53.0,,G. Vásquez misses 2-pt jump shot from 4 ft,34,18
110,1,0:52.0,Defensive rebound by S. Whittington,,34,18
111,1,0:45.0,Turnover by J. Young (lost ball; steal by J. Parker),,34,18
112,1,0:32.0,,G. Vásquez misses 3-pt jump shot from 26 ft,34,18
113,1,0:31.0,Defensive rebound by J. Hill,,34,18
114,1,0:19.0,T. Lawson makes 3-pt jump shot from 26 ft (assist by J. Young),,37,18
115,1,0:04.0,,J. O'Bryant makes 2-pt dunk at rim (assist by G. Vásquez),37,20
116,1,0:01.0,J. Young misses 3-pt jump shot from 40 ft,,37,20
117,1,0:00.0,Offensive rebound by Team,,37,20
118,2,11:35.0,,M. Plumlee misses 2-pt jump shot from 10 ft,37,20
119,2,11:34.0,Defensive rebound by J. Young,,37,20
120,2,11:19.0,L. Allen makes 2-pt layup at rim (assist by G. Robinson),,39,20
121,2,11:04.0,,D. Inglis makes 2-pt jump shot from 13 ft (assist by M. Plumlee),39,22
122,2,10:48.0,G. Robinson misses 2-pt layup from 1 ft,,39,22
123,2,10:46.0,Offensive rebound by L. Allen,,39,22
124,2,10:46.0,L. Allen makes 2-pt layup from 1 ft,,41,22
125,2,10:34.0,,R. Vaughn misses 2-pt layup from 1 ft,41,22
126,2,10:33.0,Defensive rebound by J. Young,,41,22
127,2,10:29.0,G. Robinson makes 2-pt dunk at rim (assist by J. Young),,43,22
128,2,10:10.0,,J. Henson misses 2-pt hook shot from 9 ft,43,22
129,2,10:09.0,Defensive rebound by J. Hill,,43,22
