,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
0,1,11:42.0,K. Bazemore makes 2-pt layup from 1 ft (assist by K. Korver),,2,0
1,1,11:24.0,,N. Vonleh makes 3-pt jump shot from 24 ft (assist by A. Aminu),2,3
2,1,11:09.0,Turnover by J. Teague (bad pass),,2,3
3,1,10:52.0,,M. Plumlee makes 2-pt dunk at rim (assist by C. McCollum),2,5
4,1,10:41.0,K. Korver makes 2-pt jump shot from 21 ft (assist by K. Bazemore),,4,5
5,1,10:31.0,,Turnover by C. McCollum (bad pass; steal by P. Millsap),4,5
6,1,10:20.0,A. Horford misses 2-pt jump shot from 9 ft,,4,5
7,1,10:19.0,,Defensive rebound by A. Aminu,4,5
8,1,10:09.0,,M. Plumlee misses 2-pt jump shot from 9 ft,4,5
9,1,10:07.0,,Offensive rebound by M. Plumlee,4,5
10,1,10:01.0,,C. McCollum misses 2-pt jump shot from 19 ft,4,5
11,1,10:00.0,Defensive rebound by P. Millsap,,4,5
12,1,9:47.0,Turnover by K. Bazemore (bad pass),,4,5
13,1,9:29.0,,Personal foul by P. Millsap (drawn by N. Vonleh),4,5
14,1,9:24.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),4,7
15,1,9:07.0,A. Horford misses 2-pt jump shot from 9 ft,,4,7
16,1,9:07.0,,Defensive rebound by N. Vonleh,4,7
17,1,9:01.0,,A. Aminu makes 2-pt layup from 1 ft (assist by M. Plumlee),4,9
18,1,8:43.0,J. Teague misses 2-pt layup from 2 ft,,4,9
19,1,8:43.0,,Defensive rebound by D. Lillard,4,9
20,1,8:39.0,,C. McCollum makes 2-pt jump shot from 20 ft (assist by D. Lillard),4,11
21,1,8:39.0,Atlanta full timeout,,4,11
22,1,8:27.0,Shooting foul by M. Plumlee (drawn by P. Millsap),,4,11
23,1,8:27.0,P. Millsap makes free throw 1 of 2,,5,11
24,1,8:27.0,P. Millsap makes free throw 2 of 2,,6,11
25,1,8:14.0,,D. Lillard misses 2-pt jump shot from 20 ft,6,11
26,1,8:14.0,Defensive rebound by K. Bazemore,,6,11
27,1,8:02.0,J. Teague makes 2-pt jump shot from 7 ft,,8,11
28,1,7:40.0,,C. McCollum makes 2-pt jump shot from 9 ft,8,13
29,1,7:24.0,K. Bazemore misses 2-pt jump shot from 20 ft,,8,13
30,1,7:23.0,,Defensive rebound by C. McCollum,8,13
31,1,7:15.0,,C. McCollum misses 3-pt jump shot from 24 ft,8,13
32,1,7:14.0,Defensive rebound by K. Bazemore,,8,13
33,1,7:07.0,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),,10,13
34,1,6:51.0,,A. Aminu makes 2-pt jump shot from 13 ft (assist by D. Lillard),10,15
35,1,6:36.0,Personal block foul by A. Aminu (drawn by K. Bazemore),,10,15
36,1,6:36.0,T. Sefolosha enters the game for K. Bazemore,,10,15
37,1,6:36.0,T. Splitter enters the game for P. Millsap,,10,15
38,1,6:21.0,J. Teague misses 3-pt jump shot from 24 ft,,10,15
39,1,6:21.0,,Defensive rebound by D. Lillard,10,15
40,1,6:13.0,Offensive charge foul by M. Plumlee (drawn by A. Horford),,10,15
41,1,6:13.0,,Turnover by M. Plumlee (offensive foul),10,15
42,1,6:04.0,Def 3 sec tech foul by N. Vonleh,,10,15
43,1,6:04.0,K. Korver makes technical free throw,,11,15
44,1,6:04.0,,M. Leonard enters the game for N. Vonleh,11,15
45,1,6:04.0,,E. Davis enters the game for M. Plumlee,11,15
46,1,5:55.0,J. Teague makes 2-pt jump shot from 15 ft,,13,15
47,1,5:36.0,,D. Lillard makes 2-pt jump shot from 15 ft (assist by M. Leonard),13,17
48,1,5:25.0,A. Horford makes 3-pt jump shot from 24 ft (assist by T. Splitter),,16,17
49,1,5:12.0,,Shooting foul by T. Splitter (drawn by E. Davis),16,17
50,1,5:12.0,,E. Davis misses free throw 1 of 2,16,17
51,1,5:12.0,,Offensive rebound by Team,16,17
52,1,5:12.0,,A. Crabbe enters the game for C. McCollum,16,17
53,1,5:12.0,,E. Davis misses free throw 2 of 2,16,17
54,1,5:10.0,Defensive rebound by K. Korver,,16,17
55,1,4:51.0,T. Splitter misses 2-pt jump shot from 5 ft,,16,17
56,1,4:51.0,,Defensive rebound by E. Davis,16,17
57,1,4:41.0,,Personal foul by A. Horford (drawn by A. Aminu),16,17
58,1,4:41.0,P. Millsap enters the game for A. Horford,,16,17
59,1,4:41.0,D. Schröder enters the game for J. Teague,,16,17
60,1,4:41.0,K. Bazemore enters the game for K. Korver,,16,17
61,1,4:33.0,,Turnover by A. Aminu (lost ball; steal by T. Sefolosha),16,17
62,1,4:28.0,T. Sefolosha makes 2-pt layup at rim (assist by K. Bazemore),,18,17
63,1,4:10.0,,M. Leonard misses 2-pt jump shot from 7 ft,18,17
64,1,4:09.0,Defensive rebound by P. Millsap,,18,17
65,1,4:00.0,D. Schröder misses 3-pt jump shot from 23 ft,,18,17
66,1,3:59.0,,Defensive rebound by M. Leonard,18,17
67,1,3:50.0,,M. Leonard misses 3-pt jump shot from 24 ft,18,17
68,1,3:49.0,Defensive rebound by T. Splitter,,18,17
69,1,3:44.0,Shooting foul by M. Leonard (drawn by P. Millsap),,18,17
70,1,3:44.0,P. Millsap misses free throw 1 of 2,,18,17
71,1,3:44.0,Offensive rebound by Team,,18,17
72,1,3:44.0,,M. Harkless enters the game for A. Aminu,18,17
73,1,3:44.0,P. Millsap makes free throw 2 of 2,,19,17
74,1,3:30.0,,Shooting foul by T. Splitter (drawn by M. Harkless),19,17
75,1,3:30.0,,M. Harkless misses free throw 1 of 2,19,17
76,1,3:30.0,,Offensive rebound by Team,19,17
77,1,3:30.0,,M. Harkless makes free throw 2 of 2,19,18
78,1,3:09.0,Turnover by D. Schröder (bad pass; steal by A. Crabbe),,19,18
79,1,2:57.0,,A. Crabbe misses 2-pt jump shot from 18 ft,19,18
