,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,,D. West misses 2-pt layup from 1 ft (block by A. Davis),0,0
1,1,11:43.0,Defensive rebound by A. Davis,,0,0
2,1,11:34.0,N. Cole makes 2-pt jump shot from 20 ft,,2,0
3,1,11:19.0,,L. Aldridge misses 2-pt jump shot from 19 ft,2,0
4,1,11:18.0,Defensive rebound by Ö. Aşık,,2,0
5,1,11:11.0,N. Cole misses 2-pt layup from 2 ft,,2,0
6,1,11:09.0,,Defensive rebound by D. Green,2,0
7,1,10:56.0,,D. Green misses 2-pt layup at rim,2,0
8,1,10:55.0,Defensive rebound by Ö. Aşık,,2,0
9,1,10:46.0,Turnover by B. Dejean-Jones (traveling),,2,0
10,1,10:28.0,,T. Parker makes 2-pt jump shot from 20 ft,2,2
11,1,10:02.0,Turnover by Team (shot clock),,2,2
12,1,9:45.0,,L. Aldridge makes 2-pt jump shot from 8 ft,2,4
13,1,9:32.0,A. Davis makes 2-pt jump shot from 15 ft,,4,4
14,1,9:20.0,,D. West makes 2-pt jump shot from 16 ft (assist by T. Parker),4,6
15,1,9:06.0,Shooting foul by L. Aldridge (drawn by A. Davis),,4,6
16,1,9:06.0,A. Davis makes free throw 1 of 2,,5,6
17,1,9:06.0,A. Davis makes free throw 2 of 2,,6,6
18,1,8:53.0,,K. Leonard makes 2-pt dunk at rim (assist by D. West),6,8
19,1,8:39.0,N. Cole makes 2-pt jump shot from 21 ft (assist by A. Davis),,8,8
20,1,8:27.0,,Turnover by K. Leonard (bad pass; steal by A. Gee),8,8
21,1,8:21.0,A. Davis makes 2-pt dunk at rim (assist by N. Cole),,10,8
22,1,8:08.0,,Shooting foul by Ö. Aşık (drawn by L. Aldridge),10,8
23,1,8:08.0,,L. Aldridge makes free throw 1 of 2,10,9
24,1,8:08.0,,L. Aldridge makes free throw 2 of 2,10,10
25,1,7:59.0,B. Dejean-Jones makes 3-pt jump shot from 24 ft,,13,10
26,1,7:43.0,,D. West misses 2-pt jump shot from 15 ft,13,10
27,1,7:41.0,Defensive rebound by B. Dejean-Jones,,13,10
28,1,7:27.0,A. Davis misses 2-pt jump shot from 17 ft,,13,10
29,1,7:25.0,,Defensive rebound by D. West,13,10
