,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,WASHINGTON_ACTION,LA LAKERS_SCORE,WASHINGTON_SCORE
0,1,11:42.0,Turnover by K. Bryant (bad pass),,0,0
1,1,11:33.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),0,2
2,1,11:18.0,J. Clarkson makes 2-pt jump shot from 10 ft (assist by J. Randle),,2,2
3,1,11:11.0,,Turnover by J. Wall (bad pass; steal by J. Randle),2,2
4,1,11:10.0,Personal foul by J. Dudley (drawn by J. Randle),,2,2
5,1,11:05.0,Turnover by R. Hibbert (bad pass; steal by J. Wall),,2,2
6,1,11:01.0,,J. Wall makes 2-pt dunk at rim,2,4
7,1,10:44.0,R. Hibbert misses 2-pt jump shot from 13 ft,,2,4
8,1,10:43.0,,Defensive rebound by J. Dudley,2,4
9,1,10:36.0,,M. Gortat misses 2-pt jump shot from 8 ft,2,4
10,1,10:35.0,Defensive rebound by J. Randle,,2,4
11,1,10:28.0,J. Randle makes 2-pt jump shot from 6 ft,,4,4
12,1,10:16.0,,J. Dudley makes 2-pt jump shot from 17 ft (assist by J. Wall),4,6
13,1,9:53.0,J. Randle misses 2-pt jump shot from 20 ft,,4,6
14,1,9:51.0,,Defensive rebound by M. Gortat,4,6
15,1,9:39.0,,J. Wall misses 3-pt jump shot from 24 ft,4,6
16,1,9:38.0,,Offensive rebound by M. Gortat,4,6
17,1,9:34.0,,O. Porter makes 2-pt jump shot from 14 ft (assist by M. Gortat),4,8
18,1,9:21.0,D. Russell makes 2-pt jump shot from 17 ft,,6,8
19,1,9:10.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),6,10
20,1,8:51.0,Turnover by K. Bryant (bad pass; steal by B. Beal),,6,10
21,1,8:48.0,,Shooting foul by J. Clarkson (drawn by B. Beal),6,10
22,1,8:48.0,,B. Beal makes free throw 1 of 2,6,11
23,1,8:48.0,,B. Beal makes free throw 2 of 2,6,12
24,1,8:33.0,Shooting foul by O. Porter (drawn by K. Bryant),,6,12
25,1,8:33.0,K. Bryant misses free throw 1 of 2,,6,12
26,1,8:33.0,Offensive rebound by Team,,6,12
27,1,8:33.0,K. Bryant makes free throw 2 of 2,,7,12
28,1,8:13.0,,Turnover by B. Beal (back court),7,12
29,1,7:59.0,J. Randle misses 2-pt jump shot from 4 ft,,7,12
30,1,7:57.0,,Defensive rebound by B. Beal,7,12
31,1,7:52.0,,J. Wall makes 2-pt layup at rim (assist by B. Beal),7,14
32,1,7:37.0,K. Bryant makes 2-pt jump shot from 19 ft,,9,14
33,1,7:33.0,,Turnover by J. Wall (bad pass),9,14
34,1,7:20.0,J. Clarkson makes 2-pt jump shot from 18 ft,,11,14
35,1,7:09.0,,B. Beal misses 2-pt jump shot from 13 ft,11,14
36,1,7:08.0,Defensive rebound by J. Randle,,11,14
37,1,7:01.0,D. Russell misses 3-pt jump shot from 24 ft,,11,14
38,1,6:59.0,,Defensive rebound by M. Gortat,11,14
39,1,6:54.0,,Turnover by J. Wall (lost ball; steal by D. Russell),11,14
40,1,6:45.0,K. Bryant makes 3-pt jump shot from 24 ft (assist by D. Russell),,14,14
41,1,6:30.0,,Turnover by B. Beal (lost ball; steal by K. Bryant),14,14
42,1,6:24.0,J. Clarkson makes 2-pt layup from 1 ft (assist by K. Bryant),,16,14
43,1,6:20.0,,Turnover by J. Wall (lost ball; steal by D. Russell),16,14
44,1,6:17.0,D. Russell makes 3-pt jump shot from 25 ft,,19,14
45,1,6:17.0,,Technical foul by J. Wall,19,14
46,1,6:17.0,,Washington full timeout,19,14
47,1,6:17.0,K. Bryant makes technical free throw,,20,14
48,1,5:56.0,,O. Porter misses 3-pt jump shot from 24 ft,20,14
49,1,5:55.0,Defensive rebound by J. Randle,,20,14
50,1,5:36.0,Turnover by R. Hibbert (bad pass),,20,14
51,1,5:25.0,,O. Porter misses 3-pt jump shot from 24 ft,20,14
52,1,5:23.0,Defensive rebound by J. Randle,,20,14
53,1,5:14.0,J. Clarkson misses 3-pt jump shot from 22 ft,,20,14
54,1,5:13.0,,Defensive rebound by O. Porter,20,14
55,1,4:58.0,,M. Gortat makes 2-pt hook shot from 3 ft (assist by J. Wall),20,16
56,1,4:36.0,K. Bryant misses 3-pt jump shot from 25 ft,,20,16
57,1,4:34.0,Offensive rebound by J. Randle,,20,16
58,1,4:24.0,J. Randle misses 2-pt jump shot from 3 ft,,20,16
59,1,4:23.0,,Defensive rebound by O. Porter,20,16
60,1,4:23.0,Loose ball foul by J. Randle (drawn by O. Porter),,20,16
61,1,4:23.0,L. Williams enters the game for K. Bryant,,20,16
62,1,4:23.0,M. World Peace enters the game for D. Russell,,20,16
