,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
0,1,11:40.0,K. Thompson misses 3-pt jump shot from 22 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Harden,0,0
2,1,11:26.0,,Turnover by D. Howard (lost ball; steal by D. Green),0,0
3,1,11:22.0,Shooting foul by T. Ariza (drawn by F. Ezeli),,0,0
4,1,11:22.0,F. Ezeli misses free throw 1 of 2,,0,0
5,1,11:22.0,Offensive rebound by Team,,0,0
6,1,11:22.0,F. Ezeli makes free throw 2 of 2,,1,0
7,1,11:09.0,,D. Howard makes 2-pt layup from 1 ft (assist by J. Harden),1,2
8,1,11:00.0,S. Curry misses 2-pt jump shot from 18 ft,,1,2
9,1,10:59.0,,Defensive rebound by T. Lawson,1,2
10,1,10:56.0,,Shooting foul by K. Thompson (drawn by T. Lawson),1,2
11,1,10:56.0,,T. Lawson makes free throw 1 of 2,1,3
12,1,10:56.0,,T. Lawson makes free throw 2 of 2,1,4
13,1,10:36.0,F. Ezeli makes 2-pt hook shot from 3 ft,,3,4
14,1,10:21.0,,T. Jones makes 2-pt jump shot from 20 ft (assist by T. Ariza),3,6
15,1,10:08.0,D. Green misses 2-pt layup from 2 ft (block by T. Lawson),,3,6
16,1,10:06.0,,Defensive rebound by T. Jones,3,6
17,1,10:02.0,,Shooting foul by S. Curry (drawn by T. Lawson),3,6
18,1,10:02.0,,T. Lawson makes free throw 1 of 2,3,7
19,1,10:02.0,,T. Lawson makes free throw 2 of 2,3,8
20,1,9:48.0,K. Thompson misses 2-pt jump shot from 10 ft,,3,8
21,1,9:47.0,,Defensive rebound by T. Jones,3,8
22,1,9:33.0,,T. Jones misses 2-pt jump shot from 6 ft,3,8
23,1,9:32.0,,Offensive rebound by D. Howard,3,8
24,1,9:32.0,,D. Howard misses 2-pt layup from 1 ft,3,8
25,1,9:29.0,,Offensive rebound by D. Howard,3,8
26,1,9:29.0,,D. Howard misses 2-pt layup from 2 ft,3,8
27,1,9:28.0,Defensive rebound by S. Curry,,3,8
28,1,9:22.0,S. Curry makes 3-pt jump shot from 24 ft,,6,8
29,1,9:08.0,,T. Lawson misses 2-pt jump shot from 13 ft,6,8
30,1,9:08.0,Defensive rebound by Team,,6,8
31,1,9:08.0,,Loose ball foul by D. Howard (drawn by D. Green),6,8
32,1,8:56.0,S. Curry makes 3-pt jump shot from 24 ft (assist by H. Barnes),,9,8
33,1,8:44.0,,J. Harden misses 3-pt jump shot from 25 ft,9,8
34,1,8:43.0,Defensive rebound by K. Thompson,,9,8
35,1,8:31.0,H. Barnes makes 2-pt dunk at rim,,11,8
36,1,8:01.0,,Turnover by Team (shot clock),11,8
37,1,7:52.0,S. Curry makes 3-pt jump shot from 29 ft,,14,8
