,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,A. Roberson makes 3-pt jump shot from 23 ft (assist by K. Durant),,3,0
1,1,11:26.0,,J. Parker misses 2-pt jump shot from 20 ft,3,0
2,1,11:25.0,Defensive rebound by K. Durant,,3,0
3,1,11:20.0,Turnover by S. Ibaka (traveling),,3,0
4,1,11:12.0,,O. Mayo misses 3-pt jump shot from 22 ft,3,0
5,1,11:11.0,Defensive rebound by S. Adams,,3,0
6,1,10:57.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,5,0
7,1,10:45.0,,Turnover by O. Mayo (bad pass),5,0
8,1,10:38.0,Shooting foul by J. Parker (drawn by K. Durant),,5,0
9,1,10:38.0,K. Durant misses free throw 1 of 2,,5,0
10,1,10:38.0,Offensive rebound by Team,,5,0
11,1,10:38.0,K. Durant makes free throw 2 of 2,,6,0
12,1,10:24.0,,Turnover by M. Plumlee (lost ball),6,0
13,1,10:06.0,S. Ibaka misses 3-pt jump shot from 23 ft,,6,0
14,1,10:05.0,,Defensive rebound by J. Parker,6,0
15,1,9:58.0,,J. Parker makes 2-pt dunk at rim,6,2
16,1,9:41.0,K. Durant misses 3-pt jump shot from 25 ft,,6,2
17,1,9:40.0,,Defensive rebound by M. Plumlee,6,2
18,1,9:34.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,6,2
19,1,9:32.0,Defensive rebound by A. Roberson,,6,2
20,1,9:25.0,A. Roberson misses 2-pt layup at rim (block by G. Antetokounmpo),,6,2
21,1,9:20.0,,Defensive rebound by K. Middleton,6,2
22,1,9:12.0,,J. Parker misses 3-pt jump shot from 23 ft,6,2
23,1,9:11.0,Defensive rebound by R. Westbrook,,6,2
24,1,9:03.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by K. Durant),,9,2
25,1,8:50.0,,Personal foul by A. Roberson (drawn by J. Parker),9,2
26,1,8:37.0,,J. Parker misses 2-pt jump shot from 15 ft (block by S. Ibaka),9,2
27,1,8:35.0,Defensive rebound by K. Durant,,9,2
28,1,8:33.0,Shooting foul by J. Parker (drawn by K. Durant),,9,2
29,1,8:33.0,K. Durant makes free throw 1 of 2,,10,2
30,1,8:33.0,K. Durant makes free throw 2 of 2,,11,2
31,1,8:27.0,,Milwaukee full timeout,11,2
32,1,8:27.0,,J. Bayless enters the game for J. Parker,11,2
33,1,8:20.0,,O. Mayo misses 2-pt layup from 2 ft (block by A. Roberson),11,2
34,1,8:18.0,Defensive rebound by K. Durant,,11,2
35,1,8:10.0,S. Adams makes 2-pt hook shot from 6 ft (assist by K. Durant),,13,2
36,1,7:59.0,,Personal foul by A. Roberson (drawn by K. Middleton),13,2
37,1,7:59.0,K. Singler enters the game for A. Roberson,,13,2
38,1,7:43.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,13,2
39,1,7:42.0,Defensive rebound by S. Ibaka,,13,2
40,1,7:27.0,Turnover by S. Ibaka (bad pass; steal by G. Antetokounmpo),,13,2
41,1,7:21.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,13,2
42,1,7:18.0,Defensive rebound by S. Ibaka,,13,2
43,1,7:15.0,K. Singler makes 2-pt hook shot from 3 ft (assist by K. Durant),,15,2
44,1,6:50.0,,Shooting foul by R. Westbrook (drawn by J. Bayless),15,2
45,1,6:50.0,,J. Bayless makes free throw 1 of 2,15,3
46,1,6:50.0,,G. Monroe enters the game for M. Plumlee,15,3
47,1,6:50.0,,J. Bayless makes free throw 2 of 2,15,4
48,1,6:32.0,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),,17,4
49,1,6:20.0,,K. Middleton misses 2-pt jump shot from 6 ft (block by K. Singler),17,4
