,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,M. Morris makes 2-pt jump shot from 17 ft,,2,0
1,1,11:26.0,,Turnover by J. Okafor (lost ball; steal by A. Drummond),2,0
2,1,11:14.0,Turnover by K. Caldwell-Pope (step out of bounds),,2,0
3,1,10:58.0,,N. Noel misses 2-pt dunk at rim,2,0
4,1,10:55.0,Defensive rebound by E. İlyasova,,2,0
5,1,10:50.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by M. Morris),,5,0
6,1,10:34.0,,Turnover by N. Noel (lost ball; steal by K. Caldwell-Pope),5,0
7,1,10:24.0,E. İlyasova makes 2-pt layup from 2 ft (assist by M. Morris),,7,0
8,1,10:05.0,,Turnover by N. Noel (traveling),7,0
9,1,9:49.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,7,0
10,1,9:46.0,Offensive rebound by A. Drummond,,7,0
11,1,9:45.0,A. Drummond makes 2-pt jump shot from 4 ft,,9,0
12,1,9:35.0,,Personal foul by A. Drummond (drawn by J. Okafor),9,0
13,1,9:26.0,,Turnover by I. Canaan (bad pass; steal by K. Caldwell-Pope),9,0
14,1,9:19.0,E. İlyasova makes 2-pt jump shot from 17 ft (assist by K. Caldwell-Pope),,11,0
15,1,9:18.0,,Philadelphia full timeout,11,0
16,1,9:05.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by K. Marshall),11,3
17,1,8:47.0,R. Jackson misses 3-pt jump shot from 25 ft,,11,3
18,1,8:47.0,,Defensive rebound by Team,11,3
19,1,8:32.0,,J. Okafor misses 2-pt jump shot from 14 ft,11,3
20,1,8:32.0,Defensive rebound by Team,,11,3
21,1,8:32.0,,T. McConnell enters the game for K. Marshall,11,3
22,1,8:11.0,A. Drummond misses 2-pt jump shot from 6 ft (block by J. Okafor),,11,3
23,1,8:09.0,,Defensive rebound by T. McConnell,11,3
24,1,7:57.0,,R. Covington misses 3-pt jump shot from 24 ft,11,3
25,1,7:56.0,Defensive rebound by A. Drummond,,11,3
26,1,7:48.0,Turnover by M. Morris (step out of bounds),,11,3
27,1,7:48.0,Violation by Team (delay of game),,11,3
28,1,7:33.0,,Turnover by J. Okafor (traveling),11,3
29,1,7:33.0,,N. Stauskas enters the game for I. Canaan,11,3
30,1,7:20.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Jackson),,13,3
31,1,6:58.0,,T. McConnell misses 3-pt jump shot from 24 ft,13,3
32,1,6:57.0,Defensive rebound by E. İlyasova,,13,3
33,1,6:47.0,A. Drummond misses 2-pt layup from 2 ft,,13,3
34,1,6:45.0,,Defensive rebound by N. Noel,13,3
35,1,6:39.0,,Shooting foul by E. İlyasova (drawn by R. Covington),13,3
36,1,6:39.0,,R. Covington makes free throw 1 of 2,13,4
37,1,6:39.0,,J. Grant enters the game for J. Okafor,13,4
38,1,6:39.0,,R. Covington makes free throw 2 of 2,13,5
39,1,6:35.0,Shooting foul by N. Noel (drawn by R. Jackson),,13,5
40,1,6:35.0,R. Jackson makes free throw 1 of 2,,14,5
41,1,6:35.0,,H. Thompson enters the game for R. Covington,14,5
42,1,6:35.0,R. Jackson makes free throw 2 of 2,,15,5
43,1,6:16.0,,J. Grant makes 2-pt layup from 1 ft (assist by N. Stauskas),15,7
44,1,6:09.0,A. Drummond misses 2-pt jump shot from 13 ft,,15,7
45,1,6:07.0,Offensive rebound by A. Drummond,,15,7
46,1,6:07.0,A. Drummond misses 2-pt layup at rim,,15,7
47,1,6:06.0,Offensive rebound by A. Drummond,,15,7
48,1,6:05.0,A. Drummond misses 2-pt jump shot from 3 ft (block by N. Noel),,15,7
49,1,6:03.0,Offensive rebound by A. Drummond,,15,7
50,1,6:02.0,A. Drummond misses 2-pt jump shot from 4 ft (block by N. Noel),,15,7
51,1,6:00.0,,Defensive rebound by T. McConnell,15,7
52,1,5:49.0,,N. Noel misses 2-pt layup from 1 ft (block by A. Drummond),15,7
53,1,5:47.0,Defensive rebound by E. İlyasova,,15,7
54,1,5:39.0,Turnover by R. Jackson (bad pass),,15,7
55,1,5:31.0,,T. McConnell misses 2-pt layup from 1 ft,15,7
56,1,5:31.0,,Offensive rebound by Team,15,7
57,1,5:16.0,,Turnover by N. Stauskas (lost ball),15,7
58,1,5:03.0,R. Jackson makes 2-pt layup from 2 ft,,17,7
59,1,4:42.0,,Turnover by N. Stauskas (lost ball; steal by E. İlyasova),17,7
60,1,4:32.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by R. Jackson),,20,7
61,1,4:15.0,,N. Stauskas misses 2-pt layup from 2 ft (block by E. İlyasova),20,7
62,1,4:15.0,,Offensive rebound by Team,20,7
63,1,4:15.0,,R. Holmes enters the game for N. Noel,20,7
64,1,4:12.0,,H. Thompson misses 2-pt jump shot from 20 ft,20,7
65,1,4:10.0,Defensive rebound by E. İlyasova,,20,7
66,1,4:03.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by R. Jackson),,23,7
67,1,3:59.0,,Turnover by H. Thompson (bad pass; steal by E. İlyasova),23,7
68,1,3:46.0,R. Jackson makes 2-pt layup at rim,,25,7
69,1,3:46.0,,Philadelphia full timeout,25,7
70,1,3:46.0,S. Johnson enters the game for M. Morris,,25,7
71,1,3:46.0,,J. Okafor enters the game for R. Holmes,25,7
72,1,3:28.0,,Turnover by T. McConnell (bad pass; steal by K. Caldwell-Pope),25,7
73,1,3:24.0,K. Caldwell-Pope makes 2-pt layup at rim,,27,7
74,1,3:04.0,,J. Okafor makes 2-pt jump shot from 13 ft,27,9
75,1,2:40.0,A. Drummond makes 2-pt hook shot from 6 ft,,29,9
76,1,2:26.0,,N. Stauskas makes 2-pt jump shot from 13 ft,29,11
77,1,2:09.0,R. Jackson makes 2-pt jump shot from 13 ft,,31,11
78,1,1:59.0,,N. Stauskas misses 2-pt layup from 1 ft,31,11
79,1,1:57.0,Defensive rebound by E. İlyasova,,31,11
80,1,1:46.0,E. İlyasova misses 2-pt jump shot from 14 ft,,31,11
81,1,1:43.0,Offensive rebound by A. Drummond,,31,11
82,1,1:43.0,A. Drummond makes 2-pt layup at rim,,33,11
83,1,1:38.0,Offensive charge foul by J. Grant (drawn by E. İlyasova),,33,11
84,1,1:38.0,,Turnover by J. Grant (offensive foul),33,11
85,1,1:38.0,Detroit full timeout,,33,11
86,1,1:38.0,,I. Canaan enters the game for T. McConnell,33,11
87,1,1:38.0,,R. Covington enters the game for J. Grant,33,11
88,1,1:38.0,A. Tolliver enters the game for E. İlyasova,,33,11
89,1,1:38.0,S. Blake enters the game for R. Jackson,,33,11
90,1,1:23.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft,,35,11
91,1,1:05.0,,Shooting foul by S. Blake (drawn by I. Canaan),35,11
92,1,1:05.0,,J. Sampson enters the game for N. Stauskas,35,11
93,1,1:05.0,,I. Canaan makes free throw 1 of 2,35,12
94,1,1:05.0,,I. Canaan makes free throw 2 of 2,35,13
95,1,0:50.0,S. Johnson misses 2-pt jump shot from 18 ft,,35,13
96,1,0:48.0,,Defensive rebound by J. Sampson,35,13
97,1,0:34.0,,Personal block foul by A. Tolliver (drawn by J. Sampson),35,13
98,1,0:34.0,,J. Sampson misses free throw 1 of 2,35,13
99,1,0:34.0,,Offensive rebound by Team,35,13
100,1,0:34.0,,J. Sampson makes free throw 2 of 2,35,14
101,1,0:21.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,35,14
102,1,0:19.0,,Defensive rebound by H. Thompson,35,14
103,1,0:02.0,,J. Okafor misses 2-pt layup from 2 ft,35,14
104,1,0:01.0,,Offensive rebound by J. Okafor,35,14
105,1,0:01.0,,J. Okafor misses 2-pt layup from 1 ft,35,14
106,1,0:00.0,,Offensive rebound by R. Covington,35,14
107,2,11:44.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by I. Canaan),35,17
108,2,11:23.0,A. Baynes misses 2-pt hook shot from 6 ft,,35,17
109,2,11:20.0,,Defensive rebound by J. Sampson,35,17
110,2,11:11.0,,J. Okafor makes 2-pt layup from 2 ft,35,19
111,2,10:56.0,S. Johnson makes 2-pt layup at rim (assist by A. Baynes),,37,19
112,2,10:42.0,,J. Okafor makes 2-pt layup from 1 ft,37,21
113,2,10:26.0,S. Johnson misses 2-pt jump shot from 17 ft,,37,21
114,2,10:25.0,,Defensive rebound by J. Okafor,37,21
115,2,10:12.0,,J. Sampson makes 2-pt dunk at rim (assist by K. Marshall),37,23
116,2,10:04.0,Detroit full timeout,,37,23
117,2,9:49.0,A. Baynes makes 2-pt dunk at rim (assist by S. Blake),,39,23
118,2,9:41.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by I. Canaan),39,26
119,2,9:22.0,S. Johnson misses 2-pt jump shot from 14 ft,,39,26
120,2,9:20.0,,Defensive rebound by J. Sampson,39,26
121,2,9:08.0,,J. Okafor makes 2-pt layup from 1 ft,39,28
122,2,8:49.0,D. Hilliard misses 2-pt jump shot from 17 ft,,39,28
123,2,8:48.0,Offensive rebound by A. Baynes,,39,28
124,2,8:41.0,A. Tolliver misses 3-pt jump shot from 23 ft,,39,28
125,2,8:40.0,,Defensive rebound by I. Canaan,39,28
126,2,8:28.0,,K. Marshall makes 3-pt jump shot from 25 ft (assist by J. Sampson),39,31
127,2,8:02.0,Shooting foul by J. Sampson (drawn by A. Tolliver),,39,31
