,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SAN ANTONIO_ACTION,MILWAUKEE_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,,T. Duncan makes 2-pt jump shot from 5 ft,0,2
1,1,11:20.0,Shooting foul by K. Leonard (drawn by K. Middleton),,0,2
2,1,11:20.0,K. Middleton makes free throw 1 of 3,,1,2
3,1,11:20.0,K. Middleton makes free throw 2 of 3,,2,2
4,1,11:20.0,K. Middleton makes free throw 3 of 3,,3,2
5,1,10:56.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Green),3,4
6,1,10:44.0,G. Monroe makes 2-pt layup from 2 ft (assist by T. Ennis),,5,4
7,1,10:22.0,,T. Duncan misses 2-pt jump shot from 17 ft,5,4
8,1,10:21.0,Defensive rebound by K. Middleton,,5,4
9,1,10:13.0,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo),,5,4
10,1,10:13.0,G. Antetokounmpo makes free throw 1 of 2,,6,4
11,1,10:13.0,,D. West enters the game for L. Aldridge,6,4
12,1,10:13.0,G. Antetokounmpo makes free throw 2 of 2,,7,4
13,1,10:00.0,,T. Duncan makes 2-pt jump shot from 7 ft (assist by T. Parker),7,6
14,1,9:46.0,G. Monroe misses 2-pt jump shot from 5 ft,,7,6
15,1,9:45.0,Offensive rebound by G. Antetokounmpo,,7,6
16,1,9:45.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,7,6
17,1,9:43.0,,Defensive rebound by D. West,7,6
18,1,9:35.0,,T. Duncan makes 2-pt layup from 2 ft (assist by D. West),7,8
19,1,9:14.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Duncan),,7,8
20,1,9:04.0,,K. Leonard makes 2-pt layup at rim (assist by T. Duncan),7,10
21,1,9:04.0,Milwaukee full timeout,,7,10
22,1,9:04.0,,L. Aldridge enters the game for D. West,7,10
23,1,8:49.0,T. Ennis misses 2-pt jump shot from 13 ft,,7,10
24,1,8:48.0,,Defensive rebound by T. Duncan,7,10
25,1,8:38.0,,Shooting foul by K. Middleton (drawn by K. Leonard),7,10
26,1,8:38.0,,K. Leonard makes free throw 1 of 2,7,11
27,1,8:38.0,,K. Leonard makes free throw 2 of 2,7,12
