,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:43.0,Turnover by N. Hilário (bad pass; steal by M. Ellis),,0,0
1,1,11:42.0,,Turnover by P. George (dbl dribble),0,0
2,1,11:31.0,Shooting foul by I. Mahinmi (drawn by K. Oubre),,0,0
3,1,11:31.0,K. Oubre misses free throw 1 of 2,,0,0
4,1,11:31.0,Offensive rebound by Team,,0,0
5,1,11:31.0,K. Oubre makes free throw 2 of 2,,1,0
6,1,11:17.0,,Turnover by I. Mahinmi (lost ball; steal by J. Wall),1,0
7,1,11:13.0,N. Hilário makes 2-pt dunk from 1 ft (assist by J. Dudley),,3,0
8,1,11:02.0,,Turnover by I. Mahinmi (bad pass; steal by K. Oubre),3,0
9,1,10:55.0,G. Temple misses 3-pt jump shot from 24 ft,,3,0
10,1,10:53.0,Offensive rebound by K. Oubre,,3,0
11,1,10:46.0,N. Hilário misses 2-pt jump shot from 16 ft,,3,0
12,1,10:45.0,Offensive rebound by G. Temple,,3,0
13,1,10:33.0,N. Hilário misses 2-pt hook shot from 4 ft,,3,0
14,1,10:32.0,,Defensive rebound by P. George,3,0
15,1,10:25.0,,P. George misses 3-pt jump shot from 24 ft,3,0
16,1,10:25.0,Defensive rebound by J. Dudley,,3,0
17,1,10:13.0,J. Wall misses 2-pt jump shot from 18 ft,,3,0
18,1,10:12.0,,Defensive rebound by P. George,3,0
19,1,10:07.0,,M. Ellis makes 2-pt layup from 2 ft (assist by P. George),3,2
20,1,9:48.0,Personal foul by C. Miles (drawn by J. Wall),,3,2
21,1,9:48.0,J. Wall misses free throw 1 of 2,,3,2
22,1,9:48.0,Offensive rebound by Team,,3,2
23,1,9:48.0,J. Wall makes free throw 2 of 2,,4,2
24,1,9:35.0,,Turnover by G. Hill (lost ball),4,2
25,1,9:21.0,K. Oubre misses 2-pt dunk from 2 ft,,4,2
26,1,9:21.0,Offensive rebound by K. Oubre,,4,2
27,1,9:17.0,K. Oubre misses 2-pt layup from 2 ft (block by P. George),,4,2
28,1,9:16.0,,Defensive rebound by P. George,4,2
29,1,9:13.0,,Personal foul by J. Dudley (drawn by P. George),4,2
30,1,9:00.0,,P. George makes 2-pt layup from 1 ft,4,4
31,1,8:41.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by J. Wall),,7,4
32,1,8:20.0,,I. Mahinmi misses 2-pt jump shot from 18 ft,7,4
33,1,8:18.0,Defensive rebound by J. Wall,,7,4
34,1,8:03.0,N. Hilário misses 2-pt dunk from 1 ft,,7,4
35,1,8:03.0,Offensive rebound by J. Dudley,,7,4
36,1,7:53.0,N. Hilário makes 2-pt layup from 3 ft,,9,4
37,1,7:44.0,,Personal foul by N. Hilário (drawn by I. Mahinmi),9,4
38,1,7:37.0,,I. Mahinmi misses 2-pt layup from 4 ft (block by G. Temple),9,4
39,1,7:37.0,Defensive rebound by Team,,9,4
40,1,7:23.0,J. Wall makes 2-pt layup from 1 ft,,11,4
41,1,7:16.0,,Turnover by P. George (lost ball),11,4
42,1,7:07.0,Personal foul by G. Hill (drawn by G. Temple),,11,4
43,1,6:52.0,K. Oubre misses 2-pt jump shot from 23 ft,,11,4
44,1,6:49.0,Offensive rebound by N. Hilário,,11,4
45,1,6:47.0,J. Wall misses 3-pt jump shot from 24 ft,,11,4
46,1,6:47.0,Offensive rebound by Team,,11,4
47,1,6:47.0,,Loose ball foul by G. Hill (drawn by K. Oubre),11,4
48,1,6:47.0,,C. Budinger enters the game for G. Hill,11,4
49,1,6:30.0,G. Temple misses 2-pt layup from 1 ft,,11,4
50,1,6:28.0,,Defensive rebound by C. Budinger,11,4
51,1,6:24.0,,Shooting foul by K. Oubre (drawn by C. Budinger),11,4
52,1,6:24.0,,C. Budinger makes free throw 1 of 2,11,5
53,1,6:24.0,D. Gooden enters the game for N. Hilário,,11,5
54,1,6:24.0,,C. Budinger misses free throw 2 of 2,11,5
55,1,6:23.0,Defensive rebound by G. Temple,,11,5
