,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
30,1,8:23.0,J. Jack misses 3-pt jump shot from 24 ft,,13,5
31,1,8:22.0,,Defensive rebound by C. Zeller,13,5
32,1,8:14.0,,K. Walker makes 2-pt jump shot from 18 ft,13,7
33,1,8:00.0,Turnover by R. Hollis-Jefferson (bad pass; steal by N. Batum),,13,7
34,1,7:57.0,,Personal foul by R. Hollis-Jefferson (drawn by N. Batum),13,7
35,1,7:47.0,,N. Batum misses 3-pt jump shot from 25 ft,13,7
36,1,7:45.0,Defensive rebound by B. Lopez,,13,7
37,1,7:36.0,Shooting foul by C. Zeller (drawn by B. Lopez),,13,7
38,1,7:36.0,B. Lopez makes free throw 1 of 2,,14,7
39,1,7:36.0,B. Lopez makes free throw 2 of 2,,15,7
40,1,7:20.0,,K. Walker makes 3-pt jump shot from 22 ft (assist by M. Williams),15,10
41,1,7:02.0,J. Johnson makes 2-pt jump shot from 10 ft (assist by J. Jack),,17,10
42,1,6:46.0,,N. Batum misses 2-pt jump shot from 17 ft,17,10
43,1,6:45.0,,Offensive rebound by M. Williams,17,10
44,1,6:45.0,,M. Williams makes 2-pt dunk at rim,17,12
45,1,6:32.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by J. Jack),,20,12
46,1,6:12.0,,A. Jefferson makes 2-pt hook shot from 8 ft,20,14
47,1,5:59.0,Shooting foul by C. Zeller (drawn by T. Young),,20,14
48,1,5:59.0,,Charlotte full timeout,20,14
49,1,5:59.0,,F. Kaminsky enters the game for C. Zeller,20,14
50,1,5:59.0,T. Young makes free throw 1 of 2,,21,14
51,1,5:59.0,T. Young makes free throw 2 of 2,,22,14
52,1,5:47.0,,N. Batum makes 2-pt jump shot from 4 ft (assist by K. Walker),22,16
53,1,5:33.0,Personal foul by K. Walker (drawn by J. Jack),,22,16
54,1,5:33.0,J. Jack makes free throw 1 of 2,,23,16
55,1,5:33.0,T. Robinson enters the game for B. Lopez,,23,16
56,1,5:33.0,J. Jack makes free throw 2 of 2,,24,16
57,1,5:17.0,,A. Jefferson makes 2-pt hook shot from 10 ft,24,18
58,1,4:59.0,J. Johnson misses 3-pt jump shot from 23 ft (block by M. Williams),,24,18
59,1,4:59.0,Offensive rebound by Team,,24,18
60,1,4:54.0,T. Young makes 2-pt layup from 2 ft,,26,18
61,1,4:38.0,,A. Jefferson misses 2-pt hook shot from 11 ft,26,18
62,1,4:37.0,Defensive rebound by T. Robinson,,26,18
63,1,4:30.0,T. Young misses 2-pt layup from 2 ft,,26,18
64,1,4:30.0,Offensive rebound by Team,,26,18
65,1,4:27.0,Turnover by T. Robinson (offensive goaltending),,26,18
66,1,4:17.0,,F. Kaminsky misses 3-pt jump shot from 24 ft,26,18
67,1,4:16.0,,Offensive rebound by K. Walker,26,18
68,1,4:10.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),26,21
69,1,4:01.0,J. Jack misses 2-pt jump shot from 18 ft,,26,21
70,1,4:00.0,,Defensive rebound by F. Kaminsky,26,21
71,1,3:45.0,,K. Walker misses 2-pt jump shot from 17 ft (block by J. Jack),26,21
72,1,3:44.0,,Offensive rebound by Team,26,21
73,1,3:44.0,,J. Lamb enters the game for M. Williams,26,21
74,1,3:44.0,S. Larkin enters the game for J. Jack,,26,21
75,1,3:43.0,,Turnover by F. Kaminsky (step out of bounds),26,21
76,1,3:24.0,J. Johnson makes 2-pt jump shot from 8 ft,,28,21
77,1,3:12.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by N. Batum),28,23
78,1,3:12.0,,Shooting foul by S. Larkin (drawn by A. Jefferson),28,23
79,1,3:12.0,,A. Jefferson makes free throw 1 of 1,28,24
80,1,2:51.0,S. Larkin makes 2-pt jump shot from 18 ft,,30,24
81,1,2:38.0,,F. Kaminsky makes 2-pt jump shot at rim (assist by A. Jefferson),30,26
82,1,2:38.0,,Shooting foul by S. Larkin (drawn by F. Kaminsky),30,26
83,1,2:38.0,Brooklyn full timeout,,30,26
84,1,2:38.0,,S. Hawes enters the game for A. Jefferson,30,26
85,1,2:38.0,,J. Lin enters the game for K. Walker,30,26
86,1,2:38.0,,F. Kaminsky makes free throw 1 of 1,30,27
87,1,2:26.0,Turnover by J. Johnson (bad pass; steal by F. Kaminsky),,30,27
88,1,2:09.0,B. Bogdanović enters the game for T. Robinson,,30,27
89,1,2:09.0,B. Lopez enters the game for J. Johnson,,30,27
90,1,2:09.0,A. Bargnani enters the game for T. Young,,30,27
91,1,2:03.0,,J. Lin misses 2-pt layup from 1 ft (block by B. Lopez),30,27
92,1,2:01.0,,Offensive rebound by J. Lin,30,27
93,1,1:57.0,,Turnover by Team (shot clock),30,27
94,1,1:31.0,A. Bargnani makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,32,27
95,1,1:09.0,,J. Lin makes 2-pt jump shot at rim (assist by N. Batum),32,29
96,1,0:42.0,B. Lopez misses 2-pt jump shot from 3 ft,,32,29
97,1,0:41.0,,Defensive rebound by J. Lin,32,29
98,1,0:33.0,,S. Hawes makes 3-pt jump shot from 25 ft (assist by J. Lin),32,32
99,1,0:12.0,A. Bargnani misses 3-pt jump shot from 25 ft,,32,32
100,1,0:11.0,,Defensive rebound by J. Lamb,32,32
101,1,0:00.0,,J. Lamb misses 3-pt jump shot from 25 ft,32,32
102,1,0:00.0,,Offensive rebound by Team,32,32
103,2,11:42.0,,S. Hawes makes 2-pt jump shot from 1 ft (assist by J. Lamb),32,34
104,2,11:30.0,Shooting foul by S. Hawes (drawn by B. Lopez),,32,34
105,2,11:30.0,B. Lopez makes free throw 1 of 2,,33,34
106,2,11:30.0,B. Lopez makes free throw 2 of 2,,34,34
107,2,11:09.0,,J. Lin misses 3-pt jump shot from 25 ft,34,34
108,2,11:08.0,Defensive rebound by B. Bogdanović,,34,34
