,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
0,1,11:42.0,L. Aldridge misses 2-pt jump shot from 5 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Howard,0,0
2,1,11:31.0,,Turnover by T. Ariza (bad pass; steal by K. Leonard),0,0
3,1,11:12.0,T. Duncan misses 2-pt hook shot from 6 ft,,0,0
4,1,11:11.0,,Defensive rebound by D. Howard,0,0
5,1,11:01.0,,J. Harden misses 2-pt jump shot from 16 ft,0,0
6,1,11:00.0,,Offensive rebound by D. Howard,0,0
7,1,10:59.0,,D. Howard misses 2-pt layup from 2 ft (block by K. Leonard),0,0
8,1,10:57.0,,Offensive rebound by D. Howard,0,0
9,1,10:46.0,,D. Howard misses 2-pt hook shot from 6 ft,0,0
10,1,10:46.0,Defensive rebound by L. Aldridge,,0,0
11,1,10:29.0,K. Leonard misses 2-pt jump shot from 8 ft,,0,0
12,1,10:28.0,,Defensive rebound by D. Howard,0,0
13,1,10:21.0,,J. Harden misses 2-pt layup from 2 ft,0,0
14,1,10:20.0,,Offensive rebound by C. Capela,0,0
15,1,10:20.0,,C. Capela makes 2-pt dunk at rim,0,2
16,1,10:03.0,D. Green misses 2-pt jump shot from 15 ft,,0,2
17,1,10:02.0,,Defensive rebound by T. Ariza,0,2
18,1,9:47.0,,P. Beverley misses 3-pt jump shot from 24 ft,0,2
19,1,9:46.0,,Offensive rebound by C. Capela,0,2
20,1,9:42.0,,C. Capela misses 2-pt jump shot from 5 ft,0,2
21,1,9:41.0,Defensive rebound by Team,,0,2
22,1,9:17.0,Turnover by Team (shot clock),,0,2
23,1,9:04.0,,J. Harden makes 2-pt jump shot from 14 ft,0,4
24,1,8:43.0,T. Parker misses 2-pt jump shot from 18 ft,,0,4
25,1,8:42.0,,Defensive rebound by J. Harden,0,4
26,1,8:23.0,,D. Howard makes 2-pt dunk at rim (assist by C. Capela),0,6
27,1,8:03.0,L. Aldridge misses 2-pt jump shot from 18 ft,,0,6
28,1,8:02.0,,Defensive rebound by J. Harden,0,6
29,1,7:49.0,,Turnover by J. Harden (bad pass),0,6
30,1,7:28.0,T. Parker makes 2-pt jump shot from 11 ft,,2,6
31,1,7:12.0,,P. Beverley misses 2-pt jump shot from 7 ft,2,6
32,1,7:11.0,Defensive rebound by Team,,2,6
33,1,7:11.0,,Loose ball foul by P. Beverley (drawn by T. Parker),2,6
34,1,7:11.0,,T. Jones enters the game for C. Capela,2,6
35,1,6:55.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by T. Parker),,4,6
36,1,6:42.0,,T. Ariza misses 2-pt jump shot from 13 ft,4,6
37,1,6:41.0,Defensive rebound by T. Duncan,,4,6
38,1,6:22.0,D. Green makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,7,6
39,1,6:06.0,,T. Jones misses 2-pt jump shot from 7 ft,7,6
40,1,6:05.0,Defensive rebound by T. Duncan,,7,6
41,1,5:55.0,T. Duncan misses 2-pt jump shot from 19 ft,,7,6
42,1,5:54.0,,Defensive rebound by T. Jones,7,6
43,1,5:44.0,,P. Beverley misses 2-pt jump shot from 9 ft,7,6
44,1,5:43.0,,Offensive rebound by P. Beverley,7,6
45,1,5:39.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by P. Beverley),7,9
46,1,5:39.0,San Antonio full timeout,,7,9
47,1,5:39.0,,T. Lawson enters the game for P. Beverley,7,9
48,1,5:29.0,Shooting foul by T. Ariza (drawn by K. Leonard),,7,9
49,1,5:29.0,K. Leonard makes free throw 1 of 2,,8,9
50,1,5:29.0,M. Ginóbili enters the game for T. Parker,,8,9
51,1,5:29.0,P. Mills enters the game for D. Green,,8,9
52,1,5:29.0,K. Leonard makes free throw 2 of 2,,9,9
53,1,5:04.0,,T. Ariza makes 2-pt jump shot from 8 ft (assist by J. Harden),9,11
54,1,4:47.0,B. Diaw enters the game for T. Duncan,,9,11
55,1,4:36.0,B. Diaw makes 2-pt hook shot from 4 ft,,11,11
56,1,4:23.0,,T. Jones makes 2-pt dunk at rim (assist by J. Harden),11,13
57,1,4:09.0,Turnover by B. Diaw (lost ball),,11,13
58,1,4:09.0,,C. Brewer enters the game for T. Ariza,11,13
59,1,4:09.0,,C. Capela enters the game for D. Howard,11,13
60,1,3:53.0,,Turnover by J. Harden (lost ball; steal by B. Diaw),11,13
61,1,3:44.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Mills),,14,13
62,1,3:28.0,,T. Jones misses 3-pt jump shot from 22 ft,14,13
63,1,3:27.0,,Offensive rebound by T. Lawson,14,13
64,1,3:20.0,,T. Lawson makes 3-pt jump shot from 25 ft (assist by C. Brewer),14,16
65,1,3:07.0,Personal foul by T. Lawson (drawn by P. Mills),,14,16
66,1,2:54.0,B. Diaw makes 2-pt jump shot from 20 ft (assist by K. Leonard),,16,16
67,1,2:40.0,,T. Jones makes 2-pt layup at rim (assist by J. Harden),16,18
68,1,2:24.0,P. Mills misses 3-pt jump shot from 25 ft,,16,18
69,1,2:21.0,Offensive rebound by L. Aldridge,,16,18
70,1,2:21.0,L. Aldridge misses 2-pt layup from 2 ft,,16,18
71,1,2:19.0,Offensive rebound by L. Aldridge,,16,18
72,1,2:19.0,L. Aldridge makes 2-pt layup from 1 ft,,18,18
73,1,2:19.0,,Houston full timeout,18,18
74,1,2:19.0,J. Simmons enters the game for K. Leonard,,18,18
75,1,2:19.0,,J. Terry enters the game for J. Harden,18,18
76,1,2:06.0,,T. Lawson misses 2-pt jump shot from 15 ft,18,18
77,1,2:05.0,Defensive rebound by M. Ginóbili,,18,18
