,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
0,1,11:43.0,,N. Vučević misses 2-pt hook shot from 7 ft,0,0
1,1,11:42.0,Defensive rebound by A. Wiggins,,0,0
2,1,11:27.0,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),,2,0
3,1,11:05.0,,E. Payton makes 2-pt jump shot from 7 ft (assist by T. Harris),2,2
4,1,10:46.0,A. Payne misses 2-pt jump shot from 21 ft,,2,2
5,1,10:46.0,,Defensive rebound by E. Payton,2,2
6,1,10:32.0,,N. Vučević makes 2-pt layup at rim,2,4
7,1,10:20.0,Personal foul by V. Oladipo (drawn by A. Wiggins),,2,4
8,1,10:13.0,R. Rubio makes 2-pt jump shot from 18 ft (assist by A. Payne),,4,4
9,1,9:55.0,,V. Oladipo misses 2-pt jump shot from 16 ft,4,4
10,1,9:54.0,Defensive rebound by A. Payne,,4,4
11,1,9:44.0,A. Payne misses 2-pt jump shot from 13 ft,,4,4
12,1,9:43.0,Offensive rebound by K. Towns,,4,4
13,1,9:38.0,K. Towns misses 2-pt hook shot from 10 ft,,4,4
14,1,9:38.0,Offensive rebound by K. Towns,,4,4
15,1,9:21.0,A. Wiggins makes 2-pt jump shot from 14 ft,,6,4
16,1,9:05.0,,Shooting foul by K. Towns (drawn by V. Oladipo),6,4
17,1,9:05.0,,V. Oladipo misses free throw 1 of 2,6,4
18,1,9:05.0,,Offensive rebound by Team,6,4
19,1,9:05.0,,V. Oladipo misses free throw 2 of 2,6,4
20,1,9:04.0,Defensive rebound by A. Payne,,6,4
21,1,8:49.0,Turnover by K. Towns (lost ball; steal by N. Vučević),,6,4
22,1,8:41.0,,E. Payton misses 2-pt jump shot from 6 ft,6,4
23,1,8:39.0,,Offensive rebound by T. Harris,6,4
24,1,8:31.0,,V. Oladipo misses 3-pt jump shot from 25 ft,6,4
25,1,8:30.0,,Offensive rebound by E. Fournier,6,4
26,1,8:26.0,,V. Oladipo misses 2-pt layup at rim,6,4
27,1,8:24.0,Defensive rebound by A. Payne,,6,4
28,1,8:02.0,A. Payne misses 2-pt jump shot from 17 ft,,6,4
29,1,8:02.0,,Defensive rebound by E. Payton,6,4
30,1,7:55.0,,E. Payton makes 2-pt layup from 2 ft (assist by N. Vučević),6,6
31,1,7:30.0,Turnover by Team (shot clock),,6,6
32,1,7:30.0,,M. Hezonja enters the game for V. Oladipo,6,6
33,1,7:19.0,,E. Fournier misses 2-pt jump shot from 6 ft (block by K. Towns),6,6
34,1,7:18.0,Defensive rebound by R. Rubio,,6,6
35,1,7:12.0,R. Rubio makes 2-pt layup at rim,,8,6
36,1,6:51.0,,T. Harris misses 2-pt jump shot from 20 ft,8,6
37,1,6:50.0,,Offensive rebound by N. Vučević,8,6
38,1,6:47.0,,N. Vučević misses 2-pt hook shot from 5 ft,8,6
39,1,6:47.0,Defensive rebound by K. Towns,,8,6
40,1,6:40.0,A. Wiggins makes 2-pt layup at rim (assist by R. Rubio),,10,6
41,1,6:21.0,,E. Payton misses 2-pt jump shot from 20 ft,10,6
42,1,6:21.0,Defensive rebound by K. Towns,,10,6
43,1,6:16.0,Minnesota full timeout,,10,6
44,1,6:16.0,,A. Gordon enters the game for E. Fournier,10,6
45,1,6:16.0,N. Bjelica enters the game for A. Payne,,10,6
46,1,6:07.0,Personal foul by E. Payton (drawn by A. Wiggins),,10,6
47,1,5:51.0,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),,12,6
48,1,5:38.0,,E. Payton makes 2-pt layup at rim (assist by M. Hezonja),12,8
49,1,5:38.0,,Shooting foul by T. Prince (drawn by E. Payton),12,8
50,1,5:38.0,,E. Payton misses free throw 1 of 1,12,8
51,1,5:37.0,Defensive rebound by K. Towns,,12,8
52,1,5:22.0,R. Rubio misses 2-pt layup from 1 ft,,12,8
53,1,5:22.0,,Defensive rebound by M. Hezonja,12,8
54,1,5:15.0,,T. Harris makes 2-pt layup from 1 ft (assist by E. Payton),12,10
55,1,4:56.0,K. Towns misses 2-pt hook shot from 5 ft,,12,10
56,1,4:55.0,,Defensive rebound by E. Payton,12,10
57,1,4:44.0,,N. Vučević misses 2-pt hook shot from 7 ft,12,10
58,1,4:44.0,,Offensive rebound by E. Payton,12,10
59,1,4:34.0,,E. Payton misses 2-pt jump shot from 9 ft,12,10
60,1,4:33.0,Defensive rebound by K. Towns,,12,10
61,1,4:20.0,Shooting foul by A. Gordon (drawn by K. Towns),,12,10
62,1,4:20.0,K. Towns misses free throw 1 of 2,,12,10
63,1,4:20.0,Offensive rebound by Team,,12,10
64,1,4:20.0,,D. Dedmon enters the game for N. Vučević,12,10
65,1,4:20.0,Z. LaVine enters the game for R. Rubio,,12,10
66,1,4:20.0,K. Towns makes free throw 2 of 2,,13,10
67,1,4:07.0,,M. Hezonja makes 2-pt jump shot from 16 ft,13,12
68,1,3:46.0,Personal foul by T. Harris (drawn by N. Bjelica),,13,12
69,1,3:46.0,G. Dieng enters the game for K. Towns,,13,12
70,1,3:46.0,,S. Napier enters the game for E. Payton,13,12
71,1,3:35.0,G. Dieng makes 2-pt jump shot from 15 ft (assist by A. Wiggins),,15,12
72,1,3:18.0,,A. Gordon misses 2-pt jump shot from 9 ft,15,12
73,1,3:17.0,Defensive rebound by T. Prince,,15,12
74,1,3:08.0,Z. LaVine misses 2-pt jump shot from 15 ft,,15,12
75,1,3:07.0,Offensive rebound by A. Wiggins,,15,12
76,1,3:03.0,A. Wiggins makes 2-pt jump shot from 8 ft,,17,12
77,1,2:48.0,,Personal foul by Z. LaVine (drawn by S. Napier),17,12
78,1,2:48.0,,Orlando full timeout,17,12
79,1,2:48.0,K. Martin enters the game for T. Prince,,17,12
80,1,2:48.0,S. Muhammad enters the game for A. Wiggins,,17,12
81,1,2:44.0,Violation by G. Dieng (kicked ball),,17,12
82,1,2:33.0,,M. Hezonja misses 2-pt jump shot from 17 ft,17,12
83,1,2:33.0,Defensive rebound by S. Muhammad,,17,12
84,1,2:22.0,Shooting foul by D. Dedmon (drawn by G. Dieng),,17,12
85,1,2:22.0,G. Dieng misses free throw 1 of 2,,17,12
86,1,2:22.0,Offensive rebound by Team,,17,12
87,1,2:22.0,G. Dieng makes free throw 2 of 2,,18,12
88,1,2:12.0,,Turnover by A. Gordon (bad pass; steal by G. Dieng),18,12
89,1,1:54.0,S. Muhammad misses 3-pt jump shot from 25 ft,,18,12
90,1,1:54.0,,Defensive rebound by M. Hezonja,18,12
91,1,1:45.0,,S. Napier misses 3-pt jump shot from 24 ft,18,12
92,1,1:43.0,Defensive rebound by G. Dieng,,18,12
93,1,1:24.0,G. Dieng makes 2-pt jump shot from 20 ft (assist by Z. LaVine),,20,12
94,1,1:04.0,,M. Hezonja misses 3-pt jump shot from 25 ft,20,12
95,1,1:03.0,Defensive rebound by N. Bjelica,,20,12
96,1,0:58.0,S. Muhammad makes 2-pt layup from 1 ft (assist by Z. LaVine),,22,12
97,1,0:43.0,,T. Harris makes 2-pt jump shot from 19 ft (assist by A. Gordon),22,14
98,1,0:37.0,Turnover by Z. LaVine (lost ball),,22,14
99,1,0:37.0,,E. Fournier enters the game for D. Dedmon,22,14
100,1,0:37.0,,J. Smith enters the game for T. Harris,22,14
101,1,0:16.0,,S. Napier makes 2-pt jump shot from 9 ft (assist by M. Hezonja),22,16
102,1,0:16.0,,Shooting foul by G. Dieng (drawn by S. Napier),22,16
103,1,0:16.0,,S. Napier makes free throw 1 of 1,22,17
104,1,0:02.0,N. Bjelica makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,25,17
105,2,11:46.0,K. Martin misses 2-pt jump shot from 17 ft,,25,17
106,2,11:45.0,,Defensive rebound by J. Smith,25,17
107,2,11:22.0,,S. Napier misses 2-pt jump shot from 20 ft,25,17
108,2,11:20.0,Defensive rebound by G. Dieng,,25,17
109,2,11:03.0,S. Muhammad misses 2-pt jump shot from 4 ft (block by A. Gordon),,25,17
110,2,11:03.0,,Defensive rebound by J. Smith,25,17
111,2,11:02.0,,Personal foul by N. Bjelica (drawn by S. Napier),25,17
112,2,11:02.0,,V. Oladipo enters the game for M. Hezonja,25,17
113,2,10:52.0,,J. Smith misses 2-pt jump shot from 20 ft (block by G. Dieng),25,17
114,2,10:50.0,Defensive rebound by G. Dieng,,25,17
115,2,10:48.0,Shooting foul by V. Oladipo (drawn by K. Martin),,25,17
116,2,10:48.0,K. Martin makes free throw 1 of 2,,26,17
117,2,10:48.0,K. Martin makes free throw 2 of 2,,27,17
118,2,10:25.0,,J. Smith misses 2-pt jump shot from 10 ft,27,17
119,2,10:24.0,,Offensive rebound by A. Gordon,27,17
120,2,10:24.0,,Shooting foul by N. Bjelica (drawn by A. Gordon),27,17
121,2,10:24.0,,A. Gordon misses free throw 1 of 2,27,17
122,2,10:24.0,,Offensive rebound by Team,27,17
123,2,10:24.0,,A. Gordon makes free throw 2 of 2,27,18
124,2,10:10.0,G. Dieng misses 2-pt jump shot from 14 ft,,27,18
125,2,10:09.0,,Defensive rebound by V. Oladipo,27,18
126,2,9:53.0,,E. Fournier misses 2-pt layup from 1 ft,27,18
127,2,9:52.0,,Offensive rebound by V. Oladipo,27,18
128,2,9:48.0,,E. Fournier misses 3-pt jump shot from 25 ft,27,18
129,2,9:47.0,Defensive rebound by G. Dieng,,27,18
130,2,9:35.0,Z. LaVine makes 2-pt jump shot from 16 ft,,29,18
131,2,9:19.0,,A. Gordon makes 2-pt hook shot from 2 ft (assist by V. Oladipo),29,20
132,2,9:06.0,N. Bjelica misses 3-pt jump shot from 25 ft,,29,20
133,2,9:05.0,,Defensive rebound by J. Smith,29,20
134,2,8:55.0,,A. Gordon makes 2-pt layup at rim (assist by E. Fournier),29,22
135,2,8:29.0,K. Martin misses 3-pt jump shot from 26 ft,,29,22
136,2,8:29.0,,Defensive rebound by Team,29,22
137,2,8:29.0,Loose ball foul by N. Bjelica (drawn by A. Gordon),,29,22
138,2,8:29.0,Official timeout,,29,22
139,2,8:29.0,,N. Vučević enters the game for S. Napier,29,22
140,2,8:29.0,,E. Payton enters the game for J. Smith,29,22
141,2,8:29.0,A. Payne enters the game for N. Bjelica,,29,22
142,2,8:16.0,,E. Payton misses 2-pt layup at rim (block by G. Dieng),29,22
143,2,8:13.0,,Offensive rebound by N. Vučević,29,22
144,2,8:11.0,,N. Vučević misses 2-pt layup from 1 ft (block by G. Dieng),29,22
145,2,8:10.0,Defensive rebound by K. Martin,,29,22
146,2,7:53.0,K. Martin misses 2-pt jump shot from 16 ft,,29,22
147,2,7:51.0,Offensive rebound by A. Payne,,29,22
148,2,7:51.0,A. Payne misses 2-pt layup from 1 ft (block by A. Gordon),,29,22
149,2,7:49.0,Offensive rebound by S. Muhammad,,29,22
150,2,7:45.0,S. Muhammad misses 3-pt jump shot from 23 ft,,29,22
151,2,7:45.0,,Defensive rebound by N. Vučević,29,22
152,2,7:38.0,,E. Payton misses 2-pt layup from 1 ft,29,22
153,2,7:37.0,,Offensive rebound by A. Gordon,29,22
154,2,7:33.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),29,25
155,2,7:14.0,K. Martin makes 2-pt jump shot from 17 ft,,31,25
156,2,6:59.0,,V. Oladipo misses 2-pt jump shot from 20 ft,31,25
157,2,6:59.0,Defensive rebound by Z. LaVine,,31,25
158,2,6:55.0,K. Martin misses 2-pt layup from 1 ft (block by V. Oladipo),,31,25
159,2,6:55.0,Offensive rebound by Team,,31,25
160,2,6:55.0,A. Wiggins enters the game for S. Muhammad,,31,25
161,2,6:55.0,K. Towns enters the game for G. Dieng,,31,25
162,2,6:55.0,R. Rubio enters the game for Z. LaVine,,31,25
163,2,6:40.0,R. Rubio misses 2-pt jump shot from 16 ft,,31,25
164,2,6:38.0,Offensive rebound by A. Wiggins,,31,25
165,2,6:37.0,A. Wiggins misses 2-pt layup at rim,,31,25
166,2,6:34.0,,Defensive rebound by E. Fournier,31,25
