,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BROOKLYN_ACTION,LA CLIPPERS_SCORE,BROOKLYN_SCORE
0,1,11:39.0,D. Jordan misses 2-pt hook shot from 3 ft,,0,0
1,1,11:38.0,,Defensive rebound by B. Lopez,0,0
2,1,11:30.0,,T. Young makes 2-pt layup from 1 ft,0,2
3,1,11:10.0,J. Redick misses 2-pt jump shot from 18 ft,,0,2
4,1,11:09.0,,Defensive rebound by J. Jack,0,2
5,1,11:03.0,,T. Young misses 2-pt jump shot from 2 ft,0,2
6,1,11:02.0,,Offensive rebound by B. Lopez,0,2
7,1,11:02.0,,T. Young misses 2-pt layup from 2 ft,0,2
8,1,11:01.0,Defensive rebound by D. Jordan,,0,2
9,1,10:51.0,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),,2,2
10,1,10:29.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,2,2
11,1,10:28.0,Defensive rebound by L. Mbah a Moute,,2,2
12,1,10:16.0,C. Paul misses 2-pt jump shot from 20 ft,,2,2
13,1,10:14.0,,Defensive rebound by B. Lopez,2,2
14,1,10:05.0,,J. Jack makes 2-pt jump shot from 11 ft,2,4
15,1,9:50.0,B. Griffin makes 2-pt layup from 2 ft (assist by J. Redick),,4,4
16,1,9:27.0,,T. Young makes 2-pt jump shot from 18 ft (assist by J. Johnson),4,6
17,1,9:10.0,Turnover by J. Redick (bad pass),,4,6
18,1,8:48.0,,B. Bogdanović makes 2-pt jump shot from 14 ft,4,8
19,1,8:33.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,6,8
20,1,8:23.0,,Turnover by J. Jack (bad pass; steal by C. Paul),6,8
21,1,8:18.0,C. Paul makes 2-pt layup at rim,,8,8
22,1,8:01.0,,Turnover by J. Jack (bad pass; steal by C. Paul),8,8
23,1,7:57.0,B. Griffin makes 2-pt dunk at rim (assist by J. Redick),,10,8
24,1,7:41.0,,B. Lopez misses 2-pt layup from 2 ft,10,8
25,1,7:40.0,Defensive rebound by C. Paul,,10,8
26,1,7:31.0,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Griffin),,12,8
27,1,7:30.0,,Brooklyn full timeout,12,8
28,1,7:19.0,,J. Jack misses 2-pt jump shot from 19 ft,12,8
29,1,7:17.0,Defensive rebound by B. Griffin,,12,8
30,1,7:11.0,Turnover by C. Paul (bad pass; steal by J. Jack),,12,8
31,1,7:00.0,,T. Young makes 2-pt hook shot from 5 ft,12,10
32,1,6:43.0,C. Paul makes 2-pt jump shot from 18 ft (assist by D. Jordan),,14,10
33,1,6:31.0,,T. Young makes 2-pt jump shot from 18 ft (assist by J. Jack),14,12
34,1,6:14.0,Turnover by B. Griffin (bad pass),,14,12
35,1,5:53.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Jack),14,15
36,1,5:38.0,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),,16,15
37,1,5:21.0,,J. Johnson misses 3-pt jump shot from 24 ft,16,15
38,1,5:20.0,Defensive rebound by D. Jordan,,16,15
39,1,5:10.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,18,15
40,1,4:48.0,,B. Lopez misses 2-pt jump shot from 16 ft,18,15
41,1,4:47.0,Defensive rebound by B. Griffin,,18,15
42,1,4:36.0,C. Paul makes 2-pt jump shot from 17 ft,,20,15
43,1,4:15.0,,Turnover by B. Lopez (lost ball; steal by C. Paul),20,15
44,1,4:09.0,J. Redick misses 3-pt jump shot from 24 ft,,20,15
45,1,4:08.0,Offensive rebound by D. Jordan,,20,15
46,1,4:07.0,D. Jordan makes 2-pt dunk at rim,,22,15
47,1,4:07.0,,Brooklyn full timeout,22,15
48,1,4:07.0,W. Johnson enters the game for L. Mbah a Moute,,22,15
49,1,4:07.0,,S. Larkin enters the game for B. Bogdanović,22,15
50,1,4:07.0,,W. Reed enters the game for B. Lopez,22,15
51,1,3:55.0,,Shooting foul by W. Johnson (drawn by J. Johnson),22,15
52,1,3:55.0,,J. Johnson misses free throw 1 of 2,22,15
53,1,3:55.0,,Offensive rebound by Team,22,15
54,1,3:55.0,,A. Bargnani enters the game for T. Young,22,15
55,1,3:55.0,,J. Johnson makes free throw 2 of 2,22,16
56,1,3:42.0,W. Johnson misses 3-pt jump shot from 23 ft,,22,16
57,1,3:41.0,,Defensive rebound by A. Bargnani,22,16
58,1,3:26.0,,Turnover by A. Bargnani (traveling),22,16
59,1,3:19.0,C. Paul misses 2-pt jump shot from 17 ft,,22,16
60,1,3:17.0,,Defensive rebound by A. Bargnani,22,16
61,1,3:06.0,,A. Bargnani misses 2-pt jump shot from 19 ft,22,16
62,1,3:05.0,Defensive rebound by B. Griffin,,22,16
63,1,2:54.0,Personal foul by S. Larkin (drawn by B. Griffin),,22,16
64,1,2:54.0,LA Clippers full timeout,,22,16
65,1,2:54.0,J. Smith enters the game for D. Jordan,,22,16
66,1,2:54.0,,B. Bogdanović enters the game for J. Johnson,22,16
67,1,2:45.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,25,16
68,1,2:25.0,,Personal foul by J. Smith (drawn by A. Bargnani),25,16
69,1,2:25.0,A. Rivers enters the game for C. Paul,,25,16
70,1,2:25.0,,W. Ellington enters the game for J. Jack,25,16
71,1,2:16.0,,Personal block foul by J. Smith,25,16
72,1,2:09.0,,Turnover by W. Reed (lost ball; steal by J. Smith),25,16
73,1,2:04.0,Turnover by J. Smith (bad pass),,25,16
