,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:43.0,Turnover by T. Parker (bad pass),,0,0
1,1,11:29.0,,A. Wiggins misses 2-pt layup from 1 ft (block by K. Leonard),0,0
2,1,11:28.0,Defensive rebound by K. Leonard,,0,0
3,1,11:27.0,Turnover by K. Leonard (bad pass),,0,0
4,1,11:10.0,,T. Prince misses 2-pt jump shot from 12 ft,0,0
5,1,11:09.0,Defensive rebound by T. Parker,,0,0
6,1,10:46.0,,Violation by K. Towns (def goaltending),0,0
7,1,10:46.0,T. Parker makes 2-pt layup from 2 ft,,2,0
8,1,10:33.0,,A. Wiggins misses 2-pt jump shot from 16 ft,2,0
9,1,10:32.0,Defensive rebound by L. Aldridge,,2,0
10,1,10:13.0,T. Duncan makes 2-pt jump shot from 13 ft,,4,0
11,1,10:05.0,,K. Towns makes 2-pt jump shot from 20 ft (assist by R. Rubio),4,2
12,1,9:46.0,K. Leonard makes 2-pt jump shot from 13 ft,,6,2
13,1,9:34.0,,K. Towns misses 3-pt jump shot from 24 ft,6,2
14,1,9:32.0,Defensive rebound by T. Duncan,,6,2
15,1,9:19.0,L. Aldridge misses 2-pt jump shot from 6 ft,,6,2
16,1,9:19.0,Offensive rebound by T. Duncan,,6,2
17,1,9:05.0,T. Duncan misses 2-pt jump shot from 20 ft,,6,2
18,1,9:05.0,Offensive rebound by D. Green,,6,2
19,1,8:41.0,K. Leonard misses 2-pt jump shot from 21 ft,,6,2
20,1,8:40.0,Offensive rebound by Team,,6,2
21,1,8:40.0,Turnover by Team (shot clock),,6,2
22,1,8:24.0,,K. Towns makes 2-pt dunk at rim (assist by A. Wiggins),6,4
23,1,8:10.0,Personal foul by K. Garnett (drawn by T. Parker),,6,4
24,1,8:06.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,9,4
25,1,7:48.0,,K. Garnett makes 2-pt jump shot from 18 ft (assist by A. Wiggins),9,6
26,1,7:19.0,T. Parker makes 3-pt jump shot from 23 ft (assist by T. Duncan),,12,6
27,1,7:10.0,,Shooting foul by T. Parker (drawn by R. Rubio),12,6
28,1,7:10.0,,R. Rubio makes free throw 1 of 2,12,7
29,1,7:10.0,,R. Rubio makes free throw 2 of 2,12,8
30,1,6:48.0,T. Duncan misses 2-pt jump shot from 7 ft,,12,8
31,1,6:47.0,,Defensive rebound by T. Prince,12,8
32,1,6:42.0,,Turnover by R. Rubio (bad pass; steal by K. Leonard),12,8
33,1,6:35.0,T. Parker misses 2-pt jump shot from 23 ft,,12,8
34,1,6:34.0,,Defensive rebound by R. Rubio,12,8
35,1,6:23.0,,A. Wiggins misses 2-pt layup from 1 ft (block by T. Duncan),12,8
36,1,6:22.0,Defensive rebound by D. Green,,12,8
37,1,6:16.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Parker),,15,8
38,1,6:16.0,,Minnesota full timeout,15,8
39,1,6:16.0,,G. Dieng enters the game for K. Garnett,15,8
40,1,6:00.0,,K. Towns misses 2-pt jump shot from 22 ft,15,8
41,1,5:59.0,Defensive rebound by D. Green,,15,8
42,1,5:44.0,K. Leonard misses 2-pt jump shot from 18 ft,,15,8
43,1,5:43.0,Offensive rebound by K. Leonard,,15,8
44,1,5:23.0,T. Parker makes 3-pt jump shot from 22 ft (assist by T. Duncan),,18,8
45,1,5:08.0,,A. Wiggins misses 3-pt jump shot from 28 ft,18,8
46,1,5:07.0,Defensive rebound by T. Parker,,18,8
47,1,4:57.0,T. Parker makes 2-pt jump shot from 9 ft,,20,8
48,1,4:36.0,,G. Dieng misses 2-pt jump shot from 18 ft,20,8
49,1,4:36.0,Defensive rebound by D. Green,,20,8
50,1,4:28.0,M. Ginóbili enters the game for D. Green,,20,8
51,1,4:28.0,B. Diaw enters the game for T. Duncan,,20,8
52,1,4:23.0,Shooting foul by K. Towns (drawn by L. Aldridge),,20,8
53,1,4:23.0,L. Aldridge makes free throw 1 of 2,,21,8
54,1,4:23.0,L. Aldridge makes free throw 2 of 2,,22,8
55,1,4:10.0,,G. Dieng misses 2-pt jump shot from 3 ft (block by L. Aldridge),22,8
56,1,4:09.0,,Offensive rebound by G. Dieng,22,8
57,1,4:02.0,,A. Wiggins makes 2-pt jump shot from 5 ft,22,10
58,1,3:37.0,L. Aldridge misses 2-pt jump shot from 15 ft,,22,10
59,1,3:37.0,,Defensive rebound by R. Rubio,22,10
60,1,3:31.0,,Shooting foul by B. Diaw (drawn by K. Towns),22,10
61,1,3:31.0,,K. Towns makes free throw 1 of 2,22,11
62,1,3:31.0,P. Mills enters the game for T. Parker,,22,11
63,1,3:31.0,,K. Towns makes free throw 2 of 2,22,12
64,1,3:07.0,B. Diaw misses 3-pt jump shot from 25 ft,,22,12
65,1,3:07.0,,Defensive rebound by K. Towns,22,12
66,1,2:50.0,,Turnover by K. Towns (bad pass; steal by L. Aldridge),22,12
67,1,2:41.0,K. Leonard misses 2-pt jump shot from 15 ft,,22,12
68,1,2:41.0,,Defensive rebound by R. Rubio,22,12
69,1,2:37.0,,Offensive foul by A. Wiggins (drawn by M. Ginóbili),22,12
70,1,2:37.0,,Turnover by A. Wiggins (offensive foul),22,12
71,1,2:37.0,San Antonio full timeout,,22,12
72,1,2:37.0,,Z. LaVine enters the game for T. Prince,22,12
73,1,2:37.0,,T. Jones enters the game for R. Rubio,22,12
74,1,2:29.0,Turnover by M. Ginóbili (bad pass; steal by T. Jones),,22,12
75,1,2:08.0,,Offensive foul by Z. LaVine (drawn by M. Ginóbili),22,12
76,1,2:08.0,,Turnover by Z. LaVine (offensive foul),22,12
77,1,2:08.0,D. West enters the game for L. Aldridge,,22,12
78,1,1:56.0,M. Ginóbili misses 2-pt jump shot from 10 ft,,22,12
79,1,1:56.0,,Defensive rebound by K. Towns,22,12
