,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
0,1,11:43.0,T. Harris makes 2-pt jump shot from 9 ft (assist by N. Vučević),,2,0
1,1,11:29.0,,J. Hickson misses 2-pt jump shot from 16 ft,2,0
2,1,11:28.0,Defensive rebound by T. Harris,,2,0
3,1,11:22.0,N. Vučević makes 2-pt dunk at rim,,4,0
4,1,10:53.0,,D. Gallinari makes 2-pt jump shot from 20 ft (assist by R. Foye),4,2
5,1,10:42.0,E. Payton makes 2-pt jump shot from 4 ft,,6,2
6,1,10:24.0,,K. Faried misses 2-pt jump shot from 6 ft,6,2
7,1,10:24.0,Defensive rebound by N. Vučević,,6,2
8,1,10:22.0,Personal foul by K. Faried (drawn by C. Frye),,6,2
9,1,10:14.0,C. Frye misses 3-pt jump shot from 23 ft,,6,2
10,1,10:13.0,,Defensive rebound by R. Foye,6,2
11,1,9:58.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by K. Faried),6,5
12,1,9:43.0,N. Vučević misses 2-pt jump shot from 20 ft,,6,5
13,1,9:42.0,,Defensive rebound by E. Mudiay,6,5
14,1,9:26.0,,E. Mudiay misses 3-pt jump shot from 26 ft,6,5
15,1,9:26.0,Defensive rebound by N. Vučević,,6,5
16,1,9:23.0,Turnover by C. Frye (lost ball; steal by K. Faried),,6,5
17,1,9:22.0,,Turnover by K. Faried (step out of bounds),6,5
18,1,9:15.0,E. Fournier misses 2-pt layup from 2 ft,,6,5
19,1,9:14.0,,Defensive rebound by J. Hickson,6,5
20,1,9:08.0,,J. Hickson misses 2-pt layup from 2 ft (block by T. Harris),6,5
21,1,9:06.0,,Offensive rebound by E. Mudiay,6,5
22,1,9:02.0,,Shooting foul by T. Harris (drawn by J. Hickson),6,5
23,1,9:02.0,,J. Hickson misses free throw 1 of 2,6,5
24,1,9:02.0,,Offensive rebound by Team,6,5
25,1,9:02.0,,J. Hickson makes free throw 2 of 2,6,6
26,1,8:46.0,E. Payton makes 2-pt layup from 1 ft,,8,6
27,1,8:34.0,,Turnover by R. Foye (bad pass; steal by C. Frye),8,6
28,1,8:30.0,T. Harris makes 2-pt dunk at rim (assist by E. Payton),,10,6
29,1,8:07.0,,Turnover by E. Mudiay (bad pass; steal by C. Frye),10,6
30,1,7:58.0,N. Vučević misses 2-pt jump shot from 17 ft,,10,6
31,1,7:57.0,,Defensive rebound by D. Gallinari,10,6
32,1,7:37.0,,R. Foye makes 3-pt jump shot from 23 ft (assist by E. Mudiay),10,9
33,1,7:20.0,E. Fournier misses 2-pt jump shot from 19 ft,,10,9
34,1,7:19.0,,Defensive rebound by D. Gallinari,10,9
35,1,7:16.0,,Shooting block foul by E. Fournier (drawn by D. Gallinari),10,9
36,1,7:16.0,,D. Gallinari makes free throw 1 of 2,10,10
37,1,7:16.0,,D. Gallinari makes free throw 2 of 2,10,11
38,1,7:00.0,N. Vučević misses 2-pt hook shot from 7 ft,,10,11
39,1,7:00.0,,Defensive rebound by K. Faried,10,11
40,1,6:56.0,,Shooting block foul by E. Fournier (drawn by E. Mudiay),10,11
41,1,6:56.0,,E. Mudiay makes free throw 1 of 2,10,12
42,1,6:56.0,V. Oladipo enters the game for E. Fournier,,10,12
43,1,6:56.0,,E. Mudiay makes free throw 2 of 2,10,13
44,1,6:41.0,N. Vučević makes 2-pt hook shot from 3 ft (assist by E. Payton),,12,13
45,1,6:28.0,,J. Hickson makes 2-pt layup from 1 ft,12,15
46,1,6:12.0,Offensive foul by C. Frye (drawn by K. Faried),,12,15
47,1,6:12.0,Turnover by C. Frye (offensive foul),,12,15
48,1,6:02.0,,Turnover by J. Hickson (bad pass; steal by N. Vučević),12,15
49,1,5:58.0,T. Harris makes 2-pt layup from 1 ft (assist by E. Payton),,14,15
50,1,5:58.0,Shooting foul by R. Foye (drawn by T. Harris),,14,15
51,1,5:58.0,,Denver full timeout,14,15
52,1,5:58.0,T. Harris makes free throw 1 of 1,,15,15
53,1,5:32.0,,K. Faried misses 2-pt jump shot from 12 ft,15,15
54,1,5:31.0,Defensive rebound by V. Oladipo,,15,15
55,1,5:26.0,Shooting foul by R. Foye (drawn by V. Oladipo),,15,15
56,1,5:26.0,V. Oladipo misses free throw 1 of 2,,15,15
57,1,5:26.0,Offensive rebound by Team,,15,15
58,1,5:26.0,,W. Barton enters the game for R. Foye,15,15
59,1,5:26.0,V. Oladipo makes free throw 2 of 2,,16,15
60,1,5:05.0,,K. Faried makes 2-pt jump shot from 9 ft (assist by E. Mudiay),16,17
61,1,4:40.0,T. Harris misses 3-pt jump shot from 24 ft,,16,17
62,1,4:39.0,,Defensive rebound by W. Barton,16,17
63,1,4:33.0,,W. Barton misses 2-pt jump shot from 14 ft,16,17
64,1,4:31.0,Defensive rebound by N. Vučević,,16,17
65,1,4:22.0,E. Payton misses 2-pt layup from 1 ft (block by E. Mudiay),,16,17
66,1,4:20.0,,Defensive rebound by J. Hickson,16,17
67,1,4:15.0,,W. Barton makes 2-pt layup from 1 ft (assist by K. Faried),16,19
68,1,3:57.0,V. Oladipo makes 2-pt jump shot from 20 ft,,18,19
69,1,3:47.0,,Turnover by E. Mudiay (back court),18,19
70,1,3:47.0,A. Nicholson enters the game for C. Frye,,18,19
71,1,3:47.0,,D. Arthur enters the game for E. Mudiay,18,19
72,1,3:47.0,,J. Nelson enters the game for K. Faried,18,19
73,1,3:32.0,T. Harris makes 2-pt jump shot from 10 ft,,20,19
74,1,3:18.0,,D. Gallinari makes 2-pt jump shot from 17 ft (assist by J. Nelson),20,21
75,1,3:06.0,Offensive foul by T. Harris (drawn by D. Gallinari),,20,21
76,1,3:06.0,Turnover by T. Harris (offensive foul),,20,21
77,1,3:06.0,M. Hezonja enters the game for T. Harris,,20,21
78,1,2:53.0,,Personal foul by M. Hezonja (drawn by D. Gallinari),20,21
79,1,2:53.0,Orlando full timeout,,20,21
80,1,2:53.0,J. Smith enters the game for N. Vučević,,20,21
81,1,2:39.0,,D. Gallinari misses 2-pt layup from 2 ft,20,21
82,1,2:39.0,Defensive rebound by A. Nicholson,,20,21
83,1,2:26.0,J. Smith misses 2-pt jump shot from 19 ft,,20,21
84,1,2:26.0,Offensive rebound by A. Nicholson,,20,21
85,1,2:20.0,V. Oladipo misses 3-pt jump shot from 24 ft,,20,21
86,1,2:20.0,,Defensive rebound by J. Nelson,20,21
87,1,2:06.0,,J. Hickson misses 2-pt layup from 1 ft,20,21
88,1,2:05.0,Defensive rebound by A. Nicholson,,20,21
89,1,1:48.0,Turnover by A. Nicholson (bad pass),,20,21
90,1,1:48.0,,N. Jokić enters the game for J. Hickson,20,21
91,1,1:48.0,S. Napier enters the game for E. Payton,,20,21
92,1,1:33.0,,D. Gallinari makes 2-pt dunk at rim (assist by J. Nelson),20,23
93,1,1:17.0,V. Oladipo makes 2-pt layup from 1 ft,,22,23
94,1,1:03.0,,J. Nelson makes 3-pt jump shot from 26 ft,22,26
95,1,0:50.0,A. Nicholson makes 2-pt hook shot from 6 ft,,24,26
96,1,0:38.0,,Turnover by J. Nelson (lost ball; steal by S. Napier),24,26
97,1,0:34.0,Turnover by S. Napier (bad pass; steal by W. Barton),,24,26
98,1,0:10.0,,D. Gallinari misses 2-pt layup from 1 ft,24,26
99,1,0:10.0,Defensive rebound by A. Nicholson,,24,26
100,1,0:06.0,Personal take foul by N. Jokić (drawn by J. Smith),,24,26
101,1,0:01.0,S. Napier misses 3-pt jump shot from 25 ft,,24,26
102,1,0:01.0,Offensive rebound by Team,,24,26
103,1,0:01.0,,Loose ball foul by J. Nelson (drawn by J. Smith),24,26
104,1,0:01.0,J. Smith makes free throw 1 of 2,,25,26
105,1,0:01.0,J. Smith makes free throw 2 of 2,,26,26
106,2,11:41.0,,W. Barton misses 2-pt jump shot from 13 ft,26,26
107,2,11:41.0,Defensive rebound by M. Hezonja,,26,26
108,2,11:38.0,Turnover by M. Hezonja (lost ball; steal by D. Arthur),,26,26
109,2,11:36.0,,D. Arthur misses 2-pt jump shot from 20 ft,26,26
110,2,11:35.0,,Offensive rebound by Team,26,26
111,2,11:23.0,,N. Jokić misses 2-pt hook shot from 9 ft,26,26
112,2,11:22.0,Defensive rebound by A. Nicholson,,26,26
113,2,11:04.0,A. Nicholson makes 2-pt layup from 1 ft,,28,26
114,2,10:53.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić),28,29
115,2,10:40.0,Offensive foul by A. Nicholson (drawn by D. Arthur),,28,29
116,2,10:40.0,Turnover by A. Nicholson (offensive foul),,28,29
117,2,10:26.0,,Personal foul by J. Smith (drawn by N. Jokić),28,29
118,2,10:22.0,,Shooting foul by E. Fournier (drawn by W. Barton),28,29
119,2,10:22.0,,W. Barton misses free throw 1 of 2,28,29
120,2,10:22.0,,Offensive rebound by Team,28,29
121,2,10:22.0,E. Payton enters the game for E. Fournier,,28,29
