,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
0,1,11:37.0,,E. Gordon makes 2-pt layup from 2 ft,0,2
1,1,11:17.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,3,2
2,1,11:06.0,,E. Gordon misses 3-pt jump shot from 23 ft,3,2
3,1,11:05.0,Defensive rebound by E. Bledsoe,,3,2
4,1,10:57.0,,Violation by J. Holiday (kicked ball),3,2
5,1,10:52.0,M. Morris misses 2-pt jump shot from 20 ft,,3,2
6,1,10:51.0,,Defensive rebound by A. Gee,3,2
7,1,10:39.0,,A. Davis misses 2-pt jump shot from 18 ft,3,2
8,1,10:38.0,Defensive rebound by T. Chandler,,3,2
9,1,10:23.0,P. Tucker misses 2-pt jump shot from 5 ft,,3,2
10,1,10:22.0,,Defensive rebound by Ö. Aşık,3,2
11,1,10:03.0,,Turnover by Ö. Aşık (traveling),3,2
12,1,9:45.0,T. Chandler misses 2-pt jump shot from 15 ft (block by A. Davis),,3,2
13,1,9:45.0,,Defensive rebound by Team,3,2
14,1,9:29.0,,A. Davis makes 2-pt hook shot from 6 ft,3,4
15,1,9:01.0,E. Bledsoe makes 2-pt jump shot from 20 ft,,5,4
16,1,8:53.0,,Shooting foul by M. Morris (drawn by J. Holiday),5,4
17,1,8:53.0,,J. Holiday misses free throw 1 of 2,5,4
18,1,8:53.0,,Offensive rebound by Team,5,4
19,1,8:53.0,,J. Holiday makes free throw 2 of 2,5,5
20,1,8:39.0,M. Morris misses 2-pt layup from 1 ft (block by A. Davis),,5,5
21,1,8:38.0,,Defensive rebound by A. Davis,5,5
22,1,8:27.0,,Shooting block foul by P. Tucker (drawn by A. Gee),5,5
23,1,8:27.0,,A. Gee makes free throw 1 of 2,5,6
24,1,8:27.0,,A. Gee makes free throw 2 of 2,5,7
25,1,8:11.0,Turnover by T. Chandler (lost ball; steal by A. Gee),,5,7
26,1,8:03.0,,E. Gordon misses 3-pt jump shot from 24 ft,5,7
27,1,8:01.0,Defensive rebound by M. Morris,,5,7
28,1,7:51.0,B. Knight misses 3-pt jump shot from 25 ft,,5,7
29,1,7:50.0,,Defensive rebound by A. Davis,5,7
30,1,7:41.0,,E. Gordon misses 3-pt jump shot from 25 ft,5,7
31,1,7:40.0,Defensive rebound by E. Bledsoe,,5,7
32,1,7:32.0,P. Tucker misses 2-pt layup from 1 ft,,5,7
33,1,7:30.0,,Defensive rebound by A. Davis,5,7
34,1,7:25.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Holiday),5,10
35,1,7:08.0,M. Morris makes 2-pt jump shot from 14 ft,,7,10
36,1,6:47.0,,J. Holiday misses 2-pt layup at rim,7,10
37,1,6:46.0,Defensive rebound by T. Chandler,,7,10
38,1,6:32.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,7,10
39,1,6:31.0,,Defensive rebound by Ö. Aşık,7,10
40,1,6:16.0,,J. Holiday makes 2-pt jump shot from 5 ft,7,12
41,1,5:55.0,B. Knight misses 2-pt jump shot from 17 ft,,7,12
42,1,5:54.0,,Defensive rebound by Ö. Aşık,7,12
43,1,5:42.0,,A. Gee makes 2-pt jump shot from 20 ft (assist by E. Gordon),7,14
44,1,5:33.0,E. Bledsoe misses 2-pt jump shot from 19 ft,,7,14
45,1,5:32.0,,Defensive rebound by A. Davis,7,14
46,1,5:26.0,,New Orleans full timeout,7,14
47,1,5:26.0,,R. Anderson enters the game for Ö. Aşık,7,14
48,1,5:26.0,,I. Smith enters the game for J. Holiday,7,14
49,1,5:17.0,,Shooting foul by T. Chandler (drawn by A. Davis),7,14
50,1,5:17.0,,A. Davis misses free throw 1 of 2,7,14
51,1,5:17.0,,Offensive rebound by Team,7,14
52,1,5:17.0,,A. Davis makes free throw 2 of 2,7,15
53,1,5:02.0,M. Morris misses 2-pt jump shot from 17 ft,,7,15
54,1,5:01.0,Offensive rebound by T. Chandler,,7,15
55,1,4:51.0,B. Knight misses 2-pt layup from 1 ft,,7,15
56,1,4:49.0,,Defensive rebound by R. Anderson,7,15
57,1,4:45.0,Offensive charge foul by A. Gee (drawn by E. Bledsoe),,7,15
58,1,4:45.0,,Turnover by A. Gee (offensive foul),7,15
59,1,4:45.0,M. Teletović enters the game for T. Chandler,,7,15
60,1,4:45.0,D. Booker enters the game for B. Knight,,7,15
61,1,4:24.0,M. Teletović misses 3-pt jump shot from 25 ft,,7,15
62,1,4:23.0,,Defensive rebound by A. Davis,7,15
63,1,4:10.0,,R. Anderson misses 2-pt jump shot from 15 ft,7,15
64,1,4:09.0,Defensive rebound by E. Bledsoe,,7,15
65,1,4:01.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,7,15
66,1,4:00.0,Offensive rebound by M. Morris,,7,15
67,1,3:55.0,D. Booker makes 3-pt jump shot from 25 ft (assist by M. Morris),,10,15
68,1,3:49.0,,R. Anderson makes 3-pt jump shot from 22 ft (assist by I. Smith),10,18
69,1,3:37.0,E. Bledsoe makes 2-pt layup from 2 ft,,12,18
70,1,3:25.0,,A. Davis misses 3-pt jump shot from 24 ft,12,18
71,1,3:24.0,Defensive rebound by P. Tucker,,12,18
72,1,3:15.0,M. Teletović misses 2-pt jump shot from 5 ft,,12,18
73,1,3:14.0,,Defensive rebound by A. Gee,12,18
74,1,3:12.0,Offensive charge foul by A. Davis (drawn by E. Bledsoe),,12,18
75,1,3:12.0,,Turnover by A. Davis (offensive foul),12,18
76,1,2:53.0,M. Morris makes 2-pt jump shot from 1 ft (assist by E. Bledsoe),,14,18
77,1,2:31.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by I. Smith),14,21
78,1,2:23.0,Turnover by E. Bledsoe (bad pass; steal by A. Gee),,14,21
79,1,2:16.0,,I. Smith misses 2-pt layup from 1 ft,14,21
80,1,2:15.0,,Offensive rebound by A. Davis,14,21
81,1,2:15.0,,Shooting foul by D. Booker (drawn by A. Davis),14,21
82,1,2:15.0,Phoenix full timeout,,14,21
83,1,2:15.0,T. Warren enters the game for P. Tucker,,14,21
84,1,2:15.0,,T. Douglas enters the game for A. Gee,14,21
85,1,2:15.0,,A. Davis makes free throw 1 of 2,14,22
86,1,2:15.0,,A. Davis makes free throw 2 of 2,14,23
87,1,2:01.0,M. Teletović misses 3-pt jump shot from 25 ft,,14,23
88,1,2:00.0,,Defensive rebound by I. Smith,14,23
89,1,1:45.0,,I. Smith makes 2-pt layup from 3 ft,14,25
90,1,1:34.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,17,25
91,1,1:13.0,,A. Davis misses 2-pt jump shot from 16 ft,17,25
92,1,1:12.0,Defensive rebound by E. Bledsoe,,17,25
93,1,1:02.0,T. Warren misses 2-pt layup from 2 ft,,17,25
94,1,1:01.0,Offensive rebound by T. Warren,,17,25
95,1,1:00.0,T. Warren misses 2-pt layup from 1 ft,,17,25
96,1,1:00.0,Offensive rebound by Team,,17,25
97,1,1:00.0,,D. Cunningham enters the game for A. Davis,17,25
98,1,0:48.0,M. Morris misses 2-pt jump shot from 18 ft,,17,25
99,1,0:47.0,,Defensive rebound by I. Smith,17,25
100,1,0:36.0,,I. Smith makes 2-pt layup at rim,17,27
101,1,0:29.0,M. Teletović makes 2-pt layup from 3 ft (assist by E. Bledsoe),,19,27
102,1,0:08.0,,Turnover by T. Douglas (lost ball; steal by E. Bledsoe),19,27
103,1,0:03.0,D. Booker makes 2-pt jump shot from 8 ft (assist by E. Bledsoe),,21,27
104,1,0:00.0,,T. Douglas misses 3-pt jump shot from 35 ft,21,27
105,1,0:00.0,,Offensive rebound by Team,21,27
106,2,11:43.0,Shooting foul by D. Cunningham (drawn by M. Morris),,21,27
107,2,11:43.0,M. Morris makes free throw 1 of 2,,22,27
108,2,11:43.0,M. Morris makes free throw 2 of 2,,23,27
109,2,11:32.0,,R. Anderson makes 3-pt jump shot from 22 ft (assist by E. Gordon),23,30
110,2,11:24.0,Personal foul by D. Cunningham (drawn by M. Teletović),,23,30
111,2,11:19.0,D. Booker misses 2-pt jump shot from 14 ft,,23,30
112,2,11:19.0,Offensive rebound by Team,,23,30
113,2,11:19.0,,Loose ball foul by R. Anderson (drawn by M. Morris),23,30
114,2,11:15.0,,L. Babbitt enters the game for E. Gordon,23,30
115,2,11:07.0,Turnover by B. Knight (bad pass; steal by T. Douglas),,23,30
116,2,11:07.0,,Personal foul by B. Knight (drawn by T. Douglas),23,30
117,2,11:07.0,J. Leuer enters the game for M. Morris,,23,30
118,2,10:56.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by L. Babbitt),23,33
119,2,10:36.0,Personal foul by L. Babbitt (drawn by M. Teletović),,23,33
120,2,10:28.0,T. Warren makes 3-pt jump shot from 23 ft (assist by B. Knight),,26,33
121,2,10:20.0,,Turnover by I. Smith (bad pass; steal by D. Booker),26,33
122,2,10:19.0,Personal foul by T. Douglas (drawn by D. Booker),,26,33
123,2,10:19.0,D. Booker makes free throw 1 of 2,,27,33
124,2,10:19.0,D. Booker makes free throw 2 of 2,,28,33
125,2,10:04.0,,R. Anderson makes 2-pt jump shot from 18 ft,28,35
126,2,9:52.0,B. Knight misses 3-pt jump shot from 26 ft,,28,35
127,2,9:51.0,Offensive rebound by J. Leuer,,28,35
128,2,9:47.0,D. Booker misses 2-pt jump shot from 15 ft,,28,35
129,2,9:46.0,,Defensive rebound by R. Anderson,28,35
