,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,A. Wiggins makes 2-pt jump shot from 9 ft (assist by R. Rubio),0,2
1,1,11:26.0,B. Bogdanović makes 2-pt jump shot from 11 ft,,2,2
2,1,11:06.0,,K. Towns makes 2-pt jump shot from 12 ft (assist by A. Wiggins),2,4
3,1,10:40.0,T. Robinson misses 2-pt layup from 2 ft,,2,4
4,1,10:39.0,Offensive rebound by W. Reed,,2,4
5,1,10:39.0,W. Reed makes 2-pt dunk at rim,,4,4
6,1,10:34.0,,Personal foul by D. Sloan (drawn by R. Rubio),4,4
7,1,10:29.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),4,7
8,1,10:11.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,6,7
9,1,10:01.0,,Personal foul by T. Robinson (drawn by G. Dieng),6,7
10,1,9:56.0,,K. Towns makes 2-pt dunk at rim (assist by A. Wiggins),6,9
11,1,9:38.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,6,9
12,1,9:37.0,Offensive rebound by W. Reed,,6,9
13,1,9:36.0,Personal foul by A. Wiggins (drawn by W. Reed),,6,9
14,1,9:36.0,W. Reed makes free throw 1 of 2,,7,9
15,1,9:36.0,W. Reed misses free throw 2 of 2,,7,9
16,1,9:33.0,Offensive rebound by Team,,7,9
17,1,9:26.0,Turnover by B. Bogdanović (step out of bounds),,7,9
18,1,9:14.0,,Z. LaVine misses 2-pt jump shot from 22 ft,7,9
19,1,9:13.0,,Offensive rebound by Team,7,9
20,1,9:10.0,,G. Dieng makes 2-pt jump shot from 18 ft (assist by K. Towns),7,11
21,1,8:58.0,Personal foul by R. Rubio (drawn by D. Sloan),,7,11
22,1,8:51.0,W. Ellington misses 2-pt jump shot from 20 ft,,7,11
23,1,8:50.0,,Defensive rebound by R. Rubio,7,11
24,1,8:46.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Rubio),7,13
25,1,8:25.0,B. Bogdanović misses 2-pt layup from 1 ft (block by K. Towns),,7,13
26,1,8:24.0,Offensive rebound by W. Reed,,7,13
27,1,8:20.0,W. Reed misses 2-pt jump shot from 3 ft (block by G. Dieng),,7,13
28,1,8:19.0,,Defensive rebound by K. Towns,7,13
29,1,8:08.0,,G. Dieng misses 2-pt jump shot from 4 ft,7,13
30,1,8:07.0,Defensive rebound by T. Robinson,,7,13
31,1,7:58.0,W. Ellington misses 3-pt jump shot from 23 ft,,7,13
32,1,7:57.0,,Defensive rebound by R. Rubio,7,13
33,1,7:43.0,,Turnover by Z. LaVine (traveling),7,13
34,1,7:27.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by D. Sloan),,10,13
35,1,7:27.0,,Minnesota full timeout,10,13
36,1,7:17.0,,Offensive foul by K. Towns (drawn by W. Reed),10,13
37,1,7:17.0,,Turnover by K. Towns (offensive foul),10,13
38,1,7:04.0,T. Robinson misses 2-pt jump shot from 19 ft,,10,13
39,1,7:03.0,Offensive rebound by Team,,10,13
40,1,7:03.0,,Loose ball foul by A. Wiggins (drawn by W. Reed),10,13
41,1,7:03.0,,S. Muhammad enters the game for A. Wiggins,10,13
42,1,6:54.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,10,13
43,1,6:53.0,,Defensive rebound by R. Rubio,10,13
44,1,6:49.0,,R. Rubio makes 2-pt layup from 1 ft,10,15
45,1,6:49.0,,Shooting foul by D. Sloan (drawn by R. Rubio),10,15
46,1,6:49.0,,R. Rubio misses free throw 1 of 1,10,15
