,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:45.0,,P. George makes 2-pt jump shot from 20 ft (assist by I. Mahinmi),0,2
1,1,11:27.0,T. Harris misses 2-pt jump shot from 12 ft,,0,2
2,1,11:27.0,,Defensive rebound by G. Hill,0,2
3,1,11:10.0,,I. Mahinmi makes 2-pt layup at rim (assist by M. Ellis),0,4
4,1,10:45.0,E. Payton misses 2-pt layup from 1 ft,,0,4
5,1,10:45.0,,Defensive rebound by I. Mahinmi,0,4
6,1,10:38.0,,M. Ellis misses 3-pt jump shot from 26 ft,0,4
7,1,10:37.0,Defensive rebound by D. Dedmon,,0,4
8,1,10:25.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by E. Payton),,3,4
9,1,10:03.0,,P. George makes 2-pt layup from 1 ft,3,6
10,1,9:45.0,D. Dedmon misses 2-pt jump shot from 18 ft,,3,6
11,1,9:44.0,Offensive rebound by T. Harris,,3,6
12,1,9:41.0,T. Harris misses 2-pt layup from 2 ft,,3,6
13,1,9:41.0,,Defensive rebound by I. Mahinmi,3,6
14,1,9:31.0,,P. George makes 3-pt jump shot from 26 ft (assist by G. Hill),3,9
15,1,9:19.0,,Violation by G. Hill (kicked ball),3,9
16,1,9:13.0,E. Payton makes 2-pt jump shot from 7 ft,,5,9
17,1,8:56.0,,P. George misses 2-pt jump shot from 16 ft,5,9
18,1,8:55.0,Defensive rebound by T. Harris,,5,9
19,1,8:51.0,Turnover by T. Harris (lost ball; steal by P. George),,5,9
20,1,8:47.0,,P. George makes 2-pt jump shot from 3 ft,5,11
21,1,8:29.0,E. Fournier makes 2-pt jump shot from 16 ft,,7,11
22,1,8:18.0,,P. George misses 2-pt jump shot from 11 ft,7,11
23,1,8:17.0,Defensive rebound by Team,,7,11
24,1,7:59.0,D. Dedmon makes 2-pt layup from 1 ft (assist by E. Payton),,9,11
25,1,7:59.0,Shooting foul by I. Mahinmi (drawn by D. Dedmon),,9,11
26,1,7:59.0,D. Dedmon misses free throw 1 of 1,,9,11
27,1,7:59.0,,Defensive rebound by I. Mahinmi,9,11
28,1,7:41.0,,I. Mahinmi makes 2-pt layup at rim (assist by P. George),9,13
29,1,7:35.0,Orlando full timeout,,9,13
30,1,7:23.0,Shooting foul by C. Miles (drawn by T. Harris),,9,13
31,1,7:23.0,T. Harris misses free throw 1 of 2,,9,13
32,1,7:23.0,Offensive rebound by Team,,9,13
33,1,7:23.0,T. Harris makes free throw 2 of 2,,10,13
34,1,7:10.0,,Turnover by C. Miles (bad pass; steal by V. Oladipo),10,13
35,1,7:06.0,V. Oladipo makes 2-pt layup at rim,,12,13
36,1,6:51.0,,G. Hill misses 2-pt jump shot from 16 ft,12,13
37,1,6:50.0,Defensive rebound by T. Harris,,12,13
38,1,6:38.0,Turnover by V. Oladipo (bad pass; steal by M. Ellis),,12,13
39,1,6:30.0,,Turnover by C. Miles (bad pass; steal by E. Fournier),12,13
40,1,6:26.0,E. Fournier misses 2-pt layup from 1 ft,,12,13
41,1,6:24.0,Offensive rebound by T. Harris,,12,13
42,1,6:23.0,T. Harris misses 2-pt layup from 3 ft,,12,13
43,1,6:22.0,,Defensive rebound by G. Hill,12,13
44,1,6:09.0,,Def 3 sec tech foul by E. Fournier,12,13
45,1,6:09.0,,P. George makes technical free throw,12,14
46,1,5:59.0,,Shooting foul by E. Fournier (drawn by P. George),12,14
47,1,5:59.0,,P. George makes free throw 1 of 3,12,15
48,1,5:59.0,,P. George makes free throw 2 of 3,12,16
