,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
0,1,11:45.0,A. Wiggins misses 2-pt jump shot from 14 ft,,0,0
1,1,11:44.0,,Defensive rebound by K. Irving,0,0
2,1,11:29.0,,K. Irving makes 2-pt jump shot from 16 ft (assist by L. James),0,2
3,1,11:12.0,K. Towns misses 2-pt jump shot from 18 ft,,0,2
4,1,11:12.0,,Defensive rebound by K. Irving,0,2
5,1,11:04.0,,K. Irving makes 2-pt jump shot from 14 ft,0,4
6,1,10:48.0,R. Rubio misses 3-pt jump shot from 23 ft,,0,4
7,1,10:46.0,,Defensive rebound by Team,0,4
8,1,10:27.0,,Turnover by L. James (bad pass; steal by R. Rubio),0,4
9,1,10:17.0,N. Peković misses 2-pt jump shot from 3 ft,,0,4
10,1,10:16.0,Offensive rebound by K. Towns,,0,4
11,1,10:16.0,K. Towns misses 2-pt layup at rim,,0,4
12,1,10:14.0,,Defensive rebound by L. James,0,4
13,1,10:11.0,,Personal foul by R. Rubio (drawn by T. Thompson),0,4
14,1,10:04.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Irving),0,7
15,1,9:57.0,Minnesota full timeout,,0,7
16,1,9:47.0,T. Prince misses 2-pt jump shot from 21 ft,,0,7
17,1,9:46.0,Offensive rebound by K. Towns,,0,7
18,1,9:42.0,K. Towns makes 2-pt layup from 1 ft,,2,7
19,1,9:24.0,,T. Thompson makes 2-pt dunk at rim (assist by J. Smith),2,9
20,1,9:17.0,Shooting foul by J. Smith (drawn by A. Wiggins),,2,9
21,1,9:17.0,A. Wiggins makes free throw 1 of 2,,3,9
22,1,9:17.0,A. Wiggins makes free throw 2 of 2,,4,9
23,1,9:04.0,,Turnover by L. James (lost ball; steal by K. Towns),4,9
24,1,9:01.0,Turnover by K. Towns (bad pass),,4,9
25,1,8:39.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),4,12
26,1,8:13.0,N. Peković misses 2-pt jump shot from 15 ft,,4,12
27,1,8:12.0,,Defensive rebound by K. Love,4,12
28,1,8:02.0,,Personal foul by K. Towns (drawn by K. Love),4,12
29,1,7:51.0,,L. James makes 2-pt jump shot from 17 ft,4,14
30,1,7:39.0,K. Towns makes 2-pt jump shot from 18 ft (assist by R. Rubio),,6,14
31,1,7:21.0,,K. Love misses 3-pt jump shot from 24 ft,6,14
32,1,7:21.0,Defensive rebound by R. Rubio,,6,14
33,1,7:07.0,K. Towns makes 2-pt jump shot from 5 ft,,8,14
34,1,7:00.0,G. Dieng enters the game for N. Peković,,8,14
35,1,6:56.0,,L. James makes 2-pt dunk at rim (assist by K. Love),8,16
36,1,6:34.0,A. Wiggins makes 2-pt jump shot from 15 ft,,10,16
37,1,6:18.0,,K. Irving misses 2-pt jump shot from 7 ft,10,16
38,1,6:18.0,,Offensive rebound by T. Thompson,10,16
39,1,6:18.0,S. Muhammad enters the game for T. Prince,,10,16
40,1,6:18.0,,T. Mozgov enters the game for K. Love,10,16
41,1,6:06.0,,J. Smith misses 2-pt jump shot from 15 ft,10,16
42,1,6:04.0,Defensive rebound by G. Dieng,,10,16
43,1,5:39.0,K. Towns makes 2-pt hook shot from 7 ft,,12,16
44,1,5:24.0,,Turnover by K. Irving (bad pass),12,16
45,1,5:13.0,Shooting foul by K. Irving (drawn by G. Dieng),,12,16
46,1,5:13.0,G. Dieng makes free throw 1 of 2,,13,16
47,1,5:13.0,,M. Dellavedova enters the game for K. Irving,13,16
48,1,5:13.0,G. Dieng makes free throw 2 of 2,,14,16
49,1,4:59.0,,L. James makes 2-pt layup from 1 ft,14,18
50,1,4:35.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),,17,18
51,1,4:28.0,,Cleveland full timeout,17,18
52,1,4:17.0,,M. Dellavedova makes 2-pt jump shot from 4 ft (assist by L. James),17,20
53,1,4:04.0,R. Rubio misses 2-pt jump shot from 8 ft,,17,20
54,1,4:01.0,Offensive rebound by G. Dieng,,17,20
55,1,3:58.0,S. Muhammad makes 2-pt jump shot from 11 ft,,19,20
56,1,3:43.0,,L. James makes 2-pt jump shot from 16 ft (assist by M. Dellavedova),19,22
57,1,3:31.0,S. Muhammad makes 2-pt jump shot from 19 ft (assist by K. Towns),,21,22
58,1,3:22.0,,Turnover by M. Dellavedova (bad pass; steal by A. Wiggins),21,22
59,1,3:13.0,K. Towns makes 2-pt jump shot from 17 ft (assist by S. Muhammad),,23,22
60,1,3:06.0,,Turnover by L. James (dbl dribble),23,22
61,1,3:06.0,,I. Shumpert enters the game for L. James,23,22
62,1,3:06.0,,K. Love enters the game for T. Thompson,23,22
63,1,3:06.0,Z. LaVine enters the game for R. Rubio,,23,22
64,1,2:53.0,Z. LaVine misses 3-pt jump shot from 25 ft,,23,22
65,1,2:51.0,,Defensive rebound by K. Love,23,22
66,1,2:45.0,,J. Smith misses 2-pt layup from 3 ft (block by A. Wiggins),23,22
67,1,2:44.0,Defensive rebound by K. Towns,,23,22
68,1,2:34.0,A. Wiggins misses 2-pt jump shot from 16 ft,,23,22
69,1,2:34.0,,Defensive rebound by M. Dellavedova,23,22
70,1,2:25.0,,Shooting foul by K. Towns (drawn by J. Smith),23,22
71,1,2:25.0,,J. Smith makes free throw 1 of 2,23,23
72,1,2:25.0,N. Bjelica enters the game for K. Towns,,23,23
73,1,2:25.0,,J. Smith makes free throw 2 of 2,23,24
74,1,2:03.0,G. Dieng misses 2-pt jump shot from 9 ft,,23,24
75,1,2:02.0,,Defensive rebound by T. Mozgov,23,24
76,1,1:53.0,,I. Shumpert misses 2-pt jump shot from 11 ft,23,24
77,1,1:51.0,Defensive rebound by Z. LaVine,,23,24
78,1,1:46.0,Z. LaVine makes 2-pt dunk at rim,,25,24
79,1,1:27.0,,Turnover by M. Dellavedova (bad pass),25,24
80,1,1:27.0,,M. Williams enters the game for J. Smith,25,24
81,1,1:27.0,T. Prince enters the game for A. Wiggins,,25,24
82,1,1:11.0,Z. LaVine makes 2-pt jump shot from 21 ft (assist by G. Dieng),,27,24
83,1,0:54.0,,Personal foul by G. Dieng (drawn by T. Mozgov),27,24
84,1,0:48.0,,M. Dellavedova makes 3-pt jump shot from 24 ft,27,27
85,1,0:37.0,S. Muhammad misses 2-pt jump shot from 12 ft,,27,27
86,1,0:34.0,,Defensive rebound by T. Mozgov,27,27
87,1,0:26.0,,T. Mozgov makes 2-pt dunk at rim (assist by M. Williams),27,29
88,1,0:09.0,G. Dieng makes 2-pt jump shot from 10 ft (assist by Z. LaVine),,29,29
89,1,0:02.0,,M. Dellavedova makes 3-pt jump shot from 25 ft,29,32
90,2,11:42.0,,K. Love makes 2-pt jump shot from 18 ft (assist by I. Shumpert),29,34
91,2,11:29.0,Personal foul by M. Dellavedova (drawn by S. Muhammad),,29,34
92,2,11:29.0,,K. Irving enters the game for M. Dellavedova,29,34
93,2,11:16.0,G. Dieng misses 2-pt jump shot from 18 ft,,29,34
94,2,11:15.0,,Defensive rebound by I. Shumpert,29,34
95,2,11:01.0,,Turnover by I. Shumpert (bad pass; steal by T. Prince),29,34
96,2,10:56.0,N. Bjelica makes 2-pt layup from 2 ft (assist by Z. LaVine),,31,34
97,2,10:34.0,,K. Irving misses 2-pt jump shot from 10 ft,31,34
98,2,10:32.0,Defensive rebound by Z. LaVine,,31,34
99,2,10:15.0,Z. LaVine makes 3-pt jump shot from 25 ft,,34,34
100,2,9:58.0,,Turnover by K. Irving (bad pass; steal by Z. LaVine),34,34
101,2,9:57.0,Personal foul by M. Williams (drawn by Z. LaVine),,34,34
102,2,9:57.0,,L. James enters the game for T. Mozgov,34,34
103,2,9:46.0,Personal foul by K. Love (drawn by G. Dieng),,34,34
104,2,9:33.0,N. Bjelica misses 2-pt jump shot from 8 ft (block by L. James),,34,34
105,2,9:32.0,Offensive rebound by Team,,34,34
106,2,9:32.0,Turnover by Team (shot clock),,34,34
107,2,9:16.0,,I. Shumpert makes 2-pt dunk at rim (assist by L. James),34,36
108,2,9:16.0,,Shooting foul by T. Prince (drawn by I. Shumpert),34,36
109,2,9:16.0,,I. Shumpert makes free throw 1 of 1,34,37
110,2,8:55.0,Z. LaVine makes 2-pt jump shot from 21 ft (assist by S. Muhammad),,36,37
111,2,8:41.0,,K. Irving misses 2-pt jump shot from 5 ft,36,37
112,2,8:41.0,,Offensive rebound by K. Irving,36,37
113,2,8:35.0,,K. Love misses 3-pt jump shot from 24 ft,36,37
114,2,8:35.0,Defensive rebound by G. Dieng,,36,37
115,2,8:24.0,T. Prince makes 2-pt jump shot from 21 ft (assist by G. Dieng),,38,37
116,2,8:05.0,,K. Love makes 2-pt jump shot from 5 ft (assist by M. Williams),38,39
117,2,8:05.0,,Shooting foul by N. Bjelica (drawn by K. Love),38,39
118,2,8:05.0,Official timeout,,38,39
119,2,8:05.0,,J. Smith enters the game for M. Williams,38,39
120,2,8:05.0,A. Wiggins enters the game for N. Bjelica,,38,39
121,2,8:05.0,,K. Love misses free throw 1 of 1,38,39
122,2,8:04.0,Defensive rebound by G. Dieng,,38,39
123,2,7:52.0,Personal foul by I. Shumpert (drawn by A. Wiggins),,38,39
124,2,7:44.0,Z. LaVine misses 2-pt jump shot from 14 ft,,38,39
125,2,7:43.0,,Defensive rebound by K. Irving,38,39
126,2,7:22.0,,J. Smith makes 2-pt jump shot from 5 ft (assist by I. Shumpert),38,41
127,2,7:07.0,S. Muhammad misses 2-pt layup from 3 ft,,38,41
128,2,7:06.0,,Defensive rebound by K. Irving,38,41
129,2,7:00.0,,K. Irving misses 2-pt layup from 1 ft,38,41
130,2,6:58.0,,Offensive rebound by K. Irving,38,41
131,2,6:56.0,,Turnover by K. Irving (lost ball; steal by G. Dieng),38,41
132,2,6:52.0,S. Muhammad makes 2-pt dunk at rim (assist by Z. LaVine),,40,41
