,QUARTER,TIME_REMAINING,MIAMI_ACTION,MEMPHIS_ACTION,MIAMI_SCORE,MEMPHIS_SCORE
0,1,11:36.0,,M. Gasol misses 2-pt jump shot from 17 ft,0,0
1,1,11:35.0,Defensive rebound by H. Whiteside,,0,0
2,1,11:11.0,D. Wade misses 2-pt jump shot from 14 ft,,0,0
3,1,11:09.0,,Defensive rebound by Z. Randolph,0,0
4,1,11:00.0,,Def 3 sec tech foul by H. Whiteside,0,0
5,1,11:00.0,,C. Lee makes technical free throw,0,1
6,1,10:46.0,,Z. Randolph misses 2-pt jump shot from 20 ft (block by H. Whiteside),0,1
7,1,10:46.0,,Offensive rebound by J. Green,0,1
8,1,10:46.0,,Turnover by Team (shot clock),0,1
9,1,10:27.0,G. Dragić makes 2-pt jump shot from 20 ft,,2,1
10,1,10:11.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),2,3
11,1,9:46.0,C. Bosh makes 3-pt jump shot from 23 ft (assist by H. Whiteside),,5,3
12,1,9:33.0,,M. Conley makes 2-pt jump shot from 20 ft,5,5
13,1,9:17.0,C. Bosh makes 3-pt jump shot from 25 ft (assist by G. Dragić),,8,5
14,1,8:58.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by J. Green),8,7
15,1,8:41.0,D. Wade misses 2-pt jump shot from 21 ft,,8,7
16,1,8:41.0,,Defensive rebound by J. Green,8,7
17,1,8:26.0,,M. Gasol makes 2-pt hook shot from 6 ft (assist by J. Green),8,9
18,1,8:12.0,Personal foul by Z. Randolph (drawn by D. Wade),,8,9
19,1,7:56.0,L. Deng misses 3-pt jump shot from 23 ft,,8,9
20,1,7:55.0,,Defensive rebound by Team,8,9
21,1,7:33.0,,J. Green misses 2-pt jump shot from 19 ft,8,9
22,1,7:33.0,Defensive rebound by H. Whiteside,,8,9
23,1,7:24.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by D. Wade),,11,9
24,1,7:08.0,,Z. Randolph misses 2-pt jump shot from 20 ft,11,9
25,1,7:08.0,Defensive rebound by H. Whiteside,,11,9
26,1,6:49.0,L. Deng misses 3-pt jump shot from 26 ft,,11,9
27,1,6:49.0,,Defensive rebound by M. Conley,11,9
28,1,6:37.0,,J. Green makes 2-pt jump shot from 5 ft (assist by M. Conley),11,11
29,1,6:22.0,H. Whiteside makes 2-pt jump shot from 13 ft (assist by G. Dragić),,13,11
30,1,6:03.0,,Turnover by J. Green (bad pass; steal by D. Wade),13,11
31,1,5:57.0,G. Dragić makes 2-pt layup at rim (assist by D. Wade),,15,11
32,1,5:52.0,,Memphis full timeout,15,11
33,1,5:52.0,G. Green enters the game for C. Bosh,,15,11
34,1,5:45.0,,Personal foul by H. Whiteside (drawn by M. Gasol),15,11
35,1,5:39.0,,C. Lee misses 3-pt jump shot from 25 ft,15,11
36,1,5:38.0,,Offensive rebound by J. Green,15,11
37,1,5:33.0,,C. Lee makes 2-pt jump shot from 8 ft (assist by J. Green),15,13
38,1,5:14.0,D. Wade makes 2-pt jump shot from 3 ft,,17,13
39,1,5:14.0,Shooting foul by M. Gasol (drawn by D. Wade),,17,13
40,1,5:14.0,D. Wade misses free throw 1 of 1,,17,13
41,1,5:13.0,,Defensive rebound by J. Green,17,13
42,1,5:05.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),17,15
43,1,5:05.0,,Shooting foul by G. Green (drawn by Z. Randolph),17,15
44,1,5:05.0,,T. Allen enters the game for J. Green,17,15
45,1,5:05.0,,Z. Randolph makes free throw 1 of 1,17,16
46,1,4:52.0,G. Green misses 2-pt jump shot from 17 ft,,17,16
47,1,4:52.0,,Defensive rebound by Team,17,16
48,1,4:33.0,,M. Gasol misses 2-pt jump shot from 20 ft,17,16
49,1,4:32.0,Defensive rebound by G. Green,,17,16
50,1,4:16.0,D. Wade makes 2-pt layup from 2 ft (assist by G. Dragić),,19,16
51,1,3:57.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by Z. Randolph),19,19
52,1,3:49.0,Miami full timeout,,19,19
53,1,3:49.0,,M. Chalmers enters the game for M. Conley,19,19
54,1,3:38.0,D. Wade makes 2-pt layup from 1 ft (assist by L. Deng),,21,19
55,1,3:17.0,,T. Allen makes 2-pt jump shot from 13 ft (assist by M. Gasol),21,21
56,1,2:59.0,G. Dragić makes 2-pt jump shot from 15 ft (assist by D. Wade),,23,21
57,1,2:40.0,,M. Gasol makes 2-pt jump shot from 6 ft (assist by C. Lee),23,23
58,1,2:17.0,Turnover by G. Green (bad pass),,23,23
59,1,2:17.0,,J. Green enters the game for Z. Randolph,23,23
60,1,2:17.0,T. Johnson enters the game for L. Deng,,23,23
61,1,2:17.0,C. Bosh enters the game for D. Wade,,23,23
62,1,2:17.0,,V. Carter enters the game for C. Lee,23,23
63,1,1:56.0,,M. Chalmers misses 3-pt jump shot from 24 ft,23,23
64,1,1:55.0,Defensive rebound by G. Dragić,,23,23
65,1,1:52.0,Personal foul by M. Chalmers (drawn by G. Dragić),,23,23
66,1,1:44.0,G. Green misses 3-pt jump shot from 23 ft,,23,23
67,1,1:44.0,Offensive rebound by Team,,23,23
68,1,1:44.0,,Loose ball foul by M. Gasol (drawn by H. Whiteside),23,23
69,1,1:44.0,H. Whiteside makes free throw 1 of 2,,24,23
70,1,1:44.0,H. Whiteside misses free throw 2 of 2,,24,23
71,1,1:42.0,,Defensive rebound by M. Chalmers,24,23
72,1,1:25.0,,J. Green misses 2-pt jump shot from 16 ft,24,23
73,1,1:25.0,Defensive rebound by C. Bosh,,24,23
74,1,1:17.0,Shooting foul by M. Chalmers (drawn by G. Dragić),,24,23
75,1,1:17.0,G. Dragić makes free throw 1 of 2,,25,23
76,1,1:17.0,G. Dragić misses free throw 2 of 2,,25,23
77,1,1:16.0,,Defensive rebound by M. Gasol,25,23
78,1,1:03.0,B. Udrih enters the game for G. Dragić,,25,23
79,1,0:58.0,,M. Chalmers misses 2-pt layup from 1 ft,25,23
80,1,0:56.0,Defensive rebound by H. Whiteside,,25,23
81,1,0:44.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by B. Udrih),,28,23
82,1,0:33.0,,M. Chalmers makes 3-pt jump shot from 25 ft (assist by M. Gasol),28,26
83,1,0:33.0,Personal foul by J. Green (drawn by T. Johnson),,28,26
84,1,0:33.0,T. Johnson makes free throw 1 of 2,,29,26
85,1,0:33.0,T. Johnson makes free throw 2 of 2,,30,26
86,1,0:12.0,,M. Gasol misses 2-pt hook shot from 7 ft,30,26
87,1,0:09.0,,Offensive rebound by T. Allen,30,26
88,1,0:09.0,,T. Allen misses 2-pt layup from 1 ft,30,26
89,1,0:07.0,Defensive rebound by C. Bosh,,30,26
90,2,11:41.0,C. Bosh misses 2-pt layup from 2 ft (block by R. Hollins),,30,26
91,2,11:40.0,,Defensive rebound by J. Green,30,26
92,2,11:36.0,,Offensive foul by R. Hollins (drawn by A. Stoudemire),30,26
93,2,11:36.0,,Turnover by R. Hollins (offensive foul),30,26
94,2,11:21.0,T. Johnson makes 2-pt jump shot from 19 ft,,32,26
95,2,11:04.0,,J. Green misses 3-pt jump shot from 25 ft,32,26
96,2,11:04.0,,Offensive rebound by Team,32,26
97,2,11:04.0,Loose ball foul by A. Stoudemire (drawn by R. Hollins),,32,26
98,2,10:55.0,,V. Carter misses 2-pt jump shot from 14 ft,32,26
99,2,10:54.0,,Offensive rebound by R. Hollins,32,26
100,2,10:50.0,,T. Allen makes 2-pt layup from 1 ft (assist by R. Hollins),32,28
101,2,10:26.0,Shooting foul by J. Green (drawn by A. Stoudemire),,32,28
102,2,10:26.0,A. Stoudemire makes free throw 1 of 2,,33,28
103,2,10:26.0,,J. Green enters the game for V. Carter,33,28
104,2,10:26.0,A. Stoudemire misses free throw 2 of 2,,33,28
105,2,10:25.0,,Defensive rebound by T. Allen,33,28
106,2,10:12.0,,Personal foul by G. Green (drawn by J. Green),33,28
107,2,10:02.0,,J. Green misses 2-pt jump shot from 17 ft,33,28
108,2,10:02.0,,Offensive rebound by J. Green,33,28
109,2,9:45.0,,J. Green makes 2-pt layup at rim,33,30
110,2,9:26.0,C. Bosh makes 2-pt jump shot from 15 ft (assist by B. Udrih),,35,30
111,2,9:17.0,,Personal foul by T. Johnson (drawn by T. Allen),35,30
112,2,9:06.0,,M. Chalmers misses 2-pt jump shot from 8 ft,35,30
113,2,9:05.0,,Offensive rebound by J. Green,35,30
114,2,9:05.0,,J. Green misses 2-pt layup from 1 ft,35,30
115,2,9:02.0,,Offensive rebound by T. Allen,35,30
116,2,8:56.0,,M. Chalmers misses 3-pt jump shot from 23 ft,35,30
117,2,8:56.0,Defensive rebound by C. Bosh,,35,30
118,2,8:33.0,B. Udrih misses 2-pt jump shot from 14 ft,,35,30
119,2,8:33.0,,Defensive rebound by T. Allen,35,30
120,2,8:16.0,,T. Allen makes 2-pt layup from 1 ft,35,32
121,2,8:02.0,Shooting foul by R. Hollins (drawn by A. Stoudemire),,35,32
122,2,8:02.0,Miami full timeout,,35,32
123,2,8:02.0,L. Deng enters the game for G. Green,,35,32
124,2,8:02.0,,M. Conley enters the game for M. Chalmers,35,32
125,2,8:02.0,,Z. Randolph enters the game for J. Green,35,32
126,2,8:02.0,A. Stoudemire makes free throw 1 of 2,,36,32
127,2,8:02.0,A. Stoudemire makes free throw 2 of 2,,37,32
128,2,7:53.0,,Def 3 sec tech foul by A. Stoudemire,37,32
129,2,7:53.0,,M. Conley makes technical free throw,37,33
130,2,7:41.0,,M. Conley makes 2-pt jump shot from 12 ft (assist by Z. Randolph),37,35
131,2,7:21.0,C. Bosh makes 2-pt layup at rim (assist by T. Johnson),,39,35
132,2,7:05.0,,M. Conley misses 2-pt jump shot from 9 ft,39,35
133,2,7:03.0,Defensive rebound by A. Stoudemire,,39,35
134,2,6:56.0,Turnover by L. Deng (bad pass; steal by R. Hollins),,39,35
135,2,6:33.0,,J. Green misses 2-pt layup from 2 ft (block by A. Stoudemire),39,35
136,2,6:30.0,Defensive rebound by L. Deng,,39,35
137,2,6:20.0,C. Bosh makes 2-pt jump shot from 9 ft (assist by T. Johnson),,41,35
138,2,6:20.0,Shooting foul by R. Hollins (drawn by C. Bosh),,41,35
139,2,6:20.0,,M. Gasol enters the game for R. Hollins,41,35
140,2,6:20.0,D. Wade enters the game for T. Johnson,,41,35
141,2,6:20.0,G. Dragić enters the game for B. Udrih,,41,35
142,2,6:20.0,C. Bosh misses free throw 1 of 1,,41,35
143,2,6:17.0,,Defensive rebound by Z. Randolph,41,35
144,2,6:03.0,,Turnover by Z. Randolph (bad pass; steal by D. Wade),41,35
145,2,5:59.0,Personal foul by T. Allen (drawn by D. Wade),,41,35
146,2,5:59.0,,Memphis full timeout,41,35
147,2,5:59.0,T. Johnson enters the game for C. Bosh,,41,35
148,2,5:43.0,Shooting foul by M. Conley (drawn by A. Stoudemire),,41,35
149,2,5:43.0,A. Stoudemire makes free throw 1 of 2,,42,35
150,2,5:43.0,A. Stoudemire misses free throw 2 of 2,,42,35
151,2,5:42.0,,Defensive rebound by Z. Randolph,42,35
152,2,5:29.0,,Personal foul by A. Stoudemire (drawn by M. Gasol),42,35
153,2,5:20.0,,J. Green makes 2-pt layup from 1 ft,42,37
154,2,4:59.0,G. Dragić makes 2-pt layup from 1 ft,,44,37
155,2,4:36.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),44,39
156,2,4:22.0,Turnover by A. Stoudemire (3 sec),,44,39
157,2,4:22.0,H. Whiteside enters the game for A. Stoudemire,,44,39
158,2,4:04.0,,M. Conley makes 2-pt layup at rim,44,41
159,2,3:47.0,Turnover by H. Whiteside (traveling),,44,41
160,2,3:33.0,,Shooting foul by G. Dragić (drawn by M. Conley),44,41
161,2,3:33.0,,M. Conley makes free throw 1 of 2,44,42
