,QUARTER,TIME_REMAINING,DALLAS_ACTION,INDIANA_ACTION,DALLAS_SCORE,INDIANA_SCORE
0,1,11:45.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by W. Matthews),,2,0
1,1,11:31.0,,M. Ellis misses 2-pt jump shot from 17 ft,2,0
2,1,11:31.0,Defensive rebound by W. Matthews,,2,0
3,1,11:18.0,Z. Pachulia makes 2-pt layup at rim (assist by D. Williams),,4,0
4,1,10:56.0,,P. George misses 2-pt jump shot from 12 ft,4,0
5,1,10:55.0,Defensive rebound by Z. Pachulia,,4,0
6,1,10:51.0,D. Williams makes 2-pt jump shot from 15 ft,,6,0
7,1,10:51.0,Shooting foul by M. Ellis (drawn by D. Williams),,6,0
8,1,10:51.0,D. Williams makes free throw 1 of 1,,7,0
9,1,10:37.0,,P. George misses 3-pt jump shot from 26 ft,7,0
10,1,10:37.0,,Offensive rebound by Team,7,0
11,1,10:29.0,,I. Mahinmi makes 2-pt dunk at rim (assist by P. George),7,2
12,1,10:15.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,7,2
13,1,10:14.0,,Defensive rebound by I. Mahinmi,7,2
14,1,10:08.0,,G. Hill misses 3-pt jump shot from 26 ft,7,2
15,1,10:07.0,Defensive rebound by R. Felton,,7,2
16,1,9:57.0,R. Felton misses 2-pt jump shot from 15 ft,,7,2
17,1,9:56.0,,Defensive rebound by I. Mahinmi,7,2
18,1,9:49.0,,L. Allen makes 2-pt layup from 2 ft (assist by M. Ellis),7,4
19,1,9:33.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,7,4
20,1,9:32.0,,Defensive rebound by L. Allen,7,4
21,1,9:25.0,,Turnover by P. George (bad pass; steal by Z. Pachulia),7,4
22,1,9:10.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,7,4
23,1,9:09.0,,Defensive rebound by I. Mahinmi,7,4
24,1,8:53.0,,P. George makes 3-pt jump shot from 24 ft (assist by L. Allen),7,7
25,1,8:31.0,Shooting foul by I. Mahinmi (drawn by R. Felton),,7,7
26,1,8:31.0,R. Felton makes free throw 1 of 2,,8,7
27,1,8:31.0,R. Felton misses free throw 2 of 2,,8,7
28,1,8:30.0,Offensive rebound by Z. Pachulia,,8,7
29,1,8:22.0,R. Felton misses 2-pt layup from 2 ft (block by L. Allen),,8,7
30,1,8:21.0,,Defensive rebound by I. Mahinmi,8,7
31,1,8:15.0,,P. George makes 3-pt jump shot from 22 ft (assist by G. Hill),8,10
32,1,7:52.0,Turnover by R. Felton (bad pass; steal by M. Ellis),,8,10
33,1,7:35.0,,M. Ellis misses 2-pt jump shot from 20 ft,8,10
34,1,7:34.0,,Offensive rebound by L. Allen,8,10
35,1,7:32.0,,L. Allen misses 2-pt layup at rim (block by D. Nowitzki),8,10
36,1,7:32.0,,Offensive rebound by Team,8,10
37,1,7:29.0,,G. Hill makes 2-pt jump shot from 17 ft (assist by P. George),8,12
38,1,7:20.0,Turnover by D. Williams (lost ball),,8,12
39,1,7:14.0,,M. Ellis misses 2-pt layup from 2 ft (block by D. Nowitzki),8,12
40,1,7:14.0,,Offensive rebound by Team,8,12
41,1,7:07.0,,P. George misses 2-pt jump shot from 15 ft,8,12
42,1,7:06.0,Defensive rebound by D. Nowitzki,,8,12
43,1,6:55.0,D. Williams misses 2-pt jump shot from 12 ft,,8,12
44,1,6:55.0,Offensive rebound by Z. Pachulia,,8,12
45,1,6:54.0,Shooting foul by P. George (drawn by Z. Pachulia),,8,12
46,1,6:54.0,Z. Pachulia misses free throw 1 of 2,,8,12
47,1,6:54.0,Offensive rebound by Team,,8,12
48,1,6:54.0,D. Powell enters the game for D. Nowitzki,,8,12
49,1,6:54.0,D. Harris enters the game for R. Felton,,8,12
50,1,6:54.0,Z. Pachulia makes free throw 2 of 2,,9,12
51,1,6:43.0,,Turnover by I. Mahinmi (bad pass),9,12
52,1,6:27.0,W. Matthews misses 2-pt jump shot from 19 ft,,9,12
53,1,6:26.0,,Defensive rebound by M. Ellis,9,12
54,1,6:05.0,,G. Hill misses 2-pt jump shot from 11 ft,9,12
55,1,6:04.0,,Offensive rebound by Team,9,12
56,1,6:00.0,,Turnover by P. George (bad pass),9,12
57,1,5:43.0,D. Williams misses 2-pt jump shot from 17 ft,,9,12
58,1,5:42.0,Offensive rebound by Z. Pachulia,,9,12
59,1,5:39.0,W. Matthews misses 3-pt jump shot from 25 ft,,9,12
60,1,5:38.0,,Defensive rebound by I. Mahinmi,9,12
61,1,5:26.0,,Indiana full timeout,9,12
62,1,5:26.0,,C. Miles enters the game for L. Allen,9,12
63,1,5:26.0,C. Parsons enters the game for D. Powell,,9,12
64,1,5:16.0,,G. Hill makes 3-pt jump shot from 26 ft (assist by I. Mahinmi),9,15
65,1,4:52.0,Z. Pachulia makes 2-pt layup from 3 ft (assist by C. Parsons),,11,15
66,1,4:41.0,,G. Hill misses 3-pt jump shot from 27 ft,11,15
67,1,4:40.0,Defensive rebound by Z. Pachulia,,11,15
68,1,4:26.0,W. Matthews misses 2-pt jump shot from 16 ft,,11,15
69,1,4:23.0,Offensive rebound by Z. Pachulia,,11,15
70,1,4:14.0,D. Harris makes 3-pt jump shot from 24 ft (assist by C. Parsons),,14,15
71,1,3:56.0,,M. Ellis misses 3-pt jump shot from 26 ft,14,15
72,1,3:56.0,Defensive rebound by Team,,14,15
73,1,3:56.0,,R. Stuckey enters the game for G. Hill,14,15
74,1,3:44.0,Personal foul by C. Miles (drawn by C. Parsons),,14,15
75,1,3:38.0,C. Parsons makes 3-pt jump shot from 26 ft (assist by D. Williams),,17,15
76,1,3:18.0,,P. George misses 3-pt jump shot from 26 ft,17,15
77,1,3:17.0,Defensive rebound by Z. Pachulia,,17,15
78,1,3:09.0,Z. Pachulia misses 2-pt layup at rim (block by M. Ellis),,17,15
79,1,3:06.0,,Defensive rebound by C. Miles,17,15
80,1,3:01.0,,C. Miles misses 3-pt jump shot from 24 ft,17,15
81,1,3:00.0,Defensive rebound by W. Matthews,,17,15
