,QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,,K. Leonard misses 3-pt jump shot from 23 ft,0,0
1,1,11:44.0,Defensive rebound by G. Hill,,0,0
2,1,11:26.0,M. Ellis misses 2-pt jump shot from 17 ft,,0,0
3,1,11:23.0,,Defensive rebound by K. Leonard,0,0
4,1,11:16.0,,K. Leonard makes 2-pt dunk at rim,0,2
5,1,11:09.0,Personal foul by L. Aldridge (drawn by G. Hill),,0,2
6,1,11:03.0,L. Allen misses 2-pt jump shot from 7 ft,,0,2
7,1,11:02.0,,Defensive rebound by L. Aldridge,0,2
8,1,10:47.0,,D. Green misses 2-pt jump shot from 8 ft (block by M. Ellis),0,2
9,1,10:46.0,Defensive rebound by G. Hill,,0,2
10,1,10:33.0,G. Hill misses 2-pt jump shot from 16 ft,,0,2
11,1,10:32.0,Offensive rebound by I. Mahinmi,,0,2
12,1,10:32.0,I. Mahinmi makes 2-pt layup from 1 ft,,2,2
13,1,10:15.0,,K. Leonard misses 3-pt jump shot from 24 ft,2,2
14,1,10:14.0,Defensive rebound by M. Ellis,,2,2
15,1,10:10.0,P. George misses 3-pt jump shot from 23 ft,,2,2
16,1,10:09.0,Offensive rebound by L. Allen,,2,2
17,1,9:57.0,Turnover by I. Mahinmi (bad pass),,2,2
18,1,9:46.0,,T. Parker misses 2-pt jump shot from 7 ft,2,2
19,1,9:45.0,Defensive rebound by I. Mahinmi,,2,2
20,1,9:32.0,Def 3 sec tech foul by T. Duncan,,2,2
21,1,9:32.0,P. George misses technical free throw,,2,2
22,1,9:32.0,Offensive rebound by Team,,2,2
23,1,9:24.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),,4,2
24,1,8:56.0,,K. Leonard makes 2-pt jump shot from 15 ft,4,4
25,1,8:49.0,Turnover by P. George (lost ball; steal by T. Duncan),,4,4
26,1,8:42.0,,T. Duncan makes 2-pt layup from 2 ft (assist by K. Leonard),4,6
27,1,8:24.0,L. Allen misses 2-pt jump shot from 15 ft,,4,6
28,1,8:23.0,,Defensive rebound by T. Duncan,4,6
29,1,8:09.0,,K. Leonard misses 3-pt jump shot from 23 ft,4,6
30,1,8:09.0,Defensive rebound by I. Mahinmi,,4,6
31,1,7:51.0,L. Allen misses 2-pt hook shot from 8 ft,,4,6
32,1,7:49.0,,Defensive rebound by T. Duncan,4,6
33,1,7:37.0,,L. Aldridge misses 2-pt jump shot from 15 ft,4,6
34,1,7:36.0,Defensive rebound by P. George,,4,6
35,1,7:29.0,Shooting foul by T. Parker (drawn by L. Allen),,4,6
36,1,7:29.0,L. Allen misses free throw 1 of 2,,4,6
37,1,7:29.0,Offensive rebound by Team,,4,6
38,1,7:29.0,L. Allen misses free throw 2 of 2,,4,6
39,1,7:28.0,,Defensive rebound by L. Aldridge,4,6
40,1,7:17.0,,Turnover by D. Green (bad pass; steal by P. George),4,6
41,1,7:13.0,Turnover by P. George (traveling),,4,6
42,1,7:05.0,,Personal foul by I. Mahinmi (drawn by T. Duncan),4,6
43,1,6:58.0,,Personal block foul by L. Allen (drawn by L. Aldridge),4,6
44,1,6:52.0,,T. Duncan misses 2-pt jump shot from 11 ft,4,6
45,1,6:51.0,Defensive rebound by L. Allen,,4,6
46,1,6:43.0,L. Allen makes 2-pt jump shot from 17 ft (assist by M. Ellis),,6,6
47,1,6:43.0,,San Antonio full timeout,6,6
48,1,6:32.0,,Personal foul by L. Allen (drawn by L. Aldridge),6,6
49,1,6:32.0,J. Hill enters the game for L. Allen,,6,6
50,1,6:19.0,,K. Leonard misses 2-pt jump shot from 11 ft,6,6
51,1,6:18.0,Defensive rebound by I. Mahinmi,,6,6
52,1,6:10.0,M. Ellis makes 2-pt jump shot from 18 ft,,8,6
53,1,5:54.0,,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),8,8
54,1,5:41.0,J. Hill makes 2-pt layup from 1 ft (assist by P. George),,10,8
55,1,5:27.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),10,10
56,1,5:08.0,I. Mahinmi misses 2-pt layup from 1 ft (block by T. Duncan),,10,10
57,1,5:07.0,,Defensive rebound by T. Duncan,10,10
58,1,4:54.0,,T. Parker misses 2-pt jump shot from 12 ft,10,10
59,1,4:53.0,,Offensive rebound by L. Aldridge,10,10
60,1,4:52.0,,L. Aldridge misses 2-pt jump shot from 4 ft,10,10
61,1,4:51.0,Defensive rebound by I. Mahinmi,,10,10
62,1,4:42.0,P. George misses 3-pt jump shot from 23 ft,,10,10
63,1,4:41.0,,Defensive rebound by D. Green,10,10
64,1,4:33.0,,L. Aldridge makes 2-pt jump shot from 5 ft (assist by T. Duncan),10,12
65,1,4:32.0,Indiana full timeout,,10,12
66,1,4:32.0,,P. Mills enters the game for T. Duncan,10,12
67,1,4:32.0,,B. Diaw enters the game for D. Green,10,12
68,1,4:32.0,,M. Ginóbili enters the game for T. Parker,10,12
69,1,4:32.0,R. Stuckey enters the game for I. Mahinmi,,10,12
70,1,4:32.0,C. Miles enters the game for G. Hill,,10,12
71,1,4:20.0,J. Hill misses 2-pt hook shot from 7 ft,,10,12
72,1,4:17.0,,Defensive rebound by B. Diaw,10,12
73,1,4:03.0,,K. Leonard misses 2-pt layup from 1 ft,10,12
74,1,4:00.0,Defensive rebound by C. Miles,,10,12
75,1,3:54.0,P. George misses 2-pt jump shot from 12 ft,,10,12
76,1,3:53.0,,Defensive rebound by L. Aldridge,10,12
77,1,3:48.0,,Shooting foul by C. Miles (drawn by K. Leonard),10,12
78,1,3:48.0,,K. Leonard makes free throw 1 of 2,10,13
79,1,3:48.0,,K. Leonard makes free throw 2 of 2,10,14
80,1,3:29.0,C. Miles makes 2-pt jump shot from 6 ft (assist by J. Hill),,12,14
81,1,3:15.0,,L. Aldridge misses 2-pt jump shot from 15 ft,12,14
82,1,3:14.0,Defensive rebound by P. George,,12,14
83,1,2:58.0,P. George misses 2-pt jump shot from 12 ft,,12,14
84,1,2:57.0,,Defensive rebound by B. Diaw,12,14
85,1,2:47.0,,L. Aldridge makes 2-pt layup at rim (assist by B. Diaw),12,16
86,1,2:26.0,C. Miles makes 2-pt layup at rim,,14,16
87,1,2:20.0,,B. Diaw makes 2-pt layup from 2 ft (assist by M. Ginóbili),14,18
88,1,2:05.0,C. Miles misses 3-pt jump shot from 24 ft,,14,18
89,1,2:04.0,Offensive rebound by J. Hill,,14,18
90,1,2:00.0,J. Hill misses 2-pt layup from 1 ft,,14,18
91,1,1:59.0,,Defensive rebound by L. Aldridge,14,18
92,1,1:47.0,,M. Ginóbili makes 2-pt layup from 1 ft (assist by P. Mills),14,20
93,1,1:36.0,Personal foul by P. Mills (drawn by M. Ellis),,14,20
94,1,1:36.0,,D. West enters the game for L. Aldridge,14,20
95,1,1:22.0,,Violation by B. Diaw (kicked ball),14,20
96,1,1:12.0,M. Ellis misses 2-pt jump shot from 15 ft,,14,20
97,1,1:11.0,,Defensive rebound by D. West,14,20
98,1,0:58.0,,B. Diaw makes 2-pt hook shot from 5 ft (assist by M. Ginóbili),14,22
99,1,0:45.0,J. Hill makes 2-pt jump shot from 19 ft (assist by M. Ellis),,16,22
100,1,0:32.0,,M. Ginóbili misses 2-pt jump shot from 18 ft,16,22
101,1,0:31.0,Defensive rebound by C. Miles,,16,22
102,1,0:21.0,P. George makes 3-pt jump shot from 25 ft (assist by M. Ellis),,19,22
103,1,0:05.0,,Personal foul by M. Ellis (drawn by P. Mills),19,22
104,1,0:05.0,,P. Mills misses free throw 1 of 2,19,22
105,1,0:05.0,,Offensive rebound by Team,19,22
106,1,0:05.0,,P. Mills makes free throw 2 of 2,19,23
107,1,0:00.0,M. Ellis makes 2-pt jump shot from 15 ft,,21,23
108,2,11:47.0,C. Budinger makes 2-pt layup from 1 ft (assist by R. Stuckey),,23,23
109,2,11:31.0,,B. Diaw makes 2-pt layup at rim,23,25
110,2,11:21.0,R. Stuckey makes 2-pt jump shot from 19 ft,,25,25
111,2,11:12.0,,P. Mills makes 2-pt layup from 1 ft,25,27
112,2,10:46.0,R. Stuckey misses 2-pt jump shot from 19 ft,,25,27
113,2,10:43.0,,Defensive rebound by K. Anderson,25,27
114,2,10:33.0,,D. West makes 2-pt jump shot from 5 ft,25,29
115,2,10:25.0,C. Miles makes 2-pt layup at rim,,27,29
116,2,10:06.0,,D. West misses 2-pt jump shot from 15 ft,27,29
117,2,10:05.0,Defensive rebound by R. Stuckey,,27,29
118,2,9:57.0,Turnover by R. Stuckey (bad pass),,27,29
119,2,9:57.0,,J. Simmons enters the game for K. Anderson,27,29
120,2,9:41.0,,B. Diaw makes 2-pt hook shot from 3 ft (assist by M. Ginóbili),27,31
121,2,9:23.0,C. Miles misses 3-pt jump shot from 25 ft,,27,31
122,2,9:23.0,,Defensive rebound by J. Simmons,27,31
123,2,9:17.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by J. Simmons),27,34
124,2,9:17.0,Indiana full timeout,,27,34
125,2,9:17.0,,D. Green enters the game for M. Ginóbili,27,34
126,2,9:01.0,G. Hill misses 2-pt jump shot from 14 ft,,27,34
127,2,8:58.0,,Defensive rebound by B. Diaw,27,34
128,2,8:47.0,,Personal foul by C. Miles (drawn by D. West),27,34
129,2,8:36.0,,P. Mills misses 2-pt jump shot from 18 ft,27,34
130,2,8:35.0,Defensive rebound by R. Stuckey,,27,34
131,2,8:25.0,G. Hill makes 2-pt layup from 2 ft (assist by C. Miles),,29,34
132,2,8:03.0,,P. Mills misses 3-pt jump shot from 24 ft,29,34
133,2,8:03.0,Defensive rebound by J. Hill,,29,34
134,2,7:42.0,G. Hill misses 2-pt jump shot from 14 ft,,29,34
135,2,7:41.0,,Defensive rebound by J. Simmons,29,34
136,2,7:30.0,,D. West makes 2-pt hook shot from 5 ft,29,36
137,2,7:30.0,,Shooting foul by C. Miles (drawn by D. West),29,36
138,2,7:30.0,,T. Parker enters the game for P. Mills,29,36
139,2,7:30.0,L. Allen enters the game for C. Miles,,29,36
140,2,7:30.0,,T. Duncan enters the game for B. Diaw,29,36
141,2,7:30.0,,D. West makes free throw 1 of 1,29,37
142,2,7:10.0,C. Budinger misses 2-pt layup from 1 ft,,29,37
143,2,7:10.0,Offensive rebound by J. Hill,,29,37
144,2,7:10.0,Shooting foul by T. Duncan (drawn by J. Hill),,29,37
145,2,7:10.0,J. Hill makes free throw 1 of 2,,30,37
146,2,7:10.0,J. Hill misses free throw 2 of 2,,30,37
147,2,7:09.0,,Defensive rebound by D. West,30,37
148,2,6:53.0,,J. Simmons makes 3-pt jump shot from 22 ft (assist by D. West),30,40
149,2,6:32.0,G. Hill makes 3-pt jump shot from 24 ft,,33,40
150,2,6:12.0,,D. Green misses 3-pt jump shot from 24 ft,33,40
151,2,6:11.0,Defensive rebound by J. Hill,,33,40
152,2,6:04.0,R. Stuckey makes 2-pt layup at rim,,35,40
153,2,6:04.0,,San Antonio full timeout,35,40
154,2,6:04.0,,L. Aldridge enters the game for D. West,35,40
155,2,5:48.0,,J. Simmons misses 2-pt layup at rim,35,40
156,2,5:48.0,Defensive rebound by J. Hill,,35,40
157,2,5:44.0,Personal foul by J. Simmons (drawn by G. Hill),,35,40
158,2,5:36.0,Turnover by R. Stuckey (bad pass; steal by L. Aldridge),,35,40
159,2,5:26.0,,T. Parker makes 2-pt jump shot from 16 ft,35,42
160,2,5:08.0,R. Stuckey makes 2-pt jump shot from 18 ft,,37,42
161,2,4:45.0,,K. Leonard enters the game for D. Green,37,42
162,2,4:45.0,,M. Ginóbili enters the game for J. Simmons,37,42
163,2,4:45.0,P. George enters the game for C. Budinger,,37,42
164,2,4:45.0,M. Ellis enters the game for G. Hill,,37,42
165,2,4:45.0,I. Mahinmi enters the game for J. Hill,,37,42
166,2,4:43.0,,Turnover by T. Duncan (bad pass; steal by I. Mahinmi),37,42
167,2,4:32.0,R. Stuckey makes 3-pt jump shot from 23 ft (assist by P. George),,40,42
168,2,4:01.0,,K. Leonard misses 3-pt jump shot from 24 ft,40,42
169,2,4:00.0,Defensive rebound by P. George,,40,42
170,2,3:45.0,Turnover by R. Stuckey (bad pass; steal by L. Aldridge),,40,42
171,2,3:30.0,,L. Aldridge misses 2-pt jump shot from 18 ft,40,42
172,2,3:30.0,Defensive rebound by L. Allen,,40,42
173,2,3:20.0,Turnover by L. Allen (bad pass; steal by L. Aldridge),,40,42
174,2,3:10.0,,T. Parker makes 2-pt jump shot from 13 ft,40,44
175,2,2:54.0,L. Allen makes 2-pt layup at rim (assist by P. George),,42,44
176,2,2:54.0,Shooting foul by K. Leonard (drawn by L. Allen),,42,44
177,2,2:54.0,Official timeout,,42,44
178,2,2:54.0,G. Hill enters the game for R. Stuckey,,42,44
