,QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,K. Lowry misses 3-pt jump shot from 26 ft,,0,0
1,1,11:43.0,,Defensive rebound by H. Barnes,0,0
2,1,11:25.0,,K. Thompson misses 2-pt jump shot from 3 ft,0,0
3,1,11:24.0,Defensive rebound by Team,,0,0
4,1,11:11.0,D. DeRozan misses 2-pt jump shot from 16 ft,,0,0
5,1,11:10.0,,Defensive rebound by D. Green,0,0
6,1,11:03.0,,S. Curry misses 3-pt jump shot from 23 ft,0,0
7,1,11:02.0,Defensive rebound by D. DeRozan,,0,0
8,1,10:52.0,Shooting foul by S. Curry (drawn by K. Lowry),,0,0
9,1,10:52.0,K. Lowry makes free throw 1 of 2,,1,0
10,1,10:52.0,K. Lowry makes free throw 2 of 2,,2,0
11,1,10:33.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Green),2,3
12,1,10:09.0,L. Scola makes 2-pt hook shot from 11 ft,,4,3
13,1,9:51.0,,S. Curry misses 2-pt jump shot from 4 ft,4,3
14,1,9:50.0,Defensive rebound by J. Valančiūnas,,4,3
15,1,9:49.0,Turnover by J. Valančiūnas (bad pass; steal by A. Bogut),,4,3
16,1,9:43.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Curry),4,5
17,1,9:17.0,D. DeRozan misses 2-pt jump shot from 19 ft,,4,5
18,1,9:17.0,,Defensive rebound by A. Bogut,4,5
19,1,9:09.0,,K. Thompson makes 2-pt jump shot at rim (assist by D. Green),4,7
20,1,8:51.0,D. Carroll misses 2-pt jump shot from 3 ft,,4,7
21,1,8:50.0,,Defensive rebound by A. Bogut,4,7
22,1,8:47.0,,D. Green makes 2-pt layup from 2 ft (assist by A. Bogut),4,9
23,1,8:31.0,Personal foul by A. Bogut (drawn by J. Valančiūnas),,4,9
24,1,8:22.0,Shooting foul by A. Bogut (drawn by D. DeRozan),,4,9
25,1,8:22.0,D. DeRozan makes free throw 1 of 2,,5,9
26,1,8:22.0,,F. Ezeli enters the game for A. Bogut,5,9
27,1,8:22.0,D. DeRozan makes free throw 2 of 2,,6,9
28,1,8:07.0,,K. Thompson misses 3-pt jump shot from 24 ft,6,9
29,1,8:07.0,Defensive rebound by D. DeRozan,,6,9
30,1,8:00.0,K. Lowry misses 3-pt jump shot from 24 ft,,6,9
31,1,8:00.0,,Defensive rebound by D. Green,6,9
32,1,7:50.0,,S. Curry makes 2-pt layup from 2 ft,6,11
33,1,7:25.0,D. DeRozan misses 2-pt jump shot from 7 ft (block by F. Ezeli),,6,11
34,1,7:25.0,,Defensive rebound by Team,6,11
35,1,7:25.0,Loose ball foul by D. DeRozan (drawn by D. Green),,6,11
36,1,7:19.0,,Personal block foul by D. Carroll (drawn by K. Thompson),6,11
37,1,7:11.0,,Turnover by S. Curry (lost ball; steal by K. Lowry),6,11
38,1,7:11.0,Personal foul by K. Thompson (drawn by D. Carroll),,6,11
39,1,6:48.0,D. DeRozan misses 2-pt jump shot from 16 ft,,6,11
40,1,6:48.0,Offensive rebound by L. Scola,,6,11
41,1,6:46.0,L. Scola makes 2-pt layup from 2 ft,,8,11
42,1,6:34.0,,Turnover by S. Curry (bad pass),8,11
43,1,6:18.0,D. Carroll misses 2-pt jump shot from 5 ft,,8,11
44,1,6:18.0,,Defensive rebound by D. Green,8,11
45,1,6:13.0,,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),8,13
46,1,6:04.0,Toronto full timeout,,8,13
47,1,6:04.0,,A. Iguodala enters the game for H. Barnes,8,13
48,1,5:47.0,Shooting foul by F. Ezeli (drawn by K. Lowry),,8,13
49,1,5:47.0,K. Lowry makes free throw 1 of 2,,9,13
50,1,5:47.0,K. Lowry makes free throw 2 of 2,,10,13
51,1,5:33.0,,F. Ezeli makes 2-pt dunk at rim (assist by S. Curry),10,15
52,1,5:16.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by K. Lowry),,13,15
53,1,5:05.0,,Personal foul by K. Lowry (drawn by S. Curry),13,15
54,1,5:05.0,P. Patterson enters the game for L. Scola,,13,15
55,1,4:58.0,,K. Thompson makes 2-pt layup at rim (assist by S. Curry),13,17
56,1,4:38.0,D. DeRozan makes 2-pt jump shot from 13 ft (assist by P. Patterson),,15,17
57,1,4:22.0,,D. Green misses 3-pt jump shot from 25 ft,15,17
58,1,4:22.0,Defensive rebound by K. Lowry,,15,17
59,1,4:06.0,J. Valančiūnas misses 2-pt jump shot from 9 ft,,15,17
60,1,4:05.0,Offensive rebound by K. Lowry,,15,17
61,1,4:03.0,K. Lowry makes 2-pt jump shot from 2 ft,,17,17
62,1,3:57.0,,Turnover by S. Curry (bad pass; steal by D. Carroll),17,17
63,1,3:36.0,P. Patterson misses 2-pt hook shot from 6 ft,,17,17
64,1,3:35.0,Offensive rebound by D. Carroll,,17,17
65,1,3:33.0,D. Carroll makes 2-pt layup at rim,,19,17
66,1,3:20.0,,K. Thompson misses 3-pt jump shot from 25 ft,19,17
67,1,3:19.0,,Offensive rebound by A. Iguodala,19,17
68,1,3:10.0,,Turnover by F. Ezeli (bad pass; steal by D. Carroll),19,17
69,1,3:07.0,Shooting foul by D. Green (drawn by K. Lowry),,19,17
70,1,3:07.0,K. Lowry makes free throw 1 of 2,,20,17
71,1,3:07.0,,Golden State full timeout,20,17
72,1,3:07.0,,L. Barbosa enters the game for K. Thompson,20,17
73,1,3:07.0,B. Biyombo enters the game for J. Valančiūnas,,20,17
74,1,3:07.0,C. Joseph enters the game for D. Carroll,,20,17
75,1,3:07.0,,H. Barnes enters the game for D. Green,20,17
76,1,3:07.0,K. Lowry makes free throw 2 of 2,,21,17
77,1,2:54.0,,S. Curry misses 2-pt jump shot from 3 ft,21,17
78,1,2:53.0,,Offensive rebound by Team,21,17
79,1,2:53.0,Loose ball foul by B. Biyombo (drawn by F. Ezeli),,21,17
80,1,2:39.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by H. Barnes),21,20
81,1,2:23.0,K. Lowry makes 2-pt jump shot from 8 ft (assist by C. Joseph),,23,20
82,1,2:08.0,,S. Curry misses 3-pt jump shot from 25 ft,23,20
83,1,2:07.0,,Offensive rebound by L. Barbosa,23,20
84,1,2:01.0,,Def 3 sec tech foul by B. Biyombo,23,20
85,1,2:01.0,,S. Curry makes technical free throw,23,21
86,1,1:52.0,,S. Curry misses 3-pt jump shot from 23 ft,23,21
87,1,1:52.0,Defensive rebound by Team,,23,21
88,1,1:52.0,,Loose ball foul by L. Barbosa (drawn by C. Joseph),23,21
89,1,1:52.0,C. Joseph misses free throw 1 of 2,,23,21
90,1,1:52.0,Offensive rebound by Team,,23,21
91,1,1:52.0,J. Johnson enters the game for K. Lowry,,23,21
92,1,1:52.0,C. Joseph misses free throw 2 of 2,,23,21
93,1,1:48.0,,Defensive rebound by F. Ezeli,23,21
94,1,1:36.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by L. Barbosa),23,24
95,1,1:23.0,D. DeRozan makes 2-pt jump shot from 13 ft (assist by C. Joseph),,25,24
96,1,1:12.0,,S. Curry misses 2-pt jump shot from 20 ft,25,24
97,1,1:10.0,Defensive rebound by B. Biyombo,,25,24
98,1,0:53.0,D. DeRozan misses 2-pt jump shot from 10 ft,,25,24
