,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,11:39.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by D. Gallinari),0,3
1,1,11:21.0,J. Redick makes 2-pt jump shot from 20 ft (assist by C. Paul),,2,3
2,1,11:10.0,,Shooting foul by D. Jordan (drawn by D. Gallinari),2,3
3,1,11:10.0,,D. Gallinari misses free throw 1 of 2,2,3
4,1,11:10.0,,Offensive rebound by Team,2,3
5,1,11:10.0,,D. Gallinari makes free throw 2 of 2,2,4
6,1,11:00.0,Turnover by J. Redick (lost ball; steal by E. Mudiay),,2,4
7,1,10:45.0,,G. Harris misses 2-pt jump shot from 10 ft,2,4
8,1,10:45.0,Defensive rebound by D. Jordan,,2,4
9,1,10:39.0,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),,5,4
10,1,10:22.0,,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),5,6
11,1,10:05.0,D. Jordan misses 2-pt jump shot from 4 ft,,5,6
12,1,10:04.0,,Defensive rebound by G. Harris,5,6
13,1,9:52.0,,D. Arthur makes 2-pt jump shot from 8 ft (assist by N. Jokić),5,8
14,1,9:33.0,B. Griffin makes 2-pt jump shot from 21 ft (assist by C. Paul),,7,8
15,1,9:15.0,,N. Jokić misses 2-pt layup from 2 ft,7,8
16,1,9:15.0,Defensive rebound by Team,,7,8
17,1,8:59.0,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),,9,8
18,1,8:33.0,,N. Jokić makes 2-pt hook shot from 3 ft,9,10
19,1,8:24.0,Personal foul by N. Jokić (drawn by D. Jordan),,9,10
20,1,8:19.0,J. Redick misses 2-pt jump shot from 22 ft,,9,10
21,1,8:19.0,,Defensive rebound by D. Arthur,9,10
22,1,8:10.0,,D. Arthur misses 2-pt jump shot from 19 ft,9,10
23,1,8:10.0,Defensive rebound by C. Paul,,9,10
24,1,8:01.0,B. Griffin makes 2-pt jump shot from 17 ft (assist by C. Paul),,11,10
25,1,7:47.0,,N. Jokić misses 2-pt jump shot from 6 ft,11,10
26,1,7:47.0,,Offensive rebound by G. Harris,11,10
27,1,7:35.0,,D. Gallinari misses 2-pt jump shot from 17 ft,11,10
28,1,7:34.0,,Offensive rebound by N. Jokić,11,10
29,1,7:26.0,,D. Arthur makes 2-pt dunk at rim (assist by E. Mudiay),11,12
30,1,7:01.0,B. Griffin misses 2-pt jump shot from 21 ft,,11,12
31,1,7:00.0,,Defensive rebound by D. Gallinari,11,12
32,1,6:53.0,,D. Arthur misses 2-pt jump shot from 5 ft (block by B. Griffin),11,12
33,1,6:53.0,Defensive rebound by B. Griffin,,11,12
34,1,6:53.0,Personal foul by D. Gallinari (drawn by B. Griffin),,11,12
35,1,6:41.0,C. Paul misses 2-pt jump shot from 19 ft,,11,12
36,1,6:40.0,Offensive rebound by D. Jordan,,11,12
37,1,6:39.0,Shooting foul by N. Jokić (drawn by D. Jordan),,11,12
38,1,6:39.0,D. Jordan makes free throw 1 of 2,,12,12
39,1,6:39.0,,J. Hickson enters the game for N. Jokić,12,12
40,1,6:39.0,D. Jordan misses free throw 2 of 2,,12,12
41,1,6:37.0,Offensive rebound by B. Griffin,,12,12
42,1,6:33.0,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Griffin),,15,12
43,1,6:19.0,,Personal foul by C. Paul (drawn by J. Hickson),15,12
44,1,6:08.0,,D. Gallinari makes 2-pt layup from 2 ft,15,14
45,1,5:56.0,W. Johnson makes 3-pt jump shot from 24 ft (assist by B. Griffin),,18,14
46,1,5:42.0,,G. Harris misses 3-pt jump shot from 26 ft (block by D. Jordan),18,14
47,1,5:36.0,Defensive rebound by D. Jordan,,18,14
48,1,5:32.0,C. Paul makes 2-pt jump shot from 17 ft,,20,14
49,1,5:32.0,,Denver full timeout,20,14
50,1,5:20.0,,Personal foul by W. Johnson (drawn by D. Gallinari),20,14
51,1,5:09.0,,D. Arthur misses 2-pt jump shot from 20 ft,20,14
52,1,5:08.0,Defensive rebound by D. Jordan,,20,14
53,1,4:59.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by J. Redick),,23,14
54,1,4:40.0,,J. Hickson makes 2-pt dunk at rim (assist by D. Gallinari),23,16
55,1,4:16.0,J. Redick makes 2-pt jump shot from 19 ft (assist by D. Jordan),,25,16
56,1,4:03.0,,Shooting foul by D. Jordan (drawn by D. Gallinari),25,16
57,1,4:03.0,,D. Gallinari makes free throw 1 of 2,25,17
58,1,4:03.0,,J. Nelson enters the game for E. Mudiay,25,17
59,1,4:03.0,J. Smith enters the game for D. Jordan,,25,17
60,1,4:03.0,,D. Gallinari makes free throw 2 of 2,25,18
61,1,3:50.0,C. Paul misses 2-pt jump shot from 13 ft,,25,18
62,1,3:49.0,,Defensive rebound by D. Gallinari,25,18
63,1,3:40.0,,G. Harris makes 2-pt layup from 1 ft (assist by D. Arthur),25,20
64,1,3:26.0,B. Griffin misses 2-pt jump shot from 15 ft,,25,20
65,1,3:26.0,,Defensive rebound by D. Gallinari,25,20
66,1,3:09.0,,D. Gallinari makes 2-pt jump shot from 19 ft,25,22
67,1,3:08.0,LA Clippers full timeout,,25,22
68,1,3:08.0,P. Pierce enters the game for W. Johnson,,25,22
69,1,2:57.0,B. Griffin misses 2-pt jump shot from 17 ft,,25,22
70,1,2:56.0,,Defensive rebound by D. Arthur,25,22
71,1,2:42.0,,Turnover by D. Arthur (traveling),25,22
72,1,2:42.0,J. Crawford enters the game for J. Redick,,25,22
73,1,2:42.0,A. Rivers enters the game for C. Paul,,25,22
74,1,2:19.0,J. Crawford misses 3-pt jump shot from 29 ft,,25,22
75,1,2:18.0,,Defensive rebound by J. Hickson,25,22
